team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & xna92";;1;1;100.00;645;645;1;1;0;0;3;3;3;3;13;13;4;4;0;0;33.33;360;46.67;3207;3207;2231;2231;976;976;28;28;87;87;463;463;179;179;284;284;2;2;25;25;61.13;61.13;47.38;47.38;353;353;587;587;26;26;1502;723295;723295;259.32;259.32;194.45;194.45;69.04;69.04;288.76;288.76;204.47;204.47;29.58;29.58;6.61;6.61;0.08;79;79;242.2;242.2;253.6;253.6;140.51;140.51;382.3;382.3;324.48;324.48;198.33;198.33;230.92;230.92;174.19;174.19;117.7;117.7;2162;2084;2261;3010;0;0;1;1
darkivayer &  ,. & Skibidi toto;" ,.";2;1;50.00;616;308;1;0.5;1;0.5;3;1.5;6;3;18;9;3;1.5;3;1.5;16.67;436.66;52.29;4858;2429;3566;1783;1292;646;40;20;112;56;1296;648;891;445.5;405;202.5;9;4.5;37;18.5;73.29;36.65;69.89;34.94;803;401.5;485;242.5;24;12;1543;989370;494685;306.35;153.18;236.78;118.39;121.09;60.54;338.16;169.08;295.63;147.82;30.43;15.22;16.16;8.08;0.14;117;58.5;324;162;325.6;162.8;206.13;103.07;458.09;229.05;442.87;221.43;221.36;110.68;327.58;163.79;199.96;99.98;136.68;68.34;2151.7;2168.07;2155.04;2964.18;1;0.5;2;1
Brain_RL & coal &  - JinGames;" - JinGames";3;2;66.67;1352;450.67;4;1.33;4;1.33;4;1.33;6;2;19;6.33;8;2.67;2;0.67;66.67;416.24;47.31;6365;2121.67;4814;1604.67;1551;517;60;20;142;47.33;1625;541.67;1193;397.67;432;144;15;5;38;12.67;152.78;50.93;159.72;53.24;1126;375.33;1078;359.33;231;77;1541.51;1316709;438903;411.79;137.26;373.19;124.4;137.83;45.94;543.54;181.18;355.01;118.34;24.27;8.09;21.43;7.14;0.14;157;52.33;470.7;156.9;402.4;134.13;224.38;74.79;698.43;232.81;588.76;196.25;334.05;111.35;417.57;139.19;310.63;103.54;194.59;64.86;2812.8;2731.75;2886.84;3183.36;5;1.67;2;0.67
TU NICE &  Trixzy;" Trixzy";1;0;0.00;655;655;2;2;0;0;3;3;5;5;10;10;3;3;3;3;40;469;43.8;2489;2489;1992;1992;497;497;22;22;39;39;454;454;300;300;154;154;3;3;14;14;57.71;57.71;29.77;29.77;254;254;119;119;0;0;1515;494997;494997;154.7;154.7;149.64;149.64;45.8;45.8;205.52;205.52;137.56;137.56;7.06;7.06;5.28;5.28;0.14;38;38;173.9;173.9;178.5;178.5;96.17;96.17;253.97;253.97;218.02;218.02;132.11;132.11;170.76;170.76;101.47;101.47;77.9;77.9;2313;2039;2577;3286;2;2;2;2
"""+kyle""+j&""! & Hanyel22";"""+kyle""+j&""!";2;2;100.00;766;383;2;1;2;1;4;2;8;4;4;2;0;0;0;0;25;408;57.35;2480;1240;2032;1016;448;224;28;14;42;21;794;397;570;285;224;112;8;4;22;11;34.11;17.06;47.13;23.57;272;136;766;383;228;114;1717.5;533055;266527.5;110.79;55.39;150.48;75.24;72.78;36.39;195.98;97.99;129.3;64.65;8.76;4.38;8.69;4.35;0.25;34;17;177.6;88.8;133.7;66.85;88.35;44.17;245.71;122.85;171.99;85.99;162.06;81.03;120.11;60.06;114.82;57.41;99.12;49.56;2518.5;2242;2777;2944;0;0;0;0
Furry & Notrix297 & purqIe.;"""MadOne""";1;1;100.00;368;368;1;1;2;2;0;0;3;3;8;8;2;2;0;0;33.33;512;48.3;2303;2303;1829;1829;474;474;22;22;42;42;448;448;336;336;112;112;4;4;10;10;58.07;58.07;19.18;19.18;381;381;378;378;63;63;1544;395597;395597;123.7;123.7;113.81;113.81;41.87;41.87;137.82;137.82;126.41;126.41;15.15;15.15;2.81;2.81;0.09;33;33;142.6;142.6;120.9;120.9;72.71;72.71;206.67;206.67;155.74;155.74;123.64;123.64;104.65;104.65;97.96;97.96;76.78;76.78;2680;2646;2690;3439;1;1;2;2
' DynVudu ' & Gownyan & Garth;' DynVudu ';3;0;0.00;693;231;1;0.33;0;0;4;1.33;6;2;17;5.67;9;3;3;1;16.67;435.39;49.63;6217;2072.33;5032;1677.33;1185;395;66;22;105;35;1033;344.33;640;213.33;393;131;8;2.67;35;11.67;105.44;35.15;150.72;50.24;575;191.67;1250;416.67;36;12;1498.58;1220315;406771.66;401.21;133.74;366.62;122.21;98.59;32.86;479.44;159.81;349.08;116.36;37.91;12.64;20.11;6.7;0.12;172;57.33;442.4;147.47;391.6;130.53;261.33;87.11;605.1;201.7;480.01;160;386.39;128.8;352;117.33;281.36;93.79;233.03;77.68;2670.17;2590.63;2702.72;3330.97;3;1;2;0.67
Alq190 & 'DONE;'DONE;1;0;0.00;12;12;0;0;0;0;0;0;0;0;3;3;2;2;1;1;0;480;46.27;592;592;399;399;193;193;4;4;17;17;82;82;0;0;82;82;0;0;7;7;8.28;8.28;12.05;12.05;130;130;11;11;1;1;1538;118392;118392;39.71;39.71;34.23;34.23;12.26;12.26;58.22;58.22;23.41;23.41;4.56;4.56;2.5;2.5;0.1;24;24;42.5;42.5;32.1;32.1;21.53;21.53;64.67;64.67;41.82;41.82;44.37;44.37;26.54;26.54;29.97;29.97;29.69;29.69;3008;2825;2534;3543;0;0;0;0
*' Sherlox & Cream 00;*' Sherlox;5;3;60.00;2604;520.8;6;1.2;4;0.8;8;1.6;15;3;31;6.2;12;2.4;7;1.4;40;465.79;52.56;12366;2473.2;9586;1917.2;2780;556;115;23;226;45.2;2478;495.6;1639;327.8;839;167.8;21;4.2;75;15;183.19;36.64;219.71;43.94;1734;346.8;1449;289.8;341;68.2;1543.22;2276373;455274.59;713.91;142.78;620.62;124.12;252.51;50.5;891.93;178.39;618.18;123.64;76.94;15.39;31.57;6.31;0.12;262;52.4;744.2;148.84;794;158.8;452.65;90.53;1134.4;226.88;1001.69;200.34;585.37;117.07;736.72;147.34;496.37;99.27;353.96;70.79;2419.64;2177.76;2685.4;3536.63;6;1.2;3;0.6
Hachikuji & MaybeShaw & K1DR4X;.;1;1;100.00;373;373;1;1;1;1;2;2;3;3;4;4;0;0;0;0;33.33;426;53.14;1146;1146;873;873;273;273;10;10;26;26;202;202;111;111;91;91;2;2;9;9;23.55;23.55;19.39;19.39;112;112;147;147;94;94;1370;204449;204449;89.82;89.82;58.51;58.51;12.12;12.12;105.37;105.37;55.08;55.08;0;0;4.32;4.32;0.11;39;39;85;85;62.6;62.6;28.37;28.37;132.08;132.08;115.41;115.41;45.04;45.04;85.65;85.65;51.11;51.11;23.69;23.69;1927;1836;1807;2764;1;1;0;0
