team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Crunch59-_- &  Daugaard ;" Daugaard ";1;0;0.00;319;319;0;0;0;0;3;3;0;0;12;12;3;3;1;1;0;283;43.04;1406;1406;945;945;461;461;12;12;41;41;93;93;11;11;82;82;1;1;7;7;56.09;56.09;39.22;39.22;107;107;266;266;90;90;1354;398166;398166;184.03;184.03;102.38;102.38;27.36;27.36;162.54;162.54;144.82;144.82;6.41;6.41;3.75;3.75;0.1;36;36;130.8;130.8;171.2;171.2;92.31;92.31;221.45;221.45;235.79;235.79;77.97;77.97;183.39;183.39;85.91;85.91;44.46;44.46;2056;1960;2113;2810;1;1;0;0
"AssistantBoa2812 & ""!x 7.";"""!x 7.";1;0;0.00;309;309;0;0;0;0;2;2;0;0;11;11;6;6;5;5;0;280;50.59;1452;1452;1183;1183;269;269;14;14;25;25;207;207;169;169;38;38;2;2;4;4;31.03;31.03;78.21;78.21;120;120;225;225;30;30;1271;382967;382967;214.8;214.8;86.18;86.18;29.2;29.2;168.8;168.8;145.33;145.33;16.05;16.05;2.03;2.03;0.09;22;22;191;191;126.8;126.8;94.56;94.56;235.63;235.63;238.53;238.53;91.66;91.66;201.05;201.05;73.33;73.33;55.8;55.8;2674;1832;3083;3156;0;0;1;1
Lelouch Via Britannia & Qwexzk & C-J''F;#D'A6D0;1;0;0.00;260;260;1;1;0;0;0;0;3;3;5;5;2;2;1;1;33.33;396;51.34;2351;2351;1724;1724;627;627;22;22;47;47;269;269;40;40;229;229;1;1;20;20;42.01;42.01;52.97;52.97;389;389;436;436;62;62;1468;502892;502892;175.89;175.89;135.73;135.73;48.56;48.56;207.73;207.73;146.38;146.38;6.08;6.08;7.36;7.36;0.22;33;33;185.8;185.8;167.4;167.4;92.5;92.5;267.68;267.68;227.79;227.79;132.39;132.39;176.7;176.7;100.32;100.32;83.16;83.16;2763;2402;3263;3224;0;0;2;2
' Fahad ' & O09-Luc & akuma.;' Fahad ';6;5;83.33;3950;658.33;12;2;6;1;16;2.67;31;5.17;44;7.33;12;2;4;0.67;38.71;381.22;45.88;14013;2335.5;9951;1658.5;4062;677;123;20.5;361;60.17;2977;496.17;1744;290.67;1233;205.5;22;3.67;113;18.83;183.55;30.59;225.82;37.64;1047;174.5;1989;331.5;467;77.83;1478.12;3095430;515905;1112.81;185.47;868.22;144.7;257.08;42.85;1265.04;210.84;906.12;151.02;66.94;11.16;43.17;7.2;0.17;254;42.33;1160.8;193.47;999.7;166.62;492.32;82.05;1745.78;290.96;1400.45;233.41;837.65;139.61;1056.1;176.02;668.55;111.42;513.45;85.58;2327.02;2158.35;2521.26;2911.66;6;1;9;1.5
KiosiN & Danny & (Sleeping Forest) Ringo;(Sleeping Forest) Ringo;1;0;0.00;335;335;0;0;0;0;2;2;4;4;9;9;5;5;1;1;0;383;59.49;2073;2073;1599;1599;474;474;22;22;37;37;600;600;373;373;227;227;4;4;15;15;21.5;21.5;45.54;45.54;208;208;524;524;26;26;1520;437787;437787;147.89;147.89;121.9;121.9;37.51;37.51;171.02;171.02;125.22;125.22;11.06;11.06;3.55;3.55;0.09;40;40;129.5;129.5;165.5;165.5;101.64;101.64;205.65;205.65;189.77;189.77;117.52;117.52;137.52;137.52;103.08;103.08;66.7;66.7;2764;2229;3117;3535;0;0;0;0
HeMotionss & x-RJmarlow-x & cSimpLz;*MoriS* InSaNis;1;1;100.00;457;457;0;0;2;2;3;3;1;1;6;6;1;1;1;1;0;301;53.45;1850;1850;1049;1049;801;801;14;14;69;69;484;484;195;195;289;289;3;3;24;24;16.56;16.56;26.53;26.53;232;232;360;360;104;104;1370;451052;451052;200.21;200.21;119.46;119.46;28.88;28.88;210.1;210.1;132.59;132.59;5.86;5.86;3.52;3.52;0.1;35;35;200.5;200.5;130.1;130.1;72.03;72.03;276.52;276.52;225.8;225.8;122.75;122.75;169.24;169.24;109.16;109.16;70.16;70.16;2694;2435;2941;3267;1;1;0;0
Spitfire_Mk & .M5.;.M5.;1;0;0.00;592;592;2;2;0;0;3;3;4;4;8;8;3;3;2;2;50;347;52.52;2065;2065;1419;1419;646;646;19;19;57;57;447;447;257;257;190;190;4;4;16;16;30.03;30.03;28.31;28.31;158;158;502;502;142;142;1384;452655;452655;195.27;195.27;125.01;125.01;30.74;30.74;213.69;213.69;130.87;130.87;6.45;6.45;9.58;9.58;0.11;85;85;176.6;176.6;164.5;164.5;100.12;100.12;250.9;250.9;207.55;207.55;143.47;143.47;147.11;147.11;124.69;124.69;79.21;79.21;2614;2488;2747;3380;0;0;2;2
/' 0WDsX /' & PirosZsiguli;/' 0WDsX /';1;0;0.00;380;380;0;0;0;0;3;3;2;2;8;8;2;2;2;2;0;543;54.3;3033;3033;2423;2423;610;610;31;31;55;55;556;556;452;452;104;104;5;5;10;10;54.17;54.17;41.85;41.85;442;442;701;701;47;47;1643;514630;514630;113.93;113.93;142.73;142.73;67.92;67.92;182.06;182.06;118.32;118.32;24.2;24.2;7.24;7.24;0.11;63;63;153.1;153.1;167.1;167.1;103.54;103.54;221.03;221.03;211.15;211.15;113.42;113.42;149.82;149.82;113.13;113.13;61.63;61.63;2573;2295;2874;3527;1;1;0;0
0000n0R.0000 & TheMysticalFart;0000n0R.0000;2;0;0.00;1068;534;3;1.5;2;1;4;2;5;2.5;23;11.5;11;5.5;6;3;60;432.32;47.51;4672;2336;3485;1742.5;1187;593.5;37;18.5;103;51.5;750;375;481;240.5;269;134.5;5;2.5;24;12;97.66;48.83;59.99;30;617;308.5;242;121;26;13;1501.07;913941;456970.5;338.19;169.1;250.64;125.32;84.93;42.47;372.18;186.09;270.77;135.39;30.81;15.4;9.11;4.56;0.18;55;27.5;346.7;173.35;294;147;196.92;98.46;476.84;238.42;480.13;240.07;193.63;96.82;356.34;178.17;210.3;105.15;107.12;53.56;2445.43;1896.95;2817.88;3102.87;0;0;3;1.5
charliee & 000Swag;000Swag;1;1;100.00;469;469;1;1;1;1;1;1;4;4;10;10;2;2;1;1;25;438;50.44;2824;2824;2038;2038;786;786;24;24;69;69;566;566;363;363;203;203;5;5;18;18;69.79;69.79;33.51;33.51;429;429;375;375;136;136;1519;583547;583547;183.98;183.98;165.37;165.37;57.22;57.22;213.01;213.01;166.38;166.38;27.18;27.18;8.35;8.35;0.09;88;88;190.4;190.4;201.5;201.5;95.03;95.03;311.54;311.54;271.57;271.57;135;135;206.26;206.26;122.72;122.72;77.58;77.58;2526;2396;2678;3335;2;2;0;0
