team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & YM Shifty";;1;1;100.00;421;421;0;0;2;2;1;1;2;2;9;9;2;2;0;0;0;407;48.59;2505;2505;1971;1971;534;534;24;24;48;48;857;857;674;674;183;183;7;7;17;17;48.72;48.72;72.41;72.41;305;305;438;438;36;36;1449;521076;521076;200.67;200.67;132.51;132.51;48.94;48.94;188.92;188.92;169.1;169.1;24.09;24.09;4.8;4.8;0.12;40;40;186.7;186.7;177;177;115.55;115.55;266.56;266.56;213.13;213.13;168.99;168.99;164.02;164.02;100.85;100.85;117.25;117.25;1962;1816;2003;2653;0;0;0;0
fzz00 & 4UG Reon &  - JinGames;" - JinGames";1;1;100.00;649;649;3;3;1;1;1;1;5;5;4;4;2;2;0;0;60;406;37.23;2185;2185;1517;1517;668;668;16;16;60;60;494;494;300;300;194;194;3;3;17;17;69.6;69.6;32.93;32.93;165;165;89;89;2;2;1532;487017;487017;156.9;156.9;154.53;154.53;37.02;37.02;194.48;194.48;145.41;145.41;8.56;8.56;6.14;6.14;0.14;44;44;164.8;164.8;151;151;67.16;67.16;281.29;281.29;193.77;193.77;154.68;154.68;131.44;131.44;125.61;125.61;91.4;91.4;2909;2655;3187;3453;0;0;0;0
AJ.BirdPlayz &  tb g;" tb g";1;1;100.00;629;629;2;2;0;0;3;3;2;2;9;9;3;3;2;2;100;282;52.55;1803;1803;1235;1235;568;568;15;15;54;54;502;502;288;288;214;214;3;3;21;21;33.86;33.86;40.31;40.31;123;123;235;235;25;25;1329;470925;470925;231.81;231.81;119.65;119.65;33.04;33.04;232.28;232.28;135.56;135.56;16.66;16.66;6.85;6.85;0.13;52;52;199.7;199.7;170.4;170.4;89.2;89.2;295.3;295.3;238;238;146.5;146.5;173.35;173.35;136.92;136.92;74.22;74.22;2302;2128;2417;3389;0;0;2;2
Ghost & # Aixanaka #;# Aixanaka #;1;0;0.00;308;308;0;0;1;1;1;1;3;3;8;8;5;5;3;3;0;388;52.64;2282;2282;1579;1579;703;703;21;21;52;52;547;547;322;322;225;225;5;5;15;15;28.27;28.27;56.28;56.28;226;226;543;543;177;177;1533;507359;507359;168.98;168.98;150.36;150.36;38.54;38.54;215.05;215.05;133.77;133.77;9.07;9.07;7.76;7.76;0.16;50;50;190;190;148.2;148.2;94.08;94.08;263.81;263.81;225.42;225.42;132.47;132.47;153.45;153.45;137.43;137.43;67.01;67.01;2358;2508;2293;3539;0;0;2;2
ilovejooseworld & & & *******;&;1;1;100.00;515;515;2;2;0;0;1;1;4;4;8;8;2;2;2;2;50;437;48.52;2489;2489;2011;2011;478;478;23;23;42;42;484;484;280;280;204;204;4;4;18;18;34.76;34.76;59.14;59.14;164;164;190;190;32;32;1546;514413;514413;157.94;157.94;145.2;145.2;51.39;51.39;185.93;185.93;144.6;144.6;24;24;6.45;6.45;0.1;63;63;151.5;151.5;188.1;188.1;119.72;119.72;234.81;234.81;216.16;216.16;138.37;138.37;164.55;164.55;114.07;114.07;75.91;75.91;2231;1955;2441;3094;1;1;1;1
BeArExMaJiK & **** YEAH BROTHER! & ?;**** YEAH BROTHER!;2;1;50.00;474;237;1;0.5;2;1;0;0;7;3.5;9;4.5;6;3;3;1.5;14.29;398.74;51.25;3282;1641;2540;1270;742;371;30;15;70;35;639;319.5;300;150;339;169.5;3;1.5;29;14.5;54.02;27.01;46.75;23.38;749;374.5;413;206.5;3;1.5;1511.17;717883;358941.5;249.72;124.86;206.16;103.08;62.43;31.22;305.24;152.62;195.41;97.71;17.67;8.84;7.87;3.93;0.09;80;40;244.3;122.15;242.4;121.2;150.14;75.07;368.18;184.09;312.34;156.17;205.98;102.99;229.76;114.88;163.89;81.94;124.67;62.33;2555.98;2320.76;2796.48;3070.69;0;0;0;0
***** & 1Dummb;*****;1;0;0.00;495;495;1;1;0;0;3;3;1;1;8;8;2;2;1;1;100;405;46.92;2033;2033;1273;1273;760;760;16;16;67;67;239;239;83;83;156;156;1;1;13;13;27.66;27.66;18.57;18.57;317;317;345;345;16;16;1397;432115;432115;177.85;177.85;113.68;113.68;31.82;31.82;211.29;211.29;96.83;96.83;15.23;15.23;3.11;3.11;0.14;23;23;184.8;184.8;145.2;145.2;65.15;65.15;258.19;258.19;226.32;226.32;97.02;97.02;176.83;176.83;102.38;102.38;44.14;44.14;2671;2435;2926;3299;2;2;3;3
pkk0 & ******;******;1;0;0.00;122;122;0;0;0;0;1;1;2;2;5;5;4;4;0;0;0;376;54.26;770;770;470;470;300;300;7;7;25;25;144;144;48;48;96;96;1;1;8;8;11.99;11.99;10.26;10.26;62;62;229;229;51;51;1548;194427;194427;53.64;53.64;64.77;64.77;11.18;11.18;73.1;73.1;53.24;53.24;3.25;3.25;2.85;2.85;0.17;17;17;69.4;69.4;57.9;57.9;32.65;32.65;96.94;96.94;65.58;65.58;64.01;64.01;47.05;47.05;36.46;36.46;46.07;46.07;2399;1971;3121;3168;0;0;0;0
****** DxrkTV & matchmythickness;****** DxrkTV;1;0;0.00;378;378;2;2;0;0;1;1;2;2;9;9;6;6;3;3;100;376;46.28;2283;2283;1551;1551;732;732;19;19;67;67;407;407;259;259;148;148;3;3;14;14;55.7;55.7;31.68;31.68;222;222;380;380;47;47;1529;524120;524120;182.81;182.81;148.02;148.02;46.68;46.68;183.99;183.99;173.37;173.37;20.15;20.15;9.15;9.15;0.1;90;90;187.4;187.4;165.9;165.9;107.39;107.39;270.12;270.12;280.64;280.64;96.88;96.88;226.01;226.01;96.76;96.76;54.75;54.75;2396;1961;2716;2958;0;0;0;0
Furry & MrRiico94 & Chat Off (Friis);****** Spinner;1;1;100.00;112;112;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;401;53.02;996;996;802;802;194;194;10;10;17;17;335;335;286;286;49;49;3;3;5;5;7.75;7.75;13.45;13.45;61;61;209;209;24;24;1484;180196;180196;70.08;70.08;52.22;52.22;14.4;14.4;82.21;82.21;49.74;49.74;4.75;4.75;2.88;2.88;0.09;33;33;72.5;72.5;55.6;55.6;28.57;28.57;108.13;108.13;76.4;76.4;60.3;60.3;53.91;53.91;45.91;45.91;36.88;36.88;2942;2792;2984;3324;1;1;2;2
