team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
JohnKB & Casperuittooo & SF King Kev;;1;0;0.00;708;708;2;2;2;2;3;3;4;4;8;8;5;5;2;2;50;434;43.19;2822;2822;1861;1861;961;961;21;21;84;84;427;427;198;198;229;229;2;2;20;20;79.03;79.03;26.62;26.62;176;176;250;250;1;1;1538;544807;544807;190.03;190.03;153.22;153.22;49.6;49.6;231.23;231.23;151.05;151.05;10.57;10.57;8.05;8.05;0.14;57;57;182.3;182.3;175.8;175.8;95.5;95.5;297.35;297.35;282.69;282.69;110.16;110.16;198.2;198.2;133.26;133.26;61.39;61.39;2377;2316;2387;2914;0;0;0;0
clipzophrenic &  j t 0;" j t 0";1;0;0.00;599;599;0;0;1;1;5;5;2;2;10;10;3;3;3;3;0;400;50.86;2199;2199;1778;1778;421;421;25;25;40;40;564;564;421;421;143;143;6;6;13;13;10.77;10.77;75.86;75.86;390;390;652;652;90;90;1487;437571;437571;164.74;164.74;111.32;111.32;41.95;41.95;180.7;180.7;113.43;113.43;23.87;23.87;2.85;2.85;0.11;27;27;138.1;138.1;178;178;93.49;93.49;224.51;224.51;204.43;204.43;113.57;113.57;165.73;165.73;70.56;70.56;81.71;81.71;2030;1499;2639;2845;2;2;1;1
! & ??? & rane;!;6;4;66.67;3076;512.67;15;2.5;2;0.33;4;0.67;29;4.83;29;4.83;12;2;8;1.33;51.72;378.87;50.17;11885;1980.83;7794;1299;4091;681.83;99;16.5;333;55.5;3721;620.17;2293;382.17;1428;238;30;5;125;20.83;201.72;33.62;272.15;45.36;863;143.83;1801;300.17;551;91.83;1562.41;2706344;451057.34;843.84;140.64;752.46;125.41;275.45;45.91;1152.72;192.12;642.34;107.06;76.7;12.78;48.74;8.12;0.12;421;70.17;919.7;153.28;890.4;148.4;427.38;71.23;1444.38;240.73;1066.48;177.75;805.29;134.22;757.86;126.31;634.55;105.76;479.33;79.89;2630.94;2542.79;2686.87;3511.66;8;1.33;8;1.33
!Comingin & Incoming!;!Comingin;2;0;0.00;654;327;3;1.5;0;0;1;0.5;7;3.5;16;8;8;4;4;2;42.86;449.33;44.95;4558;2279;3132;1566;1426;713;37;18.5;123;61.5;1046;523;617;308.5;429;214.5;7;3.5;38;19;91.74;45.87;59.74;29.87;1144;572;479;239.5;87;43.5;1655.91;1017801;508900.5;257.54;128.77;240.54;120.27;164.85;82.43;364.58;182.29;268.25;134.12;30.12;15.06;18.6;9.3;0.13;144;72;287.3;143.65;342.7;171.35;197.61;98.81;465.33;232.66;429.54;214.77;233.4;116.7;318.01;159.01;214.73;107.36;130.2;65.1;2364.38;2118.26;2577.04;3166.15;4;2;0;0
barmanitan & RbdJellyfish & F_YIX;& Pilou;1;0;0.00;581;581;2;2;0;0;2;2;5;5;9;9;6;6;3;3;40;440;50.78;2337;2337;1168;1168;1169;1169;15;15;72;72;517;517;290;290;227;227;4;4;21;21;12.07;12.07;22.72;22.72;305;305;353;353;120;120;1569;481947;481947;144.73;144.73;143.37;143.37;48.09;48.09;189.3;189.3;128.25;128.25;18.63;18.63;3.97;3.97;0.13;30;30;153.7;153.7;155.4;155.4;111.26;111.26;224.93;224.93;218.55;218.55;117.64;117.64;151.2;151.2;115.89;115.89;69.1;69.1;2542;2402;2726;3127;1;1;0;0
herro & * Dylan.;* Dylan.;1;1;100.00;396;396;2;2;1;1;1;1;2;2;2;2;1;1;0;0;100;389;54.56;2238;2238;1436;1436;802;802;17;17;68;68;350;350;100;100;250;250;1;1;23;23;23.53;23.53;54.11;54.11;225;225;277;277;10;10;1534;479287;479287;156.22;156.22;129;129;50;50;181.04;181.04;138.66;138.66;15.52;15.52;6.65;6.65;0.13;50;50;141;141;176.1;176.1;81.29;81.29;253.94;253.94;218.81;218.81;116.42;116.42;157.89;157.89;110.49;110.49;66.85;66.85;2256;2276;2027;2920;1;1;0;0
gallker_ & *' GOD'''' & FnoTT-;*' GOD'''';1;1;100.00;770;770;4;4;0;0;2;2;5;5;5;5;3;3;1;1;80;507;47.54;2562;2562;2039;2039;523;523;24;24;49;49;555;555;372;372;183;183;4;4;17;17;41;41;35.45;35.45;771;771;382;382;27;27;1712;501914;501914;108.1;108.1;153.34;153.34;65.27;65.27;196.47;196.47;118.73;118.73;11.51;11.51;3.72;3.72;0.13;28;28;179.6;179.6;125.9;125.9;70.21;70.21;256.5;256.5;205.11;205.11;121.6;121.6;145.02;145.02;104.25;104.25;77.43;77.43;2585;2523;2653;3132;0;0;1;1
Stone & Papa Tango 10 & Eryx._;*Nabc;1;0;0.00;616;616;2;2;1;1;1;1;5;5;8;8;4;4;1;1;40;472;49.87;2679;2679;2016;2016;663;663;24;24;62;62;559;559;320;320;239;239;4;4;22;22;32.4;32.4;51.54;51.54;272;272;396;396;82;82;1513;512449;512449;167.92;167.92;164.24;164.24;36.8;36.8;212.74;212.74;142.63;142.63;13.6;13.6;7.56;7.56;0.17;45;45;152.5;152.5;199.4;199.4;109.2;109.2;259.76;259.76;223.54;223.54;145.43;145.43;153.42;153.42;129.99;129.99;85.56;85.56;2340;2130;2596;3275;1;1;0;0
She cheated & .;.;1;0;0.00;413;413;1;1;0;0;2;2;6;6;10;10;3;3;3;3;16.67;415;45.77;2443;2443;1880;1880;563;563;21;21;50;50;614;614;435;435;179;179;5;5;15;15;44.58;44.58;32.93;32.93;483;483;228;228;65;65;1593;517884;517884;151.44;151.44;137.87;137.87;58.6;58.6;219.38;219.38;116.46;116.46;12.07;12.07;7.83;7.83;0.12;64;64;185.3;185.3;149.4;149.4;73.3;73.3;274.61;274.61;220.76;220.76;127.15;127.15;167.13;167.13;110.55;110.55;70.22;70.22;2352;2261;2431;2979;3;3;1;1
..... & Rafffaal;.....;1;1;100.00;206;206;1;1;0;0;1;1;2;2;4;4;1;1;0;0;50;499;57.15;953;953;734;734;219;219;9;9;20;20;142;142;64;64;78;78;2;2;7;7;7.51;7.51;12.51;12.51;64;64;108;108;74;74;1642;183037;183037;49.17;49.17;48.66;48.66;25.07;25.07;60.96;60.96;59.82;59.82;2.13;2.13;2.18;2.18;0.08;26;26;59.4;59.4;51.7;51.7;29.73;29.73;93.18;93.18;84.96;84.96;37.94;37.94;70.3;70.3;27.42;27.42;25.18;25.18;2527;2684;2184;3101;0;0;0;0
