team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Girilh";;1;0;0.00;251;251;0;0;0;0;2;2;2;2;8;8;4;4;2;2;0;488;53.51;1679;1679;1274;1274;405;405;18;18;36;36;672;672;516;516;156;156;7;7;13;13;9.26;9.26;25.9;25.9;585;585;533;533;183;183;1591;327471;327471;90.2;90.2;82.26;82.26;49.15;49.15;133.72;133.72;77.28;77.28;10.6;10.6;4.2;4.2;0.11;37;37;99.3;99.3;108.6;108.6;74.55;74.55;147.06;147.06;131.71;131.71;89.89;89.89;91.18;91.18;74.69;74.69;55.73;55.73;2653;2355;2983;3754;1;1;1;1
" & washed penguin";;1;0;0.00;280;280;0;0;1;1;1;1;1;1;7;7;4;4;1;1;0;388;48.8;1607;1607;1260;1260;347;347;14;14;30;30;533;533;390;390;143;143;4;4;12;12;21.38;21.38;27.41;27.41;248;248;145;145;9;9;1463;374940;374940;141.27;141.27;96.03;96.03;38.82;38.82;163.26;163.26;108.43;108.43;4.43;4.43;5.13;5.13;0.15;34;34;113.9;113.9;145.7;145.7;88.42;88.42;187.7;187.7;179.61;179.61;96.52;96.52;130.02;130.02;90.09;90.09;56.02;56.02;2634;2439;2762;3134;0;0;0;0
" & Nauotit.";;1;1;100.00;637;637;3;3;1;1;1;1;6;6;7;7;2;2;1;1;50;397;52.28;2349;2349;1806;1806;543;543;24;24;48;48;406;406;294;294;112;112;4;4;11;11;38.92;38.92;58.04;58.04;354;354;595;595;106;106;1478;457017;457017;170;170;106.44;106.44;55.69;55.69;174.11;174.11;141.35;141.35;16.67;16.67;4.79;4.79;0.08;60;60;125.6;125.6;193.5;193.5;87.86;87.86;244.28;244.28;203.25;203.25;128.89;128.89;158.94;158.94;92.75;92.75;80.44;80.44;2081;2083;2038;2978;0;0;2;2
Magi-Cat & slimitty & G??;"  bW";1;1;100.00;388;388;2;2;1;1;0;0;3;3;0;0;0;0;0;0;66.67;358;38.47;771;771;576;576;195;195;6;6;17;17;262;262;200;200;62;62;2;2;6;6;16.36;16.36;18.52;18.52;21;21;30;30;6;6;1463;171309;171309;76.18;76.18;45.13;45.13;14.66;14.66;68.3;68.3;61.25;61.25;6.42;6.42;0.87;0.87;0.1;9;9;56.4;56.4;61.7;61.7;20.7;20.7;115.27;115.27;76.16;76.16;59.81;59.81;48.74;48.74;46.05;46.05;41.18;41.18;2374;2143;2309;2831;0;0;0;0
" Spyro . & Knowar21";" Spyro .";1;1;100.00;642;642;0;0;2;2;5;5;4;4;12;12;3;3;3;3;0;322;49.86;2583;2583;1800;1800;783;783;22;22;69;69;622;622;364;364;258;258;5;5;24;24;52.92;52.92;73.23;73.23;257;257;409;409;143;143;1422;643865;643865;266.13;266.13;154.8;154.8;61.59;61.59;280.29;280.29;187.42;187.42;14.8;14.8;10.15;10.15;0.22;47;47;222.3;222.3;241.9;241.9;124.04;124.04;358.48;358.48;319.68;319.68;162.83;162.83;247.61;247.61;133.54;133.54;101.36;101.36;1994;1998;1931;2481;1;1;0;0
xassist & !;!;1;1;100.00;406;406;1;1;2;2;0;0;4;4;1;1;0;0;0;0;25;527;50.39;2427;2427;1672;1672;755;755;19;19;52;52;491;491;261;261;230;230;4;4;13;13;43.33;43.33;23.25;23.25;495;495;227;227;138;138;1585;430880;430880;119.92;119.92;113.36;113.36;54.17;54.17;170.35;170.35;102.87;102.87;14.23;14.23;5.47;5.47;0.11;51;51;189.8;189.8;89.2;89.2;50.13;50.13;237.32;237.32;158.46;158.46;128.99;128.99;112.2;112.2;103.75;103.75;71.51;71.51;2718;3071;2148;3470;0;0;0;0
Txrpedo & ! Wolff;! Wolff;1;0;0.00;770;770;1;1;1;1;6;6;8;8;15;15;6;6;6;6;12.5;417;48.65;3638;3638;2650;2650;988;988;30;30;90;90;610;610;298;298;312;312;3;3;30;30;54.06;54.06;53.53;53.53;374;374;359;359;3;3;1497;685920;685920;247.03;247.03;194.28;194.28;61.73;61.73;284.16;284.16;199;199;19.88;19.88;7.84;7.84;0.16;49;49;228.2;228.2;237.3;237.3;151.56;151.56;351.48;351.48;306.42;306.42;196.55;196.55;219.94;219.94;163.55;163.55;119.55;119.55;2402;2196;2605;3009;0;0;0;0
KT2H & !desnan;!desnan;1;0;0.00;698;698;1;1;0;0;5;5;2;2;11;11;5;5;3;3;50;538;44.29;3007;3007;2340;2340;667;667;28;28;50;50;480;480;312;312;168;168;4;4;14;14;67.36;67.36;49.62;49.62;563;563;400;400;21;21;1626;480704;480704;132.15;132.15;116.25;116.25;74.6;74.6;171.78;171.78;142.21;142.21;9;9;9.02;9.02;0.17;52;52;161.3;161.3;151.1;151.1;90.88;90.88;232.11;232.11;235.48;235.48;87.52;87.52;197.34;197.34;77.83;77.83;47.82;47.82;2566;1613;3220;2874;3;3;3;3
!razybo & Melon Musk;!razybo;1;1;100.00;595;595;2;2;1;1;3;3;3;3;8;8;2;2;0;0;66.67;447;45.98;2584;2584;1969;1969;615;615;22;22;56;56;265;265;159;159;106;106;2;2;10;10;43.75;43.75;23.07;23.07;392;392;232;232;45;45;1546;504797;504797;152.5;152.5;161.48;161.48;34.81;34.81;226.43;226.43;110.68;110.68;11.68;11.68;5.95;5.95;0.13;46;46;195;195;143.1;143.1;81.95;81.95;266.84;266.84;249.88;249.88;98.91;98.91;182.95;182.95;109.45;109.45;56.39;56.39;3120;2801;3403;3377;0;0;1;1
"""Rektor"" Griefin' 0 & El Prebzki";"""Rektor"" Griefin' 0";1;0;0.00;331;331;0;0;1;1;2;2;2;2;9;9;3;3;3;3;0;448;49.62;2459;2459;1861;1861;598;598;23;23;58;58;637;637;501;501;136;136;6;6;15;15;30.12;30.12;59.52;59.52;585;585;486;486;117;117;1535;487228;487228;148.71;148.71;128.03;128.03;55.92;55.92;192.67;192.67;110.47;110.47;29.52;29.52;8.25;8.25;0.11;76;76;179.3;179.3;145.9;145.9;102;102;230.66;230.66;249.8;249.8;82.86;82.86;206.48;206.48;69.17;69.17;57.01;57.01;2920;2361;3347;3622;2;2;1;1
