team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
I Never Tried &  Static ;" Static ";1;0;0.00;755;755;2;2;0;0;5;5;4;4;11;11;3;3;0;0;50;414;53.81;2562;2562;1905;1905;657;657;24;24;54;54;470;470;363;363;107;107;4;4;10;10;44.92;44.92;47.56;47.56;109;109;531;531;39;39;1505;507529;507529;170.12;170.12;146;146;47.51;47.51;179.87;179.87;167.07;167.07;16.69;16.69;6.97;6.97;0.13;52;52;207.6;207.6;156.6;156.6;79.57;79.57;284.06;284.06;271.46;271.46;92.17;92.17;223.89;223.89;83.64;83.64;56.1;56.1;2423;2363;2491;3102;0;0;3;3
! & AlexnderXV;!;1;1;100.00;518;518;2;2;0;0;1;1;5;5;5;5;2;2;0;0;40;403;55.53;2479;2479;1750;1750;729;729;26;26;68;68;606;606;357;357;249;249;5;5;22;22;26.01;26.01;53.17;53.17;262;262;653;653;149;149;1653;548946;548946;134.35;134.35;160.92;160.92;59.39;59.39;206.54;206.54;134.55;134.55;13.58;13.58;7.81;7.81;0.12;66;66;170.8;170.8;171.6;171.6;98.86;98.86;255.81;255.81;214.31;214.31;140.36;140.36;154.9;154.9;118.21;118.21;81.56;81.56;2295;1988;2675;3014;1;1;0;0
Wycobe & !;!;1;0;0.00;362;362;1;1;0;0;1;1;1;1;11;11;3;3;1;1;100;347;54.96;2125;2125;1771;1771;354;354;22;22;33;33;533;533;375;375;158;158;4;4;15;15;17.63;17.63;87.23;87.23;370;370;458;458;41;41;1430;470627;470627;198.21;198.21;112.39;112.39;40.7;40.7;215.24;215.24;127.78;127.78;8.28;8.28;4.55;4.55;0.16;28;28;202.3;202.3;137.6;137.6;63.55;63.55;287.75;287.75;237.5;237.5;113.8;113.8;178.26;178.26;112.31;112.31;60.73;60.73;2898;2964;2809;3520;1;1;0;0
guima & PaSZ & Cris__v2;$avage . ,;1;0;0.00;464;464;1;1;1;1;1;1;3;3;6;6;4;4;3;3;33.33;439;56.9;2840;2840;2100;2100;740;740;26;26;59;59;755;755;436;436;319;319;5;5;21;21;24.44;24.44;59.84;59.84;506;506;500;500;76;76;1606;547961;547961;157.53;157.53;145.9;145.9;67.14;67.14;220.97;220.97;139.67;139.67;9.92;9.92;6.64;6.64;0.11;62;62;171.1;171.1;171.5;171.5;114.15;114.15;256.42;256.42;201.22;201.22;169.35;169.35;141.6;141.6;137.55;137.55;91.42;91.42;2571;2290;2874;3359;1;1;0;0
Li1Dae & $so. & AllStar_1306;$so.;2;2;100.00;1507;753.5;4;2;5;2.5;6;3;12;6;19;9.5;9;4.5;5;2.5;33.33;455.61;49.09;5981;2990.5;4548;2274;1433;716.5;57;28.5;131;65.5;781;390.5;200;100;581;290.5;2;1;55;27.5;102.64;51.32;91.89;45.94;555;277.5;1018;509;43;21.5;1668.27;1199101;599550.5;312.04;156.02;311.79;155.89;176.24;88.12;401.53;200.76;350.42;175.21;48.11;24.06;10.46;5.23;0.09;116;58;412.7;206.35;308.9;154.45;207.38;103.69;592.69;296.35;489.93;244.96;310.14;155.07;363.41;181.71;241.81;120.9;194.86;97.43;2469.21;2366.43;2553.85;3075.08;2;1;0;0
(LIVE)PlayReactRepeat & Its True;(LIVE)PlayReactRepeat;1;1;100.00;627;627;3;3;1;1;0;0;7;7;3;3;2;2;2;2;42.86;373;56.68;2352;2352;1830;1830;522;522;23;23;42;42;495;495;384;384;111;111;5;5;11;11;28.77;28.77;42.38;42.38;270;270;503;503;118;118;1511;507125;507125;178.74;178.74;144.93;144.93;42.2;42.2;206.85;206.85;140.29;140.29;18.72;18.72;6.17;6.17;0.23;27;27;181;181;167.4;167.4;81.74;81.74;284.12;284.12;217.95;217.95;147.91;147.91;166.19;166.19;112.91;112.91;86.76;86.76;2471;2334;2680;3570;4;4;1;1
sm.ower. & N-o-tFe4rless & *'P90PANDA*';*'P90PANDA*';1;0;0.00;178;178;0;0;0;0;1;1;2;2;13;13;5;5;4;4;0;476;38.07;2823;2823;1937;1937;886;886;21;21;75;75;808;808;507;507;301;301;6;6;28;28;67.53;67.53;26.09;26.09;773;773;162;162;92;92;1564;539853;539853;167.63;167.63;146.18;146.18;65.4;65.4;260.83;260.83;107.45;107.45;10.93;10.93;3.41;3.41;0.08;41;41;149.4;149.4;206.7;206.7;162.07;162.07;217.14;217.14;226.77;226.77;152.44;152.44;159.19;159.19;121.61;121.61;98.41;98.41;2327;2247;2399;3123;2;2;1;1
cl0wdy & *** Admiral;*** Admiral;3;2;66.67;1512;504;3;1;2;0.67;9;3;10;3.33;27;9;7;2.33;4;1.33;30;395.42;56.3;6841;2280.33;5761;1920.33;1080;360;71;23.67;102;34;933;311;586;195.33;347;115.67;8;2.67;33;11;160.48;53.49;169.42;56.47;650;216.67;1380;460;232;77.33;1562.49;1426043;475347.66;449.37;149.79;364.81;121.6;170.37;56.79;546.1;182.03;392.92;130.97;45.54;15.18;17.25;5.75;0.1;174;58;460.9;153.63;469.3;156.43;251.89;83.96;732.66;244.22;656.93;218.98;327.63;109.21;512.14;170.71;280.41;93.47;192.02;64.01;2604.06;2496.45;2766.97;3394.61;2;0.67;1;0.33
Star Fox & **** & ttvbackpackbros;****;1;0;0.00;409;409;1;1;1;1;2;2;4;4;12;12;5;5;5;5;25;419;46.3;2329;2329;1835;1835;494;494;22;22;45;45;730;730;551;551;179;179;6;6;16;16;38.22;38.22;55.64;55.64;685;685;375;375;48;48;1509;495059;495059;174.72;174.72;130.34;130.34;53.66;53.66;218.37;218.37;130.14;130.14;10.21;10.21;3.77;3.77;0.09;44;44;143.8;143.8;189;189;129.47;129.47;229.26;229.26;223.06;223.06;135.67;135.67;159.81;159.81;116.93;116.93;82;82;2220;2155;2242;3224;0;0;0;0
BumLego & ***** POI;***** POI;8;5;62.50;4955;619.38;15;1.88;5;0.62;26;3.25;26;3.25;73;9.12;19;2.38;11;1.38;57.69;391.06;52.62;18128;2266;13407;1675.88;4721;590.12;172;21.5;406;50.75;3138;392.25;1901;237.62;1237;154.62;29;3.62;101;12.62;206.08;25.76;442.22;55.28;2807;350.88;3869;483.62;952;119;1532.74;3951145;493893.12;1276.67;159.58;1054.87;131.86;448.4;56.05;1667.92;208.49;1022.9;127.86;89.12;11.14;63.09;7.89;0.14;466;58.25;1523.6;190.45;1132;141.5;578.5;72.31;2201.44;275.18;1970;246.25;809.97;101.25;1501.16;187.65;815.94;101.99;462.86;57.86;2808.16;2725.23;2897.1;3545.09;9;1.12;5;0.62
