team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
EnduringGuerila & NRD-HRD3 & ;;4;1;25.00;1613;403.25;2;0.5;4;1;8;2;9;2.25;39;9.75;21;5.25;11;2.75;22.22;322.08;46.63;5311;1327.75;4226;1056.5;1085;271.25;49;12.25;96;24;337;84.25;100;25;237;59.25;1;0.25;22;5.5;101.38;25.34;197.09;49.27;677;169.25;685;171.25;7;1.75;1487.6;1265856;316464;486.93;121.73;337.82;84.46;112.84;28.21;543.82;135.96;348.41;87.1;45.33;11.33;9.27;2.32;0.1;92;23;477.8;119.45;407.7;101.93;221.29;55.32;716.29;179.07;692.99;173.25;244.57;61.14;527.33;131.83;295.14;73.79;115.08;28.77;2587.95;2474.25;2663.79;3377.31;1;0.25;2;0.5
!Comingin & Incoming!;!Comingin;1;0;0.00;297;297;1;1;0;0;1;1;5;5;12;12;5;5;2;2;20;422;46.57;2269;2269;1530;1530;739;739;18;18;66;66;248;248;63;63;185;185;1;1;18;18;36.93;36.93;29.08;29.08;631;631;290;290;57;57;1618;509116;509116;135.91;135.91;132.85;132.85;72.14;72.14;196.3;196.3;128.79;128.79;15.81;15.81;7.24;7.24;0.13;55;55;171.9;171.9;154.2;154.2;89.1;89.1;251.81;251.81;222.71;222.71;118.2;118.2;160.64;160.64;109.88;109.88;70.38;70.38;2312;2322;2333;2976;5;5;2;2
!y. & merdy mop;!y.;1;0;0.00;256;256;1;1;0;0;0;0;2;2;6;6;4;4;3;3;50;374;55.37;1873;1873;1387;1387;486;486;18;18;42;42;628;628;496;496;132;132;6;6;12;12;47.2;47.2;31.39;31.39;198;198;420;420;110;110;1421;414942;414942;172.1;172.1;112.22;112.22;27.24;27.24;177.21;177.21;119.96;119.96;14.39;14.39;7.35;7.35;0.17;44;44;164;164;134.6;134.6;88.65;88.65;222.91;222.91;204.64;204.64;106.91;106.91;160.03;160.03;99.16;99.16;52.37;52.37;2243;2133;2372;3002;1;1;1;1
Marc Baptism & (zorbzibzarb)lookin for mamma;(zorbzibzarb)lookin for mamma;1;1;100.00;491;491;3;3;1;1;0;0;4;4;2;2;0;0;0;0;75;434;41.04;1056;1056;838;838;218;218;9;9;20;20;48;48;0;0;48;48;0;0;4;4;10.68;10.68;13.92;13.92;213;213;61;61;0;0;1365;173684;173684;86.49;86.49;47.21;47.21;8.4;8.4;80.16;80.16;55.64;55.64;6.3;6.3;3.57;3.57;0.19;19;19;63.7;63.7;72.4;72.4;30.97;30.97;111.13;111.13;86.88;86.88;55.22;55.22;51.35;51.35;56.15;56.15;34.6;34.6;2880;2716;3031;3927;0;0;3;3
*' FiveSeven & LtK_King;*' FiveSeven;1;0;0.00;328;328;1;1;1;1;0;0;4;4;6;6;4;4;2;2;25;444;51.77;2609;2609;2089;2089;520;520;26;26;50;50;666;666;458;458;208;208;8;8;18;18;53.78;53.78;41.2;41.2;160;160;260;260;130;130;1541;518798;518798;172.2;172.2;146.96;146.96;47.96;47.96;207.71;207.71;146.56;146.56;12.86;12.86;16.27;16.27;0.15;112;112;174.7;174.7;173.2;173.2;102.02;102.02;265.1;265.1;245.22;245.22;121.9;121.9;183.76;183.76;102.75;102.75;80.61;80.61;2612;2463;2752;3735;2;2;1;1
. & Larrydacuke6925;.;1;0;0.00;431;431;1;1;1;1;1;1;4;4;8;8;6;6;3;3;25;378;41.11;2390;2390;1769;1769;621;621;18;18;54;54;567;567;287;287;280;280;3;3;25;25;60.51;60.51;17.8;17.8;299;299;41;41;18;18;1591;560762;560762;170.94;170.94;151.77;151.77;67.27;67.27;219.72;219.72;154.8;154.8;15.45;15.45;6.67;6.67;0.12;54;54;144.3;144.3;211.5;211.5;137.25;137.25;252.72;252.72;245.89;245.89;144.08;144.08;184.27;184.27;120.48;120.48;85.23;85.23;2430;2125;2698;3010;1;1;0;0
. & reece_newell;.;1;0;0.00;204;204;0;0;1;1;0;0;1;1;10;10;2;2;0;0;0;492;53.15;2612;2612;2051;2051;561;561;27;27;53;53;702;702;518;518;184;184;6;6;17;17;24.82;24.82;26.85;26.85;304;304;663;663;87;87;1649;514259;514259;120.62;120.62;129.02;129.02;77.72;77.72;178.14;178.14;146.75;146.75;2.47;2.47;8.08;8.08;0.1;83;83;157.6;157.6;166.4;166.4;92.43;92.43;234.93;234.93;187.12;187.12;140.24;140.24;131.69;131.69;118.19;118.19;77.48;77.48;2496;2552;2454;3424;1;1;2;2
.LuigiBabe & Pouerre;.LuigiBabe;1;0;0.00;242;242;0;0;0;0;1;1;4;4;7;7;2;2;0;0;0;472;55.15;2574;2574;2012;2012;562;562;27;27;51;51;1009;1009;737;737;272;272;9;9;25;25;31.56;31.56;22.14;22.14;196;196;704;704;169;169;1518;482221;482221;147.55;147.55;150.8;150.8;34.75;34.75;205.74;205.74;120.23;120.23;7.12;7.12;12.93;12.93;0.11;114;114;135.3;135.3;191.1;191.1;129.35;129.35;203.75;203.75;178.56;178.56;154.54;154.54;131.31;131.31;99.07;99.07;102.71;102.71;1998;1737;2127;2902;5;5;1;1
Day  & ElBop107 & 0;0;1;0;0.00;450;450;1;1;0;0;2;2;3;3;5;5;3;3;1;1;33.33;378;49.88;2213;2213;1521;1521;692;692;17;17;56;56;516;516;269;269;247;247;3;3;23;23;37.21;37.21;48.55;48.55;134;134;195;195;44;44;1450;489768;489768;181.14;181.14;143.11;143.11;36.09;36.09;219.5;219.5;133.11;133.11;7.73;7.73;5.05;5.05;0.17;29;29;140.2;140.2;206;206;112.77;112.77;247.57;247.57;211.93;211.93;148.4;148.4;145.01;145.01;138.44;138.44;76.89;76.89;2443;2225;2639;3108;1;1;1;1
orochi 0_o & 00K0ngJul0an00;00K0ngJul0an00;1;1;100.00;724;724;3;3;1;1;2;2;5;5;9;9;3;3;1;1;60;430;46.6;2521;2521;1858;1858;663;663;21;21;52;52;271;271;126;126;145;145;2;2;13;13;53.61;53.61;26.87;26.87;497;497;249;249;76;76;1487;458679;458679;165.57;165.57;142.77;142.77;36.03;36.03;205.69;205.69;129.04;129.04;9.63;9.63;2.84;2.84;0.12;24;24;138.6;138.6;173.5;173.5;105.56;105.56;238.81;238.81;217.68;217.68;126.68;126.68;152.45;152.45;126.94;126.94;64.98;64.98;2704;2417;3016;3594;1;1;0;0
