team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"jayax_7 & ""MadOne"" & RIMa_Delta";"""MadOne""";1;0;0.00;539;539;1;1;0;0;4;4;5;5;12;12;5;5;3;3;20;401;45.72;2475;2475;1851;1851;624;624;21;21;54;54;601;601;389;389;212;212;5;5;18;18;85.54;85.54;15.62;15.62;258;258;266;266;110;110;1437;479669;479669;192.43;192.43;129.88;129.88;42.46;42.46;191.99;191.99;150.7;150.7;22.08;22.08;4.98;4.98;0.09;56;56;204.1;204.1;155.3;155.3;104.85;104.85;259.92;259.92;249.38;249.38;115.39;115.39;198.84;198.84;91.8;91.8;74.14;74.14;2288;2020;2605;2686;1;1;3;3
********** & $not;$not;1;0;0.00;702;702;2;2;0;0;4;4;3;3;10;10;3;3;1;1;66.67;446;55.17;2614;2614;1929;1929;685;685;23;23;64;64;298;298;100;100;198;198;1;1;18;18;36.29;36.29;19.52;19.52;153;153;277;277;7;7;1612;519647;519647;136.01;136.01;150.74;150.74;58.56;58.56;178.22;178.22;151.07;151.07;16.03;16.03;4.57;4.57;0.12;39;39;149;149;185.2;185.2;97.24;97.24;248.07;248.07;247.94;247.94;97.38;97.38;179.46;179.46;112.89;112.89;52.96;52.96;2135;1760;2565;2875;1;1;2;2
APELSIN & &&8.Mandarin&k&d&&&;&&8.Mandarin&k&d&&&;1;1;100.00;268;268;1;1;1;1;0;0;3;3;4;4;3;3;2;2;33.33;444;44.28;2348;2348;1935;1935;413;413;25;25;35;35;450;450;289;289;161;161;3;3;14;14;53.64;53.64;29.48;29.48;657;657;481;481;14;14;1567;443891;443891;136.32;136.32;137.51;137.51;45.2;45.2;221.73;221.73;89.42;89.42;7.89;7.89;6.01;6.01;0.18;33;33;143.6;143.6;146.8;146.8;91.92;91.92;227.11;227.11;189.87;189.87;129.17;129.17;145.67;145.67;108.66;108.66;64.7;64.7;3291;3186;3422;3725;0;0;0;0
' Fahad ' & Samer & Farhan2142;' Fahad ';4;1;25.00;1155;288.75;2;0.5;1;0.25;4;1;11;2.75;24;6;12;3;6;1.5;18.18;366.73;44.58;5966;1491.5;4152;1038;1814;453.5;53;13.25;161;40.25;1113;278.25;633;158.25;480;120;7;1.75;43;10.75;127.98;32;89.07;22.27;228;57;918;229.5;43;10.75;1481.96;1493092;373273;513.65;128.41;433.52;108.38;122.34;30.58;563.21;140.8;460.99;115.25;45.3;11.32;23.98;5.99;0.15;161;40.25;559.8;139.95;477;119.25;221.1;55.28;848.41;212.1;708.15;177.04;361.36;90.34;536.58;134.15;325.8;81.45;207.12;51.78;2401.16;2162.43;2585.63;2868.15;2;0.5;1;0.25
**** & CirrusBiz;****;1;1;100.00;378;378;2;2;0;0;0;0;5;5;2;2;1;1;0;0;40;450;49.99;1835;1835;1421;1421;414;414;17;17;38;38;330;330;220;220;110;110;3;3;10;10;25.53;25.53;27.19;27.19;370;370;293;293;80;80;1610;353246;353246;93.29;93.29;103.64;103.64;36.72;36.72;156.93;156.93;75.78;75.78;0.94;0.94;4.75;4.75;0.12;40;40;133.6;133.6;95.3;95.3;40.7;40.7;192.95;192.95;146.39;146.39;87.26;87.26;102.4;102.4;74.71;74.71;56.54;56.54;2174;1841;2510;2999;3;3;2;2
Sol & MerculesMilenial & phantum66;****** Bsolame;1;0;0.00;597;597;0;0;1;1;5;5;2;2;10;10;3;3;1;1;0;390;61.09;2466;2466;1776;1776;690;690;24;24;57;57;573;573;280;280;293;293;4;4;20;20;13.36;13.36;46.29;46.29;229;229;669;669;147;147;1493;475869;475869;165.21;165.21;135.4;135.4;36.47;36.47;214.96;214.96;109.23;109.23;12.9;12.9;7.23;7.23;0.11;64;64;166.6;166.6;163.3;163.3;77.52;77.52;259.56;259.56;200.56;200.56;136.53;136.53;147.15;147.15;109.43;109.43;80.5;80.5;2467;2262;2695;3360;0;0;1;1
******* & HeloJr;*******;1;0;0.00;381;381;0;0;1;1;2;2;4;4;9;9;4;4;4;4;0;340;57.07;2120;2120;1606;1606;514;514;18;18;46;46;234;234;72;72;162;162;1;1;15;15;54.24;54.24;71.03;71.03;134;134;227;227;39;39;1525;505508;505508;161.97;161.97;151.4;151.4;44.7;44.7;212.48;212.48;142.69;142.69;2.9;2.9;4.3;4.3;0.14;30;30;153.1;153.1;188.3;188.3;111.25;111.25;246.82;246.82;238.36;238.36;119.71;119.71;184.17;184.17;108.57;108.57;65.33;65.33;2725;2734;2685;3483;2;2;0;0
mc-mau5- & *******;*******;1;1;100.00;238;238;1;1;1;1;0;0;1;1;1;1;1;1;1;1;100;428;52.03;1716;1716;1387;1387;329;329;16;16;31;31;296;296;182;182;114;114;3;3;11;11;23.06;23.06;35.74;35.74;145;145;241;241;126;126;1466;297350;297350;113.76;113.76;80.47;80.47;23.81;23.81;124.31;124.31;88.13;88.13;5.6;5.6;4.09;4.09;0.13;31;31;125.6;125.6;83.8;83.8;46.66;46.66;171.38;171.38;109.4;109.4;108.64;108.64;71.1;71.1;78.75;78.75;68.19;68.19;2432;2147;2643;3367;2;2;2;2
******* & rxse.rl;*******;1;0;0.00;236;236;0;0;0;0;2;2;1;1;10;10;7;7;3;3;0;297;45.34;1821;1821;1234;1234;587;587;15;15;50;50;269;269;100;100;169;169;1;1;14;14;39.8;39.8;42.53;42.53;167;167;265;265;0;0;1424;433575;433575;188.87;188.87;118.56;118.56;30.38;30.38;214.3;214.3;108.01;108.01;15.5;15.5;5.1;5.1;0.2;26;26;153.3;153.3;169.1;169.1;84.94;84.94;252.86;252.86;249.46;249.46;88.34;88.34;191.83;191.83;96.09;96.09;49.88;49.88;2537;2650;2423;3090;1;1;3;3
ARandomTqbyee & A D K. & Harleyrlss;*******;1;0;0.00;398;398;1;1;1;1;2;2;2;2;10;10;5;5;2;2;50;415;44.8;1883;1883;1396;1396;487;487;18;18;35;35;339;339;100;100;239;239;1;1;14;14;39.8;39.8;32.96;32.96;176;176;403;403;0;0;1507;394254;394254;146.51;146.51;103.02;103.02;42.95;42.95;172.79;172.79;115.79;115.79;3.9;3.9;4.32;4.32;0.1;42;42;145.3;145.3;117.2;117.2;64.29;64.29;228.19;228.19;184.06;184.06;108.42;108.42;137.84;137.84;97.89;97.89;56.76;56.76;2857;2803;2906;3187;0;0;0;0
Norty & PuffTheSnob & G.FiveNine;*******;1;0;0.00;90;90;0;0;0;0;0;0;3;3;5;5;4;4;2;2;0;438;46.17;1869;1869;1236;1236;633;633;15;15;49;49;530;530;266;266;264;264;3;3;17;17;43.2;43.2;25.01;25.01;269;269;288;288;41;41;1553;366227;366227;109.22;109.22;100.99;100.99;40.26;40.26;132.35;132.35;99.33;99.33;18.79;18.79;2.86;2.86;0.07;39;39;109.2;109.2;123.6;123.6;87.4;87.4;163.07;163.07;142.23;142.23;108.24;108.24;92.35;92.35;88.46;88.46;69.66;69.66;2485;1692;2987;2972;0;0;0;0
******* & Pepegasus-_-;*******;1;1;100.00;512;512;0;0;2;2;3;3;1;1;6;6;1;1;0;0;0;368;59.42;2011;2011;1404;1404;607;607;20;20;49;49;539;539;342;342;197;197;5;5;19;19;15.91;15.91;70.89;70.89;201;201;616;616;168;168;1542;492364;492364;159.64;159.64;130.71;130.71;44.2;44.2;191.78;191.78;125.8;125.8;16.96;16.96;5.86;5.86;0.12;47;47;150.5;150.5;176.7;176.7;87.33;87.33;247.22;247.22;211.2;211.2;123.34;123.34;158.27;158.27;100.22;100.22;76.06;76.06;2473;2403;2574;3712;1;1;0;0
SamuMuzza12 & *******;*******;1;1;100.00;507;507;0;0;4;4;1;1;2;2;5;5;2;2;2;2;0;426;45.56;2005;2005;1609;1609;396;396;18;18;34;34;350;350;187;187;163;163;2;2;14;14;39.43;39.43;47.56;47.56;207;207;158;158;17;17;1617;463032;463032;125.15;125.15;130.27;130.27;56.73;56.73;167.92;167.92;137.82;137.82;6.41;6.41;2.12;2.12;0.14;15;15;150.4;150.4;147.4;147.4;82.71;82.71;229.43;229.43;205.41;205.41;106.73;106.73;150.33;150.33;102.54;102.54;59.27;59.27;2428;2341;2501;3384;1;1;3;3
ykko aioi & *******;*******;5;0;0.00;2250;450;6;1.2;2;0.4;7;1.4;19;3.8;46;9.2;20;4;12;2.4;31.58;376.03;50.57;10620;2124;8091;1618.2;2529;505.8;103;20.6;223;44.6;1438;287.6;725;145;713;142.6;8;1.6;65;13;126.98;25.4;257.65;51.53;841;168.2;1923;384.6;52;10.4;1434.44;2306352;461270.41;923.37;184.67;621.88;124.38;187.28;37.46;1027.35;205.47;653.63;130.73;51.56;10.31;34.13;6.83;0.12;295;59;945.9;189.18;703.9;140.78;480.71;96.14;1251.83;250.37;1195.12;239.02;537.41;107.48;928.95;185.79;489.86;97.97;313.74;62.75;2610.5;2389.15;2814.48;3399.38;2;0.4;7;1.4
******* & KalashiniKot;*******;1;1;100.00;506;506;2;2;0;0;1;1;7;7;4;4;0;0;0;0;28.57;378;56.67;1375;1375;1063;1063;312;312;14;14;29;29;394;394;303;303;91;91;4;4;8;8;8.82;8.82;29.93;29.93;74;74;341;341;96;96;1504;312419;312419;96.29;96.29;106.31;106.31;16.84;16.84;140.41;140.41;73.68;73.68;5.35;5.35;2.29;2.29;0.14;16;16;107.8;107.8;109.7;109.7;47.7;47.7;171.73;171.73;119.18;119.18;100.26;100.26;81.39;81.39;68.01;68.01;70.04;70.04;2302;2105;2684;2955;1;1;0;0
RAKHlM & *******;*******;1;0;0.00;184;184;0;0;0;0;1;1;0;0;6;6;4;4;1;1;0;386;45.78;2168;2168;1590;1590;578;578;18;18;52;52;295;295;200;200;95;95;2;2;8;8;60.1;60.1;31.77;31.77;284;284;228;228;0;0;1460;478974;478974;174.28;174.28;139.38;139.38;37.87;37.87;209.74;209.74;126.77;126.77;15.02;15.02;5.63;5.63;0.17;33;33;197;197;134.5;134.5;103;103;248.53;248.53;254.05;254.05;97.48;97.48;183.17;183.17;125.59;125.59;42.76;42.76;2427;2634;2330;2921;0;0;0;0
Dornauer0 & *******;*******;1;1;100.00;150;150;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;351;60.15;738;738;560;560;178;178;7;7;18;18;184;184;115;115;69;69;2;2;7;7;2.95;2.95;14.82;14.82;30;30;169;169;99;99;1444;145814;145814;51.89;51.89;54.85;54.85;5.24;5.24;72.6;72.6;39;39;0.38;0.38;0.66;0.66;0.11;6;6;56.5;56.5;48.5;48.5;26.04;26.04;85.94;85.94;64.82;64.82;47.16;47.16;53.1;53.1;25.13;25.13;33.76;33.76;3046;2972;3435;3311;1;1;1;1
Tyyphoon454 & *******;*******;5;3;60.00;2670;534;6;1.2;8;1.6;11;2.2;18;3.6;57;11.4;21;4.2;11;2.2;33.33;358.66;59.54;11894;2378.8;8920;1784;2974;594.8;111;22.2;280;56;1933;386.6;1022;204.4;911;182.2;14;2.8;85;17;136.42;27.28;333.4;66.68;1003;200.6;2498;499.6;454;90.8;1509.39;2531853;506370.59;879.2;175.84;773.26;154.65;187.94;37.59;1098.22;219.64;632.37;126.47;109.82;21.96;23.47;4.69;0.12;201;40.2;816.7;163.34;892.2;178.44;513.67;102.73;1326.72;265.34;1195.2;239.04;645.18;129.04;878.27;175.65;611.9;122.38;350.22;70.04;2645.89;2539.45;2790.09;3489.9;1;0.2;4;0.8
silencedbat_TTV & Ogre III & *******;*******;1;0;0.00;467;467;1;1;1;1;2;2;4;4;11;11;4;4;3;3;25;407;59.14;2482;2482;1933;1933;549;549;27;27;56;56;830;830;640;640;190;190;7;7;20;20;34.21;34.21;63.7;63.7;300;300;882;882;105;105;1607;533511;533511;140.51;140.51;148.71;148.71;64.34;64.34;173.35;173.35;145.7;145.7;34.52;34.52;4.92;4.92;0.14;35;35;162;162;172.9;172.9;110.93;110.93;242.64;242.64;200.06;200.06;153.51;153.51;150.7;150.7;110.23;110.23;92.64;92.64;2712;2479;3025;3306;1;1;0;0
Hey Rapido & *******;*******;1;1;100.00;923;923;2;2;1;1;5;5;4;4;11;11;1;1;1;1;50;471;54.45;2545;2545;1924;1924;621;621;24;24;58;58;640;640;377;377;263;263;4;4;24;24;37.98;37.98;36.1;36.1;364;364;505;505;36;36;1514;488537;488537;150.21;150.21;141.58;141.58;46.56;46.56;194.41;194.41;121.24;121.24;22.72;22.72;7.07;7.07;0.13;53;53;162.5;162.5;175.4;175.4;69.62;69.62;268.74;268.74;210.34;210.34;128.02;128.02;152.72;152.72;114.48;114.48;71.16;71.16;1964;1809;2146;2996;2;2;2;2
Whoo0oosh & adamhippo & *******;*******;1;1;100.00;706;706;2;2;0;0;3;3;8;8;8;8;2;2;1;1;25;479;51.12;2888;2888;2114;2114;774;774;25;25;70;70;702;702;336;336;366;366;4;4;33;33;26.15;26.15;25.29;25.29;388;388;436;436;76;76;1516;543354;543354;178.92;178.92;142.57;142.57;59.26;59.26;208.93;208.93;148.94;148.94;22.88;22.88;5.86;5.86;0.12;48;48;210.3;210.3;163.8;163.8;105.86;105.86;274.88;274.88;196.32;196.32;184.43;184.43;147.22;147.22;106.24;106.24;127.29;127.29;2567;2425;2738;3301;1;1;1;1
******* & TheLegendOf_Lz;*******;1;0;0.00;558;558;1;1;2;2;2;2;3;3;11;11;4;4;2;2;33.33;376;52.04;2365;2365;1787;1787;578;578;24;24;52;52;619;619;436;436;183;183;6;6;16;16;21.78;21.78;64.02;64.02;469;469;569;569;104;104;1503;522754;522754;195.15;195.15;135.69;135.69;47.75;47.75;230.31;230.31;118.99;118.99;29.3;29.3;7.76;7.76;0.16;49;49;198.8;198.8;154.8;154.8;105.55;105.55;273.05;273.05;248.21;248.21;130.38;130.38;191.5;191.5;108.21;108.21;78.89;78.89;2312;2064;2625;3097;1;1;0;0
TheChronicPainTV & Zero & *******;*******;1;1;100.00;553;553;3;3;0;0;1;1;5;5;6;6;1;1;1;1;60;410;60.29;2310;2310;1738;1738;572;572;22;22;55;55;337;337;168;168;169;169;3;3;16;16;23.87;23.87;20.64;20.64;232;232;487;487;143;143;1727;542779;542779;104.68;104.68;143.24;143.24;85.65;85.65;167.28;167.28;153.37;153.37;12.92;12.92;4.93;4.93;0.08;61;61;162.2;162.2;159.4;159.4;79.52;79.52;254.05;254.05;204.73;204.73;128.84;128.84;143.07;143.07;120.24;120.24;70.26;70.26;3157;2905;3495;4225;0;0;1;1
ari 0 & *******;*******;1;1;100.00;216;216;1;1;0;0;0;0;1;1;2;2;0;0;0;0;100;448;51.37;1238;1238;972;972;266;266;12;12;23;23;339;339;245;245;94;94;3;3;8;8;18.16;18.16;14.86;14.86;298;298;236;236;54;54;1578;253007;253007;73.44;73.44;66.27;66.27;32.47;32.47;103.96;103.96;60.67;60.67;7.54;7.54;1.42;1.42;0.12;12;12;83.3;83.3;82.6;82.6;41.9;41.9;130.27;130.27;94.48;94.48;77.7;77.7;65.03;65.03;62.11;62.11;45.03;45.03;2546;2439;2647;3119;0;0;0;0
TTV.TTraegomas & *******;*******;1;1;100.00;734;734;2;2;3;3;1;1;7;7;9;9;6;6;4;4;28.57;399;47.68;3109;3109;2368;2368;741;741;30;30;63;63;711;711;423;423;288;288;6;6;25;25;57.92;57.92;32.01;32.01;652;652;631;631;176;176;1548;600370;600370;200.45;200.45;172.64;172.64;67.18;67.18;280.39;280.39;144.35;144.35;15.53;15.53;6.38;6.38;0.1;66;66;197.5;197.5;209.9;209.9;123.82;123.82;316.46;316.46;294.64;294.64;145.64;145.64;220.43;220.43;130.79;130.79;89.06;89.06;2328;2341;2232;3288;0;0;3;3
******* & HH;*******;1;1;100.00;217;217;0;0;1;1;2;2;0;0;7;7;1;1;0;0;0;411;54.79;1423;1423;953;953;470;470;12;12;41;41;240;240;59;59;181;181;2;2;16;16;20.71;20.71;19.41;19.41;223;223;255;255;140;140;1490;268359;268359;104.42;104.42;60.32;60.32;33.52;33.52;135.94;135.94;58.8;58.8;3.53;3.53;3.75;3.75;0.13;30;30;89.1;89.1;103;103;63.72;63.72;134.55;134.55;112.83;112.83;85.44;85.44;84.22;84.22;54.83;54.83;59.21;59.21;2620;2786;2341;3314;2;2;1;1
******* & non.;*******;1;0;0.00;462;462;2;2;1;1;0;0;3;3;11;11;5;5;2;2;66.67;394;41.78;2578;2578;1993;1993;585;585;22;22;53;53;345;345;194;194;151;151;2;2;13;13;64.23;64.23;20.93;20.93;331;331;211;211;10;10;1500;532302;532302;188.34;188.34;156.72;156.72;46.44;46.44;203.4;203.4;163.85;163.85;24.26;24.26;6.26;6.26;0.09;69;69;153.4;153.4;212.4;212.4;99.78;99.78;291.72;291.72;274.09;274.09;117.41;117.41;207.76;207.76;114.57;114.57;69.17;69.17;2285;2029;2366;2855;1;1;1;1
********** & $not;**********;1;0;0.00;292;292;0;0;1;1;2;2;1;1;10;10;3;3;2;2;0;362;54.51;1992;1992;1350;1350;642;642;17;17;56;56;355;355;267;267;88;88;3;3;8;8;17.55;17.55;42.84;42.84;342;342;356;356;32;32;1478;484915;484915;183.01;183.01;116.88;116.88;51.66;51.66;190.93;190.93;144.73;144.73;15.88;15.88;7.56;7.56;0.13;57;57;190.8;190.8;149.5;149.5;92.38;92.38;259.17;259.17;266.63;266.63;84.92;84.92;212.89;212.89;93.32;93.32;45.34;45.34;2195;2317;2094;2875;1;1;0;0
Skeptic M1CK3Y & *************;*************;11;6;54.55;8288;753.45;28;2.55;4;0.36;29;2.64;56;5.09;80;7.27;30;2.73;16;1.45;50;457.53;49.66;28657;2605.18;21260;1932.73;7397;672.45;262;23.82;650;59.09;6677;607;4318;392.55;2359;214.45;50;4.55;196;17.82;442.88;40.26;506.94;46.09;3519;319.91;5013;455.73;630;57.27;1606.03;5522376;502034.19;1512.27;137.48;1538.32;139.85;657.25;59.75;1825.24;165.93;1613.34;146.67;269.27;24.48;61.86;5.62;0.08;721;65.55;1976.9;179.72;1580.2;143.65;1021.47;92.86;2686.38;244.22;2329.48;211.77;1378.38;125.31;1748.63;158.97;1123.34;102.12;835.87;75.99;2126.43;1885.5;2372.2;3524.9;19;1.73;7;0.64
************** & Fire_Shadow689;**************;1;0;0.00;452;452;1;1;0;0;2;2;3;3;7;7;2;2;1;1;33.33;316;50.3;1881;1881;1516;1516;365;365;16;16;34;34;609;609;449;449;160;160;5;5;16;16;39.72;39.72;97.17;97.17;92;92;126;126;81;81;1405;464646;464646;199.35;199.35;111.92;111.92;34.85;34.85;190.34;190.34;136.8;136.8;18.99;18.99;6.04;6.04;0.19;32;32;157.7;157.7;176.7;176.7;76.09;76.09;270.03;270.03;223.42;223.42;122.7;122.7;158.99;158.99;115.58;115.58;71.55;71.55;2233;1951;2567;2842;0;0;0;0
Quincy330 & ***************;***************;2;1;50.00;564;282;1;0.5;0;0;2;1;6;3;22;11;7;3.5;5;2.5;16.67;322.75;48.24;4290;2145;2649;1324.5;1641;820.5;31;15.5;144;72;1216;608;674;337;542;271;7;3.5;50;25;66.94;33.47;72.88;36.44;853;426.5;385;192.5;38;19;1425.18;1101867;550933.5;460.3;230.15;287.47;143.74;78.66;39.33;564.46;282.23;250.19;125.1;11.78;5.89;13.31;6.66;0.11;112;56;387.6;193.8;418.2;209.1;276.25;138.12;550.18;275.09;505.25;252.62;321.17;160.58;375.94;187.97;261.26;130.63;189.22;94.61;2759.68;2756.14;2779.07;3073.18;7;3.5;2;1
I_identifyasSSL & *SolarFloss*;*SolarFloss*;1;0;0.00;574;574;1;1;1;1;3;3;4;4;10;10;4;4;3;3;25;350;54.92;2026;2026;1480;1480;546;546;20;20;52;52;592;592;434;434;158;158;5;5;15;15;32.67;32.67;39.37;39.37;201;201;543;543;76;76;1462;497657;497657;195.68;195.68;138.24;138.24;36.71;36.71;224;224;130.27;130.27;16.36;16.36;7.08;7.08;0.12;58;58;189.2;189.2;154.6;154.6;95.74;95.74;274.89;274.89;225.99;225.99;144.64;144.64;160.62;160.62;132.19;132.19;77.82;77.82;2873;2808;2936;3524;0;0;0;0
ungy . & EmNoXx13 & NinjaKITTY;.;1;0;0.00;436;436;1;1;1;1;0;0;4;4;8;8;4;4;2;2;25;364;43.02;1846;1846;1159;1159;687;687;13;13;59;59;702;702;383;383;319;319;4;4;27;27;19.68;19.68;13.98;13.98;265;265;153;153;16;16;1496;453814;453814;171.72;171.72;126.27;126.27;34.7;34.7;200.11;200.11;124.68;124.68;7.89;7.89;3.62;3.62;0.16;23;23;146.7;146.7;184.5;184.5;115.88;115.88;216.81;216.81;196.39;196.39;136.29;136.29;151.86;151.86;92;92;88.83;88.83;1737;1509;1996;2623;0;0;2;2
. & POWER_Keven;.;1;0;0.00;368;368;1;1;0;0;1;1;3;3;12;12;8;8;6;6;33.33;488;44.73;2703;2703;2172;2172;531;531;26;26;48;48;392;392;299;299;93;93;3;3;8;8;36.86;36.86;38.97;38.97;315;315;443;443;4;4;1574;512211;512211;187.59;187.59;136.17;136.17;64;64;210.38;210.38;157.08;157.08;20.3;20.3;6.37;6.37;0.1;65;65;202.1;202.1;173.8;173.8;130.2;130.2;257.56;257.56;309.49;309.49;78.28;78.28;259.6;259.6;84.84;84.84;43.33;43.33;2430;2311;2489;2907;0;0;1;1
Mari cant reset & UrBasiicTwin & King Jobin II;.;1;1;100.00;643;643;1;1;1;1;5;5;1;1;9;9;2;2;1;1;100;435;54.14;2400;2400;1772;1772;628;628;21;21;55;55;638;638;471;471;167;167;6;6;14;14;32.33;32.33;28.97;28.97;333;333;344;344;128;128;1532;458973;458973;136.21;136.21;161.34;161.34;25.99;25.99;191.38;191.38;125.72;125.72;6.43;6.43;6.28;6.28;0.18;34;34;160.1;160.1;152.5;152.5;92.59;92.59;230.95;230.95;219.14;219.14;104.4;104.4;178.67;178.67;80.72;80.72;64.15;64.15;2860;2591;3095;3658;0;0;2;2
. & Da Brit99 & BaronDz;.;4;3;75.00;3065;766.25;17;4.25;1;0.25;4;1;26;6.5;20;5;7;1.75;7;1.75;65.38;406.16;48.67;8038;2009.5;5959;1489.75;2079;519.75;79;19.75;187;46.75;1980;495;1170;292.5;810;202.5;18;4.5;73;18.25;128.99;32.25;126.38;31.6;1220;305;1464;366;401;100.25;1569.04;1655478;413869.5;557.29;139.32;411.12;102.78;234.34;58.58;664.5;166.12;490.22;122.56;48.03;12.01;21.13;5.28;0.21;110;27.5;590.1;147.52;634.7;158.68;233.16;58.29;969.58;242.39;741.13;185.28;461.62;115.4;567.1;141.77;344.87;86.22;290.77;72.69;2123.72;1957.16;2294.54;3125.65;4;1;3;0.75
200IQ 'Y & .;.;1;1;100.00;761;761;5;5;0;0;1;1;5;5;3;3;0;0;0;0;100;488;47.79;2335;2335;1922;1922;413;413;22;22;38;38;382;382;257;257;125;125;3;3;11;11;29.41;29.41;25.87;25.87;425;425;274;274;45;45;1630;400534;400534;110.98;110.98;99.81;99.81;57.5;57.5;146.43;146.43;105.25;105.25;16.62;16.62;2.63;2.63;0.16;16;16;128.7;128.7;124.1;124.1;46.47;46.47;221.83;221.83;181.68;181.68;86.61;86.61;126.8;126.8;93.82;93.82;47.68;47.68;2327;2418;2112;2992;1;1;1;1
