team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   Stormzz    & SpritelyBobcat";"   Stormzz   ";1;1;100.00;696;696;1;1;0;0;5;5;6;6;7;7;0;0;0;0;16.67;484;43.69;2610;2610;2081;2081;529;529;24;24;48;48;577;577;408;408;169;169;6;6;14;14;57.76;57.76;42.59;42.59;204;204;341;341;191;191;1509;463335;463335;144.2;144.2;117.51;117.51;53.53;53.53;169.83;169.83;129.74;129.74;15.67;15.67;10.04;10.04;0.12;84;84;152.9;152.9;167.9;167.9;63.96;63.96;251.27;251.27;197.4;197.4;117.83;117.83;144.79;144.79;98.73;98.73;71.72;71.72;2708;2498;2968;3687;0;0;1;1
Yankee &  si.;" si.";1;0;0.00;498;498;1;1;1;1;2;2;5;5;14;14;5;5;3;3;20;404;45.53;2121;2121;1600;1600;521;521;18;18;46;46;454;454;272;272;182;182;3;3;16;16;40.24;40.24;31.5;31.5;198;198;217;217;27;27;1520;515192;515192;174.28;174.28;136.08;136.08;58.44;58.44;184.3;184.3;152.8;152.8;31.69;31.69;9.22;9.22;0.15;61;61;141.5;141.5;205.5;205.5;99.04;99.04;269.75;269.75;225.84;225.84;142.95;142.95;174.94;174.94;104.24;104.24;89.62;89.62;1965;1612;2189;2789;1;1;0;0
!_! & Bruisercrush;!_!;1;1;100.00;446;446;1;1;0;0;1;1;5;5;2;2;1;1;0;0;20;373;54.74;1981;1981;1485;1485;496;496;21;21;44;44;568;568;398;398;170;170;5;5;15;15;23.53;23.53;33.79;33.79;50;50;625;625;101;101;1349;420531;420531;198.62;198.62;119.22;119.22;12.22;12.22;215.72;215.72;109.63;109.63;4.7;4.7;13.07;13.07;0.15;87;87;168;168;159.7;159.7;73.7;73.7;256.35;256.35;215.55;215.55;114.5;114.5;168.87;168.87;85.45;85.45;75.74;75.74;2163;1890;2470;3264;0;0;1;1
08 yanited & ****** DaddyZike;****** DaddyZike;1;1;100.00;480;480;1;1;1;1;1;1;4;4;5;5;1;1;0;0;25;341;56.83;1831;1831;1418;1418;413;413;16;16;38;38;498;498;297;297;201;201;3;3;17;17;17.48;17.48;71.54;71.54;97;97;213;213;5;5;1440;456075;456075;178.67;178.67;121.98;121.98;32.35;32.35;185.22;185.22;134.36;134.36;13.42;13.42;3.85;3.85;0.14;27;27;127;127;197.4;197.4;94.61;94.61;238.39;238.39;175.89;175.89;157.1;157.1;131.06;131.06;104.36;104.36;97.58;97.58;2338;1899;2872;3264;0;0;0;0
majinbuu0 & *******;*******;1;0;0.00;54;54;0;0;0;0;0;0;1;1;3;3;3;3;0;0;0;273;65.97;698;698;478;478;220;220;7;7;20;20;180;180;145;145;35;35;3;3;4;4;3.63;3.63;31.33;31.33;131;131;240;240;167;167;1424;171958;171958;76.12;76.12;39.83;39.83;15.96;15.96;91.7;91.7;39.17;39.17;1.05;1.05;1.43;1.43;0.14;10;10;63.4;63.4;57.9;57.9;50.95;50.95;80.97;80.97;95.31;95.31;36.61;36.61;72.83;72.83;39.43;39.43;19.65;19.65;2643;1929;2999;3224;0;0;1;1
cauxi & ******* & dp2caniel;*******;1;0;0.00;398;398;2;2;0;0;1;1;2;2;6;6;4;4;2;2;100;443;48.05;2352;2352;1632;1632;720;720;18;18;55;55;621;621;377;377;244;244;4;4;15;15;44.65;44.65;32.28;32.28;209;209;203;203;22;22;1451;456367;456367;170.85;170.85;135.41;135.41;34.93;34.93;209.92;209.92;115.78;115.78;15.49;15.49;3.62;3.62;0.1;35;35;167.4;167.4;165;165;75.23;75.23;265.96;265.96;228.08;228.08;113.11;113.11;171.61;171.61;101.69;101.69;67.89;67.89;2646;2138;3127;3406;2;2;1;1
St1x_ & Calypso & Stella The Chicken (On KBM);*******;1;1;100.00;350;350;2;2;0;0;0;0;5;5;4;4;2;2;1;1;40;377;41.59;2045;2045;1267;1267;778;778;14;14;70;70;420;420;143;143;277;277;2;2;25;25;43.13;43.13;32.59;32.59;314;314;145;145;56;56;1518;500918;500918;156.84;156.84;154.8;154.8;40.87;40.87;208.96;208.96;131.79;131.79;11.75;11.75;7.96;7.96;0.11;74;74;166.6;166.6;174.4;174.4;93.13;93.13;259.38;259.38;207.45;207.45;145.06;145.06;142.78;142.78;125.11;125.11;84.62;84.62;2342;2322;2379;3060;0;0;0;0
pasdemin & dizfigur. & ZanMan0530;*******;1;0;0.00;0;0;0;0;0;0;0;0;0;0;8;8;5;5;0;0;0;0;35.07;12;12;0;0;12;12;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1227;11205;11205;73.37;73.37;12.4;12.4;15.47;15.47;74.81;74.81;26.43;26.43;0;0;6.5;6.5;1.3;5;5;48.5;48.5;73.6;73.6;50.13;50.13;51.11;51.11;100.2;100.2;1.03;1.03;96.6;96.6;4.63;4.63;0;0;3659;2453;3715;3089;0;0;1;1
******* & ventura_convexa7;*******;1;1;100.00;661;661;1;1;3;3;3;3;2;2;12;12;3;3;1;1;50;356;52.63;2251;2251;1492;1492;759;759;18;18;62;62;760;760;563;563;197;197;8;8;18;18;65.04;65.04;34.64;34.64;306;306;340;340;247;247;1471;500972;500972;187.03;187.03;138.66;138.66;44.82;44.82;212.84;212.84;125.72;125.72;31.95;31.95;8.45;8.45;0.11;77;77;131.6;131.6;219;219;138.58;138.58;231.92;231.92;230.82;230.82;139.69;139.69;175.83;175.83;97.05;97.05;97.62;97.62;2153;1874;2408;3191;0;0;0;0
******* & ArsenalFC_SUCK;*******;1;1;100.00;1077;1077;3;3;0;0;6;6;3;3;17;17;2;2;0;0;100;404;55.23;3383;3383;2618;2618;765;765;33;33;70;70;720;720;517;517;203;203;7;7;20;20;38.39;38.39;67.17;67.17;468;468;605;605;203;203;1498;693720;693720;234.78;234.78;181.14;181.14;70.83;70.83;295.87;295.87;186.78;186.78;4.09;4.09;21.22;21.22;0.13;158;158;256.6;256.6;217.1;217.1;110.81;110.81;375.94;375.94;326.78;326.78;159.97;159.97;270.78;270.78;111.07;111.07;104.9;104.9;2885;2911;2853;3478;2;2;1;1
