team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & $DChilliCatj k";;1;1;100.00;655;655;3;3;1;1;1;1;8;8;4;4;2;2;2;2;37.5;447;50.88;2132;2132;1685;1685;447;447;19;19;43;43;685;685;518;518;167;167;6;6;16;16;29.31;29.31;35;35;244;244;248;248;81;81;1639;414078;414078;110.15;110.15;117.58;117.58;50.44;50.44;159.74;159.74;109.04;109.04;9.4;9.4;3.36;3.36;0.12;27;27;105.3;105.3;157.1;157.1;57.83;57.83;220.34;220.34;149.18;149.18;128.98;128.98;103.79;103.79;91.11;91.11;83.27;83.27;2248;1767;2702;2860;0;0;0;0
" & Giljosaur";;1;0;0.00;201;201;0;0;0;0;2;2;2;2;7;7;4;4;1;1;0;336;51.47;1249;1249;836;836;413;413;10;10;40;40;368;368;278;278;90;90;3;3;10;10;14.12;14.12;34.58;34.58;74;74;185;185;30;30;1539;323421;323421;112.57;112.57;85.93;85.93;31.36;31.36;138.02;138.02;76.17;76.17;15.67;15.67;2.59;2.59;0.12;22;22;105.4;105.4;115.1;115.1;62.99;62.99;166.87;166.87;152.86;152.86;77;77;110.18;110.18;81.85;81.85;37.83;37.83;2478;2403;2555;3033;1;1;1;1
! & GERDADINE ZIDANE;!;1;0;0.00;305;305;1;1;0;0;2;2;2;2;8;8;3;3;1;1;50;403;51.71;1141;1141;887;887;254;254;11;11;24;24;269;269;209;209;60;60;3;3;5;5;16.01;16.01;26.81;26.81;192;192;220;220;90;90;1499;223472;223472;86.5;86.5;58.83;58.83;26.69;26.69;97.99;97.99;62.85;62.85;11.18;11.18;1.07;1.07;0.15;7;7;83.5;83.5;108.4;108.4;52.48;52.48;119.54;119.54;114.61;114.61;57.42;57.42;88.77;88.77;48.73;48.73;34.52;34.52;2516;1790;2683;3030;0;0;0;0
!!  & AsherOnTop;!! ;2;1;50.00;1081;540.5;1;0.5;3;1.5;4;2;7;3.5;18;9;6;3;4;2;14.29;481.93;48.72;7018;3509;5440;2720;1578;789;63;31.5;139;69.5;1251;625.5;470;235;781;390.5;5;2.5;69;34.5;79.56;39.78;109.19;54.6;1446;723;805;402.5;53;26.5;1631.12;1325766;662883;333.78;166.89;350.94;175.47;176.91;88.46;481.57;240.79;342.88;171.44;37.19;18.6;14.47;7.24;0.09;159;79.5;438.1;219.05;406.5;203.25;223.22;111.61;638.41;319.21;512.77;256.39;348.87;174.43;381.2;190.6;280.48;140.24;199.96;99.98;2354.5;2094.8;2563.48;3323.42;2;1;4;2
moaaz_928 & !ng;!ng;1;0;0.00;146;146;0;0;0;0;0;0;0;0;9;9;3;3;1;1;0;438;46.43;2134;2134;1606;1606;528;528;21;21;45;45;303;303;141;141;162;162;3;3;14;14;24.33;24.33;31.6;31.6;316;316;405;405;158;158;1594;448962;448962;120.9;120.9;122.42;122.42;52.56;52.56;173.46;173.46;111.72;111.72;10.71;10.71;3.9;3.9;0.09;43;43;138.6;138.6;145.8;145.8;110.52;110.52;185.36;185.36;204.47;204.47;91.41;91.41;151.46;151.46;87.96;87.96;56.45;56.45;2511;2525;2486;2834;1;1;2;2
" & $DChilliCatj k";$DChilliCatj k;1;1;100.00;537;537;2;2;1;1;2;2;5;5;4;4;2;2;0;0;40;371;61.93;1862;1862;1361;1361;501;501;20;20;50;50;393;393;217;217;176;176;4;4;17;17;16.8;16.8;44.07;44.07;224;224;666;666;154;154;1369;336060;336060;158.9;158.9;89;89;25.22;25.22;166.36;166.36;90.68;90.68;16.09;16.09;7.43;7.43;0.13;56;56;154;154;101.6;101.6;50.73;50.73;222.4;222.4;158.03;158.03;115.1;115.1;114.07;114.07;95.77;95.77;63.29;63.29;2517;2602;2502;2860;0;0;1;1
HammerMaO & JGB & Steak;%V#l  Dr. Seahorse;2;2;100.00;1243;621.5;2;1;2;1;8;4;8;4;17;8.5;6;3;3;1.5;25;386.72;46.91;4737;2368.5;3312;1656;1425;712.5;40;20;126;63;1175;587.5;700;350;475;237.5;8;4;42;21;113.91;56.96;94.74;47.37;392;196;465;232.5;63;31.5;1486.13;1026612;513306;380.36;190.18;300.52;150.26;74.64;37.32;427.04;213.52;287.66;143.83;40.82;20.41;21.95;10.98;0.11;202;101;362.3;181.15;343.5;171.75;197.96;98.98;557.55;278.77;481.66;240.83;273.86;136.93;340.07;170.04;267.53;133.76;147.9;73.95;2436.41;2355.4;2488.87;3291.41;1;0.5;2;1
Nils la terreur & &ender;&ender;1;1;100.00;440;440;2;2;0;0;1;1;4;4;7;7;1;1;0;0;50;456;45.27;2113;2113;1443;1443;670;670;17;17;51;51;315;315;191;191;124;124;2;2;11;11;40.47;40.47;28.93;28.93;232;232;269;269;8;8;1555;419408;419408;131.81;131.81;113.66;113.66;42.62;42.62;169.43;169.43;105.13;105.13;13.53;13.53;7.5;7.5;0.1;73;73;143.5;143.5;136.8;136.8;68.56;68.56;219.53;219.53;194.96;194.96;93.12;93.12;139.75;139.75;95.45;95.45;52.89;52.89;2791;2446;3256;3136;0;0;1;1
Trashziii & ' # carrotN#;' # carrotN#;1;1;100.00;546;546;2;2;2;2;1;1;3;3;7;7;4;4;2;2;66.67;418;65.18;2943;2943;2313;2313;630;630;33;33;61;61;762;762;566;566;196;196;8;8;18;18;17.99;17.99;50.97;50.97;203;203;1043;1043;247;247;1703;591631;591631;133.33;133.33;182;182;70.5;70.5;203.37;203.37;160.37;160.37;22.09;22.09;5.46;5.46;0.09;60;60;203.2;203.2;162.9;162.9;101.23;101.23;284.6;284.6;255.22;255.22;130.61;130.61;190.05;190.05;119.22;119.22;76.57;76.57;2969;2732;3201;3881;0;0;2;2
lil Snizzle & ' Fahad ';' Fahad ';1;1;100.00;655;655;4;4;1;1;0;0;6;6;0;0;0;0;0;0;66.67;368;47;2368;2368;1741;1741;627;627;23;23;57;57;295;295;156;156;139;139;2;2;13;13;55.16;55.16;54.69;54.69;274;274;525;525;43;43;1522;502848;502848;173.95;173.95;128.74;128.74;54.63;54.63;199.83;199.83;142.2;142.2;15.29;15.29;6.25;6.25;0.15;43;43;167.8;167.8;176.8;176.8;76.12;76.12;281.2;281.2;240.46;240.46;116.86;116.86;179.66;179.66;103.68;103.68;73.98;73.98;2567;2414;2625;3169;1;1;1;1
