team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TheyTookErrrJobs & *******;*******;1;1;100.00;490;490;1;1;1;1;4;4;2;2;9;9;1;1;0;0;50;355;55.37;1620;1620;1185;1185;435;435;15;15;38;38;537;537;352;352;185;185;4;4;16;16;27.9;27.9;42.87;42.87;116;116;330;330;48;48;1347;388168;388168;181.95;181.95;102.76;102.76;19.02;19.02;185.97;185.97;105.97;105.97;11.78;11.78;4.02;4.02;0.09;45;45;142.5;142.5;147.4;147.4;81.04;81.04;222.69;222.69;192.25;192.25;111.48;111.48;151.29;151.29;92.63;92.63;59.8;59.8;2477;2559;2355;3145;0;0;0;0
910 & Magus;910;1;0;0.00;215;215;0;0;0;0;2;2;2;2;10;10;4;4;3;3;0;393;42.87;1787;1787;1349;1349;438;438;17;17;38;38;274;274;131;131;143;143;2;2;13;13;48.36;48.36;52.02;52.02;377;377;291;291;9;9;1581;420335;420335;127.03;127.03;115.62;115.62;41.84;41.84;167.11;167.11;94.47;94.47;22.91;22.91;3.37;3.37;0.12;28;28;145.5;145.5;123.3;123.3;73.95;73.95;210.53;210.53;192.44;192.44;92.05;92.05;142.25;142.25;95.33;95.33;46.91;46.91;2816;2785;2775;3624;0;0;0;0
MrkK1. & ARandomTqbyee;ARandomTqbyee;1;1;100.00;636;636;2;2;0;0;3;3;5;5;5;5;1;1;1;1;40;428;54.65;2731;2731;2266;2266;465;465;26;26;46;46;870;870;685;685;185;185;8;8;19;19;51.87;51.87;50.29;50.29;319;319;307;307;53;53;1563;591726;591726;169.28;169.28;170.17;170.17;54.98;54.98;193.4;193.4;177.77;177.77;23.26;23.26;9.67;9.67;0.09;105;105;199.4;199.4;184.6;184.6;105.69;105.69;288.73;288.73;215.25;215.25;179.18;179.18;157.23;157.23;127.58;127.58;109.61;109.61;2275;2034;2511;3394;0;0;1;1
Adigi. & Albert;Adigi.;1;1;100.00;782;782;3;3;1;1;2;2;7;7;6;6;1;1;1;1;42.86;403;49.47;2281;2281;1797;1797;484;484;24;24;41;41;882;882;636;636;246;246;9;9;21;21;17.1;17.1;55.48;55.48;696;696;462;462;124;124;1574;503419;503419;145.9;145.9;139.03;139.03;58.34;58.34;215.21;215.21;111.99;111.99;16.08;16.08;5.33;5.33;0.15;36;36;160.7;160.7;175.2;175.2;113.96;113.96;229.32;229.32;187.5;187.5;155.77;155.77;144.07;144.07;95.65;95.65;103.56;103.56;2698;2502;3084;3290;2;2;3;3
Adigi. & Albert;Albert;1;1;100.00;649;649;2;2;1;1;2;2;4;4;6;6;1;1;0;0;50;394;46.46;2254;2254;1678;1678;576;576;21;21;50;50;585;585;363;363;222;222;5;5;19;19;51.68;51.68;28.55;28.55;313;313;436;436;136;136;1601;517730;517730;151.4;151.4;137.01;137.01;63.97;63.97;179.71;179.71;147.11;147.11;25.55;25.55;5.4;5.4;0.11;47;47;177.1;177.1;155.5;155.5;86.37;86.37;266;266;214.14;214.14;138.23;138.23;153.61;153.61;124.24;124.24;74.53;74.53;2096;2006;2102;3290;0;0;0;0
Uh Oh Peach & Ant-GG;Ant-GG;1;1;100.00;277;277;1;1;0;0;1;1;1;1;2;2;0;0;0;0;100;332;44.79;876;876;600;600;276;276;7;7;24;24;236;236;151;151;85;85;2;2;8;8;8.09;8.09;17.13;17.13;194;194;100;100;48;48;1510;194968;194968;79.57;79.57;45.35;45.35;22.7;22.7;95.6;95.6;50.63;50.63;1.39;1.39;3.83;3.83;0.09;41;41;75.2;75.2;53.1;53.1;23.17;23.17;124.45;124.45;93.44;93.44;54.19;54.19;66.68;66.68;50.31;50.31;30.63;30.63;2578;2692;2132;2788;0;0;0;0
ApClone3556 & Darckrayon;ApClone3556;1;0;0.00;488;488;1;1;0;0;1;1;4;4;8;8;2;2;1;1;25;361;46.36;2710;2710;1734;1734;976;976;19;19;88;88;681;681;376;376;305;305;4;4;27;27;58.62;58.62;41.21;41.21;506;506;179;179;29;29;1412;620618;620618;252.76;252.76;160.8;160.8;43.31;43.31;309.81;309.81;147.06;147.06;0;0;9.5;9.5;0.13;75;75;231.4;231.4;228.9;228.9;100.46;100.46;356.41;356.41;265.01;265.01;191.87;191.87;190.57;190.57;142.34;142.34;123.96;123.96;2190;2003;2380;2757;1;1;2;2
Vinichiro & Ayeooh;Ayeooh;1;0;0.00;616;616;2;2;1;1;2;2;5;5;9;9;4;4;2;2;40;466;54.06;3983;3983;2976;2976;1007;1007;39;39;90;90;1363;1363;956;956;407;407;11;11;36;36;39.13;39.13;64.08;64.08;434;434;957;957;151;151;1539;705193;705193;223.97;223.97;173.78;173.78;86.52;86.52;265.58;265.58;192.49;192.49;26.2;26.2;8.12;8.12;0.13;63;63;185.8;185.8;289.2;289.2;165.66;165.66;318.61;318.61;252.8;252.8;231.47;231.47;191.44;191.44;135.43;135.43;157.4;157.4;2090;1841;2363;3306;2;2;1;1
H8RRISON74 & Baziken;Baziken;1;0;0.00;546;546;0;0;0;0;6;6;1;1;10;10;3;3;3;3;0;355;48.52;2121;2121;1625;1625;496;496;20;20;42;42;811;811;679;679;132;132;8;8;11;11;50.68;50.68;45.57;45.57;450;450;376;376;120;120;1460;475873;475873;178.96;178.96;126.19;126.19;39.48;39.48;192.88;192.88;141.43;141.43;10.33;10.33;5.01;5.01;0.15;33;33;183.5;183.5;153.3;153.3;99.07;99.07;245.56;245.56;212.69;212.69;131.94;131.94;148.67;148.67;104.89;104.89;91.08;91.08;2718;2581;2790;3347;2;2;1;1
JEDCY-Gus & Biggyzi;Biggyzi;1;0;0.00;394;394;2;2;0;0;1;1;4;4;9;9;6;6;2;2;50;473;47.35;2341;2341;1836;1836;505;505;20;20;44;44;402;402;263;263;139;139;3;3;13;13;33.39;33.39;19.43;19.43;670;670;165;165;41;41;1624;481714;481714;139.38;139.38;128.9;128.9;62.48;62.48;194.64;194.64;130.04;130.04;6.07;6.07;6.15;6.15;0.11;54;54;144.9;144.9;157;157;94.76;94.76;236;236;210.48;210.48;120.28;120.28;142.81;142.81;113.88;113.88;74.07;74.07;2626;2339;2839;3075;1;1;0;0
