team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Mad_Julo";;1;1;100.00;468;468;1;1;2;2;1;1;4;4;8;8;3;3;2;2;25;351;47.85;2278;2278;1734;1734;544;544;21;21;47;47;737;737;564;564;173;173;6;6;15;15;85.48;85.48;30.09;30.09;92;92;381;381;40;40;1467;495228;495228;200.88;200.88;116.69;116.69;52.58;52.58;200.82;200.82;161.28;161.28;8.05;8.05;8.78;8.78;0.09;103;103;186.2;186.2;164.8;164.8;86.35;86.35;283.79;283.79;227.51;227.51;142.63;142.63;169.15;169.15;113;113;87.99;87.99;2400;2047;2739;3145;0;0;3;3
Salamupp &      d b   c;"     d b   c";1;0;0.00;422;422;0;0;1;1;3;3;2;2;11;11;3;3;0;0;0;400;42.34;2368;2368;1898;1898;470;470;20;20;41;41;523;523;386;386;137;137;4;4;12;12;79.84;79.84;19.77;19.77;265;265;101;101;13;13;1453;486634;486634;193.19;193.19;123.74;123.74;41.83;41.83;197.14;197.14;151.03;151.03;10.58;10.58;4.91;4.91;0.15;32;32;155.9;155.9;191.3;191.3;122.66;122.66;236.1;236.1;250.96;250.96;107.8;107.8;179.45;179.45;117.86;117.86;61.45;61.45;2140;2043;2131;2919;0;0;1;1
DAP4R & YMKO & JJOSHA_;" RWW[ 0";3;2;66.67;1235;411.67;3;1;4;1.33;2;0.67;9;3;24;8;7;2.33;6;2;33.33;460.76;39.39;7563;2521;5427;1809;2136;712;61;20.33;178;59.33;1830;610;1152;384;678;226;14;4.67;60;20;206.11;68.7;65.97;21.99;1145;381.67;681;227;254;84.67;1482.18;1438888;479629.34;500.82;166.94;387.08;129.03;155.26;51.75;535.41;178.47;468.82;156.27;38.91;12.97;20.37;6.79;0.14;147;49;462.5;154.17;542.9;180.97;317.93;105.98;725.22;241.74;676.01;225.34;367.16;122.39;494.49;164.83;347.86;115.95;200.83;66.94;2427.94;2292.18;2576.97;3160.02;1;0.33;3;1
Dr Bamboo & feight & Riseoo;"!8;L20""C30";1;1;100.00;838;838;2;2;2;2;7;7;4;4;10;10;2;2;1;1;50;417;50.59;2086;2086;1504;1504;582;582;19;19;46;46;166;166;80;80;86;86;1;1;8;8;23.01;23.01;51.88;51.88;329;329;425;425;29;29;1462;419438;419438;160.24;160.24;115.56;115.56;38.62;38.62;202.95;202.95;104.59;104.59;6.89;6.89;7.31;7.31;0.2;36;36;190.3;190.3;108.4;108.4;30.26;30.26;284.16;284.16;224.4;224.4;90.02;90.02;177.31;177.31;88.04;88.04;49.08;49.08;2625;2854;2523;2857;0;0;0;0
"""  oK ""  & Buttered Sausage";"""  oK "" ";1;1;100.00;248;248;0;0;2;2;1;1;1;1;3;3;0;0;0;0;0;440;59.91;1048;1048;869;869;179;179;13;13;18;18;340;340;268;268;72;72;3;3;8;8;20.15;20.15;18.01;18.01;141;141;376;376;45;45;1479;188364;188364;66.73;66.73;54.58;54.58;17.46;17.46;63.15;63.15;68.31;68.31;7.31;7.31;1.51;1.51;0.07;21;21;80;80;47.9;47.9;33.38;33.38;105.38;105.38;85.99;85.99;52.77;52.77;56.55;56.55;52;52;30.21;30.21;2699;2504;2606;3325;1;1;0;0
Niliusmart008 & $ $.  ;$ $.  ;1;0;0.00;469;469;1;1;2;2;1;1;3;3;10;10;8;8;3;3;33.33;378;39.26;2110;2110;1381;1381;729;729;17;17;63;63;587;587;389;389;198;198;4;4;17;17;39.16;39.16;11.28;11.28;107;107;318;318;10;10;1495;427999;427999;162.07;162.07;141.62;141.62;24.53;24.53;193.67;193.67;117;117;17.57;17.57;5.7;5.7;0.1;55;55;123.7;123.7;178.2;178.2;122.95;122.95;205.28;205.28;234.33;234.33;93.9;93.9;168.1;168.1;100.52;100.52;59.62;59.62;2448;2158;2694;3208;1;1;3;3
Galtra2 & $Eli$;$Eli$;1;0;0.00;465;465;1;1;0;0;3;3;4;4;16;16;6;6;4;4;25;477;46.94;2376;2376;1940;1940;436;436;20;20;39;39;318;318;200;200;118;118;2;2;10;10;38.04;38.04;30.08;30.08;250;250;63;63;0;0;1482;438341;438341;156.31;156.31;133.77;133.77;35.68;35.68;184.18;184.18;131.29;131.29;10.3;10.3;9.7;9.7;0.15;65;65;166.5;166.5;128.8;128.8;96.06;96.06;229.7;229.7;239.84;239.84;85.92;85.92;195.95;195.95;78.05;78.05;51.77;51.77;2433;2230;2564;3365;1;1;0;0
sateliteD & %?'TT?'%;%?'TT?'%;1;0;0.00;116;116;0;0;0;0;0;0;3;3;5;5;4;4;3;3;0;364;53.93;1287;1287;913;913;374;374;10;10;34;34;269;269;100;100;169;169;1;1;14;14;21.45;21.45;21.5;21.5;143;143;111;111;0;0;1422;277244;277244;105.71;105.71;90.11;90.11;15.3;15.3;126.21;126.21;82.17;82.17;2.75;2.75;1.87;1.87;0.11;17;17;127.6;127.6;69.3;69.3;49.37;49.37;161.75;161.75;134.66;134.66;76.46;76.46;94.36;94.36;78.55;78.55;38.21;38.21;2471;2436;2447;3080;0;0;1;1
(3 'DBD( AD37JFJ & crolex;(3 'DBD( AD37JFJ;1;0;0.00;194;194;0;0;0;0;0;0;1;1;8;8;3;3;1;1;0;357;42.04;1823;1823;1139;1139;684;684;13;13;60;60;351;351;200;200;151;151;2;2;13;13;53.27;53.27;24.86;24.86;96;96;187;187;6;6;1447;462982;462982;178.54;178.54;128.49;128.49;33.35;33.35;208.15;208.15;125.54;125.54;6.69;6.69;8.8;8.8;0.12;71;71;175;175;154.6;154.6;112.14;112.14;228.24;228.24;228.47;228.47;111.91;111.91;164.59;164.59;110.72;110.72;65.06;65.06;2466;2143;2699;2902;1;1;2;2
canvs. & Need help & Haxn.;*' Meli;1;1;100.00;495;495;0;0;3;3;3;3;3;3;7;7;3;3;1;1;0;314;48.06;1885;1885;1271;1271;614;614;14;14;56;56;473;473;300;300;173;173;3;3;16;16;45.63;45.63;35.98;35.98;151;151;150;150;0;0;1392;467820;467820;209.67;209.67;125.95;125.95;27.27;27.27;216.33;216.33;133.53;133.53;13.02;13.02;8.71;8.71;0.15;59;59;169.2;169.2;172;172;88.02;88.02;274.87;274.87;199.82;199.82;163.06;163.06;142.2;142.2;135.8;135.8;84.89;84.89;2415;2376;2407;3269;0;0;1;1
Flohsen & *'Nyo;*'Nyo;1;1;100.00;238;238;0;0;0;0;0;0;3;3;2;2;0;0;0;0;0;428;54.2;2353;2353;1808;1808;545;545;22;22;49;49;295;295;100;100;195;195;1;1;17;17;20.74;20.74;48.1;48.1;498;498;418;418;0;0;1632;494718;494718;121.62;121.62;121.71;121.71;68.2;68.2;188.44;188.44;108.12;108.12;14.98;14.98;6.42;6.42;0.1;62;62;171.5;171.5;139.2;139.2;73.59;73.59;237.94;237.94;204.99;204.99;106.54;106.54;162.42;162.42;78.76;78.76;70.35;70.35;2635;2250;2942;3327;0;0;2;2
*. & SkyWay;*.;1;0;0.00;560;560;2;2;1;1;1;1;8;8;13;13;6;6;2;2;25;425;38.67;2765;2765;2078;2078;687;687;23;23;60;60;421;421;160;160;261;261;2;2;23;23;74.18;74.18;45.3;45.3;404;404;234;234;47;47;1483;571546;571546;217.97;217.97;163.63;163.63;47.81;47.81;246;246;170.83;170.83;12.58;12.58;6.67;6.67;0.1;67;67;212.1;212.1;197.5;197.5;92.32;92.32;337.09;337.09;279.25;279.25;150.16;150.16;203.91;203.91;148.42;148.42;77.07;77.07;2891;2608;3117;3276;0;0;2;2
-[muldn.Diesl]- Nochat & fonsogm_;-[muldn.Diesl]- Nochat;1;0;0.00;471;471;1;1;0;0;3;3;5;5;9;9;4;4;3;3;20;469;46.77;2203;2203;1601;1601;602;602;18;18;54;54;720;720;586;586;134;134;6;6;12;12;43.93;43.93;23.72;23.72;281;281;129;129;13;13;1510;410929;410929;144.8;144.8;97.24;97.24;48.95;48.95;160.48;160.48;115.31;115.31;15.2;15.2;5.94;5.94;0.18;33;33;131.3;131.3;139.4;139.4;88.68;88.68;202.31;202.31;165.25;165.25;125.75;125.75;116.98;116.98;93.51;93.51;80.5;80.5;2454;2244;2661;3345;0;0;0;0
majahoo & Chocopute & konig0;.;1;0;0.00;132;132;0;0;0;0;1;1;1;1;8;8;4;4;3;3;0;516;44.86;1844;1844;1543;1543;301;301;17;17;25;25;296;296;187;187;109;109;2;2;9;9;30.37;30.37;31.99;31.99;74;74;156;156;12;12;1479;315539;315539;111.93;111.93;88.7;88.7;28.77;28.77;119.97;119.97;80.92;80.92;28.52;28.52;3.67;3.67;0.09;39;39;114.6;114.6;104;104;62.38;62.38;167.03;167.03;138.19;138.19;91.22;91.22;98.41;98.41;64.21;64.21;66.78;66.78;2091;1870;2225;3312;0;0;1;1
. & DanBerry062403;.;1;1;100.00;687;687;3;3;2;2;0;0;4;4;9;9;3;3;1;1;75;352;47.34;1904;1904;1380;1380;524;524;20;20;48;48;452;452;356;356;96;96;5;5;8;8;51.44;51.44;38.97;38.97;371;371;642;642;143;143;1542;467763;467763;151.28;151.28;125.2;125.2;57.27;57.27;175.04;175.04;146.55;146.55;12.15;12.15;6.86;6.86;0.12;56;56;182.5;182.5;151.1;151.1;75.6;75.6;258.15;258.15;240.37;240.37;93.38;93.38;177.84;177.84;95.23;95.23;60.68;60.68;2837;2575;3171;3568;0;0;6;6
MrRobot & .;.;3;1;33.33;1321;440.33;4;1.33;2;0.67;1;0.33;14;4.67;21;7;10;3.33;6;2;28.57;477.56;49.92;8065;2688.33;6228;2076;1837;612.33;73;24.33;156;52;1898;632.67;1377;459;521;173.67;15;5;48;16;169.55;56.52;117.24;39.08;1103;367.67;1137;379;135;45;1587.72;1505093;501697.66;421.24;140.41;406.31;135.44;192.44;64.15;503.63;167.88;451.89;150.63;64.46;21.49;14.62;4.87;0.16;96;32;458.5;152.83;504;168;321.63;107.21;698.37;232.79;636.13;212.04;383.87;127.96;471.61;157.2;315;105;233.37;77.79;2315.06;2109.41;2502.63;3142.64;3;1;1;0.33
Meidenregelaar. & .;.;1;1;100.00;587;587;3;3;0;0;0;0;6;6;1;1;1;1;1;1;50;582;46.34;2609;2609;2053;2053;556;556;25;25;49;49;798;798;552;552;246;246;7;7;21;21;52.45;52.45;25.12;25.12;420;420;463;463;147;147;1737;436600;436600;91.86;91.86;104.23;104.23;77.51;77.51;121.18;121.18;141.62;141.62;10.8;10.8;7.05;7.05;0.11;65;65;106.3;106.3;155.3;155.3;82.32;82.32;191.28;191.28;143.7;143.7;129.9;129.9;98.4;98.4;91.16;91.16;84.05;84.05;2349;1975;2916;3479;0;0;1;1
00 Lani & User-414b146aca;00 Lani;1;1;100.00;658;658;2;2;1;1;4;4;2;2;9;9;0;0;0;0;100;383;54.92;1221;1221;961;961;260;260;12;12;24;24;140;140;96;96;44;44;1;1;4;4;15.3;15.3;24.13;24.13;129;129;254;254;6;6;1462;279018;279018;102.79;102.79;79.52;79.52;23.32;23.32;111.38;111.38;76.91;76.91;17.34;17.34;3.13;3.13;0.12;26;26;101.8;101.8;88.3;88.3;54.39;54.39;151.23;151.23;150.6;150.6;55.02;55.02;119.47;119.47;61.9;61.9;24.25;24.25;2351;2133;2496;2942;0;0;0;0
0000 fv & ethannn99.;0000 fv;1;1;100.00;664;664;2;2;2;2;2;2;3;3;12;12;4;4;3;3;66.67;321;49.96;2214;2214;1701;1701;513;513;20;20;44;44;150;150;0;0;150;150;0;0;13;13;42.84;42.84;64.99;64.99;445;445;303;303;5;5;1503;533632;533632;196.61;196.61;148.02;148.02;52.01;52.01;223.43;223.43;151.82;151.82;21.38;21.38;2.7;2.7;0.07;40;40;196.9;196.9;179.1;179.1;89.11;89.11;307.53;307.53;284.51;284.51;112.13;112.13;225.45;225.45;114.7;114.7;56.49;56.49;2339;2310;2414;2985;0;0;0;0
