team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
!L12! & washed.;!L12!;1;0;0.00;669;669;1;1;2;2;4;4;3;3;13;13;6;6;2;2;33.33;388;52.88;2891;2891;1913;1913;978;978;22;22;82;82;365;365;109;109;256;256;2;2;25;25;45.03;45.03;39.96;39.96;385;385;320;320;97;97;1458;549846;549846;205.28;205.28;178.16;178.16;38.95;38.95;262.31;262.31;149.98;149.98;10.1;10.1;6.69;6.69;0.14;48;48;220.9;220.9;173.9;173.9;98.13;98.13;324.26;324.26;276.86;276.86;145.52;145.52;203.58;203.58;145.58;145.58;73.22;73.22;2561;2784;2395;3070;0;0;2;2
#Ox1Red# & WorldNinja022;#Ox1Red#;1;1;100.00;879;879;5;5;1;1;0;0;9;9;2;2;2;2;1;1;55.56;427;50.13;2802;2802;1936;1936;866;866;24;24;79;79;954;954;729;729;225;225;9;9;22;22;46.5;46.5;45.11;45.11;232;232;515;515;180;180;1586;568704;568704;177.1;177.1;159.12;159.12;63.15;63.15;200.73;200.73;172.39;172.39;26.25;26.25;8.28;8.28;0.11;78;78;167.4;167.4;208;208;92.05;92.05;307.32;307.32;221.13;221.13;178.24;178.24;162.01;162.01;122.7;122.7;114.66;114.66;2835;2516;3266;3546;0;0;0;0
eSlendie & Jus Alike & Notanoobmaster69;$QMKMMMMMMMM$;1;1;100.00;259;259;0;0;0;0;2;2;0;0;5;5;0;0;0;0;0;473;45.42;2489;2489;2052;2052;437;437;22;22;32;32;500;500;400;400;100;100;4;4;9;9;65.4;65.4;45.9;45.9;286;286;71;71;8;8;1526;442019;442019;130.93;130.93;123.53;123.53;45.69;45.69;174.17;174.17;117.78;117.78;8.2;8.2;3.94;3.94;0.1;39;39;142.3;142.3;163.9;163.9;78.82;78.82;221.34;221.34;174.52;174.52;125.64;125.64;134.09;134.09;88.51;88.51;77.55;77.55;2194;2095;2236;3445;0;0;0;0
ChinoooSZN & & Koya;& Koya;1;1;100.00;607;607;3;3;0;0;1;1;6;6;4;4;1;1;0;0;50;430;49.54;2292;2292;1580;1580;712;712;21;21;65;65;572;572;292;292;280;280;3;3;25;25;33.56;33.56;20.96;20.96;238;238;474;474;7;7;1474;473428;473428;172.09;172.09;120.74;120.74;47.8;47.8;204.27;204.27;115.99;115.99;20.37;20.37;7.34;7.34;0.11;66;66;176.4;176.4;152.3;152.3;100.43;100.43;240.19;240.19;202.72;202.72;137.91;137.91;144.24;144.24;114.34;114.34;82.04;82.04;2253;2117;2437;3041;1;1;1;1
&akuma & bbiisskkyy & ac0925;&akuma;2;1;50.00;769;384.5;1;0.5;3;1.5;4;2;4;2;12;6;5;2.5;3;1.5;25;418.32;53.53;3821;1910.5;2955;1477.5;866;433;34;17;80;40;773;386.5;431;215.5;342;171;5;2.5;30;15;55.09;27.55;83.96;41.98;606;303;501;250.5;75;37.5;1546.62;764459;382229.5;258.24;129.12;193.33;96.67;89.68;44.84;320.75;160.38;205.83;102.92;14.68;7.34;9.93;4.97;0.08;122;61;293.8;146.9;210.9;105.45;121.69;60.85;419.56;209.78;351.78;175.89;189.48;94.74;259.43;129.71;179.68;89.84;102.14;51.07;2637.64;2558.51;2683.4;3454.1;2;1;0;0
yazii & (LIVE)PlayReactRepeat & la.draco;(LIVE)PlayReactRepeat;1;1;100.00;812;812;4;4;0;0;1;1;8;8;7;7;3;3;0;0;50;396;52.35;2623;2623;2110;2110;513;513;26;26;47;47;798;798;571;571;227;227;7;7;19;19;35.13;35.13;59.71;59.71;224;224;509;509;128;128;1518;602010;602010;193.33;193.33;177.65;177.65;56.02;56.02;216.37;216.37;195.06;195.06;15.57;15.57;3.42;3.42;0.13;26;26;185.4;185.4;226.6;226.6;125.57;125.57;301.42;301.42;237.7;237.7;189.29;189.29;177.62;177.62;119.81;119.81;129.57;129.57;2363;2081;2590;3303;0;0;1;1
"*' Wave & febrezami ;)";*' Wave;1;1;100.00;582;582;3;3;0;0;1;1;4;4;8;8;2;2;0;0;75;398;49.27;2343;2343;1810;1810;533;533;21;21;46;46;656;656;440;440;216;216;5;5;19;19;45.18;45.18;48.08;48.08;537;537;289;289;59;59;1502;500767;500767;174.55;174.55;135.91;135.91;48;48;218.36;218.36;129.34;129.34;10.75;10.75;4.2;4.2;0.14;31;31;165.5;165.5;185.1;185.1;112.26;112.26;246.2;246.2;208.19;208.19;150.27;150.27;147.76;147.76;117.22;117.22;93.47;93.47;2366;2152;2568;3090;2;2;0;0
*' teilus 0 & Ahlrix;*' teilus 0;1;1;100.00;1059;1059;5;5;0;0;3;3;6;6;8;8;1;1;1;1;83.33;498;50.59;2738;2738;2063;2063;675;675;26;26;54;54;452;452;194;194;258;258;4;4;23;23;24.82;24.82;37.69;37.69;662;662;464;464;220;220;1662;565077;565077;131.48;131.48;165.16;165.16;69.12;69.12;186.07;186.07;154.22;154.22;25.46;25.46;5.13;5.13;0.08;63;63;168.8;168.8;183.2;183.2;97.02;97.02;268.74;268.74;204.73;204.73;161.03;161.03;146.32;146.32;126.34;126.34;93.1;93.1;2357;2349;2418;3154;0;0;0;0
<<<YaYaMapping>>> & ****** Remotian & Joe.Bartolozzi;****** Remotian;1;0;0.00;276;276;0;0;0;0;2;2;4;4;9;9;3;3;1;1;0;259;58.92;1577;1577;1110;1110;467;467;14;14;36;36;133;133;27;27;106;106;1;1;9;9;4.13;4.13;46.93;46.93;108;108;298;298;73;73;1310;389223;389223;206.33;206.33;84.03;84.03;23.31;23.31;197.04;197.04;107.34;107.34;9.3;9.3;7.05;7.05;0.12;61;61;171.2;171.2;132.1;132.1;59.26;59.26;254.42;254.42;216.41;216.41;97.27;97.27;164.69;164.69;105.71;105.71;43.28;43.28;2378;2182;2530;2705;0;0;2;2
Cosmic & *******;*******;1;1;100.00;435;435;0;0;2;2;2;2;4;4;9;9;2;2;1;1;0;308;50.35;1923;1923;1291;1291;632;632;17;17;57;57;455;455;182;182;273;273;2;2;25;25;24.22;24.22;40.81;40.81;182;182;424;424;25;25;1454;482458;482458;183.42;183.42;151.05;151.05;23.58;23.58;242.03;242.03;111.72;111.72;4.3;4.3;3.8;3.8;0.12;32;32;161.8;161.8;179.3;179.3;86.12;86.12;271.93;271.93;226.19;226.19;131.86;131.86;173.66;173.66;102.61;102.61;81.78;81.78;2196;2245;2142;2769;1;1;1;1
