team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & BeastStriker8";;1;0;0.00;664;664;2;2;0;0;3;3;4;4;10;10;3;3;3;3;50;435;51.61;2492;2492;2038;2038;454;454;26;26;41;41;596;596;492;492;104;104;6;6;9;9;37.69;37.69;70.41;70.41;578;578;584;584;107;107;1463;477827;477827;176.49;176.49;132.57;132.57;39.52;39.52;225.09;225.09;111.87;111.87;11.62;11.62;6.14;6.14;0.17;36;36;149.3;149.3;183.7;183.7;78.39;78.39;270.19;270.19;241.63;241.63;106.95;106.95;183.61;183.61;98.88;98.88;66.09;66.09;2449;2238;2598;3477;0;0;1;1
"   C R L    & Love You Lyna";"   C R L   ";1;0;0.00;601;601;3;3;1;1;1;1;4;4;9;9;8;8;5;5;75;404;43;2359;2359;1765;1765;594;594;18;18;54;54;109;109;0;0;109;109;0;0;11;11;57.76;57.76;36.4;36.4;317;317;46;46;9;9;1542;502992;502992;179.9;179.9;142.41;142.41;53.06;53.06;188.32;188.32;172.13;172.13;14.91;14.91;4.78;4.78;0.21;23;23;151.6;151.6;175.5;175.5;108.31;108.31;267.05;267.05;244.84;244.84;130.52;130.52;175.67;175.67;119.9;119.9;79.8;79.8;2679;2648;2677;3383;0;0;0;0
" Zinx & 1tzIbra";" Zinx";1;0;0.00;460;460;1;1;1;1;1;1;5;5;7;7;4;4;2;2;20;293;44.83;1837;1837;1032;1032;805;805;13;13;71;71;302;302;87;87;215;215;1;1;20;20;44;44;24.48;24.48;261;261;271;271;12;12;1437;487880;487880;203.48;203.48;131.99;131.99;33.76;33.76;209.69;209.69;144.64;144.64;14.9;14.9;7.06;7.06;0.17;42;42;198.4;198.4;152.8;152.8;86.03;86.03;283.19;283.19;230.88;230.88;138.34;138.34;171.43;171.43;118.37;118.37;79.42;79.42;2385;2242;2490;2905;0;0;0;0
""" newo""  & JaspysPapa";""" newo"" ";2;0;0.00;631;315.5;2;1;0;0;3;1.5;5;2.5;13;6.5;7;3.5;4;2;40;361.86;48.57;3444;1722;2426;1213;1018;509;30;15;93;46.5;716;358;465;232.5;251;125.5;5;2.5;22;11;76.61;38.31;57.4;28.7;213;106.5;604;302;33;16.5;1470.08;775701;387850.5;285.12;142.56;213.94;106.97;64.72;32.36;345.66;172.83;193.77;96.89;24.35;12.18;10.66;5.33;0.09;118;59;260.2;130.1;286.2;143.1;172.71;86.35;391.08;195.54;385.76;192.88;178.02;89.01;288.63;144.32;170.32;85.16;104.84;52.42;2240.61;2134.56;2330.29;3348.45;1;0.5;2;1
AhmedYoussef6 & #E 9DJ 'D7('.);#E 9DJ 'D7('.);1;1;100.00;450;450;1;1;0;0;3;3;5;5;8;8;2;2;1;1;20;417;45.58;2580;2580;1801;1801;779;779;24;24;74;74;377;377;156;156;221;221;2;2;20;20;36.03;36.03;71.63;71.63;305;305;534;534;49;49;1558;532719;532719;173.95;173.95;139.65;139.65;62.06;62.06;209.64;209.64;147.91;147.91;18.11;18.11;7.79;7.79;0.08;93;93;196.3;196.3;156.1;156.1;95.97;95.97;279.68;279.68;247.78;247.78;127.87;127.87;168.55;168.55;133.33;133.33;73.77;73.77;2491;2654;2205;2891;2;2;2;2
christophe136 & % Morphew & Sean_Skywalker;% Morphew;1;0;0.00;378;378;0;0;0;0;3;3;3;3;8;8;4;4;2;2;0;372;38.8;1203;1203;732;732;471;471;8;8;41;41;268;268;100;100;168;168;1;1;14;14;23.89;23.89;11.33;11.33;61;61;67;67;0;0;1361;255950;255950;115.87;115.87;72.34;72.34;14.94;14.94;108.66;108.66;82.5;82.5;12;12;4.02;4.02;0.12;33;33;91.2;91.2;101.7;101.7;65.83;65.83;137.31;137.31;141.27;141.27;61.88;61.88;106.6;106.6;65.64;65.64;30.91;30.91;2346;2123;2494;3249;0;0;1;1
& & Diabetic;&;1;0;0.00;184;184;0;0;0;0;1;1;0;0;2;2;2;2;0;0;0;464;58.05;829;829;659;659;170;170;9;9;16;16;168;168;148;148;20;20;2;2;2;2;5.27;5.27;14.31;14.31;152;152;248;248;51;51;1606;170741;170741;47.28;47.28;46.18;46.18;20.64;20.64;67.23;67.23;43.9;43.9;2.97;2.97;2.13;2.13;0.18;12;12;62.3;62.3;44.5;44.5;25.87;25.87;88.23;88.23;92.42;92.42;21.67;21.67;85.05;85.05;21.18;21.18;7.87;7.87;2777;2143;3103;3237;0;0;1;1
choaglund1 & (LOA) Crunchy;(LOA) Crunchy;1;0;0.00;728;728;2;2;1;1;4;4;4;4;9;9;4;4;3;3;50;356;45.58;2196;2196;1544;1544;652;652;18;18;59;59;456;456;281;281;175;175;3;3;17;17;31.73;31.73;58.13;58.13;122;122;236;236;30;30;1498;506762;506762;186.96;186.96;151.68;151.68;30.54;30.54;199.87;199.87;146.83;146.83;22.48;22.48;6.33;6.33;0.11;58;58;174.1;174.1;173.9;173.9;97.22;97.22;271.95;271.95;239.27;239.27;129.91;129.91;168.43;168.43;137.76;137.76;62.99;62.99;2562;2247;2939;3318;0;0;0;0
cauxi & Maiki_DeMartina & YSEwiiTzz;*' GOD'''';1;0;0.00;158;158;0;0;0;0;1;1;0;0;5;5;1;1;0;0;0;523;50.24;1849;1849;1274;1274;575;575;16;16;36;36;584;584;299;299;285;285;3;3;11;11;22.37;22.37;34.89;34.89;490;490;333;333;8;8;1598;336725;336725;86.45;86.45;100.77;100.77;33.07;33.07;132.2;132.2;73.57;73.57;14.52;14.52;4.79;4.79;0.17;29;29;87.8;87.8;126.8;126.8;87.5;87.5;132.79;132.79;131.57;131.57;88.73;88.73;96.29;96.29;75.86;75.86;48.14;48.14;2236;2184;2294;3955;0;0;0;0
**** & TeKay Stitch;****;1;0;0.00;174;174;0;0;1;1;0;0;1;1;5;5;2;2;1;1;0;409;49.7;2392;2392;1984;1984;408;408;23;23;36;36;658;658;486;486;172;172;5;5;15;15;45.04;45.04;44.21;44.21;395;395;229;229;13;13;1537;496985;496985;146.11;146.11;147.26;147.26;48.11;48.11;202.93;202.93;125.8;125.8;12.76;12.76;6.86;6.86;0.11;64;64;161.2;161.2;172.2;172.2;115;115;226.48;226.48;202.88;202.88;138.61;138.61;133.07;133.07;119.64;119.64;88.77;88.77;2003;1993;2024;3022;0;0;0;0
