team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & TSROSE21TTV";"  ";1;0;0.00;403;403;1;1;0;0;3;3;4;4;8;8;4;4;2;2;25;411;49.8;1513;1513;1109;1109;404;404;13;13;35;35;160;160;100;100;60;60;1;1;5;5;25.57;25.57;17.19;17.19;114;114;199;199;0;0;1515;306489;306489;103.12;103.12;91.78;91.78;26.97;26.97;108.58;108.58;102.02;102.02;11.28;11.28;4.81;4.81;0.07;66;66;109.2;109.2;98.3;98.3;62.22;62.22;159.66;159.66;172.28;172.28;49.59;49.59;135.21;135.21;61.21;61.21;25.45;25.45;2417;2014;2607;3012;1;1;0;0
! & AlexnderXV & Benji r0;!;6;4;66.67;3355;559.17;14;2.33;3;0.5;9;1.5;31;5.17;35;5.83;11;1.83;7;1.17;45.16;379.84;52.64;11558;1926.33;8320;1386.67;3238;539.67;108;18;296;49.33;2838;473;1621;270.17;1217;202.83;22;3.67;105;17.5;141.57;23.59;323.05;53.84;821;136.83;2185;364.17;370;61.67;1556.96;2693104;448850.66;830.39;138.4;766.29;127.71;270.94;45.16;1053.74;175.62;709.9;118.32;103.98;17.33;41.94;6.99;0.12;353;58.83;1053.3;175.55;741.3;123.55;432.17;72.03;1435.45;239.24;1143.34;190.56;724.29;120.72;850.14;141.69;573.13;95.52;444.37;74.06;2546.08;2416.13;2712;3219.72;4;0.67;7;1.17
HezzoMeloJello & ! & Spectrenfernal;!;1;0;0.00;445;445;1;1;0;0;3;3;2;2;9;9;4;4;2;2;50;427;53.29;2091;2091;1635;1635;456;456;21;21;41;41;442;442;377;377;65;65;4;4;6;6;36.88;36.88;56.82;56.82;245;245;489;489;25;25;1527;431611;431611;140.83;140.83;115;115;46.31;46.31;167.12;167.12;122.87;122.87;12.14;12.14;1.88;1.88;0.13;15;15;167.9;167.9;129.4;129.4;68.37;68.37;233.77;233.77;213;213;89.14;89.14;162.42;162.42;84.56;84.56;55.16;55.16;2535;2029;2909;3010;1;1;2;2
! & Dxsh_RL & ttv-nbadallto;!;8;7;87.50;5108;638.5;17;2.12;6;0.75;19;2.38;36;4.5;64;8;17;2.12;6;0.75;47.22;381.11;47.34;17602;2200.25;11369;1421.12;6233;779.12;150;18.75;530;66.25;4166;520.75;2400;300;1766;220.75;31;3.88;142;17.75;292.9;36.61;284.96;35.62;2691;336.38;2539;317.38;421;52.62;1447.76;3837239;479654.88;1496.5;187.06;961.04;120.13;384.51;48.06;1782.5;222.81;959.22;119.9;100.31;12.54;87.86;10.98;0.1;876;109.5;1373.1;171.64;1310.3;163.79;666;83.25;2176.02;272;1851.95;231.49;990.08;123.76;1377.99;172.25;901.12;112.64;562.92;70.36;2283.99;2203.26;2344.2;3078.69;9;1.12;1;0.12
!ng & moaaz_928;!ng;1;1;100.00;453;453;1;1;1;1;1;1;4;4;6;6;3;3;1;1;25;396;41.27;2343;2343;1568;1568;775;775;18;18;69;69;585;585;322;322;263;263;4;4;23;23;44.74;44.74;23.19;23.19;207;207;242;242;77;77;1538;525145;525145;178.66;178.66;134.81;134.81;57.92;57.92;192.37;192.37;157.41;157.41;21.62;21.62;4.75;4.75;0.08;57;57;158.8;158.8;192.6;192.6;123.74;123.74;247.65;247.65;222.38;222.38;149.01;149.01;174.52;174.52;99.39;99.39;97.48;97.48;2762;2738;2811;3219;0;0;0;0
"reaper771 & ""VN";"""VN";1;0;0.00;552;552;1;1;1;1;2;2;8;8;10;10;4;4;1;1;12.5;410;53.26;3255;3255;2609;2609;646;646;34;34;58;58;830;830;629;629;201;201;9;9;17;17;61.91;61.91;46.47;46.47;619;619;804;804;270;270;1527;632654;632654;204.58;204.58;175.25;175.25;61.87;61.87;284.61;284.61;142.1;142.1;14.99;14.99;5.43;5.43;0.1;53;53;236.3;236.3;200.3;200.3;110.01;110.01;331.7;331.7;254.9;254.9;186.8;186.8;185.84;185.84;144.09;144.09;111.77;111.77;2316;2047;2540;3478;2;2;3;3
el_cado05 & '09'Q@=K9;'09'Q@=K9;1;0;0.00;529;529;2;2;1;1;1;1;4;4;9;9;6;6;1;1;50;334;51.44;2085;2085;1520;1520;565;565;19;19;49;49;443;443;243;243;200;200;3;3;17;17;38.02;38.02;46.08;46.08;61;61;396;396;60;60;1472;531778;531778;213.28;213.28;148.64;148.64;40.07;40.07;212.53;212.53;157.37;157.37;32.08;32.08;6.3;6.3;0.14;44;44;182.7;182.7;183.6;183.6;100.44;100.44;301.54;301.54;279.69;279.69;122.29;122.29;226.39;226.39;103.63;103.63;71.95;71.95;2802;2566;3052;3241;0;0;0;0
Nickmynicles & (?);(?);1;0;0.00;240;240;0;0;0;0;2;2;2;2;7;7;3;3;2;2;0;444;56.17;1766;1766;1394;1394;372;372;16;16;34;34;552;552;438;438;114;114;5;5;10;10;34.89;34.89;32.18;32.18;160;160;233;233;66;66;1561;355447;355447;94.04;94.04;105.81;105.81;38.86;38.86;135.22;135.22;92.9;92.9;10.59;10.59;4.55;4.55;0.09;48;48;90;90;146.4;146.4;104.84;104.84;133.86;133.86;143.44;143.44;95.26;95.26;91.68;91.68;89.84;89.84;57.18;57.18;1946;1759;2053;2836;1;1;0;0
*' tedal *' & xavid1d1d1d1d1d1d1;*' tedal *';1;0;0.00;527;527;1;1;1;1;1;1;3;3;5;5;3;3;1;1;33.33;317;53.69;1927;1927;1453;1453;474;474;18;18;44;44;571;571;461;461;110;110;6;6;10;10;38.76;38.76;52.46;52.46;275;275;368;368;146;146;1425;468050;468050;187.51;187.51;127.39;127.39;37.12;37.12;213.99;213.99;121.84;121.84;16.19;16.19;0.62;0.62;0.62;1;1;169;169;178.3;178.3;97.01;97.01;255;255;243.91;243.91;108.1;108.1;202.74;202.74;71.74;71.74;77.53;77.53;2211;2049;2450;3278;0;0;3;3
aboharl & *'Frillz*';*'Frillz*';1;0;0.00;345;345;0;0;1;1;2;2;5;5;11;11;6;6;3;3;0;348;56.98;2194;2194;1638;1638;556;556;19;19;50;50;565;565;337;337;228;228;4;4;21;21;22.46;22.46;33.79;33.79;184;184;279;279;65;65;1494;512527;512527;175.76;175.76;154.85;154.85;41.91;41.91;243.57;243.57;125.44;125.44;3.51;3.51;7.46;7.46;0.1;72;72;187.3;187.3;163;163;109.7;109.7;262.81;262.81;221.12;221.12;151.4;151.4;145.52;145.52;141.27;141.27;85.72;85.72;2880;2991;2804;3759;1;1;1;1
****** & Mellon;******;1;0;0.00;503;503;1;1;0;0;4;4;2;2;12;12;3;3;1;1;50;443;46.33;2358;2358;1662;1662;696;696;19;19;61;61;814;814;556;556;258;258;6;6;23;23;36.3;36.3;19.55;19.55;122;122;237;237;43;43;1466;444032;444032;157.04;157.04;129.64;129.64;31.89;31.89;172.15;172.15;130.29;130.29;16.12;16.12;7.63;7.63;0.11;71;71;150.2;150.2;158.7;158.7;92.15;92.15;226.41;226.41;179.36;179.36;139.2;139.2;144.49;144.49;81.19;81.19;92.88;92.88;2669;2593;2657;3446;0;0;2;2
Slimfox2064353 & ****** gang] Fentanyl Floyd;****** gang] Fentanyl Floyd;1;1;100.00;315;315;0;0;0;0;2;2;2;2;6;6;0;0;0;0;0;388;55.55;2056;2056;1620;1620;436;436;20;20;38;38;493;493;363;363;130;130;4;4;11;11;37.09;37.09;42.63;42.63;156;156;390;390;36;36;1489;454373;454373;143.35;143.35;141.66;141.66;28.14;28.14;175.39;175.39;131.07;131.07;6.69;6.69;7.71;7.71;0.13;61;61;144.9;144.9;168.3;168.3;74.74;74.74;238.41;238.41;200.5;200.5;112.65;112.65;143.72;143.72;102.66;102.66;66.77;66.77;2184;1925;2332;3062;1;1;1;1
****** qtrvrse & Hex Forbid;****** qtrvrse;1;1;100.00;458;458;0;0;3;3;3;3;1;1;8;8;3;3;0;0;0;433;48.38;2724;2724;2105;2105;619;619;22;22;48;48;323;323;193;193;130;130;2;2;11;11;60.29;60.29;49.97;49.97;494;494;130;130;9;9;1500;514924;514924;180.8;180.8;150.11;150.11;42.56;42.56;226.58;226.58;136.84;136.84;10.05;10.05;5.81;5.81;0.12;47;47;192;192;153.3;153.3;81.54;81.54;291.93;291.93;271.54;271.54;101.92;101.92;212.84;212.84;110.73;110.73;49.9;49.9;3241;2986;3318;3686;0;0;1;1
******* & EjecT__MoT;*******;1;0;0.00;470;470;2;2;0;0;0;0;6;6;5;5;5;5;3;3;33.33;350;56.44;2172;2172;1605;1605;567;567;22;22;50;50;659;659;481;481;178;178;7;7;16;16;15.83;15.83;42.9;42.9;491;491;612;612;230;230;1511;511765;511765;165.4;165.4;166.24;166.24;36.69;36.69;239.23;239.23;121.62;121.62;7.48;7.48;5.46;5.46;0.15;36;36;184.7;184.7;168.1;168.1;103.11;103.11;265.23;265.23;231.93;231.93;136.4;136.4;177.24;177.24;105.76;105.76;85.34;85.34;2234;2072;2372;2807;0;0;1;1
x7rueHoneyx & *******;*******;1;0;0.00;234;234;0;0;0;0;2;2;0;0;11;11;6;6;4;4;0;382;54.64;2268;2268;1860;1860;408;408;23;23;36;36;699;699;549;549;150;150;6;6;13;13;33.04;33.04;90.7;90.7;222;222;444;444;56;56;1425;461009;461009;192.84;192.84;132.66;132.66;28.54;28.54;214.12;214.12;129.54;129.54;10.39;10.39;7.24;7.24;0.15;47;47;182.2;182.2;155.8;155.8;103.41;103.41;250.63;250.63;240.79;240.79;113.26;113.26;190.21;190.21;102.15;102.15;61.68;61.68;2557;2430;2660;3361;3;3;2;2
******* & ImAGirlSimpOnMe;*******;1;0;0.00;679;679;1;1;0;0;3;3;7;7;9;9;4;4;3;3;14.29;443;50.03;2559;2559;2038;2038;521;521;22;22;47;47;526;526;392;392;134;134;4;4;12;12;51.68;51.68;44.29;44.29;538;538;190;190;13;13;1546;513475;513475;165.24;165.24;131.44;131.44;58.88;58.88;186.56;186.56;142.44;142.44;26.57;26.57;6.16;6.16;0.22;28;28;152.9;152.9;198.9;198.9;98.67;98.67;256.9;256.9;203.95;203.95;151.61;151.61;152.24;152.24;98.8;98.8;104.52;104.52;1912;1560;2226;2731;1;1;1;1
MUI Cloudzz & *******;*******;1;0;0.00;276;276;1;1;0;0;1;1;2;2;8;8;4;4;1;1;50;340;53.72;1794;1794;1088;1088;706;706;14;14;47;47;107;107;0;0;107;107;0;0;9;9;42.71;42.71;43.58;43.58;124;124;234;234;0;0;1487;427865;427865;153.48;153.48;128.01;128.01;24.47;24.47;180.87;180.87;110.28;110.28;14.81;14.81;5;5;0.13;39;39;142.4;142.4;151.1;151.1;89.43;89.43;216.53;216.53;216.53;216.53;89.43;89.43;160.97;160.97;102.57;102.57;42.42;42.42;2844;2329;3133;3220;0;0;0;0
cauxi & Allanpego & *******;*******;2;2;100.00;873;436.5;3;1.5;2;1;2;1;6;3;7;3.5;1;0.5;1;0.5;50;430.81;49.45;3608;1804;3031;1515.5;577;288.5;38;19;53;26.5;792;396;633;316.5;159;79.5;8;4;15;7.5;64.24;32.12;63.97;31.99;558;279;773;386.5;165;82.5;1554.04;687762;343881;206.48;103.24;192.78;96.39;73.68;36.84;263.35;131.68;189.26;94.63;20.32;10.16;5.63;2.82;0.11;59;29.5;201;100.5;259.9;129.95;144.8;72.4;328.14;164.07;286.32;143.16;186.62;93.31;205.97;102.99;159.5;79.75;107.47;53.74;2209.97;1790.81;2731.83;3151.51;0;0;1;0.5
