team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Tip toe & ;;1;1;100.00;710;710;3;3;1;1;1;1;6;6;7;7;3;3;1;1;50;380;57.16;2547;2547;1853;1853;694;694;24;24;62;62;443;443;236;236;207;207;3;3;18;18;41.83;41.83;25.1;25.1;214;214;460;460;12;12;1626;548911;548911;149.45;149.45;141.93;141.93;77.18;77.18;187.39;187.39;168.34;168.34;12.83;12.83;10.76;10.76;0.09;117;117;177.4;177.4;162.2;162.2;80.17;80.17;288.39;288.39;241.9;241.9;126.65;126.65;180.6;180.6;120.63;120.63;67.32;67.32;2987;2871;3176;3848;1;1;1;1
LilWilli51 & mantis_toboggan17 & Mr Frost791;"  ";1;1;100.00;461;461;2;2;0;0;1;1;6;6;6;6;1;1;1;1;33.33;402;54.19;1984;1984;1559;1559;425;425;19;19;39;39;416;416;282;282;134;134;4;4;12;12;35.74;35.74;27.48;27.48;139;139;357;357;118;118;1465;398843;398843;146.8;146.8;114.65;114.65;30.78;30.78;155.96;155.96;127.17;127.17;9.11;9.11;4.76;4.76;0.09;55;55;128.8;128.8;150.8;150.8;63.29;63.29;228.94;228.94;170.82;170.82;121.41;121.41;127.65;127.65;79.11;79.11;85.48;85.48;2402;2483;2354;3349;0;0;1;1
"   Stormzz    & A Great Chaos (Deluxe)";"   Stormzz   ";1;0;0.00;571;571;0;0;1;1;4;4;3;3;12;12;6;6;4;4;0;406;35.58;2355;2355;1590;1590;765;765;18;18;67;67;325;325;116;116;209;209;2;2;19;19;104.18;104.18;33.78;33.78;427;427;216;216;83;83;1532;537398;537398;176.8;176.8;149.6;149.6;61.79;61.79;220.34;220.34;149.69;149.69;18.16;18.16;8.77;8.77;0.1;84;84;188.1;188.1;174.5;174.5;94.19;94.19;294;294;266.84;266.84;121.35;121.35;203.54;203.54;113.17;113.17;71.48;71.48;2323;2060;2524;3238;2;2;1;1
" q lq & soup_lag";" q lq";1;0;0.00;446;446;0;0;1;1;3;3;1;1;8;8;4;4;3;3;0;452;58.29;2275;2275;1968;1968;307;307;29;29;28;28;251;251;137;137;114;114;2;2;10;10;24.27;24.27;67.86;67.86;403;403;861;861;69;69;1573;452962;452962;133.74;133.74;124.63;124.63;50.03;50.03;174.08;174.08;115;115;19.33;19.33;8.35;8.35;0.13;65;65;163.3;163.3;129.1;129.1;75.07;75.07;233.33;233.33;199.88;199.88;108.53;108.53;160.08;160.08;78.03;78.03;70.3;70.3;2203;1731;2689;3424;0;0;0;0
"""& bludyboi & ClassiestChicken";"""& bludyboi";1;0;0.00;478;478;2;2;0;0;2;2;3;3;11;11;6;6;4;4;66.67;337;33.94;1213;1213;640;640;573;573;7;7;51;51;196;196;98;98;98;98;1;1;9;9;25.13;25.13;11.76;11.76;179;179;81;81;11;11;1366;320544;320544;159.57;159.57;81.98;81.98;23.16;23.16;148.64;148.64;108.94;108.94;7.13;7.13;3.01;3.01;0.13;24;24;127.8;127.8;114.5;114.5;86.89;86.89;177.82;177.82;184.11;184.11;80.6;80.6;128.03;128.03;96.47;96.47;40.2;40.2;2246;1898;2543;3093;0;0;0;0
Deathwalking & (Sleeping Forest) Ringo;(Sleeping Forest) Ringo;1;1;100.00;952;952;4;4;2;2;2;2;7;7;8;8;5;5;3;3;57.14;390;53.76;2958;2958;2307;2307;651;651;29;29;61;61;305;305;67;67;238;238;1;1;22;22;22.9;22.9;71.62;71.62;319;319;628;628;52;52;1432;643148;643148;264.93;264.93;187.02;187.02;42.64;42.64;309.13;309.13;151.51;151.51;33.95;33.95;10.13;10.13;0.16;64;64;281.3;281.3;174.7;174.7;116.51;116.51;378.07;378.07;286.17;286.17;208.41;208.41;207.25;207.25;168.88;168.88;118.46;118.46;2617;2599;2632;3257;0;0;1;1
FLAPJACK & . & JackEmo_3;.;2;1;50.00;1589;794.5;7;3.5;3;1.5;1;0.5;12;6;16;8;11;5.5;4;2;58.33;475.43;44.72;5760;2880;4689;2344.5;1071;535.5;54;27;97;48.5;1805;902.5;1389;694.5;416;208;15;7.5;39;19.5;132.15;66.07;61.71;30.85;820;410;709;354.5;109;54.5;1590.63;1115092;557546;348.44;174.22;290.02;145.01;152;76;373.93;186.96;358.12;179.06;58.42;29.21;13.47;6.74;0.12;106;53;289.5;144.75;443.1;221.55;250.38;125.19;540.08;270.04;426.49;213.24;363.97;181.99;323.82;161.91;222.56;111.28;244.09;122.04;2064.97;1831.5;2311.4;2832.65;3;1.5;1;0.5
drlaggybro & hasbullaOnRL & DEFN0TASMURF .;.;2;2;100.00;2097;1048.5;12;6;1;0.5;3;1.5;16;8;12;6;6;3;4;2;75;348.51;41.32;4125;2062.5;2275;1137.5;1850;925;29;14.5;165;82.5;1362;681;729;364.5;633;316.5;8;4;57;28.5;98.56;49.28;47.48;23.74;225;112.5;678;339;77;38.5;1473.02;1029903;514951.5;405.17;202.58;314.85;157.43;59.95;29.97;507.38;253.69;259.05;129.52;13.53;6.76;27.76;13.88;0.08;361;180.5;424.1;212.05;367.6;183.8;163.35;81.68;616.61;308.3;494.76;247.38;285.2;142.6;387.6;193.8;210.59;105.29;181.77;90.88;2717.64;2640.69;2815.49;3355.03;0;0;3;1.5
Aladind & brusky & Dual;.;1;0;0.00;74;74;0;0;0;0;0;0;0;0;8;8;8;8;3;3;0;357;50.65;1616;1616;1220;1220;396;396;15;15;29;29;555;555;460;460;95;95;5;5;9;9;17.69;17.69;20.19;20.19;190;190;211;211;45;45;1468;317880;317880;176.33;176.33;82.49;82.49;38.23;38.23;199.99;199.99;89.85;89.85;7.2;7.2;4.37;4.37;0.09;48;48;143;143;162.8;162.8;139.09;139.09;157.96;157.96;188.77;188.77;108.27;108.27;146.92;146.92;78.2;78.2;71.92;71.92;3347;2208;3871;3170;0;0;0;0
Not_Demon_0 & Conf & LofiSD_YT;.;1;0;0.00;348;348;1;1;1;1;1;1;1;1;12;12;3;3;1;1;100;415;55.23;1403;1403;1099;1099;304;304;13;13;27;27;257;257;176;176;81;81;2;2;7;7;12.08;12.08;22.84;22.84;255;255;207;207;23;23;1531;299391;299391;124.97;124.97;77.61;77.61;38.37;38.37;154.99;154.99;73.17;73.17;12.78;12.78;1.8;1.8;0.14;13;13;118.9;118.9;106.4;106.4;63.58;63.58;177.36;177.36;169.35;169.35;71.59;71.59;144.09;144.09;60.62;60.62;36.24;36.24;2706;2579;2815;3204;0;0;0;0
