team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Dr Bamboo & Grumbo & KESKYLIA;;1;0;0.00;641;641;3;3;0;0;1;1;4;4;9;9;5;5;2;2;75;434;49.02;2937;2937;2314;2314;623;623;28;28;55;55;380;380;268;268;112;112;3;3;10;10;52.18;52.18;43.57;43.57;266;266;504;504;40;40;1656;589125;589125;150.99;150.99;168.03;168.03;74.53;74.53;195.16;195.16;170.47;170.47;27.92;27.92;5.49;5.49;0.09;64;64;196.1;196.1;169.8;169.8;96.9;96.9;296.64;296.64;270.86;270.86;122.69;122.69;196.04;196.04;119.29;119.29;78.22;78.22;2529;2333;2710;3066;0;0;0;0
"  tt & Bysoledthut & MP Maticosas";"  tt";2;1;50.00;1312;656;6;3;0;0;4;2;8;4;15;7.5;7;3.5;4;2;75;421.15;52.79;5566;2783;4554;2277;1012;506;56;28;94;47;530;265;166;83;364;182;3;1.5;35;17.5;87.27;43.63;119.83;59.92;1050;525;1099;549.5;147;73.5;1615.79;1187457;593728.5;328.76;164.38;317.16;158.58;154.48;77.24;447.18;223.59;313.52;156.76;39.71;19.85;9.48;4.74;0.18;56;28;397.5;198.75;350.5;175.25;184.78;92.39;615.64;307.82;516.72;258.36;283.69;141.85;403.89;201.95;217.98;108.99;178.55;89.28;2573.63;2328.99;2853.88;3081.11;1;0.5;2;1
Kimonorougeblanc &  g  AK;" g  AK";1;0;0.00;386;386;1;1;0;0;1;1;4;4;8;8;4;4;0;0;25;364;48.57;2278;2278;1717;1717;561;561;21;21;49;49;471;471;272;272;199;199;3;3;17;17;40.39;40.39;38.96;38.96;330;330;398;398;27;27;1606;539294;539294;144.33;144.33;158.86;158.86;59.58;59.58;218.87;218.87;137.86;137.86;6.03;6.03;6.46;6.46;0.1;64;64;165.1;165.1;191.5;191.5;105.55;105.55;257.22;257.22;221.14;221.14;141.63;141.63;160.25;160.25;117.76;117.76;84.76;84.76;2344;2140;2588;3355;1;1;1;1
CrazyDazzler & HavocGOTY & Pyxxoe;! ahmedmuffinz.;1;1;100.00;575;575;3;3;1;1;1;1;3;3;5;5;1;1;1;1;100;417;49.31;1876;1876;1369;1369;507;507;17;17;46;46;542;542;370;370;172;172;4;4;15;15;36.58;36.58;48.64;48.64;268;268;362;362;38;38;1589;419555;419555;124.91;124.91;104.2;104.2;55.94;55.94;171.7;171.7;109.24;109.24;4.11;4.11;3.16;3.16;0.17;19;19;119.2;119.2;146.1;146.1;67.88;67.88;217.17;217.17;177.6;177.6;107.44;107.44;132.55;132.55;84;84;68.5;68.5;2252;2187;2270;3187;0;0;0;0
gallker_ & !uHN0 & FL3TZ NEGAO;!uHN0;2;1;50.00;1366;683;4;2;2;1;5;2.5;9;4.5;22;11;6;3;1;0.5;44.44;479.87;46.15;5415;2707.5;4304;2152;1111;555.5;49;24.5;99;49.5;918;459;599;299.5;319;159.5;7;3.5;28;14;130;65;83.45;41.72;1654;827;540;270;104;52;1607.25;1067159;533579.5;312.47;156.24;267.1;133.55;144.06;72.03;442.76;221.38;262.45;131.23;18.43;9.22;12.27;6.14;0.12;96;48;358.9;179.45;339.5;169.75;205.72;102.86;517.92;258.96;453.69;226.85;269.95;134.98;337.3;168.65;234.88;117.44;151.46;75.73;2402.1;2314.55;2514.68;3057.3;0;0;3;1.5
"""  oK ""  & Buttered Sausage";"""  oK "" ";1;0;0.00;196;196;0;0;0;0;1;1;1;1;7;7;4;4;1;1;0;441;48.61;1737;1737;1258;1258;479;479;15;15;45;45;328;328;149;149;179;179;3;3;17;17;17.04;17.04;9.12;9.12;117;117;181;181;88;88;1482;370907;370907;123.91;123.91;121.33;121.33;20.78;20.78;151.3;151.3;101.94;101.94;12.77;12.77;7.22;7.22;0.11;63;63;128.4;128.4;127.2;127.2;106.11;106.11;159.91;159.91;156;156;110.02;110.02;112.81;112.81;85.45;85.45;67.75;67.75;2148;1818;2420;2850;3;3;0;0
"""MadOne"" & EinfaachWaagner";"""MadOne""";1;0;0.00;513;513;2;2;0;0;2;2;5;5;7;7;4;4;1;1;40;445;50.01;2872;2872;2283;2283;589;589;26;26;52;52;655;655;523;523;132;132;6;6;11;11;63.1;63.1;33.98;33.98;292;292;340;340;76;76;1489;503917;503917;175.78;175.78;154.32;154.32;38.34;38.34;211.64;211.64;130.48;130.48;26.32;26.32;4.57;4.57;0.1;47;47;178.3;178.3;174.1;174.1;88.46;88.46;279.99;279.99;225.7;225.7;142.75;142.75;150.49;150.49;135.48;135.48;82.48;82.48;2193;2063;2347;3126;0;0;2;2
Kingranch. & DaNube_35 & CrypticChange;##!-# Impostor -#!##;1;0;0.00;486;486;2;2;0;0;2;2;3;3;8;8;5;5;3;3;66.67;250;47.94;1551;1551;1012;1012;539;539;13;13;47;47;371;371;182;182;189;189;3;3;16;16;36.17;36.17;61.51;61.51;18;18;312;312;121;121;1330;437877;437877;245.07;245.07;103.42;103.42;25.94;25.94;254.05;254.05;118.42;118.42;1.97;1.97;4.93;4.93;0.15;33;33;191.9;191.9;173.6;173.6;108.24;108.24;266.2;266.2;266.06;266.06;108.37;108.37;203.86;203.86;106.75;106.75;63.83;63.83;2857;3195;2534;3304;0;0;2;2
$ $ $ $ $ $ & Chucks._.;$ $ $ $ $ $;1;1;100.00;763;763;2;2;3;3;1;1;6;6;3;3;2;2;0;0;33.33;452;45.32;2477;2477;2107;2107;370;370;23;23;35;35;435;435;259;259;176;176;3;3;17;17;45.23;45.23;35.41;35.41;278;278;207;207;49;49;1477;431837;431837;159.8;159.8;111.26;111.26;47.44;47.44;153.82;153.82;154.39;154.39;10.29;10.29;5.85;5.85;0.12;48;48;126.7;126.7;173.2;173.2;78.66;78.66;239.85;239.85;212.53;212.53;105.98;105.98;159.02;159.02;96.87;96.87;62.61;62.61;2152;1888;2493;3076;0;0;0;0
M1B & $$$$$$$$$$$$$$$$;$$$$$$$$$$$$$$$$;1;0;0.00;715;715;1;1;0;0;5;5;3;3;15;15;3;3;1;1;33.33;381;56.88;2293;2293;1748;1748;545;545;23;23;47;47;669;669;531;531;138;138;7;7;12;12;27.91;27.91;36.26;36.26;213;213;560;560;175;175;1398;452144;452144;189.6;189.6;132.86;132.86;22.83;22.83;173.7;173.7;159.95;159.95;11.64;11.64;3.6;3.6;0.11;34;34;153;153;237.7;237.7;101.21;101.21;244.09;244.09;245.36;245.36;99.94;99.94;191.12;191.12;89.64;89.64;64.54;64.54;1918;1776;1985;3853;0;0;1;1
