team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
alex & ;;1;1;100.00;530;530;1;1;1;1;3;3;3;3;10;10;2;2;2;2;33.33;396;53.28;2135;2135;1634;1634;501;501;19;19;46;46;726;726;554;554;172;172;6;6;17;17;32.31;32.31;26.6;26.6;250;250;297;297;65;65;1552;514754;514754;157.42;157.42;144.74;144.74;51.77;51.77;207.68;207.68;131.32;131.32;14.93;14.93;5.7;5.7;0.16;36;36;153.1;153.1;183.5;183.5;111.58;111.58;242.35;242.35;228.18;228.18;125.75;125.75;161.21;161.21;122.14;122.14;70.58;70.58;2728;2744;2703;3323;0;0;0;0
"   infinityy. <3 & GRDNO.";"   infinityy. <3";7;3;42.86;3563;509;14;2;4;0.57;8;1.14;33;4.71;56;8;25;3.57;10;1.43;42.42;383.95;47.81;15326;2189.43;10695;1527.86;4631;661.57;128;18.29;408;58.29;3724;532;2294;327.71;1430;204.29;28;4;130;18.57;302.56;43.22;203.58;29.08;960;137.14;1435;205;245;35;1439.1;3302551;471793;1346.35;192.34;911.03;130.15;240.94;34.42;1553.52;221.93;840.93;120.13;103.86;14.84;67.78;9.68;0.13;540;77.14;1229.8;175.69;1128.1;161.16;761.93;108.85;1736.38;248.05;1553.14;221.88;945.16;135.02;1157.32;165.33;766.61;109.52;574.38;82.05;2360.3;2254.71;2478.51;3059.88;9;1.29;9;1.29
Sid. & Andreas-dj_live &  R H clapsGRWa_;" R H clapsGRWa_";1;0;0.00;394;394;0;0;1;1;0;0;7;7;5;5;2;2;2;2;0;375;59.39;2208;2208;1649;1649;559;559;22;22;53;53;497;497;299;299;198;198;3;3;19;19;17.42;17.42;55.46;55.46;232;232;579;579;14;14;1435;494665;494665;193.26;193.26;130.76;130.76;37.53;37.53;205.06;205.06;137.61;137.61;18.87;18.87;8.14;8.14;0.1;85;85;179.2;179.2;177.1;177.1;93.65;93.65;267.9;267.9;204.05;204.05;157.5;157.5;143.04;143.04;119.05;119.05;99.46;99.46;2218;1982;2498;3088;0;0;0;0
"Dbeeee. & ""Big_Papi""";"""Big_Papi""";1;0;0.00;487;487;1;1;1;1;1;1;6;6;10;10;4;4;2;2;16.67;365;49.16;2483;2483;1947;1947;536;536;26;26;50;50;603;603;363;363;240;240;5;5;23;23;38.37;38.37;50.38;50.38;504;504;668;668;152;152;1571;557641;557641;170.48;170.48;153.3;153.3;60.4;60.4;212.31;212.31;148.72;148.72;23.15;23.15;5.47;5.47;0.12;45;45;162.9;162.9;200;200;113.27;113.27;270.91;270.91;227.93;227.93;156.25;156.25;161.37;161.37;128.37;128.37;94.44;94.44;2494;2156;2910;3618;1;1;0;0
Awptimus & &;&;1;1;100.00;729;729;5;5;0;0;1;1;6;6;3;3;1;1;1;1;83.33;393;50.39;1916;1916;1488;1488;428;428;17;17;40;40;294;294;145;145;149;149;2;2;15;15;33.72;33.72;63.63;63.63;471;471;245;245;78;78;1569;414499;414499;138.35;138.35;103.05;103.05;49.99;49.99;178.53;178.53;103.82;103.82;9.04;9.04;5.84;5.84;0.12;48;48;150.3;150.3;119.7;119.7;60.51;60.51;230.88;230.88;190.59;190.59;100.8;100.8;134.48;134.48;103.73;103.73;53.19;53.19;2848;2960;2710;3618;2;2;0;0
&[hENRIQ] a_& & Lukk-cas;&[hENRIQ] a_&;1;0;0.00;98;98;0;0;1;1;0;0;1;1;4;4;3;3;1;1;0;504;51.39;1306;1306;1169;1169;137;137;15;15;12;12;407;407;359;359;48;48;4;4;4;4;35.32;35.32;20.09;20.09;225;225;337;337;40;40;1626;195019;195019;54.48;54.48;50.76;50.76;31.74;31.74;79.56;79.56;55.65;55.65;1.77;1.77;2.94;2.94;0.2;15;15;50.8;50.8;69.4;69.4;58.4;58.4;78.58;78.58;77.32;77.32;59.66;59.66;48.91;48.91;52;52;36.07;36.07;2745;2483;2834;4107;1;1;0;0
&anabii & salutations;&anabii;1;1;100.00;342;342;0;0;2;2;2;2;0;0;7;7;0;0;0;0;0;340;44.24;1169;1169;765;765;404;404;9;9;34;34;223;223;132;132;91;91;2;2;8;8;35.48;35.48;13.34;13.34;114;114;134;134;67;67;1341;269346;269346;116.41;116.41;84.19;84.19;12.1;12.1;124.18;124.18;86.8;86.8;1.72;1.72;2.03;2.03;0.23;9;9;120.6;120.6;84.1;84.1;47.79;47.79;164.92;164.92;151.75;151.75;60.96;60.96;124.87;124.87;47.73;47.73;40.11;40.11;2252;2393;2095;2887;0;0;1;1
(Dead)DeToX & filipT22;(Dead)DeToX;3;2;66.67;1084;361.33;4;1.33;1;0.33;2;0.67;10;3.33;14;4.67;8;2.67;6;2;40;335.37;50.57;4915;1638.33;2848;949.33;2067;689;40;13.33;183;61;1208;402.67;494;164.67;714;238;6;2;61;20.33;62.64;20.88;82.64;27.55;276;92;1217;405.67;105;35;1443.89;1173672;391224;456.89;152.3;362.63;120.88;63.27;21.09;554.61;184.87;308.97;102.99;19.22;6.41;21.94;7.31;0.14;151;50.33;473.9;157.97;373.5;124.5;200.48;66.83;682.31;227.44;538.07;179.36;344.73;114.91;360.08;120.03;358.05;119.35;164.67;54.89;2785.76;2747.8;2780.69;3572.69;1;0.33;3;1
*' Grda & Sarcosarc;*' Grda;1;1;100.00;421;421;1;1;0;0;2;2;5;5;6;6;2;2;0;0;20;292;58.97;1469;1469;882;882;587;587;12;12;54;54;323;323;131;131;192;192;2;2;17;17;4.5;4.5;41.35;41.35;74;74;364;364;80;80;1492;428411;428411;130.51;130.51;153.74;153.74;21.85;21.85;175.42;175.42;118.29;118.29;12.4;12.4;4.43;4.43;0.13;34;34;121.4;121.4;173.5;173.5;80.83;80.83;225.27;225.27;183.14;183.14;122.96;122.96;140.54;140.54;89.95;89.95;75.61;75.61;2302;1934;2657;2755;0;0;0;0
*'Zeiden & Sebyu7;*'Zeiden;1;0;0.00;375;375;0;0;2;2;1;1;1;1;10;10;6;6;2;2;0;262;50.02;2244;2244;1715;1715;529;529;20;20;47;47;202;202;100;100;102;102;1;1;9;9;33.66;33.66;42.97;42.97;181;181;301;301;4;4;1325;467948;467948;236.18;236.18;149.52;149.52;11.85;11.85;256.51;256.51;131.6;131.6;9.44;9.44;4.08;4.08;0.19;22;22;178.8;178.8;196;196;129.93;129.93;267.62;267.62;299.19;299.19;98.36;98.36;225.33;225.33;129.48;129.48;42.74;42.74;2654;2995;2371;3302;0;0;2;2
ezakimak & ***;***;2;2;100.00;1034;517;3;1.5;1;0.5;4;2;10;5;10;5;2;1;1;0.5;30;358.69;52.24;3881;1940.5;2821;1410.5;1060;530;39;19.5;98;49;1255;627.5;780;390;475;237.5;12;6;44;22;57.42;28.71;37.98;18.99;792;396;1014;507;334;167;1521.35;945506;472753;306.96;153.48;269.06;134.53;79.18;39.59;388;194;238.33;119.16;28.88;14.44;12.93;6.47;0.1;133;66.5;272;136;361.1;180.55;217.02;108.51;438.18;219.09;333.82;166.91;321.37;160.68;223.62;111.81;215.98;107.99;215.6;107.8;2114.6;1975.82;2298.02;3196.21;3;1.5;2;1
**** old man & Parad0x_21;**** old man;2;1;50.00;1144;572;3;1.5;3;1.5;1;0.5;13;6.5;13;6.5;5;2.5;2;1;23.08;477.55;51.9;5215;2607.5;4008;2004;1207;603.5;52;26;104;52;1069;534.5;619;309.5;450;225;8;4;38;19;64.86;32.43;89.78;44.89;870;435;1187;593.5;181;90.5;1520.38;1007418;503709;322.03;161.01;273.4;136.7;116.11;58.06;391.76;195.88;286.93;143.46;32.86;16.43;9.63;4.82;0.13;76;38;334.9;167.45;358.8;179.4;193.15;96.57;518.39;259.2;450.91;225.45;260.63;130.32;339.09;169.54;206.61;103.31;165.85;82.93;2223.51;1965.62;2569.92;3257.77;2;1;1;0.5
Panda. & SpankieTheElf & ****** DxrkTV;****** DxrkTV;1;1;100.00;709;709;2;2;2;2;3;3;4;4;5;5;2;2;1;1;50;458;49.98;2275;2275;1748;1748;527;527;19;19;48;48;381;381;155;155;226;226;2;2;20;20;43.67;43.67;28.14;28.14;312;312;181;181;54;54;1552;442367;442367;138.4;138.4;116.55;116.55;56.18;56.18;144.2;144.2;138.03;138.03;28.9;28.9;5.77;5.77;0.08;68;68;139.6;139.6;151.8;151.8;87.46;87.46;223.67;223.67;191.18;191.18;119.96;119.96;135.62;135.62;103.46;103.46;72.06;72.06;2622;2392;2827;3304;1;1;1;1
MMoonM & ******* & sebasd1;*******;1;0;0.00;407;407;1;1;2;2;1;1;3;3;8;8;5;5;2;2;33.33;412;42.84;2289;2289;1580;1580;709;709;17;17;51;51;378;378;200;200;178;178;2;2;15;15;49.98;49.98;24.04;24.04;283;283;130;130;3;3;1439;487790;487790;208.39;208.39;128.63;128.63;39.72;39.72;250.7;250.7;117.95;117.95;8.08;8.08;5.32;5.32;0.19;28;28;189.7;189.7;166.7;166.7;111.51;111.51;265.22;265.22;252.59;252.59;124.15;124.15;194.57;194.57;107.4;107.4;74.77;74.77;2848;2764;2902;3352;1;1;0;0
******* & Salvator;*******;1;1;100.00;964;964;4;4;1;1;5;5;5;5;12;12;6;6;2;2;80;344;50.12;2397;2397;1798;1798;599;599;21;21;54;54;408;408;305;305;103;103;4;4;9;9;17.05;17.05;66.01;66.01;338;338;322;322;94;94;1450;534271;534271;233.15;233.15;148.44;148.44;41.9;41.9;276.45;276.45;130.55;130.55;16.49;16.49;4.18;4.18;0.17;24;24;237.5;237.5;144.2;144.2;67.12;67.12;356.38;356.38;313.09;313.09;110.4;110.4;229.79;229.79;136.96;136.96;56.75;56.75;2992;2839;3202;3329;0;0;1;1
