team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
! & F_in_Chat02;!;1;1;100.00;542;542;2;2;2;2;1;1;5;5;4;4;1;1;0;0;40;385;52.32;2197;2197;1598;1598;599;599;19;19;55;55;687;687;480;480;207;207;6;6;19;19;39.24;39.24;43.86;43.86;145;145;328;328;123;123;1647;497007;497007;118.72;118.72;158.56;158.56;43.98;43.98;188.87;188.87;109.28;109.28;23.11;23.11;6.74;6.74;0.11;61;61;160.7;160.7;143.8;143.8;79.53;79.53;241.74;241.74;158.52;158.52;162.75;162.75;92.47;92.47;135.94;135.94;92.86;92.86;2503;2296;2748;3364;1;1;0;0
"""  oK ""  & Buttered Sausage";"""  oK "" ";1;0;0.00;220;220;0;0;0;0;1;1;3;3;6;6;2;2;0;0;0;496;53.97;1996;1996;1594;1594;402;402;18;18;40;40;547;547;289;289;258;258;3;3;25;25;28.26;28.26;29.04;29.04;353;353;229;229;10;10;1599;351537;351537;90.34;90.34;99.06;99.06;42.43;42.43;125.09;125.09;101.31;101.31;5.42;5.42;5.63;5.63;0.1;58;58;87.5;87.5;136;136;88.68;88.68;143.14;143.14;104.89;104.89;126.94;126.94;68.67;68.67;74.98;74.98;88.18;88.18;2231;2023;2451;3481;5;5;0;0
Tay & shoota & Titou2903;$niggl$;1;1;100.00;548;548;2;2;1;1;1;1;6;6;5;5;1;1;1;1;33.33;388;51.47;2143;2143;1418;1418;725;725;21;21;50;50;715;715;525;525;190;190;7;7;17;17;58.19;58.19;46.81;46.81;593;593;714;714;186;186;1462;464658;464658;161.19;161.19;145.17;145.17;27.1;27.1;218.83;218.83;110.34;110.34;4.29;4.29;5.25;5.25;0.13;41;41;146;146;181.1;181.1;103.79;103.79;229.67;229.67;179.51;179.51;153.95;153.95;131.38;131.38;101.69;101.69;100.39;100.39;1941;1759;2126;3059;0;0;0;0
simaof & &Savitar &;&Savitar &;1;1;100.00;842;842;4;4;1;1;1;1;8;8;4;4;1;1;0;0;50;397;52.89;1970;1970;1106;1106;864;864;14;14;49;49;227;227;0;0;227;227;0;0;19;19;37.2;37.2;19.83;19.83;300;300;149;149;0;0;1485;432045;432045;156.66;156.66;111.03;111.03;41.71;41.71;176.3;176.3;114.68;114.68;18.42;18.42;6.35;6.35;0.12;51;51;171;171;129.4;129.4;74.98;74.98;234.43;234.43;194.32;194.32;115.09;115.09;139.08;139.08;99.94;99.94;70.39;70.39;2261;2146;2444;3179;0;0;1;1
*' Hi & GG *' & Hemmo0;*' Hi & GG *';1;0;0.00;630;630;1;1;0;0;3;3;4;4;7;7;3;3;3;3;25;384;57.5;2039;2039;1583;1583;456;456;20;20;40;40;603;603;413;413;190;190;5;5;17;17;49.4;49.4;48.85;48.85;175;175;435;435;94;94;1450;459188;459188;163.09;163.09;139.01;139.01;30.13;30.13;187.88;187.88;118.74;118.74;25.61;25.61;4.45;4.45;0.11;40;40;174.8;174.8;146.4;146.4;95.62;95.62;236.6;236.6;201.24;201.24;130.98;130.98;147.72;147.72;96.94;96.94;87.57;87.57;2494;2367;2728;3387;1;1;0;0
*' jolle & Giocantone97;*' jolle;1;1;100.00;467;467;1;1;3;3;1;1;3;3;8;8;1;1;1;1;33.33;417;48.85;2176;2176;1784;1784;392;392;20;20;34;34;316;316;184;184;132;132;2;2;11;11;55.61;55.61;48.25;48.25;312;312;158;158;15;15;1515;472214;472214;160.6;160.6;139.42;139.42;34.56;34.56;194.39;194.39;121.88;121.88;18.31;18.31;4.37;4.37;0.13;33;33;184.8;184.8;145.9;145.9;92.11;92.11;242.47;242.47;207.26;207.26;127.32;127.32;162.43;162.43;93.07;93.07;79.08;79.08;2548;2469;2671;2961;1;1;1;1
rshankman & -NP]0;-NP]0;1;1;100.00;765;765;2;2;1;1;3;3;6;6;11;11;3;3;3;3;33.33;462;51.7;3378;3378;2690;2690;688;688;34;34;56;56;737;737;514;514;223;223;6;6;13;13;58.35;58.35;45.22;45.22;291;291;672;672;85;85;1536;640710;640710;196.35;196.35;179.05;179.05;73.37;73.37;242.51;242.51;187.08;187.08;19.18;19.18;9.07;9.07;0.12;73;73;201;201;222.3;222.3;113.8;113.8;334.97;334.97;319.08;319.08;129.69;129.69;233.34;233.34;141.73;141.73;73.7;73.7;2162;2062;2267;3375;0;0;0;0
NitrOP [linux] & Juice Box & YTKiLlz_Telo;.;1;1;100.00;591;591;2;2;0;0;1;1;3;3;1;1;1;1;0;0;66.67;485;50.21;2583;2583;2071;2071;512;512;24;24;47;47;486;486;250;250;236;236;3;3;20;20;36.83;36.83;35.18;35.18;432;432;281;281;3;3;1577;498145;498145;135.18;135.18;146.48;146.48;50.5;50.5;194.45;194.45;127.86;127.86;9.85;9.85;8.13;8.13;0.12;70;70;136.4;136.4;194.4;194.4;83.06;83.06;249.1;249.1;194.88;194.88;137.28;137.28;140.66;140.66;109.74;109.74;81.76;81.76;2321;2352;2324;3329;3;3;2;2
skingley & . & Noweeeeddd;.;1;0;0.00;154;154;0;0;0;0;1;1;3;3;10;10;5;5;0;0;0;359;49.99;850;850;531;531;319;319;6;6;27;27;284;284;200;200;84;84;2;2;7;7;11.1;11.1;8.99;8.99;78;78;74;74;0;0;1454;215309;215309;90.16;90.16;53.2;53.2;16.29;16.29;102.33;102.33;56.3;56.3;1.01;1.01;1.5;1.5;0.17;9;9;83.2;83.2;67.2;67.2;42.31;42.31;117.33;117.33;105.07;105.07;54.57;54.57;89.82;89.82;35.94;35.94;33.89;33.89;2613;2790;2452;3436;0;0;0;0
Splashywasused & . & saiken;.;1;1;100.00;755;755;3;3;2;2;1;1;6;6;7;7;2;2;0;0;50;435;40.58;2772;2772;2092;2092;680;680;22;22;59;59;700;700;466;466;234;234;5;5;20;20;61.66;61.66;30.96;30.96;323;323;112;112;33;33;1597;558868;558868;159.69;159.69;157.73;157.73;61.84;61.84;206.21;206.21;152.32;152.32;20.73;20.73;5.02;5.02;0.09;53;53;144.6;144.6;217.9;217.9;109.59;109.59;269.67;269.67;231.68;231.68;147.58;147.58;176.53;176.53;101.49;101.49;101.24;101.24;2538;2314;2762;3373;1;1;0;0
. & akmo & TokareVvInMindD;.;17;15;88.24;9355;550.29;32;1.88;25;1.47;21;1.24;70;4.12;82;4.82;34;2;15;0.88;45.71;374.46;48.96;32036;1884.47;24878;1463.41;7158;421.06;303;17.82;624;36.71;6575;386.76;3997;235.12;2578;151.65;51;3;223;13.12;464.06;27.3;889.73;52.34;2688;158.12;5650;332.35;1187;69.82;1504.28;6961875;409522.06;2456.9;144.52;1926.48;113.32;709.18;41.72;2528.11;148.71;2261.31;133.02;303.18;17.83;85.05;5;0.11;792;46.59;2664;156.71;2137.3;125.72;1088.85;64.05;4003.71;235.51;3070.57;180.62;2022;118.94;2222.64;130.74;1670.05;98.24;1199.89;70.58;2254.09;2139.02;2400.9;2917.51;10;0.59;11;0.65
. & Omar.;.;1;0;0.00;386;386;1;1;0;0;2;2;5;5;7;7;3;3;1;1;20;535;50;2429;2429;1690;1690;739;739;19;19;58;58;296;296;100;100;196;196;1;1;17;17;45.75;45.75;31.88;31.88;409;409;232;232;9;9;1538;440300;440300;135.65;135.65;116.89;116.89;48.4;48.4;176.64;176.64;107.79;107.79;16.5;16.5;8.03;8.03;0.09;88;88;157.6;157.6;129.9;129.9;76.51;76.51;224.43;224.43;192.07;192.07;108.86;108.86;139.94;139.94;101.89;101.89;59.1;59.1;2216;2215;2176;2953;0;0;0;0
. & JakePlays32;.;1;0;0.00;80;80;0;0;0;0;0;0;0;0;4;4;2;2;1;1;0;436;57.86;1048;1048;722;722;326;326;10;10;28;28;215;215;148;148;67;67;3;3;6;6;5.1;5.1;20.26;20.26;130;130;289;289;156;156;1627;219622;219622;58.2;58.2;72.13;72.13;16.16;16.16;107.39;107.39;37.97;37.97;1.13;1.13;2.8;2.8;0.12;23;23;64.7;64.7;73.8;73.8;51.79;51.79;94.7;94.7;96.9;96.9;49.59;49.59;70.37;70.37;52.13;52.13;24;24;2239;1992;2364;2842;2;2;0;0
.dapr & Math21o;.dapr;1;0;0.00;208;208;0;0;1;1;1;1;1;1;6;6;5;5;1;1;0;465;56.95;2212;2212;1803;1803;409;409;22;22;39;39;748;748;612;612;136;136;7;7;13;13;27.13;27.13;45.35;45.35;170;170;428;428;92;92;1631;420874;420874;114.18;114.18;105.08;105.08;62.21;62.21;158.23;158.23;109.37;109.37;13.85;13.85;6.18;6.18;0.1;63;63;132.8;132.8;127.3;127.3;91.24;91.24;190.22;190.22;167.08;167.08;114.38;114.38;120.69;120.69;94.82;94.82;65.95;65.95;2684;2747;2609;3518;1;1;1;1
TrippyDrippy_DNA & 0;0;1;0;0.00;660;660;1;1;1;1;4;4;4;4;12;12;3;3;3;3;25;497;52.25;2843;2843;2234;2234;609;609;26;26;55;55;734;734;567;567;167;167;6;6;17;17;38.96;38.96;31.19;31.19;291;291;389;389;47;47;1508;494211;494211;152.67;152.67;147.53;147.53;49.77;49.77;197.49;197.49;141.03;141.03;11.45;11.45;7.41;7.41;0.1;74;74;153.8;153.8;184.6;184.6;93.15;93.15;256.82;256.82;238.23;238.23;111.74;111.74;181.76;181.76;108.36;108.36;59.84;59.84;2006;1836;2163;2784;0;0;1;1
0 Cale 0 & Evaxsyy_23;0 Cale 0;1;0;0.00;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401;43.39;241;241;194;194;47;47;2;2;4;4;100;100;100;100;0;0;1;1;0;0;1.6;1.6;2.83;2.83;32;32;0;0;0;0;1508;46215;46215;16.94;16.94;14.9;14.9;3.1;3.1;14.87;14.87;15.6;15.6;4.47;4.47;0.83;0.83;0.09;9;9;12;12;18.9;18.9;7.3;7.3;27.64;27.64;23.4;23.4;11.54;11.54;16.3;16.3;11.3;11.3;7.33;7.33;1460;938;1466;3144;0;0;0;0
0 G H O S T & FaLcKoX_;0 G H O S T;1;0;0.00;292;292;0;0;1;1;1;1;2;2;4;4;3;3;1;1;0;445;54.09;2453;2453;1905;1905;548;548;24;24;49;49;679;679;530;530;149;149;7;7;13;13;26.17;26.17;46.31;46.31;526;526;523;523;177;177;1557;496753;496753;165.06;165.06;121.64;121.64;59.68;59.68;202.36;202.36;129.39;129.39;14.63;14.63;5.38;5.38;0.16;34;34;164.4;164.4;176.1;176.1;100.88;100.88;245.5;245.5;226.74;226.74;119.64;119.64;172.05;172.05;92.64;92.64;81.69;81.69;2249;2091;2413;3094;1;1;2;2
0 t1me & Rafffaal;0 t1me;1;1;100.00;445;445;0;0;3;3;1;1;2;2;5;5;2;2;1;1;0;357;40.15;2077;2077;1311;1311;766;766;14;14;63;63;707;707;359;359;348;348;4;4;25;25;71.47;71.47;41.85;41.85;252;252;112;112;40;40;1471;489573;489573;186.54;186.54;129.85;129.85;42.06;42.06;205.87;205.87;137.5;137.5;15.08;15.08;4.58;4.58;0.18;25;25;153.3;153.3;198.2;198.2;72.39;72.39;286.05;286.05;217.43;217.43;141.02;141.02;152.32;152.32;123.36;123.36;82.77;82.77;2322;2223;2441;3124;1;1;1;1
