team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" kata  & OliverOscarS";" kata ";1;0;0.00;303;303;0;0;0;0;2;2;4;4;6;6;3;3;2;2;0;420;55.49;2039;2039;1635;1635;404;404;22;22;37;37;658;658;493;493;165;165;7;7;17;17;41.84;41.84;33.75;33.75;159;159;476;476;217;217;1496;404168;404168;137.52;137.52;92.91;92.91;50.82;50.82;160.07;160.07;110.42;110.42;10.75;10.75;6.04;6.04;0.15;40;40;121.8;121.8;154.8;154.8;87.91;87.91;193.34;193.34;147.11;147.11;134.14;134.14;98.31;98.31;110.77;110.77;72.17;72.17;2110;1783;2368;3061;0;0;1;1
#FREEISRAEL & theherbo;#FREEISRAEL;1;0;0.00;251;251;0;0;2;2;0;0;1;1;7;7;4;4;2;2;0;444;43.6;1867;1867;1600;1600;267;267;18;18;23;23;492;492;372;372;120;120;4;4;10;10;49.73;49.73;25.26;25.26;216;216;208;208;27;27;1576;343549;343549;96.95;96.95;120.57;120.57;26.14;26.14;145.29;145.29;86.64;86.64;11.72;11.72;2.58;2.58;0.12;22;22;108.2;108.2;122;122;82.28;82.28;161.38;161.38;150.72;150.72;92.94;92.94;118.34;118.34;73.32;73.32;52;52;2789;2438;3015;3637;2;2;1;1
$QMKMMMMMMMM$ & seoukala;$QMKMMMMMMMM$;1;1;100.00;943;943;5;5;0;0;4;4;5;5;7;7;1;1;1;1;100;405;54.1;1404;1404;1020;1020;384;384;15;15;33;33;248;248;183;183;65;65;3;3;7;7;17.95;17.95;37.91;37.91;167;167;499;499;125;125;1470;301659;301659;121.19;121.19;64.73;64.73;42.02;42.02;139.32;139.32;85.22;85.22;3.4;3.4;4.24;4.24;0.16;27;27;130.5;130.5;81.4;81.4;40.17;40.17;187.77;187.77;159.76;159.76;68.19;68.19;130.32;130.32;58.22;58.22;39.4;39.4;2465;2615;2188;2864;1;1;0;0
tip creaming & %V#l  Dr. Seahorse & treyssmurfacc;%V#l  Dr. Seahorse;6;5;83.33;2809;468.17;10;1.67;2;0.33;12;2;19;3.17;35;5.83;11;1.83;6;1;52.63;378.92;51.19;12915;2152.5;8809;1468.17;4106;684.33;109;18.17;378;63;3149;524.83;2024;337.33;1125;187.5;27;4.5;109;18.17;190.96;31.83;275.62;45.94;1188;198;1752;292;588;98;1445.99;2795040;465840;1095.6;182.6;791.66;131.94;200.11;33.35;1242.08;207.01;774.85;129.14;70.41;11.74;70.46;11.74;0.12;586;97.67;1051.8;175.3;928.7;154.78;444.59;74.1;1642.75;273.79;1245.08;207.51;842.26;140.38;864.43;144.07;730.29;121.71;492.62;82.1;2317.78;2222.22;2392.36;3102.17;4;0.67;4;0.67
%| p |% & LordKoteuka;%| p |%;1;1;100.00;420;420;1;1;1;1;1;1;4;4;1;1;0;0;0;0;25;342;47.16;1651;1651;1052;1052;599;599;14;14;47;47;514;514;169;169;345;345;3;3;25;25;33.4;33.4;21.81;21.81;147;147;347;347;130;130;1561;412582;412582;116.14;116.14;127.92;127.92;36.77;36.77;153.68;153.68;109.22;109.22;17.93;17.93;6.53;6.53;0.12;56;56;139.9;139.9;126.1;126.1;67.48;67.48;213.35;213.35;157.21;157.21;123.62;123.62;116.59;116.59;72.46;72.46;91.78;91.78;2332;2160;2601;2880;1;1;0;0
- o1Nizzi & ' # carrotN#;' # carrotN#;1;0;0.00;462;462;2;2;0;0;1;1;5;5;7;7;3;3;1;1;40;478;64.91;2677;2677;2001;2001;676;676;27;27;65;65;943;943;600;600;343;343;8;8;32;32;13.02;13.02;52.06;52.06;232;232;765;765;214;214;1634;496721;496721;125.61;125.61;142.69;142.69;58.03;58.03;183.28;183.28;129.7;129.7;13.35;13.35;9.96;9.96;0.12;84;84;146.4;146.4;173.3;173.3;92.17;92.17;234.15;234.15;195.98;195.98;130.34;130.34;143.31;143.31;106.83;106.83;76.18;76.18;2578;2295;2854;3523;1;1;0;0
fent smaesh & (ZapZap) Holy;(ZapZap) Holy;3;0;0.00;717;239;2;0.67;2;0.67;3;1;4;1.33;25;8.33;12;4;3;1;50;200.97;55.95;2918;972.67;1761;587;1157;385.67;24;8;104;34.67;484;161.33;252;84;232;77.33;4;1.33;21;7;22.5;7.5;165.37;55.12;367;122.33;686;228.67;154;51.33;1338.11;955384;318461.34;518.37;172.79;248.23;82.74;38.15;12.72;523.35;174.45;264.81;88.27;16.58;5.53;1.11;0.37;0.12;6;2;384.8;128.27;376.2;125.4;231.71;77.24;573.03;191.01;584.7;194.9;220.06;73.35;451;150.33;243.8;81.27;109.96;36.65;2686.51;2563.34;2739.66;3237.74;0;0;1;0.33
XxFearYoshiXx & arctic1003 & makencash;*'24drawoH;1;1;100.00;357;357;0;0;2;2;1;1;3;3;6;6;1;1;1;1;0;387;55.33;2302;2302;1642;1642;660;660;21;21;59;59;730;730;387;387;343;343;5;5;29;29;22.41;22.41;82.5;82.5;512;512;501;501;117;117;1469;475902;475902;175.44;175.44;127.81;127.81;39;39;211.19;211.19;116.78;116.78;14.28;14.28;5.7;5.7;0.13;43;43;157.8;157.8;176.5;176.5;78.41;78.41;263.85;263.85;203.59;203.59;138.67;138.67;166.44;166.44;72.7;72.7;103.12;103.12;2778;2574;3011;3476;0;0;0;0
Strait2dMula & *>*>;*>*>;1;0;0.00;343;343;0;0;0;0;2;2;2;2;9;9;4;4;3;3;0;417;48.39;2065;2065;1523;1523;542;542;20;20;38;38;393;393;285;285;108;108;4;4;9;9;54.52;54.52;29.97;29.97;458;458;476;476;114;114;1585;432064;432064;118.85;118.85;119.51;119.51;48.1;48.1;153.08;153.08;116.43;116.43;16.95;16.95;2.8;2.8;0.1;28;28;145.7;145.7;132.9;132.9;71.71;71.71;214.75;214.75;201.31;201.31;85.15;85.15;150.81;150.81;80.64;80.64;55;55;2333;2063;2565;3144;1;1;2;2
Skronks_ & *Flux;*Flux;1;0;0.00;432;432;1;1;0;0;1;1;4;4;3;3;2;2;2;2;25;429;59.89;2390;2390;1900;1900;490;490;25;25;50;50;600;600;401;401;199;199;6;6;19;19;20.37;20.37;73.72;73.72;512;512;567;567;116;116;1532;490902;490902;150.25;150.25;140.51;140.51;45.54;45.54;230.61;230.61;99.31;99.31;6.4;6.4;6.19;6.19;0.12;51;51;179;179;147.3;147.3;74.53;74.53;261.78;261.78;228.53;228.53;107.78;107.78;166.96;166.96;105.36;105.36;64;64;2421;2152;2726;3349;1;1;0;0
