team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
!! & nnxzil;!!;1;0;0.00;354;354;1;1;0;0;1;1;2;2;6;6;3;3;1;1;50;496;46.82;2963;2963;2490;2490;473;473;30;30;42;42;589;589;429;429;160;160;5;5;14;14;70.78;70.78;32.79;32.79;523;523;514;514;70;70;1594;522416;522416;152.03;152.03;132.69;132.69;66.65;66.65;182.83;182.83;152.41;152.41;16.12;16.12;6.85;6.85;0.09;78;78;188.8;188.8;147.2;147.2;98.31;98.31;253.05;253.05;220.88;220.88;130.49;130.49;158.46;158.46;122.21;122.21;70.69;70.69;2235;2146;2374;3238;1;1;0;0
lbrande & yerc & FreezingKoala976;!0=O60@CAAA;1;1;100.00;548;548;2;2;1;1;1;1;4;4;6;6;2;2;2;2;50;463;55.25;2745;2745;2120;2120;625;625;27;27;51;51;851;851;576;576;275;275;6;6;18;18;31.63;31.63;48.29;48.29;263;263;601;601;34;34;1544;501280;501280;158.73;158.73;135.68;135.68;53.51;53.51;182.53;182.53;156.5;156.5;8.89;8.89;7.36;7.36;0.12;62;62;165.2;165.2;178.1;178.1;88.06;88.06;259.86;259.86;240.13;240.13;107.79;107.79;185.24;185.24;94.08;94.08;68.6;68.6;2675;2272;3025;3004;0;0;1;1
Whoo0oosh & lucky. & That 1 Fennec;!qzzQ-mQ<w;1;1;100.00;813;813;3;3;1;1;2;2;6;6;6;6;1;1;1;1;50;480;55.27;2775;2775;2205;2205;570;570;31;31;53;53;1041;1041;823;823;218;218;11;11;21;21;25.42;25.42;64.05;64.05;594;594;918;918;276;276;1625;548585;548585;144.45;144.45;140.49;140.49;71.77;71.77;189.86;189.86;131.45;131.45;35.4;35.4;14.31;14.31;0.12;124;124;169.2;169.2;175.8;175.8;94.68;94.68;262.03;262.03;205.06;205.06;151.65;151.65;151.77;151.77;104.04;104.04;100.9;100.9;1881;1672;2067;3433;2;2;0;0
""" & Windowek@+@ & FlipWagen";"""";2;1;50.00;523;261.5;1;0.5;0;0;3;1.5;2;1;12;6;5;2.5;1;0.5;50;335.84;55.22;2589;1294.5;1874;937;715;357.5;22;11;65;32.5;899;449.5;678;339;221;110.5;7;3.5;19;9.5;45.03;22.51;51.41;25.7;362;181;341;170.5;24;12;1481.44;610013;305006.5;219.98;109.99;171.28;85.64;55.17;27.58;258;129;173.5;86.75;14.93;7.47;6.57;3.28;0.08;85;42.5;202.8;101.4;213.1;106.55;101.33;50.67;345.1;172.55;308.82;154.41;137.61;68.81;229.95;114.97;144.67;72.33;71.82;35.91;2510.55;2263.71;2697.55;3184.12;0;0;1;0.5
"AlfredFano & ""!x 7.";"""!x 7.";1;0;0.00;270;270;1;1;0;0;1;1;2;2;8;8;5;5;2;2;50;401;50.4;1779;1779;1471;1471;308;308;16;16;27;27;480;480;420;420;60;60;5;5;5;5;20.81;20.81;47.82;47.82;327;327;130;130;79;79;1513;348656;348656;115.89;115.89;107.03;107.03;29.92;29.92;137.42;137.42;108.15;108.15;7.27;7.27;3.65;3.65;0.13;28;28;86.8;86.8;147.9;147.9;87.81;87.81;165.04;165.04;146.66;146.66;106.19;106.19;94.38;94.38;93.17;93.17;65.29;65.29;2401;1895;2800;3186;0;0;1;1
$$KMMMMMMMMMQ$$ & CPG_Cubs;$$KMMMMMMMMMQ$$;1;1;100.00;631;631;3;3;2;2;0;0;4;4;5;5;3;3;2;2;75;362;47.46;2092;2092;1553;1553;539;539;17;17;40;40;392;392;300;300;92;92;3;3;8;8;59.61;59.61;27.03;27.03;41;41;146;146;0;0;1417;485715;485715;209.66;209.66;131.34;131.34;37.18;37.18;177.61;177.61;179.91;179.91;20.64;20.64;3.37;3.37;0.17;20;20;180.7;180.7;172.9;172.9;85.68;85.68;292.49;292.49;253.26;253.26;124.91;124.91;198.76;198.76;105.11;105.11;74.3;74.3;2418;2372;2473;3004;0;0;0;0
Jokr.aim & &DarkLight& & rodrigo_macedo93;&DarkLight&;1;0;0.00;260;260;0;0;1;1;0;0;0;0;7;7;4;4;3;3;0;336;40.19;1917;1917;1181;1181;736;736;13;13;64;64;602;602;400;400;202;202;4;4;17;17;56.83;56.83;23.33;23.33;129;129;123;123;0;0;1339;454878;454878;219.58;219.58;120.32;120.32;27.96;27.96;209.75;209.75;148.2;148.2;9.92;9.92;8.88;8.88;0.15;59;59;183.5;183.5;167.2;167.2;114.31;114.31;253.56;253.56;215.29;215.29;152.58;152.58;153.74;153.74;126.69;126.69;87.44;87.44;2419;2314;2541;3086;1;1;0;0
WHEY2EZ & '__MR_THUCKZzZ__';'__MR_THUCKZzZ__';1;0;0.00;214;214;0;0;1;1;0;0;4;4;6;6;5;5;1;1;0;308;52.82;1813;1813;1376;1376;437;437;16;16;39;39;351;351;200;200;151;151;2;2;13;13;32.09;32.09;23.56;23.56;176;176;249;249;0;0;1445;444357;444357;169.51;169.51;145.1;145.1;19.04;19.04;209.15;209.15;117.56;117.56;6.94;6.94;3.7;3.7;0.18;21;21;164.3;164.3;159.5;159.5;113.13;113.13;220.52;220.52;212.18;212.18;121.47;121.47;159.31;159.31;96.79;96.79;77.55;77.55;2775;2698;2855;3405;1;1;1;1
*' Sherlox & Cream 00;*' Sherlox;2;0;0.00;1099;549.5;3;1.5;0;0;2;1;10;5;14;7;8;4;3;1.5;30;462.45;53.85;5497;2748.5;4356;2178;1141;570.5;54;27;96;48;1201;600.5;774;387;427;213.5;10;5;36;18;73.24;36.62;85.07;42.53;448;224;807;403.5;174;87;1508.5;1019156;509578;349.38;174.69;289.66;144.83;87.12;43.56;413.89;206.95;260.05;130.02;52.22;26.11;17.42;8.71;0.13;137;68.5;303.1;151.55;388.7;194.35;209.23;104.62;516.92;258.46;459.89;229.95;266.26;133.13;358.51;179.26;209.12;104.56;158.53;79.26;2378.17;2015.22;2738.21;3395.25;1;0.5;0;0
-- & immbombsy;--;1;1;100.00;335;335;0;0;0;0;3;3;2;2;7;7;0;0;0;0;0;380;48.31;1515;1515;1108;1108;407;407;13;13;36;36;383;383;219;219;164;164;3;3;15;15;14.11;14.11;21.7;21.7;112;112;191;191;80;80;1391;316346;316346;133.95;133.95;78.02;78.02;27.95;27.95;151.95;151.95;78.69;78.69;9.28;9.28;1.78;1.78;0.14;13;13;125.5;125.5;119;119;60.97;60.97;178.95;178.95;139.67;139.67;100.24;100.24;109.61;109.61;64.4;64.4;65.91;65.91;2593;2331;2835;3420;1;1;2;2
BichoFake & . & iipureknotty;.;1;1;100.00;276;276;0;0;2;2;0;0;2;2;3;3;1;1;0;0;0;414;56.77;2027;2027;1556;1556;471;471;21;21;42;42;539;539;398;398;141;141;5;5;14;14;18.11;18.11;33.24;33.24;206;206;552;552;106;106;1570;429971;429971;124.2;124.2;128.46;128.46;39.23;39.23;165.96;165.96;112.31;112.31;13.61;13.61;4.71;4.71;0.11;41;41;111.8;111.8;159.3;159.3;102.86;102.86;189.02;189.02;171.83;171.83;120.05;120.05;114.83;114.83;106.72;106.72;70.33;70.33;2654;2346;2931;3594;1;1;0;0
EzMoNeY_13 & Boombob & .;.;1;1;100.00;1066;1066;5;5;0;0;3;3;8;8;6;6;2;2;1;1;62.5;455;57.11;2732;2732;2025;2025;707;707;25;25;65;65;527;527;280;280;247;247;4;4;22;22;25.44;25.44;46.56;46.56;320;320;535;535;131;131;1600;544178;544178;156.72;156.72;138.36;138.36;75.72;75.72;204.44;204.44;147.76;147.76;18.6;18.6;7.76;7.76;0.09;89;89;162.7;162.7;186.1;186.1;77.71;77.71;293.1;293.1;202.82;202.82;167.98;167.98;150.47;150.47;118.32;118.32;102.01;102.01;2120;2012;2279;3125;0;0;0;0
. & Coach Pop;.;1;1;100.00;400;400;1;1;0;0;1;1;5;5;2;2;0;0;0;0;20;309;42.81;1670;1670;737;737;933;933;10;10;81;81;658;658;326;326;332;332;4;4;29;29;45.95;45.95;16.23;16.23;113;113;270;270;73;73;1438;451452;451452;172.35;172.35;140.06;140.06;13.9;13.9;218.08;218.08;104.56;104.56;3.67;3.67;11.83;11.83;0.07;165;165;142.1;142.1;202.6;202.6;76.55;76.55;249.76;249.76;190.66;190.66;135.57;135.57;132.75;132.75;106.37;106.37;87.18;87.18;2581;2578;2509;3816;0;0;1;1
PirosZsiguli & /' 0WDsX /';/' 0WDsX /';1;0;0.00;373;373;0;0;0;0;2;2;2;2;7;7;3;3;1;1;0;506;56.41;2502;2502;1852;1852;650;650;24;24;46;46;668;668;543;543;125;125;8;8;14;14;28.31;28.31;48.98;48.98;447;447;578;578;267;267;1569;474251;474251;129.37;129.37;138.8;138.8;46.11;46.11;199.09;199.09;99.97;99.97;15.22;15.22;8.67;8.67;0.14;63;63;121.1;121.1;181.1;181.1;126.74;126.74;187.54;187.54;206.9;206.9;107.38;107.38;158.33;158.33;87.33;87.33;68.61;68.61;2103;1705;2472;2848;1;1;0;0
