team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Luca & !;!;1;0;0.00;336;336;1;1;0;0;2;2;2;2;11;11;3;3;2;2;50;366;43;2108;2108;1382;1382;726;726;17;17;65;65;185;185;73;73;112;112;2;2;10;10;41.55;41.55;20.29;20.29;223;223;328;328;126;126;1496;476892;476892;185.64;185.64;108.9;108.9;43.15;43.15;189.35;189.35;134.34;134.34;14.01;14.01;5.67;5.67;0.09;63;63;185.8;185.8;147.7;147.7;96.25;96.25;241.45;241.45;246.13;246.13;91.57;91.57;190.2;190.2;100.78;100.78;46.73;46.73;2602;2324;2850;3330;0;0;2;2
""" & User-4f6a5d5973";"""";1;0;0.00;368;368;1;1;1;1;1;1;3;3;9;9;4;4;2;2;33.33;384;50.07;2530;2530;1866;1866;664;664;22;22;60;60;253;253;85;85;168;168;1;1;17;17;47.21;47.21;52.25;52.25;104;104;280;280;34;34;1444;514985;514985;208.43;208.43;145.53;145.53;33.24;33.24;256.03;256.03;113.12;113.12;18.04;18.04;6.71;6.71;0.07;90;90;239.1;239.1;125.3;125.3;84;84;303.19;303.19;245.81;245.81;141.39;141.39;182.68;182.68;125.18;125.18;79.34;79.34;2472;2470;2456;2897;0;0;0;0
"""  r0 & Noskin_Payki";"""  r0";1;0;0.00;772;772;2;2;0;0;4;4;8;8;13;13;4;4;2;2;25;545;45.74;3110;3110;2642;2642;468;468;28;28;41;41;563;563;380;380;183;183;4;4;16;16;56.06;56.06;39.25;39.25;451;451;166;166;29;29;1613;544310;544310;140.61;140.61;169.48;169.48;57.87;57.87;183.52;183.52;162.68;162.68;21.76;21.76;3.5;3.5;0.08;45;45;165.2;165.2;177.4;177.4;89.34;89.34;278.62;278.62;218.47;218.47;149.49;149.49;161.58;161.58;104.22;104.22;102.16;102.16;2265;1876;2667;3355;1;1;1;1
Coodle & HammerMaO & Flik;&;2;0;0.00;997;498.5;2;1;1;0.5;4;2;9;4.5;17;8.5;7;3.5;5;2.5;22.22;369.42;49.75;5088;2544;4122;2061;966;483;48;24;92;46;1159;579.5;744;372;415;207.5;9;4.5;38;19;129.84;64.92;161.73;80.86;358;179;662;331;173;86.5;1472;1049665;524832.5;395.35;197.67;292.2;146.1;95.98;47.99;390.33;195.17;358.36;179.18;34.83;17.42;13.06;6.53;0.13;104;52;381.1;190.55;449;224.5;246.65;123.32;536.88;268.44;486.57;243.29;296.96;148.48;371;185.5;230.79;115.4;181.74;90.87;2634.92;2174.22;2828.16;3502.19;2;1;0;0
' Fahad ' & Nelly Blue & Owen;' Fahad ';6;5;83.33;2909;484.83;10;1.67;5;0.83;8;1.33;26;4.33;34;5.67;10;1.67;3;0.5;38.46;392.24;45.18;11559;1926.5;8145;1357.5;3414;569;99;16.5;285;47.5;2634;439;1353;225.5;1281;213.5;17;2.83;99;16.5;189.16;31.53;162.31;27.05;573;95.5;1530;255;271;45.17;1534.37;2514311;419051.84;802.82;133.8;720.12;120.02;236.77;39.46;966.57;161.1;733.49;122.25;59.63;9.94;37.47;6.24;0.17;222;37;840.5;140.08;843.6;140.6;368.94;61.49;1390.75;231.79;1029.32;171.55;730.38;121.73;760.27;126.71;553.15;92.19;446.26;74.38;2355.79;2201.25;2446.01;2937.05;3;0.5;3;0.5
Barkstomps & CavortingOgre & Beto;(Not SiK) Fishie;2;2;100.00;1311;655.5;3;1.5;2;1;7;3.5;7;3.5;20;10;5;2.5;2;1;42.86;363.74;47.13;5349;2674.5;3787;1893.5;1562;781;44;22;125;62.5;1102;551;577;288.5;525;262.5;8;4;40;20;102.7;51.35;89.63;44.82;333;166.5;648;324;230;115;1404.62;1144893;572446.5;489.57;244.79;304.94;152.47;77.8;38.9;543.19;271.6;301.6;150.8;27.5;13.75;7.34;3.67;0.12;63;31.5;453.5;226.75;392.7;196.35;221.18;110.59;651.11;325.55;574.86;287.43;297.44;148.72;429.48;214.74;259.25;129.62;183.57;91.78;2397.83;2380.2;2349.83;3012.99;2;1;4;2
lalalalisa_am & ***** PAPA & GuhNarly;***** PAPA;1;0;0.00;340;340;1;1;0;0;1;1;2;2;5;5;3;3;2;2;50;441;51.19;2423;2423;1957;1957;466;466;22;22;43;43;261;261;100;100;161;161;1;1;14;14;53.58;53.58;41.09;41.09;372;372;261;261;0;0;1583;490860;490860;147.33;147.33;117.2;117.2;60.81;60.81;167.5;167.5;143.3;143.3;14.54;14.54;6.64;6.64;0.1;66;66;178.4;178.4;137.9;137.9;110.04;110.04;215.3;215.3;211.57;211.57;113.77;113.77;157.84;157.84;101.59;101.59;65.91;65.91;2326;2147;2543;3241;1;1;0;0
iwanttobefat & ******;******;1;0;0.00;158;158;0;0;0;0;1;1;0;0;6;6;4;4;2;2;0;380;53.6;1462;1462;1069;1069;393;393;14;14;38;38;504;504;358;358;146;146;4;4;14;14;13.02;13.02;28.64;28.64;192;192;352;352;41;41;1493;314003;314003;107.14;107.14;103.34;103.34;15.83;15.83;134.49;134.49;82.55;82.55;9.28;9.28;5.38;5.38;0.16;33;33;100.4;100.4;123.3;123.3;86.53;86.53;139.79;139.79;125.08;125.08;101.23;101.23;97.59;97.59;64.02;64.02;64.71;64.71;2106;1966;2295;3572;0;0;0;0
IEATSODA & RajMathur & Pudgem;*******;1;1;100.00;506;506;1;1;3;3;1;1;6;6;2;2;1;1;1;1;16.67;360;55.45;2404;2404;1850;1850;554;554;25;25;50;50;582;582;329;329;253;253;5;5;23;23;38.7;38.7;62.13;62.13;450;450;665;665;177;177;1544;521398;521398;179.73;179.73;150.29;150.29;52.33;52.33;243.89;243.89;135.22;135.22;3.24;3.24;3.84;3.84;0.17;23;23;175.4;175.4;184;184;63.9;63.9;318.45;318.45;224.53;224.53;157.82;157.82;159.52;159.52;124.25;124.25;98.57;98.57;2333;2344;2333;2912;1;1;0;0
.PEAK WASHED & ******* & sky-gravity;*******;4;1;25.00;2107;526.75;6;1.5;6;1.5;5;1.25;14;3.5;30;7.5;16;4;12;3;42.86;343.12;52.04;8823;2205.75;6225;1556.25;2598;649.5;81;20.25;222;55.5;1758;439.5;1024;256;734;183.5;14;3.5;68;17;134.16;33.54;184.01;46;1139;284.75;1948;487;418;104.5;1495.18;2044311;511077.75;748.35;187.09;595.5;148.88;159.15;39.79;939.54;234.89;516.19;129.05;47.27;11.82;27.74;6.94;0.15;224;56;724.9;181.23;675.1;168.77;356.77;89.19;1146.23;286.56;984.36;246.09;518.65;129.66;712.64;178.16;492.9;123.23;297.45;74.36;2572.56;2587.13;2558.94;3124.14;2;0.5;2;0.5
