team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
NotMurciphy & redbullie77 & Jeiku;;1;1;100.00;917;917;4;4;0;0;3;3;7;7;9;9;5;5;3;3;57.14;481;47.35;3454;3454;2597;2597;857;857;29;29;75;75;665;665;300;300;365;365;3;3;33;33;62.45;62.45;30.38;30.38;411;411;321;321;18;18;1649;627824;627824;158.59;158.59;202.44;202.44;64.12;64.12;226.69;226.69;179.15;179.15;19.32;19.32;5.55;5.55;0.1;54;54;218.2;218.2;175.8;175.8;101.4;101.4;323.76;323.76;233.59;233.59;191.57;191.57;150.81;150.81;163.07;163.07;111.28;111.28;2430;2095;2732;3376;1;1;0;0
" 1c &  <  < ";" 1c";1;0;0.00;430;430;2;2;0;0;2;2;3;3;10;10;3;3;1;1;66.67;417;57.25;2511;2511;1996;1996;515;515;25;25;48;48;756;756;599;599;157;157;7;7;15;15;41.68;41.68;31.13;31.13;416;416;518;518;103;103;1459;476425;476425;175.45;175.45;128.57;128.57;46.96;46.96;200.6;200.6;131.76;131.76;18.63;18.63;4.24;4.24;0.09;48;48;146;146;185.8;185.8;107.34;107.34;243.65;243.65;208.18;208.18;142.81;142.81;147.17;147.17;121.16;121.16;82.65;82.65;2113;1848;2239;2944;1;1;0;0
" 1c &  <  < ";" <  < ";1;0;0.00;538;538;0;0;2;2;3;3;2;2;10;10;3;3;2;2;0;415;45.55;2413;2413;1521;1521;892;892;17;17;79;79;602;602;304;304;298;298;4;4;27;27;57.08;57.08;19.06;19.06;559;559;193;193;105;105;1533;501585;501585;169.75;169.75;121.48;121.48;59.65;59.65;213.22;213.22;127.21;127.21;10.46;10.46;5.87;5.87;0.1;59;59;185.8;185.8;146.6;146.6;79.33;79.33;271.55;271.55;227.97;227.97;122.91;122.91;173.15;173.15;102.13;102.13;75.6;75.6;2234;2199;2308;2944;0;0;0;0
Come Rag &  Pugz ;" Pugz ";1;1;100.00;132;132;1;1;0;0;0;0;1;1;0;0;0;0;0;0;100;447;53.1;443;443;366;366;77;77;5;5;7;7;91;91;67;67;24;24;1;1;2;2;6.63;6.63;3.75;3.75;12;12;140;140;32;32;1612;97776;97776;25.63;25.63;27.2;27.2;11.79;11.79;31.77;31.77;30.12;30.12;2.72;2.72;1.18;1.18;0.05;23;23;30.5;30.5;28.5;28.5;12.9;12.9;51.73;51.73;32.53;32.53;32.09;32.09;23.57;23.57;20.77;20.77;20.28;20.28;2453;2061;2682;3113;0;0;0;0
. & MoSaif_ & nbaplaya101;!;2;2;100.00;1325;662.5;5;2.5;1;0.5;2;1;16;8;11;5.5;3;1.5;3;1.5;31.25;397.53;48.67;4211;2105.5;3046;1523;1165;582.5;41;20.5;103;51.5;1474;737;1051;525.5;423;211.5;17;8.5;37;18.5;78.86;39.43;110.7;55.35;263;131.5;731;365.5;284;142;1608.54;988518;494259;258.17;129.09;301.92;150.96;96.72;48.36;343.24;171.62;273.19;136.6;40.39;20.19;14.57;7.29;0.12;120;60;274.7;137.35;349.2;174.6;160.79;80.4;496.03;248.01;365.72;182.86;291.1;145.55;258.33;129.17;203.97;101.99;194.53;97.26;2402.69;2230.85;2586.56;3288.79;2;1;1;0.5
MP7-44 & !!;!!;1;0;0.00;350;350;1;1;0;0;1;1;1;1;9;9;5;5;4;4;100;360;54.82;2068;2068;1580;1580;488;488;20;20;39;39;782;782;592;592;190;190;8;8;12;12;30.32;30.32;54.33;54.33;238;238;443;443;209;209;1529;466635;466635;154.24;154.24;139.09;139.09;38.3;38.3;205.97;205.97;113.39;113.39;12.28;12.28;5.81;5.81;0.1;57;57;159.4;159.4;149.2;149.2;95.34;95.34;236.3;236.3;208.24;208.24;123.4;123.4;144.07;144.07;115.99;115.99;71.58;71.58;2265;2150;2328;3026;0;0;0;0
!Comingin & Incoming!;!Comingin;7;2;28.57;4139;591.29;15;2.14;4;0.57;15;2.14;31;4.43;72;10.29;24;3.43;11;1.57;48.39;447.71;50.7;19436;2776.57;14171;2024.43;5265;752.14;170;24.29;472;67.43;4658;665.43;3064;437.71;1594;227.71;38;5.43;144;20.57;342.86;48.98;221.18;31.6;5112;730.29;2914;416.29;662;94.57;1658.59;4216382;602340.31;1044.4;149.2;1044.83;149.26;654.43;93.49;1560.55;222.94;1081.11;154.44;102.02;14.57;57.83;8.26;0.12;480;68.57;1235.5;176.5;1364.7;194.96;737.21;105.32;2006.44;286.63;1741.77;248.82;1001.87;143.12;1265.98;180.85;902.86;128.98;574.82;82.12;2444.7;2299.36;2598.62;3207.5;5;0.71;7;1
spectral & TTV ItzIssa69 & Revir;!y.;1;1;100.00;772;772;2;2;0;0;1;1;4;4;9;9;1;1;1;1;50;411;49.26;2707;2707;2081;2081;626;626;23;23;55;55;600;600;390;390;210;210;4;4;19;19;47.03;47.03;47.74;47.74;325;325;221;221;9;9;1471;581286;581286;208.32;208.32;151.5;151.5;50.76;50.76;224.57;224.57;155.26;155.26;30.75;30.75;5.82;5.82;0.18;32;32;218;218;194.6;194.6;114.65;114.65;295.93;295.93;287.4;287.4;123.17;123.17;233.55;233.55;96.79;96.79;80.23;80.23;2297;2159;2447;3053;2;2;2;2
GTPBallersBlend & #1 DISCIPLE OF YAKUB & Presentface;#1 DISCIPLE OF YAKUB;5;2;40.00;1605;321;3;0.6;5;1;9;1.8;9;1.8;32;6.4;13;2.6;4;0.8;33.33;363.38;51.64;7768;1553.6;5513;1102.6;2255;451;73;14.6;196;39.2;1149;229.8;600;120;549;109.8;9;1.8;48;9.6;108.75;21.75;196.91;39.38;1020;204;1832;366.4;301;60.2;1481.53;1763932;352786.41;647.59;129.52;492.65;98.53;142.36;28.47;746.85;149.37;473.33;94.67;62.39;12.48;27.57;5.51;0.21;127;25.4;731.1;146.22;483.1;96.62;301.85;60.37;980.74;196.15;901.24;180.25;381.37;76.27;678.95;135.79;370.16;74.03;233.49;46.7;2851.27;2792.55;2874.8;3608.3;1;0.2;4;0.8
NotMurciphy & redbullie77 & Jeiku;#1 Sewkey Fan;1;0;0.00;388;388;0;0;1;1;1;1;1;1;9;9;3;3;0;0;0;464;49.53;2618;2618;2026;2026;592;592;24;24;51;51;430;430;274;274;156;156;3;3;13;13;27.39;27.39;48.54;48.54;259;259;386;386;25;25;1624;528155;528155;129.02;129.02;148.63;148.63;65.88;65.88;173.43;173.43;151.94;151.94;18.16;18.16;4.22;4.22;0.09;49;49;160.2;160.2;168.3;168.3;101.14;101.14;242.39;242.39;226.89;226.89;116.65;116.65;180.92;180.92;91.83;91.83;70.78;70.78;2753;2140;3158;3540;0;0;0;0
