team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
i miss nitrofist &   ;"  ";1;0;0.00;405;405;1;1;0;0;2;2;5;5;10;10;6;6;2;2;20;503;51.64;3081;3081;2396;2396;685;685;27;27;62;62;431;431;233;233;198;198;3;3;19;19;52.24;52.24;30.42;30.42;350;350;334;334;83;83;1694;556595;556595;135.54;135.54;148.19;148.19;86.29;86.29;190.34;190.34;167.26;167.26;12.42;12.42;8.84;8.84;0.1;89;89;184.5;184.5;182.1;182.1;84.82;84.82;285.21;285.21;270.1;270.1;99.92;99.92;210.9;210.9;103.78;103.78;55.35;55.35;2362;2216;2510;3000;0;0;3;3
"   EnVy    & Bene00";"   EnVy   ";1;0;0.00;339;339;1;1;0;0;2;2;3;3;9;9;4;4;2;2;33.33;390;52.25;1365;1365;982;982;383;383;12;12;37;37;236;236;160;160;76;76;2;2;7;7;38.12;38.12;37.89;37.89;43;43;260;260;46;46;1430;289911;289911;116.67;116.67;86.09;86.09;20.34;20.34;119.3;119.3;83.23;83.23;20.58;20.58;3.64;3.64;0.1;38;38;104.5;104.5;104.5;104.5;60.3;60.3;162.8;162.8;157.47;157.47;65.63;65.63;128.25;128.25;53.12;53.12;41.73;41.73;2693;2603;2790;2888;0;0;1;1
sdc. 0 & Y2 Maximilliano & Play high, don't expect too much;" Sela ";1;1;100.00;586;586;2;2;2;2;2;2;5;5;7;7;4;4;2;2;40;350;52.79;2229;2229;1610;1610;619;619;20;20;55;55;623;623;400;400;223;223;4;4;19;19;24.82;24.82;58.11;58.11;136;136;412;412;0;0;1510;505800;505800;187.02;187.02;128.26;128.26;56.65;56.65;182.65;182.65;162.03;162.03;27.25;27.25;5.11;5.11;0.08;63;63;175.1;175.1;167.8;167.8;78.4;78.4;293.52;293.52;224.48;224.48;147.44;147.44;163.15;163.15;117.43;117.43;91.35;91.35;2398;2346;2433;3197;3;3;1;1
Raulercoaster & !ansi;!ansi;1;0;0.00;88;88;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;346;48.99;601;601;436;436;165;165;5;5;15;15;52;52;0;0;52;52;0;0;5;5;11.67;11.67;8.34;8.34;184;184;63;63;0;0;1265;125551;125551;70.44;70.44;30.85;30.85;12.17;12.17;70.11;70.11;43.35;43.35;0;0;1.27;1.27;0.12;11;11;76.4;76.4;32.9;32.9;22.58;22.58;90.88;90.88;88.18;88.18;25.28;25.28;76.61;76.61;19.43;19.43;17.43;17.43;2163;1507;2285;2590;0;0;0;0
QAMIWEPT & Inzayneboy6 & zMIXER5;$napz47;1;1;100.00;399;399;2;2;0;0;1;1;5;5;6;6;4;4;2;2;40;380;42.76;2547;2547;1563;1563;984;984;19;19;80;80;380;380;78;78;302;302;1;1;26;26;34.29;34.29;28.73;28.73;274;274;349;349;21;21;1503;531492;531492;189.05;189.05;166.56;166.56;34.47;34.47;233.95;233.95;143.02;143.02;13.11;13.11;5.85;5.85;0.15;38;38;154.5;154.5;211.3;211.3;128.52;128.52;261.56;261.56;239.35;239.35;150.73;150.73;167.46;167.46;132.86;132.86;89.76;89.76;3153;3221;3112;3660;1;1;0;0
Trashziii & ' # carrotN#;' # carrotN#;2;2;100.00;926;463;0;0;0;0;6;3;8;4;8;4;0;0;0;0;0;388;60.12;4216;2108;2630;1315;1586;793;38;19;128;64;776;388;388;194;388;194;6;3;34;17;35.12;17.56;102.65;51.33;242;121;1240;620;218;109;1554;958990;479495;262.45;131.23;299.49;149.74;70.54;35.27;378.8;189.4;228.19;114.1;25.48;12.74;17.52;8.76;0.12;140;70;354.6;177.3;276.9;138.45;140.44;70.22;492.04;246.02;403.75;201.88;228.72;114.36;311.57;155.79;194.91;97.46;125.98;62.99;2537.5;2358;2716.5;3480.5;0;0;0;0
"';LD0 =0;>2 & Flankenkoenig";"';LD0 =0;>2";1;0;0.00;158;158;0;0;1;1;0;0;2;2;4;4;3;3;3;3;0;346;50.7;957;957;752;752;205;205;9;9;20;20;162;162;75;75;87;87;1;1;9;9;6.15;6.15;18.25;18.25;35;35;151;151;29;29;1297;188722;188722;101.81;101.81;56.63;56.63;5.74;5.74;123.37;123.37;40.81;40.81;0;0;5.35;5.35;0.16;34;34;115.2;115.2;41.1;41.1;26.15;26.15;138.03;138.03;119.57;119.57;44.61;44.61;100.14;100.14;35.94;35.94;28.09;28.09;2589;2178;2768;3227;0;0;0;0
(4D'G & blinkzys;(4D'G;1;0;0.00;756;756;3;3;1;1;2;2;8;8;9;9;5;5;2;2;37.5;442;46.35;3254;3254;2520;2520;734;734;30;30;65;65;625;625;332;332;293;293;4;4;26;26;62.58;62.58;34.84;34.84;712;712;494;494;82;82;1615;642935;642935;193.45;193.45;149.95;149.95;100.38;100.38;255.16;255.16;175.39;175.39;13.22;13.22;9.49;9.49;0.13;75;75;218;218;198.6;198.6;108.02;108.02;335.76;335.76;295.21;295.21;148.57;148.57;217.92;217.92;135.69;135.69;90.17;90.17;2342;2112;2657;3078;0;0;1;1
ANSEW & Folgado51 & hello am Richard;(:3RDUC3:);1;0;0.00;411;411;1;1;0;0;2;2;5;5;7;7;2;2;2;2;20;283;56.86;1659;1659;1156;1156;503;503;18;18;45;45;309;309;178;178;131;131;3;3;13;13;27;27;50.7;50.7;133;133;669;669;135;135;1544;490606;490606;145.74;145.74;151.06;151.06;36.54;36.54;153.67;153.67;152.02;152.02;27.65;27.65;2.94;2.94;0.08;38;38;172.7;172.7;152.9;152.9;83.66;83.66;249.68;249.68;196.26;196.26;137.08;137.08;134.21;134.21;115.86;115.86;83.27;83.27;2735;2624;2838;3754;0;0;0;0
**** Maldock & coxisco 1st;**** Maldock;1;1;100.00;573;573;3;3;0;0;0;0;4;4;2;2;0;0;0;0;75;381;53.16;2126;2126;1542;1542;584;584;18;18;51;51;810;810;592;592;218;218;7;7;19;19;66.68;66.68;30.21;30.21;272;272;257;257;107;107;1572;500465;500465;146.01;146.01;145.33;145.33;42.8;42.8;178.01;178.01;142.83;142.83;13.3;13.3;7.13;7.13;0.11;67;67;148.7;148.7;180.6;180.6;91.6;91.6;242.54;242.54;210.57;210.57;123.57;123.57;162.06;162.06;97.89;97.89;74.19;74.19;2236;2120;2392;2829;0;0;0;0
