team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"  Dilly   & RottenDeath273";"  Dilly  ";1;1;100.00;695;695;2;2;1;1;2;2;6;6;5;5;2;2;2;2;33.33;458;47.18;2637;2637;2036;2036;601;601;25;25;54;54;254;254;100;100;154;154;1;1;13;13;60.87;60.87;39.82;39.82;332;332;495;495;3;3;1600;523634;523634;151.59;151.59;147.03;147.03;55.27;55.27;199.11;199.11;133.5;133.5;21.28;21.28;4.03;4.03;0.08;49;49;194.7;194.7;137;137;63.71;63.71;290.18;290.18;232.9;232.9;121;121;170.05;170.05;121.02;121.02;62.82;62.82;2429;2147;2617;3196;1;1;0;0
STEVANY & !;!;1;1;100.00;721;721;2;2;1;1;3;3;3;3;6;6;2;2;1;1;66.67;504;50.43;2825;2825;2262;2262;563;563;28;28;46;46;691;691;468;468;223;223;5;5;13;13;36.55;36.55;78.58;78.58;372;372;567;567;40;40;1508;499545;499545;178.5;178.5;114.82;114.82;61.11;61.11;200.66;200.66;128.27;128.27;25.5;25.5;10.31;10.31;0.15;69;69;164.5;164.5;185.1;185.1;104.03;104.03;250.4;250.4;207.26;207.26;147.17;147.17;146.02;146.02;122.48;122.48;85.93;85.93;2004;1910;2088;2769;0;0;1;1
JayTuu & ##!-# Impostor -#!## & MPrphss;##!-# Impostor -#!##;1;0;0.00;160;160;0;0;0;0;1;1;1;1;5;5;2;2;1;1;0;379;49.08;1009;1009;659;659;350;350;8;8;30;30;215;215;164;164;51;51;2;2;5;5;18.18;18.18;7.57;7.57;40;40;149;149;44;44;1354;201674;201674;89.46;89.46;53.05;53.05;14.78;14.78;108.03;108.03;49.27;49.27;0;0;4.03;4.03;0.14;28;28;67.4;67.4;83.2;83.2;49.11;49.11;108.19;108.19;116.52;116.52;40.78;40.78;103;103;27.24;27.24;27.06;27.06;2241;1641;2708;3513;0;0;0;0
Reaper & mr. munch made & *******;#1 RANKED CASEOH CLONE;1;1;100.00;751;751;3;3;0;0;1;1;7;7;6;6;0;0;0;0;42.86;382;55.9;2219;2219;1636;1636;583;583;19;19;53;53;480;480;230;230;250;250;3;3;23;23;30.96;30.96;36.33;36.33;158;158;284;284;69;69;1458;470628;470628;176.72;176.72;132.14;132.14;33.17;33.17;183.41;183.41;138.21;138.21;20.41;20.41;7.4;7.4;0.09;80;80;133.2;133.2;198.3;198.3;79.62;79.62;262.41;262.41;182.81;182.81;159.22;159.22;137.86;137.86;93.11;93.11;111.06;111.06;2182;1899;2541;3090;0;0;1;1
phytho. & %V#l  Dr. Seahorse;%V#l  Dr. Seahorse;1;0;0.00;556;556;2;2;0;0;3;3;3;3;11;11;3;3;2;2;66.67;389;52.87;2496;2496;1631;1631;865;865;21;21;72;72;995;995;598;598;397;397;7;7;32;32;25.51;25.51;46.94;46.94;397;397;314;314;37;37;1448;562474;562474;221.34;221.34;142.35;142.35;48.28;48.28;252.69;252.69;141.81;141.81;17.47;17.47;15.6;15.6;0.13;124;124;177.8;177.8;219.1;219.1;119.07;119.07;292.9;292.9;248.66;248.66;163.31;163.31;181.42;181.42;137.52;137.52;93.02;93.02;2495;2460;2528;3263;1;1;0;0
Barkstomps & crocky lemons & GILLY4000;& bad by choice &;2;1;50.00;1215;607.5;5;2.5;2;1;2;1;8;4;19;9.5;11;5.5;4;2;62.5;457.76;45.81;5198;2599;4164;2082;1034;517;47;23.5;79;39.5;952;476;655;327.5;297;148.5;7;3.5;25;12.5;123.02;61.51;105.35;52.67;643;321.5;568;284;49;24.5;1434.53;982163;491081.5;404.91;202.45;289.27;144.63;78.37;39.18;460.25;230.12;282.21;141.1;30.09;15.05;11.75;5.88;0.19;63;31.5;353.5;176.75;358;179;213.38;106.69;559.17;279.58;510.61;255.3;261.95;130.98;371.67;185.84;244.43;122.21;156.44;78.22;2769.12;2675.63;2857.56;3237.64;3;1.5;2;1
MR. WHIFF3R & Venxm & (Sleeping Forest) Ringo;(Sleeping Forest) Ringo;1;0;0.00;296;296;1;1;0;0;1;1;4;4;6;6;4;4;0;0;25;335;49.93;1406;1406;1090;1090;316;316;12;12;29;29;117;117;0;0;117;117;0;0;10;10;28.66;28.66;28.3;28.3;36;36;123;123;0;0;1548;320993;320993;97.84;97.84;100.01;100.01;28.31;28.31;125.26;125.26;94.52;94.52;6.39;6.39;2.87;2.87;0.1;29;29;93.3;93.3;115;115;59.57;59.57;166.59;166.59;129.28;129.28;96.88;96.88;102.76;102.76;66.45;66.45;56.95;56.95;3027;2697;3245;3545;0;0;0;0
Shea Butter & Beaver & Lebron James 112;*****;1;1;100.00;457;457;3;3;0;0;0;0;3;3;4;4;1;1;1;1;100;268;50.77;1248;1248;621;621;627;627;7;7;53;53;180;180;0;0;180;180;0;0;15;15;18.2;18.2;28.87;28.87;31;31;80;80;0;0;1275;322339;322339;180.63;180.63;79.58;79.58;12.27;12.27;190.24;190.24;78.99;78.99;3.27;3.27;4.47;4.47;0.19;24;24;155.5;155.5;98.5;98.5;48.78;48.78;223.71;223.71;178.59;178.59;93.9;93.9;134.32;134.32;88.22;88.22;49.95;49.95;2311;2411;2130;2640;0;0;1;1
***** Cricket & AnarchyLime;***** Cricket;1;0;0.00;418;418;1;1;0;0;2;2;1;1;9;9;4;4;2;2;100;338;59.15;1852;1852;1216;1216;636;636;15;15;57;57;307;307;81;81;226;226;2;2;19;19;13.38;13.38;48.73;48.73;260;260;319;319;120;120;1462;444289;444289;154.45;154.45;135.64;135.64;32.79;32.79;197.57;197.57;113.65;113.65;11.66;11.66;5.46;5.46;0.11;49;49;180.8;180.8;144.9;144.9;97.96;97.96;224.92;224.92;222.87;222.87;100.02;100.02;175.48;175.48;90.02;90.02;57.39;57.39;2926;2487;3171;3844;1;1;3;3
Matteo Prime 0 & *******;*******;1;0;0.00;661;661;2;2;0;0;4;4;2;2;11;11;5;5;3;3;100;375;51.23;2572;2572;1968;1968;604;604;24;24;59;59;489;489;300;300;189;189;3;3;19;19;24.77;24.77;45.62;45.62;380;380;366;366;14;14;1512;523809;523809;177.93;177.93;167.72;167.72;40.66;40.66;253.19;253.19;122.23;122.23;10.89;10.89;3.86;3.86;0.1;38;38;198.5;198.5;172.7;172.7;80.28;80.28;306.03;306.03;273.79;273.79;112.53;112.53;215.61;215.61;109.19;109.19;61.51;61.51;2413;2527;2326;2956;0;0;2;2
