team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & HardyBoys62";;1;0;0.00;440;440;2;2;0;0;1;1;4;4;12;12;4;4;0;0;50;247;50.57;1631;1631;1121;1121;510;510;14;14;43;43;319;319;187;187;132;132;2;2;11;11;34.59;34.59;72.61;72.61;190;190;281;281;12;12;1400;465988;465988;206.87;206.87;119.01;119.01;32.66;32.66;212.27;212.27;126.08;126.08;20.18;20.18;3.46;3.46;0.19;18;18;156.9;156.9;188.6;188.6;106.42;106.42;252.12;252.12;239.41;239.41;119.12;119.12;186.18;186.18;104.83;104.83;67.53;67.53;2450;2279;2596;2992;0;0;0;0
zwalli. & (0:@>=8;(0:@>=8;1;1;100.00;452;452;0;0;3;3;1;1;1;1;9;9;3;3;1;1;0;387;37.85;1548;1548;1087;1087;461;461;11;11;42;42;314;314;200;200;114;114;2;2;10;10;61.66;61.66;6.72;6.72;220;220;12;12;0;0;1508;373012;373012;136.61;136.61;103.03;103.03;37.31;37.31;152.3;152.3;115.34;115.34;9.31;9.31;4.81;4.81;0.08;61;61;136.8;136.8;111.9;111.9;81.94;81.94;195;195;207.32;207.32;69.62;69.62;163.52;163.52;73.14;73.14;40.29;40.29;2458;2606;2349;2975;0;0;0;0
,iebe & madsevlB & kaceystyles;,iebe;10;6;60.00;4997;499.7;14;1.4;14;1.4;13;1.3;46;4.6;51;5.1;23;2.3;11;1.1;30.43;415.75;45.54;19105;1910.5;14820;1482;4285;428.5;168;16.8;361;36.1;5047;504.7;3530;353;1517;151.7;39;3.9;126;12.6;442.31;44.23;235.58;23.56;1099;109.9;1292;129.2;160;16;1521.9;3876480;387648;1305.26;130.53;1116.17;111.62;339.98;34;1404.25;140.43;1202;120.2;155.17;15.52;46.32;4.63;0.11;440;44;1156.6;115.66;1475.3;147.53;692.45;69.25;2068.95;206.89;1556.15;155.62;1205.26;120.53;1107.75;110.78;897.79;89.78;755.88;75.59;2154.48;1944.79;2361.61;3159.53;5;0.5;12;1.2
. & Mister_Baljeet;.;1;0;0.00;504;504;0;0;1;1;4;4;1;1;8;8;3;3;2;2;0;295;46.63;1767;1767;933;933;834;834;11;11;67;67;254;254;130;130;124;124;2;2;11;11;31.94;31.94;16.74;16.74;163;163;178;178;73;73;1358;445862;445862;210.1;210.1;114.2;114.2;27.4;27.4;213.78;213.78;131.62;131.62;6.29;6.29;8.24;8.24;0.14;57;57;203.5;203.5;132;132;98.01;98.01;253.69;253.69;253.72;253.72;97.98;97.98;187.48;187.48;121.53;121.53;42.7;42.7;2428;2404;2388;2888;1;1;0;0
A$H & . & Azels_Ghost2;.;6;5;83.33;4372;728.67;20;3.33;7;1.17;12;2;31;5.17;25;4.17;10;1.67;4;0.67;64.52;379.8;48.96;8703;1450.5;5887;981.17;2816;469.33;75;12.5;222;37;2418;403;1487;247.83;931;155.17;18;3;87;14.5;138.22;23.04;125.14;20.86;858;143;1696;282.67;349;58.17;1533.73;1847382;307897;684.62;114.1;501.42;83.57;195.01;32.5;790.25;131.71;525.42;87.57;65.37;10.89;27.14;4.52;0.14;190;31.67;616.7;102.78;639.1;106.52;277.75;46.29;1103.32;183.89;849.92;141.65;531.14;88.52;617.66;102.94;440.06;73.34;323.34;53.89;2378.85;2226.13;2453.84;3270.51;1;0.17;4;0.67
Skies & . & Aky;.;2;0;0.00;1192;596;1;0.5;1;0.5;9;4.5;5;2.5;25;12.5;6;3;3;1.5;20;478.56;51.63;6427;3213.5;4879;2439.5;1548;774;62;31;139;69.5;1148;574;776;388;372;186;9;4.5;34;17;108.76;54.38;89.17;44.58;932;466;1311;655.5;89;44.5;1487.22;1176547;588273.5;397.74;198.87;331.25;165.62;108.99;54.49;506.43;253.21;290.37;145.18;41.2;20.6;18.26;9.13;0.09;197;98.5;431.6;215.8;378.1;189.05;227.35;113.68;610.64;305.32;584.89;292.45;253.1;126.55;444.91;222.46;254.03;127.01;139.05;69.52;2315.34;2248.22;2364.48;3002.66;1;0.5;1;0.5
Spyton0 & le-paysan-89 & .Jim;.Jim;1;1;100.00;614;614;3;3;0;0;1;1;6;6;3;3;0;0;0;0;50;400;43.85;1904;1904;1344;1344;560;560;17;17;49;49;297;297;92;92;205;205;2;2;18;18;61.16;61.16;26.74;26.74;171;171;360;360;107;107;1587;462339;462339;113.79;113.79;156.91;156.91;33.58;33.58;162.77;162.77;124.35;124.35;17.16;17.16;3.93;3.93;0.12;34;34;103.8;103.8;191.4;191.4;56.22;56.22;248.06;248.06;157.87;157.87;146.41;146.41;114.47;114.47;94.94;94.94;94.86;94.86;2397;2189;2582;3215;0;0;0;0
0 Maniak. & cr3ckedjstn0;0 Maniak.;1;1;100.00;716;716;3;3;0;0;2;2;7;7;9;9;2;2;2;2;42.86;352;65.22;2140;2140;1537;1537;603;603;24;24;59;59;544;544;435;435;109;109;5;5;10;10;20.26;20.26;45.53;45.53;100;100;927;927;75;75;1423;474414;474414;197.14;197.14;126.88;126.88;37.66;37.66;198.61;198.61;150.89;150.89;12.19;12.19;20.87;20.87;0.17;120;120;202.7;202.7;149.2;149.2;55.01;55.01;306.68;306.68;257.72;257.72;103.96;103.96;183.39;183.39;121.21;121.21;57.09;57.09;2813;3047;2518;3631;0;0;0;0
Darkstorm77 & EXZOTIC_REYES & Hiinuaa;0 XaMp 0;1;0;0.00;264;264;0;0;0;0;1;1;3;3;10;10;3;3;2;2;0;380;47.88;2062;2062;1546;1546;516;516;18;18;47;47;324;324;252;252;72;72;3;3;7;7;32.7;32.7;33.72;33.72;282;282;260;260;47;47;1286;406200;406200;201.34;201.34;103.75;103.75;27.42;27.42;192.29;192.29;125.34;125.34;14.86;14.86;2.71;2.71;0.14;19;19;152.4;152.4;186.7;186.7;119.38;119.38;213.12;213.12;251.62;251.62;80.88;80.88;201.53;201.53;76.31;76.31;54.67;54.67;2277;2187;2278;2732;1;1;2;2
00 Lani & bartez972;00 Lani;1;0;0.00;362;362;0;0;1;1;2;2;3;3;10;10;3;3;3;3;0;384;47.88;2630;2630;2042;2042;588;588;23;23;53;53;487;487;300;300;187;187;3;3;16;16;45.71;45.71;73.21;73.21;222;222;293;293;0;0;1571;587469;587469;175.6;175.6;157.12;157.12;63.1;63.1;203.84;203.84;157.83;157.83;34.15;34.15;7.77;7.77;0.12;63;63;214.8;214.8;164.1;164.1;81.41;81.41;314.4;314.4;244.04;244.04;151.77;151.77;170.65;170.65;146.12;146.12;79.04;79.04;2432;2238;2672;3124;0;0;2;2
