team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Incoming! & !Comingin;!Comingin;12;8;66.67;5588;465.67;17;1.42;11;0.92;20;1.67;49;4.08;90;7.5;27;2.25;16;1.33;34.69;465.2;49.56;30274;2522.83;21713;1809.42;8561;713.42;268;22.33;759;63.25;6649;554.08;3960;330;2689;224.08;51;4.25;241;20.08;520.28;43.36;293.93;24.49;7660;638.33;5096;424.67;1155;96.25;1695.54;6329009;527417.44;1421.24;118.44;1585.49;132.12;997.42;83.12;2304.15;192.01;1564.99;130.42;135.05;11.25;93.2;7.77;0.12;794;66.17;1703.7;141.97;2112.4;176.03;1093.11;91.09;2911.01;242.58;2574.49;214.54;1429.67;119.14;1852.39;154.37;1303.69;108.64;848.07;70.67;2406.94;2311.66;2486.5;3233.23;16;1.33;14;1.17
Rosy Prowler & $$$QMKMMMMMMM$ & Onyxtrooper;$$$QMKMMMMMMM$;1;0;0.00;4;4;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;321;56.94;248;248;192;192;56;56;2;2;5;5;0;0;0;0;0;0;0;0;0;0;4.84;4.84;4.78;4.78;50;50;7;7;0;0;1411;48659;48659;24.21;24.21;11.66;11.66;4.05;4.05;29.22;29.22;10.69;10.69;0;0;1.54;1.54;0.13;12;12;29.7;29.7;10.3;10.3;6.52;6.52;33.4;33.4;32.6;32.6;7.32;7.32;26.62;26.62;11.97;11.97;1.34;1.34;2869;3421;1658;3481;0;0;1;1
& & /&;&;1;1;100.00;522;522;2;2;0;0;2;2;5;5;8;8;2;2;1;1;40;439;50.61;2410;2410;1860;1860;550;550;21;21;50;50;442;442;300;300;142;142;3;3;12;12;54.86;54.86;31.88;31.88;189;189;246;246;0;0;1527;509291;509291;161.79;161.79;146.6;146.6;51.37;51.37;208.53;208.53;133.3;133.3;17.93;17.93;5.51;5.51;0.08;67;67;166.9;166.9;174.6;174.6;99.14;99.14;260.62;260.62;214.57;214.57;145.19;145.19;163.62;163.62;104.33;104.33;91.81;91.81;2532;2518;2533;3082;1;1;1;1
'BL4DE & BrYzly;'BL4DE;1;0;0.00;301;301;0;0;0;0;2;2;5;5;10;10;4;4;2;2;0;438;50.75;2561;2561;2041;2041;520;520;25;25;47;47;493;493;342;342;151;151;5;5;14;14;31.06;31.06;41.15;41.15;401;401;460;460;157;157;1540;493106;493106;155.92;155.92;135.68;135.68;51.87;51.87;197.93;197.93;137.05;137.05;8.51;8.51;4.46;4.46;0.15;29;29;159.8;159.8;179.5;179.5;120.41;120.41;223.08;223.08;216.56;216.56;126.92;126.92;169.7;169.7;102.72;102.72;71.06;71.06;2764;2897;2660;3597;0;0;3;3
BananMan19 & FlippnToast & 'F/1J3.;'F/1J3.;1;0;0.00;502;502;2;2;0;0;0;0;8;8;8;8;5;5;4;4;25;446;50.73;2903;2903;2150;2150;753;753;25;25;68;68;626;626;395;395;231;231;5;5;22;22;37.62;37.62;33.43;33.43;264;264;370;370;110;110;1557;541116;541116;173.22;173.22;173.6;173.6;39.47;39.47;221.8;221.8;143.03;143.03;21.46;21.46;6.98;6.98;0.09;80;80;182.5;182.5;178.2;178.2;98.72;98.72;287.56;287.56;238.97;238.97;147.31;147.31;163.41;163.41;136.04;136.04;86.83;86.83;2595;2330;2843;3706;0;0;1;1
( . Y . ) & dylpickle_ii;( . Y . );1;0;0.00;592;592;2;2;2;2;2;2;5;5;15;15;7;7;3;3;40;387;58.98;2639;2639;1870;1870;769;769;26;26;69;69;612;612;323;323;289;289;5;5;26;26;26.11;26.11;72.84;72.84;378;378;772;772;186;186;1535;547648;547648;199.41;199.41;165.44;165.44;48.17;48.17;276.75;276.75;126.57;126.57;9.7;9.7;6.23;6.23;0.13;47;47;203.1;203.1;180.2;180.2;105.32;105.32;307.69;307.69;269.16;269.16;143.86;143.86;212.07;212.07;117.62;117.62;83.32;83.32;2947;2839;3070;3764;1;1;0;0
****** & Guardians_335;******;1;0;0.00;399;399;0;0;0;0;4;4;1;1;15;15;3;3;1;1;0;384;56.53;1740;1740;1240;1240;500;500;16;16;41;41;240;240;66;66;174;174;2;2;15;15;25.21;25.21;25.86;25.86;197;197;93;93;0;0;1522;435674;435674;134.45;134.45;134.01;134.01;30.21;30.21;190.3;190.3;92.94;92.94;15.43;15.43;4.4;4.4;0.13;34;34;157.4;157.4;128.8;128.8;93.45;93.45;205.22;205.22;214.3;214.3;84.36;84.36;166.38;166.38;82.54;82.54;49.75;49.75;2357;2291;2409;3073;0;0;0;0
****** DaddyZike & jasonthefine;****** DaddyZike;1;1;100.00;503;503;1;1;2;2;1;1;5;5;7;7;3;3;1;1;20;363;50.58;2327;2327;1818;1818;509;509;22;22;47;47;950;950;736;736;214;214;9;9;19;19;48.67;48.67;49.9;49.9;97;97;411;411;171;171;1426;482666;482666;195.88;195.88;146.88;146.88;26.72;26.72;192.06;192.06;157.99;157.99;19.42;19.42;3.36;3.36;0.19;18;18;157.3;157.3;191.4;191.4;98.03;98.03;271.45;271.45;207.52;207.52;161.95;161.95;150.49;150.49;101.86;101.86;117.13;117.13;2054;1740;2371;2836;1;1;2;2
Albertert & *******;*******;1;0;0.00;402;402;2;2;0;0;2;2;1;1;9;9;6;6;3;3;200;543;53.7;2855;2855;2200;2200;655;655;24;24;51;51;626;626;376;376;250;250;5;5;16;16;49.73;49.73;17.58;17.58;605;605;129;129;43;43;1573;469458;469458;139.26;139.26;132.45;132.45;61.31;61.31;191.32;191.32;130.66;130.66;11.03;11.03;2.81;2.81;0.1;27;27;153.2;153.2;152.2;152.2;112.5;112.5;220.52;220.52;227.98;227.98;105.04;105.04;177.78;177.78;100.43;100.43;54.8;54.8;3129;2750;3531;3803;2;2;0;0
eitan & ******* & Jkettner;*******;2;2;100.00;1186;593;3;1.5;3;1.5;5;2.5;8;4;12;6;4;2;0;0;37.5;454.8;48.32;5268;2634;4190;2095;1078;539;48;24;96;48;1173;586.5;752;376;421;210.5;9;4.5;37;18.5;90.49;45.24;84.28;42.14;986;493;652;326;160;80;1512.57;1009749;504874.5;343.54;171.77;263.05;131.52;111.4;55.7;411.61;205.8;269.12;134.56;37.26;18.63;11.72;5.86;0.14;94;47;298.3;149.15;386.4;193.2;174.17;87.08;543.82;271.91;430.64;215.32;287.35;143.67;325.52;162.76;208.89;104.44;183.58;91.79;2318.68;2261.79;2355.81;3292.02;3;1.5;1;0.5
