team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & LW.";"  ";1;0;0.00;220;220;1;1;0;0;0;0;3;3;9;9;5;5;1;1;33.33;479;47.88;2125;2125;1685;1685;440;440;20;20;41;41;383;383;225;225;158;158;4;4;15;15;29.36;29.36;25.21;25.21;267;267;337;337;185;185;1659;410386;410386;104.92;104.92;100.88;100.88;62.69;62.69;134.14;134.14;119.7;119.7;14.64;14.64;5.66;5.66;0.1;58;58;125.3;125.3;137.7;137.7;84.11;84.11;184.38;184.38;167.55;167.55;100.94;100.94;125.84;125.84;82.54;82.54;60.11;60.11;2389;2212;2501;3349;1;1;2;2
"   rkburak    & Dr4k0zZ";"   rkburak   ";1;0;0.00;396;396;2;2;0;0;1;1;2;2;9;9;5;5;5;5;100;476;49.54;2210;2210;1629;1629;581;581;18;18;53;53;127;127;0;0;127;127;0;0;11;11;30.89;30.89;28.51;28.51;104;104;190;190;4;4;1532;400995;400995;137.41;137.41;104.2;104.2;46.61;46.61;158.96;158.96;115.98;115.98;13.28;13.28;6.39;6.39;0.14;47;47;135.3;135.3;136;136;78.17;78.17;210.05;210.05;214.9;214.9;73.33;73.33;161.21;161.21;82.25;82.25;44.77;44.77;2308;1886;2593;3423;0;0;2;2
! & Sihnez & AReyals;!;4;3;75.00;1971;492.75;8;2;6;1.5;1;0.25;16;4;21;5.25;9;2.25;4;1;50;380.18;50.57;8849;2212.25;6141;1535.25;2708;677;77;19.25;233;58.25;2487;621.75;1700;425;787;196.75;21;5.25;72;18;148.11;37.03;171.61;42.9;641;160.25;1450;362.5;366;91.5;1592.14;1963274;490818.5;570.42;142.6;593.47;148.37;186.66;46.67;768.36;192.09;492.84;123.21;89.35;22.34;27.51;6.88;0.11;256;64;650;162.5;656.9;164.23;357.26;89.32;993.29;248.32;871.76;217.94;478.79;119.7;621.83;155.46;448.05;112.01;280.67;70.17;2762.67;2599.08;2929.81;3405.38;6;1.5;7;1.75
! & tank & nardines.;!;3;1;33.33;2120;706.67;6;2;2;0.67;11;3.67;10;3.33;32;10.67;13;4.33;6;2;60;368.04;51.73;7701;2567;5127;1709;2574;858;70;23.33;231;77;2232;744;1405;468.33;827;275.67;21;7;72;24;71.96;23.99;138.89;46.3;1227;409;1378;459.33;461;153.67;1432.42;1651918;550639.31;685.99;228.66;370.8;123.6;186.6;62.2;801.45;267.15;413.47;137.82;28.48;9.49;33.56;11.19;0.1;343;114.33;649.7;216.57;545.1;181.7;314.45;104.82;928.94;309.65;820.64;273.55;422.74;140.91;617.9;205.97;388.77;129.59;236.73;78.91;2360.67;2233.32;2431.8;3065.57;4;1.33;1;0.33
!25B0 (C<>20O & [FZ]BILIDGIN;!25B0 (C<>20O;1;1;100.00;302;302;0;0;2;2;0;0;5;5;5;5;1;1;0;0;0;374;47.73;2165;2165;1714;1714;451;451;20;20;41;41;499;499;283;283;216;216;3;3;18;18;53.34;53.34;58.41;58.41;235;235;242;242;16;16;1594;523510;523510;138.44;138.44;165.25;165.25;44.17;44.17;196.3;196.3;132.07;132.07;19.5;19.5;7.23;7.23;0.12;61;61;169.9;169.9;164.8;164.8;78.96;78.96;268.91;268.91;185.08;185.08;162.79;162.79;121.21;121.21;138.55;138.55;88.1;88.1;2617;2346;2951;3435;1;1;0;0
akmo & KOLO MUANI. & RiZaXe_Crazy7;$nYxx;1;1;100.00;685;685;2;2;1;1;2;2;6;6;5;5;3;3;3;3;33.33;452;54.14;2764;2764;2272;2272;492;492;28;28;45;45;338;338;210;210;128;128;3;3;11;11;37.63;37.63;59.42;59.42;245;245;565;565;89;89;1581;565143;565143;156.01;156.01;166.69;166.69;61.65;61.65;205.76;205.76;156.75;156.75;21.82;21.82;9.39;9.39;0.12;81;81;181.8;181.8;187.2;187.2;102.06;102.06;282.27;282.27;232.49;232.49;151.85;151.85;165.06;165.06;120.84;120.84;98.43;98.43;2209;2069;2335;2740;2;2;2;2
'Bob & SKEELE -;'Bob;1;0;0.00;763;763;2;2;0;0;4;4;6;6;11;11;3;3;1;1;33.33;458;43.55;2545;2545;1846;1846;699;699;23;23;52;52;451;451;343;343;108;108;4;4;9;9;71.67;71.67;38.17;38.17;400;400;364;364;56;56;1608;520911;520911;138.35;138.35;143.7;143.7;63.69;63.69;185.4;185.4;137.99;137.99;22.36;22.36;6.13;6.13;0.11;58;58;174.8;174.8;162.1;162.1;94.11;94.11;251.64;251.64;216.37;216.37;129.38;129.38;152.51;152.51;106.98;106.98;86.26;86.26;2442;1858;2934;3363;0;0;1;1
*' Cuco & ByBxn;*' Cuco;1;1;100.00;486;486;2;2;1;1;0;0;8;8;3;3;1;1;0;0;25;508;50.42;2826;2826;2262;2262;564;564;29;29;46;46;850;850;669;669;181;181;8;8;17;17;47.9;47.9;34.08;34.08;516;516;651;651;132;132;1599;524862;524862;143.38;143.38;140.6;140.6;68.16;68.16;170.96;170.96;153.41;153.41;27.76;27.76;5.12;5.12;0.12;44;44;139;139;195.2;195.2;97.73;97.73;254.41;254.41;198.86;198.86;153.28;153.28;140.6;140.6;113.46;113.46;98.08;98.08;2307;2398;2189;2979;0;0;0;0
Uhto11 & Mr.BlackMan. & *'Mersinli #ArArAr;*'Mersinli #ArArAr;1;0;0.00;573;573;2;2;1;1;1;1;6;6;5;5;4;4;2;2;33.33;421;49.61;2639;2639;1976;1976;663;663;22;22;54;54;817;817;640;640;177;177;7;7;18;18;40.09;40.09;29.73;29.73;387;387;271;271;80;80;1513;516199;516199;179.08;179.08;147.5;147.5;44.26;44.26;221.92;221.92;124.61;124.61;24.31;24.31;0;0;0;0;0;166.9;166.9;179.2;179.2;116.39;116.39;254.45;254.45;233.05;233.05;137.79;137.79;168.36;168.36;108.01;108.01;94.46;94.46;2673;2513;2835;3350;0;0;0;0
ReconzTV & ****** cant peak;****** cant peak;1;1;100.00;178;178;1;1;0;0;0;0;3;3;5;5;1;1;1;1;33.33;370;65.9;1738;1738;1271;1271;467;467;16;16;47;47;263;263;100;100;163;163;1;1;15;15;23.11;23.11;38.69;38.69;85;85;393;393;16;16;1480;388430;388430;131.41;131.41;136.16;136.16;20.69;20.69;186.93;186.93;97.44;97.44;3.9;3.9;4.07;4.07;0.1;39;39;161;161;100.7;100.7;66.56;66.56;221.71;221.71;177.83;177.83;110.44;110.44;129.54;129.54;98.58;98.58;60.16;60.16;2630;2644;2593;2873;0;0;0;0
