team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
m e r v a n & gaf_washed_999 &   ;"  ";1;0;0.00;455;455;1;1;1;1;1;1;3;3;7;7;4;4;2;2;33.33;478;50.16;2807;2807;2248;2248;559;559;26;26;52;52;555;555;315;315;240;240;4;4;22;22;26.03;26.03;32.28;32.28;374;374;359;359;87;87;1633;543225;543225;140.19;140.19;153.69;153.69;65.34;65.34;182.12;182.12;162.43;162.43;14.67;14.67;8.04;8.04;0.09;87;87;164.9;164.9;179.4;179.4;88.76;88.76;270.45;270.45;201.06;201.06;158.16;158.16;143.07;143.07;130.54;130.54;85.6;85.6;2383;2250;2540;3121;1;1;1;1
"   ; & nkc rl";"   ;";1;1;100.00;740;740;4;4;0;0;1;1;6;6;3;3;1;1;1;1;66.67;450;43.33;1613;1613;1242;1242;371;371;14;14;32;32;540;540;429;429;111;111;5;5;10;10;39.56;39.56;33.14;33.14;174;174;157;157;70;70;1586;343627;343627;102.92;102.92;93.5;93.5;39.44;39.44;116.29;116.29;96.96;96.96;22.61;22.61;4.01;4.01;0.14;28;28;95.5;95.5;120.8;120.8;56.62;56.62;179.24;179.24;139.07;139.07;96.8;96.8;104.68;104.68;66.62;66.62;64.57;64.57;2009;1454;2954;2738;0;0;0;0
Kakjebakje & Fr3shey &  369.958z;" 369.958z";1;1;100.00;356;356;2;2;1;1;0;0;2;2;2;2;2;2;1;1;100;427;53.05;1143;1143;936;936;207;207;12;12;18;18;372;372;300;300;72;72;3;3;6;6;21.87;21.87;20.14;20.14;19;19;268;268;0;0;1641;184766;184766;61.1;61.1;55.19;55.19;22.15;22.15;67.27;67.27;60.26;60.26;10.91;10.91;1.5;1.5;0.09;17;17;42.8;42.8;68.7;68.7;23.57;23.57;114.87;114.87;80.9;80.9;57.55;57.55;56.35;56.35;46.34;46.34;35.74;35.74;2840;2433;3135;3223;1;1;0;0
" LOVE YOU & Sid.";" LOVE YOU";1;1;100.00;380;380;1;1;0;0;1;1;3;3;3;3;0;0;0;0;33.33;441;51.96;1745;1745;1435;1435;310;310;16;16;28;28;421;421;361;361;60;60;4;4;5;5;29.52;29.52;16.99;16.99;212;212;176;176;38;38;1465;321287;321287;113.92;113.92;95.48;95.48;25.15;25.15;139.14;139.14;83.57;83.57;11.84;11.84;5.02;5.02;0.14;37;37;125.7;125.7;97.7;97.7;50.42;50.42;184.13;184.13;158.71;158.71;75.83;75.83;128.63;128.63;56.17;56.17;49.75;49.75;2364;2557;1992;3211;0;0;0;0
! adam & RedkillaV2;! adam;7;3;42.86;3203;457.57;7;1;4;0.57;16;2.29;11;1.57;60;8.57;22;3.14;15;2.14;63.64;377.06;52.01;15474;2210.57;10552;1507.43;4922;703.14;139;19.86;447;63.86;4343;620.43;2654;379.14;1689;241.29;34;4.86;155;22.14;162.95;23.28;260.08;37.15;2692;384.57;2788;398.29;596;85.14;1465.45;3360505;480072.16;1240.86;177.27;934.54;133.51;292.51;41.79;1548.49;221.21;838.35;119.76;81.08;11.58;54.46;7.78;0.11;469;67;1019.7;145.67;1366.6;195.23;721.41;103.06;1746.5;249.5;1545.85;220.84;922.06;131.72;1190.51;170.07;732.99;104.71;544.43;77.78;2199.42;2108.39;2248.83;3218;16;2.29;5;0.71
!qzzQ8 & Wulder__;!qzzQ8;1;1;100.00;588;588;2;2;1;1;1;1;5;5;8;8;2;2;1;1;40;424;49.38;2390;2390;1596;1596;794;794;18;18;67;67;485;485;281;281;204;204;3;3;19;19;40.12;40.12;23.98;23.98;66;66;218;218;18;18;1389;460761;460761;187.68;187.68;138.41;138.41;27.86;27.86;171.55;171.55;163.21;163.21;19.19;19.19;6.54;6.54;0.09;69;69;151.6;151.6;193.3;193.3;100.01;100.01;253.94;253.94;217.02;217.02;136.93;136.93;159.06;159.06;109.56;109.56;85.33;85.33;2145;1802;2487;2998;0;0;1;1
"KillFrenzy1 & ""0.";"""0.";1;0;0.00;155;155;0;0;0;0;1;1;2;2;8;8;5;5;3;3;0;355;44.04;1362;1362;1167;1167;195;195;13;13;18;18;60;60;0;0;60;60;0;0;5;5;46.28;46.28;30.4;30.4;157;157;48;48;0;0;1422;310372;310372;128.61;128.61;87.31;87.31;21.82;21.82;125.09;125.09;98;98;14.64;14.64;1.85;1.85;0.12;16;16;113;113;113.4;113.4;89.11;89.11;148.62;148.62;159.39;159.39;78.34;78.34;120.97;120.97;68.4;68.4;48.37;48.37;2968;2334;3666;3388;0;0;0;0
_TOD0MON & #AMC_HOLDER_DIAMOND100k_APES;#AMC_HOLDER_DIAMOND100k_APES;1;0;0.00;808;808;2;2;0;0;5;5;5;5;14;14;3;3;2;2;40;352;51.27;2798;2798;1855;1855;943;943;22;22;83;83;473;473;266;266;207;207;3;3;19;19;47.76;47.76;81.15;81.15;325;325;352;352;56;56;1485;673793;673793;227.36;227.36;208.8;208.8;41.49;41.49;289.94;289.94;168.17;168.17;19.55;19.55;8.62;8.62;0.13;65;65;235.8;235.8;230.1;230.1;142.27;142.27;335.38;335.38;349.34;349.34;128.31;128.31;282.53;282.53;129.2;129.2;65.92;65.92;2584;2557;2630;3351;1;1;1;1
innocentzebra & $Nexus;$Nexus;1;1;100.00;519;519;0;0;2;2;3;3;3;3;4;4;1;1;1;1;0;444;52.1;2473;2473;1894;1894;579;579;25;25;53;53;870;870;707;707;163;163;9;9;15;15;23.48;23.48;44.82;44.82;458;458;625;625;200;200;1615;512812;512812;125.32;125.32;147.55;147.55;60.5;60.5;179.07;179.07;132.62;132.62;21.69;21.69;4.79;4.79;0.16;30;30;145.8;145.8;186.6;186.6;74.59;74.59;258.79;258.79;179.96;179.96;153.41;153.41;131.86;131.86;105.91;105.91;95.61;95.61;2174;2189;2143;3400;1;1;1;1
xero & sheepmilk21 & pipala?;&GRV.;1;1;100.00;484;484;2;2;1;1;0;0;4;4;6;6;3;3;3;3;50;462;41.61;2541;2541;1949;1949;592;592;22;22;51;51;431;431;281;281;150;150;3;3;13;13;35.98;35.98;25.31;25.31;276;276;250;250;18;18;1501;499616;499616;177.18;177.18;142.48;142.48;42.65;42.65;170.49;170.49;175.36;175.36;16.46;16.46;10.25;10.25;0.11;95;95;174.6;174.6;166.9;166.9;82.79;82.79;279.51;279.51;239.37;239.37;122.93;122.93;185.02;185.02;101.23;101.23;76.05;76.05;2262;2167;2407;2974;1;1;2;2
