team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
D-00000 &  - JinGames;" - JinGames";1;1;100.00;501;501;3;3;0;0;1;1;4;4;3;3;0;0;0;0;75;412;51.46;2235;2235;1725;1725;510;510;21;21;45;45;329;329;187;187;142;142;2;2;12;12;47.46;47.46;37.18;37.18;242;242;400;400;12;12;1613;455974;455974;109.19;109.19;147.9;147.9;44.49;44.49;173.09;173.09;124.47;124.47;4.01;4.01;7.83;7.83;0.13;62;62;137.1;137.1;149.9;149.9;65.81;65.81;235.77;235.77;171.22;171.22;130.36;130.36;112.24;112.24;121.77;121.77;67.57;67.57;2966;3313;2684;3945;0;0;1;1
" Akira  & Uncle_Demii";" Akira ";1;0;0.00;198;198;0;0;0;0;2;2;3;3;9;9;2;2;0;0;0;348;58.61;1991;1991;1562;1562;429;429;21;21;39;39;403;403;287;287;116;116;3;3;10;10;20.25;20.25;55.1;55.1;211;211;564;564;12;12;1445;464423;464423;170.3;170.3;127.85;127.85;37.56;37.56;217.28;217.28;110.46;110.46;7.97;7.97;3.45;3.45;0.14;24;24;158.1;158.1;166.3;166.3;74.53;74.53;261.18;261.18;221.85;221.85;113.86;113.86;156.55;156.55;123.41;123.41;55.75;55.75;2712;2619;2842;3380;0;0;0;0
Cooked Cole & #lutch;#lutch;1;0;0.00;264;264;0;0;1;1;0;0;1;1;11;11;6;6;3;3;0;401;51.08;2204;2204;1788;1788;416;416;21;21;38;38;478;478;406;406;72;72;5;5;7;7;24.43;24.43;64.39;64.39;319;319;231;231;93;93;1572;488788;488788;146.01;146.01;130.5;130.5;61.45;61.45;161.64;161.64;158.58;158.58;17.75;17.75;3.27;3.27;0.16;20;20;141.1;141.1;177.7;177.7;127.63;127.63;210.33;210.33;218.63;218.63;119.33;119.33;161.3;161.3;112.89;112.89;63.77;63.77;2584;2263;2908;3379;0;0;2;2
$ & UnluckyPants98;$;2;1;50.00;641;320.5;2;1;0;0;1;0.5;7;3.5;11;5.5;6;3;5;2.5;28.57;319.67;48.8;3326;1663;2344;1172;982;491;27;13.5;83;41.5;929;464.5;671;335.5;258;129;8;4;22;11;43.9;21.95;95.11;47.56;490;245;312;156;76;38;1441.71;776576;388288;324.73;162.37;205.66;102.83;53.03;26.51;375.34;187.67;184.1;92.05;23.97;11.98;9.75;4.88;0.18;53;26.5;315.7;157.85;231.8;115.9;140.91;70.46;442.5;221.25;387.25;193.62;196.17;98.08;297.81;148.9;163.35;81.68;122.26;61.13;2403.9;2269.4;2560.05;3044.62;1;0.5;2;1
$LAMBO$ & PKika_chew & sheeeeeeees7721;$LAMBO$;8;6;75.00;3522;440.25;13;1.62;7;0.88;8;1;29;3.62;39;4.88;18;2.25;4;0.5;44.83;396.81;52.09;14252;1781.5;10730;1341.25;3522;440.25;125;15.62;308;38.5;4419;552.38;3000;375;1419;177.38;33;4.12;119;14.88;212.38;26.55;222.97;27.87;1168;146;1576;197;304;38;1502.63;3022566;377820.75;1072.33;134.04;803.94;100.49;325.03;40.63;1163.23;145.4;943.99;118;94.06;11.76;22.35;2.79;0.15;156;19.5;949.7;118.71;1118;139.75;614.52;76.82;1586.77;198.35;1259.33;157.42;941.93;117.74;916.79;114.6;667.36;83.42;617.1;77.14;2246.87;2018.88;2471.23;3059.13;5;0.62;5;0.62
"MeanBean815 & ';--DROP TABLE players;--'";"';--DROP TABLE players;--'";1;0;0.00;316;316;1;1;0;0;0;0;1;1;7;7;3;3;2;2;100;487;41.34;2721;2721;1945;1945;776;776;23;23;66;66;430;430;252;252;178;178;4;4;16;16;48.77;48.77;18.43;18.43;130;130;266;266;147;147;1526;509564;509564;157.65;157.65;157.02;157.02;38.1;38.1;187.69;187.69;158.03;158.03;7.05;7.05;12.13;12.13;0.09;128;128;173.1;173.1;165.6;165.6;81.52;81.52;271.25;271.25;234.78;234.78;117.99;117.99;177.06;177.06;122.05;122.05;53.67;53.67;2504;2374;2559;3422;0;0;0;0
. & Displera;.;2;2;100.00;1458;729;6;3;4;2;4;2;10;5;16;8;8;4;2;1;60;374;45;5177;2588.5;3624;1812;1553;776.5;40;20;140;70;1378;689;920;460;458;229;10;5;38;19;117.45;58.72;49.86;24.93;556;278;442;221;78;39;1478;1029568;514784;391.19;195.6;310.51;155.26;81.72;40.86;470.67;235.33;287.28;143.64;25.49;12.74;10.41;5.2;0.11;98;49;382.3;191.15;364.6;182.3;197.09;98.54;586.34;293.17;491.79;245.9;291.64;145.82;332.14;166.07;297.57;148.79;153.71;76.85;2931.5;2680.5;3152;3471.5;2;1;10;5
. & FadedFactor;.;1;1;100.00;677;677;2;2;3;3;0;0;10;10;3;3;3;3;3;3;20;398;43.23;2232;2232;1759;1759;473;473;20;20;43;43;536;536;299;299;237;237;3;3;21;21;94.31;94.31;41.6;41.6;171;171;256;256;0;0;1521;534042;534042;188.88;188.88;141.25;141.25;54.59;54.59;192.54;192.54;155.81;155.81;36.38;36.38;10.67;10.67;0.08;129;129;165.1;165.1;192;192;111.63;111.63;273.09;273.09;184.4;184.4;200.32;200.32;120.3;120.3;123.4;123.4;141.01;141.01;2226;2075;2429;2968;1;1;0;0
000 & el-Barto0;000;1;1;100.00;773;773;1;1;2;2;5;5;4;4;15;15;3;3;1;1;25;435;52.14;3072;3072;2242;2242;830;830;26;26;74;74;651;651;364;364;287;287;4;4;25;25;28.9;28.9;46.3;46.3;304;304;385;385;37;37;1589;609198;609198;172.35;172.35;173.19;173.19;67.05;67.05;221.91;221.91;178.66;178.66;12.02;12.02;7.95;7.95;0.1;80;80;175.2;175.2;243.2;243.2;120.41;120.41;292.18;292.18;257;257;155.59;155.59;185.44;185.44;124.41;124.41;102.75;102.75;2297;1996;2516;3338;2;2;0;0
TikTok PapaBandz & 100Vro & just a chill guy;100Vro;1;1;100.00;580;580;1;1;1;1;4;4;5;5;7;7;1;1;1;1;20;383;52.49;1947;1947;1482;1482;465;465;20;20;41;41;333;333;226;226;107;107;4;4;10;10;42.77;42.77;51.2;51.2;381;381;490;490;165;165;1541;418736;418736;128.7;128.7;121.85;121.85;40.11;40.11;174.64;174.64;111.5;111.5;4.53;4.53;5.68;5.68;0.14;42;42;139;139;144.3;144.3;68.43;68.43;222.24;222.24;197.01;197.01;93.66;93.66;149.08;149.08;88.62;88.62;52.97;52.97;2938;2576;3242;3376;2;2;1;1
