team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"""C@1> & gogolatulipe";"""C@1>";1;1;100.00;877;877;4;4;0;0;2;2;8;8;8;8;4;4;3;3;50;415;36.21;2555;2555;1879;1879;676;676;21;21;59;59;485;485;200;200;285;285;2;2;25;25;72.51;72.51;37.08;37.08;418;418;147;147;0;0;1491;531006;531006;180.57;180.57;169.78;169.78;43.33;43.33;219.39;219.39;161.65;161.65;12.63;12.63;6.34;6.34;0.13;48;48;163;163;214.2;214.2;109.19;109.19;284.49;284.49;243.11;243.11;150.56;150.56;188.81;188.81;113.59;113.59;91.27;91.27;2291;1777;2754;3343;0;0;1;1
"Calow & ""Richie"" & KoopaTroopa_10";"""Richie""";2;1;50.00;852;426;1;0.5;2;1;4;2;7;3.5;15;7.5;3;1.5;1;0.5;14.29;380.54;49.73;4372;2186;3050;1525;1322;661;35;17.5;115;57.5;1605;802.5;1248;624;357;178.5;13;6.5;32;16;78.27;39.14;94.24;47.12;309;154.5;479;239.5;61;30.5;1428.08;930080;465040;350.27;175.14;256.8;128.4;71.52;35.76;379.21;189.6;266.86;133.43;32.52;16.26;15.76;7.88;0.11;153;76.5;340.5;170.25;316.5;158.25;176.27;88.14;502.33;251.16;416.37;208.18;262.22;131.11;295.46;147.73;227.71;113.86;155.42;77.71;2316.46;2167.49;2436.86;3206.74;1;0.5;0;0
$napz47 & MequeCroquette6;$napz47;1;1;100.00;446;446;1;1;2;2;1;1;1;1;5;5;2;2;1;1;100;315;43.48;1596;1596;1072;1072;524;524;12;12;45;45;523;523;354;354;169;169;4;4;14;14;13.77;13.77;36.41;36.41;45;45;135;135;45;45;1301;361918;361918;174.27;174.27;116.33;116.33;8.02;8.02;216.61;216.61;76.52;76.52;5.49;5.49;4.32;4.32;0.15;28;28;171.3;171.3;118.8;118.8;68.41;68.41;230.21;230.21;188.9;188.9;109.72;109.72;138.43;138.43;96.15;96.15;64.04;64.04;2629;2446;2809;2860;1;1;0;0
"(BRaE""LYNN"") ;3 & Red";"(BRaE""LYNN"") ;3";3;1;33.33;1668;556;6;2;0;0;4;1.33;14;4.67;28;9.33;10;3.33;5;1.67;42.86;476.68;57.28;7952;2650.67;5882;1960.67;2070;690;74;24.67;186;62;1546;515.33;1015;338.33;531;177;12;4;47;15.67;117.75;39.25;108.09;36.03;703;234.33;1596;532;200;66.67;1601.22;1473552;491184;405.09;135.03;394.2;131.4;190.72;63.57;519.28;173.09;439.98;146.66;30.75;10.25;31.14;10.38;0.11;298;99.33;463.3;154.43;487.7;162.57;267.13;89.04;722.88;240.96;631.63;210.54;358.39;119.46;472.74;157.58;310.69;103.56;206.58;68.86;2497.15;2277.97;2712.05;3412.93;3;1;1;0.33
2015 Mechanics | cs.pro & ***** & dazy^y;*****;1;1;100.00;410;410;1;1;1;1;1;1;1;1;4;4;2;2;1;1;100;384;47.21;2528;2528;1729;1729;799;799;20;20;72;72;523;523;300;300;223;223;3;3;20;20;68.53;68.53;39.31;39.31;192;192;244;244;11;11;1413;528912;528912;213.89;213.89;146.08;146.08;39;39;241.58;241.58;152.6;152.6;4.79;4.79;7.37;7.37;0.14;52;52;217.7;217.7;174.4;174.4;86.06;86.06;312.91;312.91;247.46;247.46;151.51;151.51;192.32;192.32;117.92;117.92;88.73;88.73;3143;2867;3330;3682;3;3;2;2
***** 26c0 & RbaR & CreamingBeaver;***** 26c0;2;1;50.00;1166;583;5;2.5;3;1.5;3;1.5;8;4;17;8.5;10;5;4;2;62.5;405.64;52.7;5235;2617.5;3923;1961.5;1312;656;47;23.5;120;60;680;340;299;149.5;381;190.5;4;2;37;18.5;86.07;43.03;104.93;52.47;940;470;866;433;153;76.5;1511.32;1055343;527671.5;376.63;188.32;319.44;159.72;88.61;44.31;452.05;226.02;303.56;151.78;29.07;14.53;8.66;4.33;0.16;52;26;395.4;197.7;353.2;176.6;228.06;114.03;556.62;278.31;544.41;272.2;240.27;120.14;432.77;216.39;216.74;108.37;135.18;67.59;2731.5;2697.46;2800.47;3348.58;2;1;6;3
Cajjy. & FT_Frexs & Veni Vidi Vici;*******;1;1;100.00;607;607;1;1;2;2;2;2;1;1;6;6;1;1;0;0;100;372;53.47;2096;2096;1653;1653;443;443;21;21;38;38;203;203;91;91;112;112;2;2;10;10;19;19;35.35;35.35;122;122;452;452;108;108;1470;469667;469667;169.04;169.04;126.69;126.69;42.53;42.53;172.24;172.24;148.81;148.81;17.2;17.2;6.44;6.44;0.16;41;41;164.1;164.1;164.3;164.3;93.63;93.63;244.62;244.62;239.69;239.69;98.57;98.57;188.59;188.59;90.67;90.67;59;59;2120;2045;2164;3023;0;0;1;1
******* & N Y S E K;*******;1;1;100.00;613;613;3;3;1;1;1;1;4;4;6;6;3;3;2;2;75;376;44.91;2289;2289;1712;1712;577;577;20;20;50;50;589;589;383;383;206;206;5;5;18;18;35.14;35.14;38.74;38.74;506;506;287;287;116;116;1595;518529;518529;151;151;131.36;131.36;73.33;73.33;210.3;210.3;130.7;130.7;14.69;14.69;5.24;5.24;0.08;64;64;174.9;174.9;159.2;159.2;88.36;88.36;267.33;267.33;220.02;220.02;135.67;135.67;168.32;168.32;102.21;102.21;85.16;85.16;2203;2191;2161;2953;2;2;1;1
dylski & *******;*******;1;1;100.00;262;262;1;1;0;0;0;0;3;3;3;3;0;0;0;0;33.33;365;51.98;1599;1599;1072;1072;527;527;12;12;46;46;440;440;175;175;265;265;2;2;22;22;25.58;25.58;50.76;50.76;136;136;154;154;24;24;1564;388521;388521;104.04;104.04;123.55;123.55;28.64;28.64;143.25;143.25;90.19;90.19;22.79;22.79;2.39;2.39;0.08;31;31;131.1;131.1;120.5;120.5;70.47;70.47;185.76;185.76;125.58;125.58;130.64;130.64;85.56;85.56;88.49;88.49;82.18;82.18;2694;2718;2590;3526;0;0;0;0
******* & Igotgreensbeanspotatoestomatoes & eSBub3Q;*******;2;2;100.00;749;374.5;3;1.5;2;1;2;1;6;3;8;4;2;1;1;0.5;50;388.06;57.65;3088;1544;2220;1110;868;434;26;13;80;40;739;369.5;486;243;253;126.5;5;2.5;23;11.5;49.12;24.56;51.16;25.58;212;106;264;132;16;8;1625.99;678674;339337;182.16;91.08;209.11;104.55;68.74;34.37;254.92;127.46;186.4;93.2;18.71;9.36;8.72;4.36;0.1;84;42;189.2;94.6;238.1;119.05;118.74;59.37;341.28;170.64;308.91;154.46;151.12;75.56;224.46;112.23;148.28;74.14;87.28;43.64;2688.06;2408.79;2980.18;3483.99;2;1;0;0
