team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
d,Turbo19XXd, & Erick159e & Atilis Gym;;1;0;0.00;456;456;2;2;1;1;0;0;2;2;7;7;5;5;2;2;100;360;41.29;2179;2179;1335;1335;844;844;15;15;76;76;581;581;336;336;245;245;4;4;21;21;38.98;38.98;42.18;42.18;190;190;176;176;68;68;1328;457016;457016;237.46;237.46;111.99;111.99;29.95;29.95;242.63;242.63;123.54;123.54;13.22;13.22;9.37;9.37;0.12;79;79;177.6;177.6;171.7;171.7;102.67;102.67;276.73;276.73;247.5;247.5;131.9;131.9;191.95;191.95;116.48;116.48;70.97;70.97;2506;2411;2588;2969;0;0;0;0
eitan &  & KevinOnFPS;;1;0;0.00;699;699;3;3;0;0;2;2;8;8;6;6;4;4;1;1;37.5;384;52.38;2245;2245;1731;1731;514;514;24;24;50;50;640;640;436;436;204;204;5;5;19;19;41.17;41.17;52.75;52.75;483;483;612;612;65;65;1623;553280;553280;151.59;151.59;140.34;140.34;79.33;79.33;210.77;210.77;147.58;147.58;12.9;12.9;5.01;5.01;0.15;34;34;112.8;112.8;231.9;231.9;93.52;93.52;277.74;277.74;211.11;211.11;160.15;160.15;142.65;142.65;128.38;128.38;100.24;100.24;2477;1925;3117;3274;1;1;0;0
JDN. 6r &  ;" ";1;0;0.00;477;477;3;3;0;0;0;0;4;4;5;5;3;3;1;1;75;479;40.41;1615;1615;1217;1217;398;398;13;13;34;34;350;350;270;270;80;80;3;3;7;7;34.69;34.69;21.93;21.93;534;534;83;83;29;29;1554;335655;335655;112.22;112.22;96.92;96.92;32.73;32.73;160.8;160.8;78.76;78.76;2.3;2.3;3.95;3.95;0.11;35;35;111.2;111.2;115.8;115.8;66.94;66.94;174.93;174.93;146.12;146.12;95.74;95.74;110.14;110.14;69.51;69.51;62.21;62.21;2792;2880;2656;3081;1;1;1;1
fat rolling & FBI-Yago & Moonight -.-;"   Sikeira MarX";1;0;0.00;196;196;0;0;0;0;0;0;3;3;6;6;3;3;2;2;0;337;50.38;1905;1905;1336;1336;569;569;15;15;51;51;379;379;172;172;207;207;2;2;18;18;32.6;32.6;22.19;22.19;177;177;195;195;36;36;1403;432946;432946;183.04;183.04;128.23;128.23;16.06;16.06;211.65;211.65;112.91;112.91;2.77;2.77;6.14;6.14;0.09;72;72;178.7;178.7;143.1;143.1;74.93;74.93;252.41;252.41;176.72;176.72;150.61;150.61;125.29;125.29;123.05;123.05;78.99;78.99;2613;2752;2440;3200;0;0;1;1
! & scalpy. & Pop;!;11;6;54.55;5782;525.64;25;2.27;5;0.45;12;1.09;47;4.27;75;6.82;30;2.73;14;1.27;53.19;388.79;46.19;23723;2156.64;15192;1381.09;8531;775.55;199;18.09;756;68.73;4621;420.09;2264;205.82;2357;214.27;26;2.36;211;19.18;387.7;35.25;330.87;30.08;4209;382.64;3090;280.91;120;10.91;1504.12;5151371;468306.47;1842.71;167.52;1279.89;116.35;592.59;53.87;2267.96;206.18;1311.6;119.24;135.65;12.33;99.9;9.08;0.09;1114;101.27;1716.8;156.07;1887.8;171.62;987.86;89.81;2727.32;247.94;2396.93;217.9;1318.18;119.83;1770.92;160.99;1234.61;112.24;709.66;64.51;2276.51;2152.03;2400.63;2995.87;10;0.91;16;1.45
xassist & !;!;1;1;100.00;634;634;2;2;1;1;2;2;3;3;5;5;0;0;0;0;66.67;492;44.41;2120;2120;1596;1596;524;524;18;18;39;39;270;270;185;185;85;85;2;2;8;8;44.99;44.99;36.3;36.3;382;382;220;220;14;14;1533;386938;386938;116.82;116.82;98.06;98.06;48.86;48.86;145.14;145.14;112.54;112.54;6.06;6.06;5.13;5.13;0.1;53;53;139.2;139.2;127.7;127.7;71.31;71.31;192.43;192.43;186.29;186.29;77.45;77.45;152.34;152.34;65.06;65.06;46.34;46.34;2404;2259;2588;3403;0;0;2;2
!Comingin & Incoming!;!Comingin;7;5;71.43;4067;581;13;1.86;5;0.71;15;2.14;30;4.29;53;7.57;15;2.14;3;0.43;43.33;467.79;48.06;17367;2481;12466;1780.86;4901;700.14;148;21.14;438;62.57;5097;728.14;3325;475;1772;253.14;38;5.43;161;23;313.81;44.83;151.52;21.65;4547;649.57;2483;354.71;491;70.14;1719.72;3656526;522360.84;761.97;108.85;898.61;128.37;629.28;89.9;1255.67;179.38;937;133.86;97.18;13.88;58.81;8.4;0.13;447;63.86;983.3;140.47;1196;170.86;657.28;93.9;1632.56;233.22;1402.94;200.42;886.91;126.7;1019.63;145.66;736.54;105.22;533.69;76.24;2516.58;2314.39;2728.57;3360.65;12;1.71;4;0.57
captel. & *' Fish;*' Fish;1;1;100.00;595;595;3;3;0;0;1;1;7;7;5;5;1;1;0;0;42.86;284;68.11;1705;1705;875;875;830;830;11;11;75;75;527;527;240;240;287;287;4;4;26;26;5.8;5.8;55.73;55.73;254;254;281;281;179;179;1351;432092;432092;222.23;222.23;94.73;94.73;28.31;28.31;244.19;244.19;99.24;99.24;1.83;1.83;6.55;6.55;0.08;81;81;191.9;191.9;148.6;148.6;66.81;66.81;278.45;278.45;202.77;202.77;142.5;142.5;147.41;147.41;126.09;126.09;71.76;71.76;2389;2325;2458;2976;1;1;2;2
** Maverick & SmileyTqxic;** Maverick;1;0;0.00;391;391;1;1;0;0;2;2;4;4;7;7;4;4;3;3;25;374;47.6;2155;2155;1415;1415;740;740;18;18;65;65;913;913;771;771;142;142;9;9;13;13;42.66;42.66;31.66;31.66;552;552;394;394;128;128;1510;504475;504475;170.49;170.49;127.39;127.39;61.86;61.86;232.93;232.93;119.2;119.2;7.61;7.61;11.34;11.34;0.11;102;102;151.2;151.2;191.2;191.2;108.06;108.06;251.69;251.69;231.98;231.98;127.76;127.76;170.31;170.31;114.58;114.58;74.85;74.85;2289;1946;2547;2850;3;3;0;0
{Ah!} SilentWeasel & johnnypotatoes1 & TheNewL1;*** PABLO;1;0;0.00;394;394;1;1;0;0;0;0;3;3;8;8;5;5;2;2;33.33;415;55.42;2545;2545;2025;2025;520;520;26;26;48;48;567;567;458;458;109;109;5;5;9;9;37.43;37.43;69.57;69.57;160;160;625;625;41;41;1553;516291;516291;159.89;159.89;140.24;140.24;58.23;58.23;186.62;186.62;154.09;154.09;17.64;17.64;8.07;8.07;0.14;59;59;138.8;138.8;204.3;204.3;123.63;123.63;234.72;234.72;244.5;244.5;113.86;113.86;180.36;180.36;108.32;108.32;69.68;69.68;1972;1673;2179;2829;1;1;0;0
