team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & traste sertanejo";;1;0;0.00;625;625;1;1;0;0;5;5;2;2;11;11;3;3;1;1;50;192;70.47;1203;1203;668;668;535;535;16;16;50;50;158;158;54;54;104;104;2;2;11;11;0.36;0.36;102.86;102.86;14;14;907;907;171;171;1307;418179;418179;214.95;214.95;109.04;109.04;19.56;19.56;166.02;166.02;167.24;167.24;10.28;10.28;7.43;7.43;0.11;66;66;204.3;204.3;138.9;138.9;67.8;67.8;275.75;275.75;248.42;248.42;95.13;95.13;203.11;203.11;87.5;87.5;52.94;52.94;2095;1735;2388;2979;0;0;3;3
"   infinityy. <3 & T_DUBB & TTVDustylol_";"   infinityy. <3";2;1;50.00;1269;634.5;3;1.5;1;0.5;6;3;9;4.5;22;11;5;2.5;2;1;33.33;420.23;53.43;5335;2667.5;3972;1986;1363;681.5;50;25;120;60;1343;671.5;904;452;439;219.5;11;5.5;39;19.5;61.35;30.67;81.88;40.94;658;329;741;370.5;134;67;1534.48;1106748;553374;359.18;179.59;297.7;148.85;109.78;54.89;460.68;230.34;276.52;138.26;29.45;14.73;18.35;9.18;0.11;167;83.5;366.1;183.05;363.2;181.6;228.24;114.12;538.4;269.2;458.34;229.17;308.31;154.15;331.13;165.57;253.41;126.71;182.11;91.06;2298.11;2131.67;2439.1;3014.59;4;2;2;1
" 00 & eldaks21";" 00";1;0;0.00;428;428;1;1;1;1;2;2;3;3;7;7;3;3;1;1;33.33;423;51.83;2306;2306;1643;1643;663;663;21;21;54;54;614;614;434;434;180;180;5;5;16;16;28.94;28.94;38.3;38.3;495;495;489;489;72;72;1467;477547;477547;165.25;165.25;137;137;42.05;42.05;212.64;212.64;124.59;124.59;7.07;7.07;4.47;4.47;0.09;52;52;151.9;151.9;184.6;184.6;97.9;97.9;246.4;246.4;218.4;218.4;125.9;125.9;160.41;160.41;106.07;106.07;77.82;77.82;2528;2429;2608;3471;2;2;1;1
AlexnderXV & !;!;1;1;100.00;504;504;2;2;2;2;0;0;4;4;5;5;2;2;1;1;50;324;50.79;1916;1916;1247;1247;669;669;17;17;60;60;503;503;270;270;233;233;4;4;21;21;25.75;25.75;45.44;45.44;75;75;378;378;31;31;1547;452368;452368;165.64;165.64;114.91;114.91;51.16;51.16;200.54;200.54;118.41;118.41;12.76;12.76;6.36;6.36;0.12;51;51;185.2;185.2;131.5;131.5;67.12;67.12;264.59;264.59;220.43;220.43;111.28;111.28;169.77;169.77;94.92;94.92;67.02;67.02;2625;2729;2540;2836;0;0;1;1
! & Dxsh_RL & bon.-.;!;8;3;37.50;4702;587.75;14;1.75;7;0.88;19;2.38;30;3.75;58;7.25;25;3.12;11;1.38;46.67;370.41;46.06;17266;2158.25;11277;1409.62;5989;748.62;145;18.12;543;67.88;3501;437.62;1874;234.25;1627;203.38;22;2.75;147;18.38;226.95;28.37;256.41;32.05;2920;365;2113;264.12;55;6.88;1423.02;3780315;472539.38;1618.41;202.3;873.79;109.22;376.37;47.05;1842.63;230.33;916.93;114.62;109.04;13.63;80.6;10.07;0.09;872;109;1476.5;184.56;1307.6;163.45;679.01;84.88;2189.57;273.7;1918.49;239.81;950.1;118.76;1409.36;176.17;961.8;120.23;497.44;62.18;2473.93;2259.6;2647.57;3138.31;11;1.38;10;1.25
toughcats123 & OnettOnRL & !;!;1;1;100.00;453;453;1;1;1;1;2;2;4;4;2;2;0;0;0;0;25;488;47.34;1398;1398;1105;1105;293;293;12;12;27;27;296;296;200;200;96;96;2;2;8;8;27.7;27.7;13.62;13.62;282;282;98;98;0;0;1604;268191;268191;72.45;72.45;70.38;70.38;32.52;32.52;97.35;97.35;71.84;71.84;6.17;6.17;3.77;3.77;0.11;34;34;94.7;94.7;72.3;72.3;41.23;41.23;134.11;134.11;90.45;90.45;84.89;84.89;62.88;62.88;50.11;50.11;62.35;62.35;2716;2296;3506;3029;0;0;0;0
af9_ & !;!;1;0;0.00;376;376;0;0;0;0;2;2;4;4;7;7;3;3;1;1;0;416;55.51;2482;2482;2022;2022;460;460;26;26;43;43;545;545;393;393;152;152;6;6;14;14;30.64;30.64;28.67;28.67;329;329;587;587;206;206;1577;512953;512953;143.47;143.47;140.01;140.01;60.94;60.94;179.09;179.09;140.98;140.98;24.35;24.35;1.83;1.83;0.15;12;12;141.7;141.7;193.7;193.7;109.19;109.19;235.22;235.22;178.68;178.68;165.73;165.73;123.16;123.16;108.88;108.88;112.38;112.38;2225;1713;2829;2891;2;2;0;0
& G4N$0 & & Pantera_games105;& G4N$0 &;1;0;0.00;276;276;0;0;0;0;1;1;1;1;10;10;3;3;2;2;0;394;47.38;1908;1908;1534;1534;374;374;19;19;33;33;477;477;410;410;67;67;5;5;7;7;32.67;32.67;51;51;161;161;280;280;89;89;1436;424256;424256;151.67;151.67;128.83;128.83;26.82;26.82;156.06;156.06;133.68;133.68;17.56;17.56;6.23;6.23;0.12;54;54;128.6;128.6;174.7;174.7;82.82;82.82;224.49;224.49;201.25;201.25;106.06;106.06;153.86;153.86;89.39;89.39;64.06;64.06;2012;2030;1984;2937;1;1;1;1
Inde. & & S t i f f y S t e v e &;& S t i f f y S t e v e &;1;1;100.00;526;526;2;2;1;1;1;1;3;3;7;7;2;2;0;0;66.67;379;52.56;2195;2195;1623;1623;572;572;21;21;49;49;460;460;294;294;166;166;5;5;15;15;39.66;39.66;34.64;34.64;194;194;481;481;211;211;1455;449385;449385;193.51;193.51;118.15;118.15;47.15;47.15;205.32;205.32;143.97;143.97;9.52;9.52;10.56;10.56;0.17;61;61;182.4;182.4;162.8;162.8;96.5;96.5;262.31;262.31;241.92;241.92;116.89;116.89;190.58;190.58;99.79;99.79;68.44;68.44;2601;2253;3008;3118;1;1;0;0
*** & ezakimak;***;1;0;0.00;28;28;0;0;0;0;0;0;1;1;4;4;5;5;3;3;0;412;48.63;1027;1027;744;744;283;283;8;8;28;28;201;201;85;85;116;116;1;1;11;11;5.51;5.51;6.92;6.92;196;196;69;69;20;20;1635;230943;230943;68.48;68.48;67.29;67.29;28.05;28.05;95.45;95.45;63.61;63.61;4.77;4.77;2.75;2.75;0.08;34;34;60;60;80.9;80.9;65.06;65.06;98.76;98.76;95.7;95.7;68.13;68.13;65.04;65.04;61.85;61.85;36.94;36.94;2504;2573;2454;2904;0;0;0;0
