team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
******* &  ;" ";1;1;100.00;478;478;2;2;2;2;0;0;2;2;2;2;1;1;1;1;100;372;52.28;1884;1884;1326;1326;558;558;15;15;51;51;282;282;174;174;108;108;2;2;10;10;23.92;23.92;24.31;24.31;201;201;200;200;25;25;1452;422335;422335;158.68;158.68;125.36;125.36;26.49;26.49;196.53;196.53;105.73;105.73;8.28;8.28;8.63;8.63;0.14;63;63;172.5;172.5;126.3;126.3;38.91;38.91;271.63;271.63;217.28;217.28;93.26;93.26;144.16;144.16;116.3;116.3;50.09;50.09;2780;2617;2887;3110;0;0;2;2
Uncle Luffy &  ;" ";1;0;0.00;472;472;1;1;1;1;1;1;2;2;7;7;5;5;3;3;50;465;47.04;2343;2343;1718;1718;625;625;20;20;41;41;524;524;392;392;132;132;5;5;12;12;32.31;32.31;47.36;47.36;600;600;281;281;107;107;1540;431580;431580;143.08;143.08;116.6;116.6;48.58;48.58;199.87;199.87;101.73;101.73;6.67;6.67;5.64;5.64;0.1;56;56;175.2;175.2;117.9;117.9;67.04;67.04;241.22;241.22;219.7;219.7;88.56;88.56;172.74;172.74;85.83;85.83;49.69;49.69;2595;2141;2969;3115;0;0;0;0
"     d b   c & SpeQlos";"     d b   c";1;0;0.00;277;277;1;1;0;0;1;1;1;1;6;6;4;4;2;2;100;344;48.19;805;805;658;658;147;147;8;8;13;13;30;30;0;0;30;30;0;0;3;3;12.61;12.61;7.89;7.89;25;25;141;141;0;0;1599;225994;225994;68.55;68.55;69.18;69.18;20.92;20.92;70.94;70.94;80.36;80.36;7.34;7.34;1.56;1.56;0.11;14;14;72;72;70.8;70.8;46.17;46.17;112.48;112.48;115.38;115.38;43.27;43.27;91.9;91.9;44.28;44.28;22.47;22.47;2691;2522;2694;3550;0;0;1;1
ExoticAqua &    drim   ;"   drim   ";1;1;100.00;337;337;0;0;0;0;2;2;4;4;8;8;1;1;0;0;0;352;46.04;2304;2304;1746;1746;558;558;20;20;50;50;517;517;369;369;148;148;4;4;14;14;74.15;74.15;47.95;47.95;236;236;272;272;40;40;1460;566724;566724;201.95;201.95;163.03;163.03;39.6;39.6;242.73;242.73;144.9;144.9;16.95;16.95;8.79;8.79;0.09;100;100;207.7;207.7;191.3;191.3;90.58;90.58;314;314;240.63;240.63;163.95;163.95;182.31;182.31;126.13;126.13;96.15;96.15;2272;2056;2472;2897;1;1;1;1
" VI. & d1d1d1d1Penguind1d1d1d1";" VI.";1;0;0.00;584;584;1;1;1;1;3;3;3;3;14;14;5;5;2;2;33.33;423;44.05;2459;2459;2061;2061;398;398;23;23;39;39;484;484;354;354;130;130;4;4;14;14;33.07;33.07;56.68;56.68;452;452;265;265;54;54;1433;494762;494762;210.43;210.43;129.89;129.89;42.38;42.38;216.27;216.27;132.16;132.16;34.28;34.28;5.4;5.4;0.15;37;37;165.9;165.9;188.3;188.3;94.36;94.36;288.35;288.35;257.31;257.31;125.4;125.4;197.06;197.06;111.25;111.25;74.39;74.39;2535;2078;2954;3200;0;0;0;0
" ash.Carti & Knoggo.";" ash.Carti";1;1;100.00;274;274;1;1;0;0;0;0;4;4;1;1;0;0;0;0;25;376;58.02;1519;1519;1107;1107;412;412;16;16;37;37;535;535;360;360;175;175;5;5;16;16;21.49;21.49;27.72;27.72;255;255;509;509;145;145;1616;370479;370479;95.65;95.65;116.13;116.13;32.28;32.28;156;156;78.97;78.97;9.1;9.1;5.85;5.85;0.09;68;68;108;108;119.9;119.9;75.03;75.03;169.03;169.03;116.83;116.83;127.24;127.24;86.9;86.9;66.14;66.14;91.02;91.02;2503;2362;2695;3297;2;2;0;0
BRC 2 & ! k0ray. & PTERR;! k0ray.;3;3;100.00;2151;717;4;1.33;5;1.67;10;3.33;9;3;31;10.33;5;1.67;1;0.33;44.44;444.8;51.76;7760;2586.67;5664;1888;2096;698.67;73;24.33;182;60.67;1735;578.33;1131;377;604;201.33;13;4.33;55;18.33;141.45;47.15;91.64;30.55;790;263.33;1664;554.67;187;62.33;1679.12;1676817;558939;382.19;127.4;433.65;144.55;247.59;82.53;516.74;172.25;507.05;169.02;39.63;13.21;32.33;10.78;0.1;328;109.33;500;166.67;516.6;172.2;271.02;90.34;792.39;264.13;731.36;243.79;332.05;110.68;568.16;189.39;298.92;99.64;196.33;65.44;2176.19;2001.28;2334.18;2999.51;4;1.33;0;0
!desnan & mystericuz;!desnan;2;2;100.00;696;348;2;1;0;0;2;1;4;2;12;6;2;1;0;0;50;559.5;47.35;6045;3022.5;4694;2347;1351;675.5;54;27;110;55;764;382;484;242;280;140;6;3;26;13;103.74;51.87;71.23;35.61;1063;531.5;748;374;116;58;1718.5;1088822;544411;211.01;105.51;267.12;133.56;186;93;348.12;174.06;268.96;134.48;47.05;23.53;12.79;6.39;0.12;103;51.5;310.6;155.3;330.6;165.3;158.17;79.08;505.96;252.98;445.96;222.98;218.17;109.08;327.27;163.64;222.32;111.16;114.53;57.26;2270;2098.5;2546.5;2962.5;0;0;0;0
"crazy_kaenguru & bring back my prime & ""No Money""";"""No Money""";1;1;100.00;669;669;2;2;2;2;2;2;5;5;7;7;3;3;2;2;40;495;51.76;2988;2988;2517;2517;471;471;34;34;41;41;443;443;207;207;236;236;3;3;21;21;55.71;55.71;50.86;50.86;252;252;886;886;96;96;1508;516103;516103;175.56;175.56;154.03;154.03;42.48;42.48;190.02;190.02;151.43;151.43;30.61;30.61;3.1;3.1;0.09;35;35;150.6;150.6;196.4;196.4;93.44;93.44;278.63;278.63;238.39;238.39;133.68;133.68;181.71;181.71;110.52;110.52;79.84;79.84;2253;2098;2422;3275;0;0;0;0
$$$$$$ & WolmoI;$$$$$$;1;1;100.00;429;429;1;1;1;1;1;1;5;5;7;7;2;2;1;1;20;334;56.27;2216;2216;1462;1462;754;754;19;19;65;65;626;626;431;431;195;195;6;6;17;17;30.46;30.46;37.21;37.21;226;226;358;358;176;176;1411;535354;535354;218.43;218.43;147.61;147.61;36.04;36.04;236.17;236.17;159.34;159.34;6.57;6.57;10.3;10.3;0.11;90;90;178.4;178.4;208.6;208.6;124.29;124.29;277.79;277.79;263.65;263.65;138.43;138.43;200.56;200.56;120.85;120.85;80.67;80.67;2368;2344;2291;3115;2;2;1;1
