team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Al-Jabr & Nimwa & DBL Spiced Daddy;" - JinGames";2;2;100.00;1276;638;4;2;2;1;3;1.5;9;4.5;12;6;4;2;1;0.5;44.44;431.39;48.38;5416;2708;4040;2020;1376;688;45;22.5;120;60;1223;611.5;986;493;237;118.5;11;5.5;21;10.5;115.56;57.78;82.13;41.06;599;299.5;482;241;112;56;1555.19;1115618;557809;339.2;169.6;329.56;164.78;102.76;51.38;454.9;227.45;288.88;144.44;27.74;13.87;17.8;8.9;0.13;141;70.5;342.4;171.2;388.9;194.45;187.22;93.61;584.3;292.15;521.34;260.67;250.19;125.1;381.38;190.69;240.22;120.11;149.92;74.96;2756.16;2593.02;2906.15;3437.71;2;1;2;1
Wulf & JackCZE97 &  ?;" ?";1;0;0.00;236;236;0;0;0;0;1;1;3;3;4;4;2;2;1;1;0;427;53.7;2300;2300;1603;1603;697;697;21;21;61;61;505;505;253;253;252;252;3;3;23;23;34.28;34.28;41.99;41.99;351;351;513;513;54;54;1601;494962;494962;125.82;125.82;161.63;161.63;34.22;34.22;225.4;225.4;94.8;94.8;1.47;1.47;4.83;4.83;0.19;25;25;205.2;205.2;114.4;114.4;76.83;76.83;244.84;244.84;196.04;196.04;125.63;125.63;136.39;136.39;117.07;117.07;68.21;68.21;2554;2537;2605;3368;1;1;1;1
FrSix &  Sela ;" Sela ";1;0;0.00;330;330;1;1;0;0;0;0;5;5;4;4;2;2;1;1;20;360;62.12;1993;1993;1428;1428;565;565;21;21;53;53;708;708;421;421;287;287;5;5;26;26;22.27;22.27;44.63;44.63;188;188;594;594;93;93;1620;514726;514726;126.18;126.18;160.69;160.69;46.23;46.23;182.55;182.55;123.32;123.32;27.24;27.24;7.95;7.95;0.09;87;87;142.9;142.9;187.8;187.8;105.58;105.58;227.52;227.52;175.71;175.71;157.4;157.4;112.07;112.07;126.24;126.24;94.8;94.8;2437;2364;2527;3137;1;1;0;0
"Aliensweatshop & ""A*'( & one mans cringe";"""A*'(";1;0;0.00;432;432;1;1;1;1;2;2;2;2;10;10;4;4;2;2;50;382;45.14;2342;2342;1670;1670;672;672;21;21;60;60;234;234;54;54;180;180;1;1;16;16;29.99;29.99;35.49;35.49;227;227;449;449;55;55;1590;535660;535660;155.14;155.14;147.38;147.38;64.74;64.74;210.66;210.66;136.3;136.3;20.3;20.3;3.37;3.37;0.13;25;25;173.9;173.9;175.4;175.4;99.57;99.57;267.69;267.69;267.04;267.04;100.22;100.22;208.06;208.06;108.17;108.17;51.03;51.03;2432;2308;2551;3183;0;0;2;2
"CrazyAnt32 & ""No Money""";"""No Money""";1;1;100.00;547;547;2;2;0;0;3;3;3;3;11;11;3;3;1;1;66.67;426;54.25;2611;2611;1961;1961;650;650;25;25;57;57;580;580;484;484;96;96;5;5;9;9;62.24;62.24;32.42;32.42;303;303;525;525;23;23;1519;534043;534043;180.85;180.85;150.48;150.48;53.64;53.64;228.01;228.01;146.54;146.54;10.41;10.41;5.68;5.68;0.11;51;51;176;176;186;186;120.07;120.07;264.89;264.89;266.86;266.86;118.11;118.11;209.67;209.67;104.3;104.3;70.99;70.99;2634;2523;2720;3095;0;0;0;0
NuEra Mercenary & $$$$;$$$$;1;1;100.00;349;349;1;1;3;3;0;0;1;1;2;2;0;0;0;0;100;303;49.79;841;841;658;658;183;183;7;7;17;17;419;419;300;300;119;119;3;3;10;10;18.76;18.76;12.83;12.83;120;120;52;52;0;0;1585;185708;185708;61.48;61.48;52.51;52.51;21.85;21.85;78.46;78.46;55.61;55.61;1.78;1.78;1.93;1.93;0.1;20;20;68.3;68.3;51.5;51.5;22.61;22.61;113.24;113.24;79.7;79.7;56.15;56.15;65.88;65.88;33.79;33.79;36.18;36.18;2525;2632;2240;3343;0;0;1;1
Steak & %V#l  Dr. Seahorse & spunc;%V#l  Dr. Seahorse;8;2;25.00;2953;369.12;10;1.25;2;0.25;8;1;27;3.38;40;5;21;2.62;9;1.12;37.04;397.68;48.95;17496;2187;11766;1470.75;5730;716.25;139;17.38;508;63.5;3936;492;2133;266.62;1803;225.38;26;3.25;158;19.75;303.67;37.96;249.42;31.18;1236;154.5;2022;252.75;437;54.62;1502.35;3839264;479908;1272.36;159.04;1160.96;145.12;288.55;36.07;1558.24;194.78;1052.66;131.58;110.92;13.87;73.89;9.24;0.11;671;83.88;1278.8;159.85;1348.4;168.55;726.73;90.84;1995.11;249.39;1685.81;210.73;1036.03;129.5;1206.75;150.84;929.78;116.22;585.31;73.16;2309;2236.05;2383.81;3161.32;8;1;7;0.88
xLokizTremBalax & & Gil do Vigor &;& Gil do Vigor &;1;1;100.00;602;602;2;2;1;1;2;2;3;3;8;8;3;3;0;0;66.67;316;54.42;1849;1849;1449;1449;400;400;18;18;36;36;123;123;55;55;68;68;2;2;6;6;41.28;41.28;55.06;55.06;127;127;380;380;144;144;1365;460113;460113;226.54;226.54;105.87;105.87;36.04;36.04;233.35;233.35;116.4;116.4;18.71;18.71;8.85;8.85;0.15;60;60;207.6;207.6;141.1;141.1;77.49;77.49;290.97;290.97;286.13;286.13;82.33;82.33;214.42;214.42;108.2;108.2;45.85;45.85;2740;2684;2808;3051;1;1;1;1
&v'&Limbo &v'& & Lito;&v'&Limbo &v'&;1;1;100.00;928;928;3;3;0;0;5;5;5;5;10;10;1;1;1;1;60;483;54.24;2323;2323;1870;1870;453;453;22;22;43;43;912;912;740;740;172;172;9;9;16;16;24.52;24.52;34.3;34.3;353;353;341;341;167;167;1595;477760;477760;120.42;120.42;136.96;136.96;60.31;60.31;177.32;177.32;132.54;132.54;7.84;7.84;10.49;10.49;0.13;79;79;157.4;157.4;147.2;147.2;83.35;83.35;234.34;234.34;163.59;163.59;154.11;154.11;131.99;131.99;83.44;83.44;102.26;102.26;2370;2257;2502;3610;0;0;0;0
' Fahad ' & RapidGN & Der Verruckte 2;' Fahad ';8;3;37.50;2647;330.88;5;0.62;1;0.12;16;2;12;1.5;51;6.38;28;3.5;15;1.88;41.67;369.85;43.54;10801;1350.12;7279;909.88;3522;440.25;87;10.88;307;38.38;1781;222.62;702;87.75;1079;134.88;9;1.12;95;11.88;168.91;21.11;123.74;15.47;497;62.12;1148;143.5;152;19;1436.95;2389622;298702.75;967.12;120.89;650.96;81.37;188.95;23.62;943.7;117.96;771.72;96.47;91.61;11.45;27.26;3.41;0.15;183;22.88;876.1;109.51;826.6;103.33;515.49;64.44;1291.57;161.45;1241.23;155.15;565.83;70.73;962.8;120.35;518.46;64.81;325.78;40.72;2229.31;1949.58;2442.62;2992.68;1;0.12;4;0.5
