team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Sir.Kamsalot & ;;2;0;0.00;346;173;0;0;0;0;3;1.5;4;2;11;5.5;5;2.5;4;2;0;376.76;55.31;2660;1330;1704;852;956;478;20;10;88;44;817;408.5;566;283;251;125.5;7;3.5;23;11.5;31.15;15.57;56.84;28.42;287;143.5;338;169;136;68;1513.91;628027;314013.5;206.14;103.07;164.31;82.15;65.84;32.92;241.02;120.51;171.78;85.89;23.5;11.75;7.81;3.9;0.16;48;24;224.8;112.4;190.5;95.25;108.98;54.49;327.31;163.65;295.35;147.68;140.94;70.47;212.45;106.22;136.46;68.23;87.38;43.69;2776.91;2325.48;3135.43;3535.93;2;1;1;0.5
" & Hulio-Antoni";;1;0;0.00;128;128;0;0;0;0;0;0;1;1;4;4;3;3;1;1;0;322;55.46;1076;1076;807;807;269;269;10;10;26;26;255;255;133;133;122;122;2;2;11;11;14.78;14.78;25.53;25.53;115;115;205;205;66;66;1446;270957;270957;94.25;94.25;91.06;91.06;13.97;13.97;125.88;125.88;67.25;67.25;6.16;6.16;1.69;1.69;0.13;13;13;80.8;80.8;110;110;70.78;70.78;128.5;128.5;106.48;106.48;92.8;92.8;73.25;73.25;76.78;76.78;49.25;49.25;2952;2404;3260;3620;1;1;0;0
Kak Water &   ;"  ";1;0;0.00;546;546;2;2;0;0;1;1;6;6;10;10;6;6;5;5;33.33;443;49.37;2520;2520;1910;1910;610;610;23;23;57;57;759;759;530;530;229;229;7;7;21;21;38.67;38.67;46.45;46.45;385;385;429;429;170;170;1572;508197;508197;150.07;150.07;142.27;142.27;60.43;60.43;185.9;185.9;138.14;138.14;28.74;28.74;4.23;4.23;0.14;30;30;149.6;149.6;188.8;188.8;117.41;117.41;235.37;235.37;191.02;191.02;161.76;161.76;130.63;130.63;113.47;113.47;108.68;108.68;2134;1700;2547;3216;1;1;2;2
" AM ATOMIC & naW7_";" AM ATOMIC";1;0;0.00;410;410;1;1;0;0;2;2;3;3;8;8;3;3;2;2;33.33;328;45.17;1806;1806;1115;1115;691;691;12;12;60;60;584;584;374;374;210;210;4;4;18;18;45.51;45.51;20.84;20.84;88;88;88;88;25;25;1415;450853;450853;172.98;172.98;139.16;139.16;26.77;26.77;206.28;206.28;128.74;128.74;3.9;3.9;6.44;6.44;0.1;62;62;174.9;174.9;164;164;91.39;91.39;247.53;247.53;226.01;226.01;112.91;112.91;169.17;169.17;110.01;110.01;59.74;59.74;2311;2169;2473;2829;0;0;2;2
Master Pooh & Zippy & #StopBullying;#StopBullying;1;1;100.00;755;755;2;2;1;1;4;4;4;4;9;9;2;2;1;1;50;399;56.71;2478;2478;2013;2013;465;465;24;24;38;38;379;379;213;213;166;166;3;3;15;15;22.48;22.48;62.14;62.14;367;367;405;405;94;94;1537;526738;526738;157.11;157.11;155.49;155.49;53.62;53.62;170.95;170.95;180.33;180.33;14.93;14.93;5.77;5.77;0.1;55;55;193.9;193.9;158;158;88.16;88.16;278.05;278.05;212.4;212.4;153.82;153.82;164.43;164.43;102.77;102.77;99.02;99.02;2445;2393;2425;3141;0;0;1;1
$INO0 & Cadj0_;$INO0;1;1;100.00;673;673;3;3;2;2;0;0;8;8;4;4;4;4;2;2;37.5;365;44.71;2178;2178;1532;1532;646;646;20;20;53;53;545;545;187;187;358;358;2;2;27;27;23.73;23.73;46.91;46.91;454;454;473;473;12;12;1485;526410;526410;213.78;213.78;122.89;122.89;58.52;58.52;239.82;239.82;131.42;131.42;23.95;23.95;5.78;5.78;0.17;34;34;187.5;187.5;181.1;181.1;105.15;105.15;290.05;290.05;207.96;207.96;187.23;187.23;140.26;140.26;143.73;143.73;111.21;111.21;2166;2045;2319;3084;1;1;0;0
Gizmo & '-(CE ttv PxrLq;'-(CE ttv PxrLq;1;0;0.00;477;477;1;1;2;2;1;1;6;6;9;9;4;4;2;2;16.67;446;48.72;2604;2604;1889;1889;715;715;24;24;64;64;849;849;523;523;326;326;7;7;28;28;39.86;39.86;45.73;45.73;513;513;541;541;179;179;1531;494551;494551;165.22;165.22;129.3;129.3;53.65;53.65;206.01;206.01;132.46;132.46;9.7;9.7;8.39;8.39;0.12;71;71;146.6;146.6;193.6;193.6;74.57;74.57;273.6;273.6;192.39;192.39;155.78;155.78;145.65;145.65;102.2;102.2;100.33;100.33;2014;1823;2210;3032;1;1;1;1
JdubzRL & Ego & TomPouce;****;1;0;0.00;538;538;2;2;1;1;1;1;5;5;10;10;4;4;2;2;40;467;46.84;3529;3529;2526;2526;1003;1003;30;30;80;80;624;624;377;377;247;247;4;4;22;22;44.78;44.78;47.2;47.2;561;561;484;484;26;26;1518;621724;621724;214.11;214.11;163.15;163.15;72.2;72.2;264.08;264.08;178.36;178.36;7.01;7.01;11.73;11.73;0.1;119;119;223.1;223.1;214;214;112.97;112.97;336.48;336.48;297.15;297.15;152.3;152.3;185.22;185.22;177.58;177.58;86.65;86.65;2135;1977;2232;2688;1;1;1;1
****** 4Door440i & Meiscool1122_;****** 4Door440i;1;1;100.00;530;530;2;2;2;2;1;1;3;3;4;4;0;0;0;0;66.67;484;45.73;1869;1869;1369;1369;500;500;15;15;47;47;379;379;187;187;192;192;2;2;17;17;22.17;22.17;13.23;13.23;169;169;143;143;12;12;1625;351241;351241;93.78;93.78;109.55;109.55;32.36;32.36;132.23;132.23;83.99;83.99;19.47;19.47;4.67;4.67;0.12;40;40;107.1;107.1;110.5;110.5;57.19;57.19;178.5;178.5;135.65;135.65;100.04;100.04;97.26;97.26;71.96;71.96;66.48;66.48;2472;2432;2476;3170;0;0;0;0
Rosie.RL ****** & ****** addy_rl_;****** addy_rl_;2;0;0.00;1054;527;4;2;0;0;6;3;6;3;26;13;16;8;6;3;66.67;377;51.95;3396;1698;2652;1326;744;372;34;17;64;32;740;370;596;298;144;72;6;3;12;6;15.16;7.58;59.71;29.85;200;100;671;335.5;2;1;1544;691459;345729.5;252.62;126.31;194.55;97.28;75.9;37.95;279.11;139.55;192;96;51.95;25.97;11.88;5.94;0.16;74;37;236;118;221.5;110.75;173.23;86.62;349.84;174.92;357.56;178.78;165.51;82.76;286.99;143.49;145.21;72.6;90.87;45.43;2439;2013;2951;2816;0;0;0;0
Dequan loco & *******;*******;1;0;0.00;641;641;0;0;2;2;4;4;3;3;13;13;3;3;1;1;0;387;48.44;2983;2983;2120;2120;863;863;26;26;75;75;686;686;559;559;127;127;6;6;11;11;49.14;49.14;28.91;28.91;373;373;489;489;43;43;1487;685998;685998;226.42;226.42;202.65;202.65;56.06;56.06;274.38;274.38;197.93;197.93;12.82;12.82;10.36;10.36;0.12;84;84;223.4;223.4;253.3;253.3;139.27;139.27;345.87;345.87;341.62;341.62;143.52;143.52;263.36;263.36;149.92;149.92;71.85;71.85;2288;2260;2335;2844;0;0;1;1
stai jos tigane & *******;*******;1;0;0.00;128;128;0;0;0;0;0;0;3;3;6;6;3;3;1;1;0;372;42.95;1525;1525;1106;1106;419;419;14;14;35;35;305;305;187;187;118;118;2;2;10;10;24.93;24.93;42.65;42.65;210;210;293;293;12;12;1567;375155;375155;109.68;109.68;109.11;109.11;39.22;39.22;170.09;170.09;78.27;78.27;9.64;9.64;4.49;4.49;0.12;36;36;130.9;130.9;119.3;119.3;57.85;57.85;200.16;200.16;161.92;161.92;96.09;96.09;117.46;117.46;98.13;98.13;42.42;42.42;2574;2283;2920;3373;0;0;3;3
Glasturias & juiceyjust & N808s;*******;1;0;0.00;408;408;0;0;2;2;3;3;2;2;7;7;3;3;2;2;0;353;65.11;2160;2160;1583;1583;577;577;22;22;55;55;445;445;273;273;172;172;3;3;15;15;22.07;22.07;31.43;31.43;189;189;609;609;34;34;1436;477179;477179;196.12;196.12;122.66;122.66;36.15;36.15;224.37;224.37;115.11;115.11;15.45;15.45;7.16;7.16;0.14;53;53;213.7;213.7;127.4;127.4;81.08;81.08;273.85;273.85;259.04;259.04;95.89;95.89;198.41;198.41;113.05;113.05;43.48;43.48;2609;2533;2676;3402;0;0;1;1
JackieFlaps & *******;*******;1;0;0.00;348;348;1;1;1;1;0;0;6;6;10;10;6;6;4;4;16.67;458;52.02;2404;2404;1965;1965;439;439;24;24;38;38;365;365;187;187;178;178;2;2;15;15;33.66;33.66;40.47;40.47;345;345;392;392;2;2;1524;447969;447969;160.14;160.14;120.13;120.13;43.75;43.75;175.98;175.98;129.19;129.19;18.85;18.85;5.5;5.5;0.12;45;45;155;155;152;152;100.03;100.03;223.99;223.99;204.28;204.28;119.73;119.73;156.1;156.1;104.78;104.78;63.14;63.14;2335;2251;2362;3083;1;1;3;3
