team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BALOOstyle &  CHUPAPI ;" CHUPAPI ";1;0;0.00;290;290;1;1;0;0;1;1;2;2;6;6;4;4;1;1;50;268;52.77;1700;1700;1183;1183;517;517;15;15;46;46;314;314;205;205;109;109;3;3;11;11;35.49;35.49;92.85;92.85;203;203;332;332;97;97;1325;432418;432418;221.49;221.49;107.39;107.39;26.24;26.24;227.21;227.21;123.19;123.19;4.72;4.72;5.87;5.87;0.09;62;62;195.9;195.9;134.6;134.6;69.23;69.23;285.89;285.89;282.51;282.51;72.61;72.61;226.34;226.34;92.15;92.15;36.63;36.63;2785;2757;2814;3325;0;0;0;0
' Fahad ' & Herbie174 & Crds1701;' Fahad ';3;2;66.67;1743;581;6;2;1;0.33;7;2.33;18;6;17;5.67;5;1.67;3;1;33.33;385.15;44.97;5930;1976.67;4097;1365.67;1833;611;48;16;154;51.33;1671;557;1039;346.33;632;210.67;11;3.67;56;18.67;88.29;29.43;69.67;23.22;202;67.33;663;221;55;18.33;1429.59;1285126;428375.34;514.82;171.61;369.95;123.32;84.07;28.02;532.94;177.65;381.1;127.03;54.8;18.27;17.66;5.89;0.17;104;34.67;446.3;148.77;480.3;160.1;181.92;60.64;786.91;262.3;596.27;198.76;372.57;124.19;438.82;146.27;304.1;101.37;225.92;75.31;2452.88;2279.38;2640.83;3382.85;2;0.67;2;0.67
)con & ClaysMooSnuckle;)con;1;0;0.00;313;313;1;1;0;0;1;1;1;1;11;11;4;4;1;1;100;398;52.81;1899;1899;1413;1413;486;486;19;19;44;44;167;167;82;82;85;85;2;2;7;7;33.89;33.89;34.24;34.24;280;280;496;496;117;117;1561;394207;394207;115.76;115.76;115.03;115.03;40.09;40.09;152.91;152.91;103.38;103.38;14.59;14.59;6.99;6.99;0.08;89;89;151.3;151.3;107.8;107.8;83.81;83.81;187.08;187.08;188.28;188.28;82.61;82.61;130.72;130.72;106.14;106.14;34.02;34.02;2498;2405;2381;3125;0;0;1;1
HirschKhana & *** & Galna_TV;***;3;1;33.33;875;291.67;3;1;2;0.67;2;0.67;4;1.33;12;4;6;2;2;0.67;75;375.92;49.77;4456;1485.33;3421;1140.33;1035;345;42;14;87;29;834;278;546;182;288;96;7;2.33;25;8.33;91.55;30.52;123.04;41.01;600;200;794;264.67;151;50.33;1499.12;1012462;337487.34;335.99;112;293.43;97.81;94.37;31.46;366.16;122.05;306.09;102.03;51.54;17.18;8.47;2.82;0.11;77;25.67;352.2;117.4;341.2;113.73;178.92;59.64;544.86;181.62;478.91;159.64;244.87;81.62;373.01;124.34;205.35;68.45;145.42;48.47;2659.12;2463.05;2842.02;3697.11;0;0;1;0.33
s-o-s-a1 & ****** 2flashi;****** 2flashi;1;0;0.00;379;379;1;1;0;0;2;2;3;3;9;9;4;4;2;2;33.33;395;44.21;1632;1632;1138;1138;494;494;13;13;43;43;185;185;100;100;85;85;1;1;7;7;61.47;61.47;15.02;15.02;139;139;172;172;0;0;1418;389474;389474;151.05;151.05;129.38;129.38;17;17;194.21;194.21;93.22;93.22;9.99;9.99;9.47;9.47;0.11;86;86;154.9;154.9;126;126;67.65;67.65;229.77;229.77;216.8;216.8;80.62;80.62;158.51;158.51;99.22;99.22;39.68;39.68;2470;2542;2357;2694;0;0;1;1
******* & ****** HC & 19.97;****** HC;1;1;100.00;672;672;3;3;1;1;2;2;5;5;2;2;0;0;0;0;60;493;40.9;1405;1405;1111;1111;294;294;12;12;26;26;255;255;200;200;55;55;2;2;5;5;19.15;19.15;21.25;21.25;237;237;88;88;0;0;1603;269224;269224;77.26;77.26;74.44;74.44;35.04;35.04;103.39;103.39;73.23;73.23;10.12;10.12;4.4;4.4;0.11;39;39;101.9;101.9;70.9;70.9;23.64;23.64;163.1;163.1;122.99;122.99;63.76;63.76;99.61;99.61;42.76;42.76;44.38;44.38;3113;3000;3303;3302;0;0;1;1
****** exo.pc & Taxi._.0;****** exo.pc;1;0;0.00;786;786;2;2;2;2;4;4;5;5;12;12;5;5;2;2;40;410;56.44;2709;2709;2206;2206;503;503;26;26;40;40;402;402;267;267;135;135;3;3;14;14;31.83;31.83;68.39;68.39;489;489;408;408;36;36;1393;523548;523548;238.26;238.26;135.24;135.24;40;40;250.03;250.03;139.08;139.08;24.4;24.4;7.32;7.32;0.13;56;56;197.6;197.6;182.5;182.5;92.27;92.27;321.23;321.23;281.86;281.86;131.65;131.65;216.66;216.66;108.83;108.83;88.02;88.02;2063;1839;2332;2791;0;0;0;0
Rexisit & *******;*******;2;0;0.00;1032;516;2;1;0;0;6;3;8;4;20;10;8;4;6;3;25;430.5;46.72;4501;2250.5;3315;1657.5;1186;593;42;21;105;52.5;1257;628.5;898;449;359;179.5;10;5;30;15;69.78;34.89;94.78;47.39;567;283.5;729;364.5;49;24.5;1460;941419;470709.5;345.93;172.96;279.67;139.84;63.78;31.89;428.63;214.32;237.42;118.71;23.32;11.66;12.14;6.07;0.11;103;51.5;383.8;191.9;286.7;143.35;188.61;94.31;500.76;250.38;466.84;233.42;222.54;111.27;360.13;180.07;188.37;94.18;140.89;70.44;2738;2761.5;2686.5;3336.5;2;1;4;2
ttv.snipez563 & *******;*******;1;0;0.00;207;207;0;0;0;0;1;1;0;0;10;10;4;4;1;1;0;393;52.66;1577;1577;1094;1094;483;483;14;14;42;42;302;302;178;178;124;124;3;3;11;11;36.71;36.71;19.93;19.93;121;121;307;307;123;123;1584;358948;358948;106.44;106.44;109.64;109.64;32.59;32.59;122.36;122.36;118.47;118.47;7.84;7.84;4.75;4.75;0.13;37;37;106.2;106.2;124;124;89.46;89.46;159.2;159.2;157.3;157.3;91.37;91.37;110.81;110.81;88.68;88.68;49.17;49.17;2664;2223;2907;3198;0;0;0;0
******* & JuicyJabes;*******;2;2;100.00;1215;607.5;2;1;5;2.5;4;2;10;5;14;7;3;1.5;3;1.5;20;525.59;47.66;6404;3202;5212;2606;1192;596;60;30;107;53.5;1424;712;1012;506;412;206;13;6.5;37;18.5;103.35;51.68;61.04;30.52;1013;506.5;711;355.5;204;102;1569.86;1076992;538496;311.19;155.6;322.66;161.33;97.9;48.95;400.83;200.42;287.5;143.75;43.42;21.71;19.54;9.77;0.09;219;109.5;360.9;180.45;326.7;163.35;187.88;93.94;543.87;271.93;451.26;225.63;280.49;140.24;340.4;170.2;220.43;110.21;170.92;85.46;2345.84;2360.41;2354.3;3344.52;2;1;0;0
******* & t!ktok 908.rez (chat banned);*******;1;0;0.00;268;268;0;0;1;1;2;2;1;1;9;9;3;3;3;3;0;367;46.33;1652;1652;1233;1233;419;419;16;16;38;38;245;245;144;144;101;101;2;2;10;10;44.15;44.15;21.74;21.74;324;324;366;366;55;55;1528;434514;434514;134.83;134.83;131.58;131.58;33.02;33.02;175.79;175.79;106.63;106.63;17.01;17.01;3;3;0.1;31;31;179.8;179.8;108.9;108.9;62.43;62.43;237;237;209.75;209.75;89.68;89.68;155.08;155.08;107.06;107.06;37.28;37.28;2463;2320;2606;2933;0;0;2;2
******* & Gr00t_Piuzy;*******;1;1;100.00;464;464;2;2;1;1;1;1;5;5;7;7;3;3;1;1;40;324;53.24;1964;1964;1326;1326;638;638;16;16;52;52;386;386;185;185;201;201;2;2;17;17;19.4;19.4;34.48;34.48;67;67;274;274;14;14;1412;471368;471368;204.78;204.78;135.9;135.9;25.56;25.56;206.41;206.41;146.58;146.58;13.24;13.24;4.59;4.59;0.14;33;33;181.5;181.5;166.9;166.9;84.32;84.32;281.91;281.91;247.82;247.82;118.41;118.41;191.24;191.24;102.6;102.6;72.4;72.4;2581;2210;2998;3038;0;0;1;1
' Fahad ' & Herbie174 & Crds1701;*******;1;0;0.00;402;402;1;1;0;0;2;2;4;4;8;8;2;2;2;2;25;422;44.51;2116;2116;1702;1702;414;414;20;20;37;37;632;632;451;451;181;181;5;5;16;16;33.8;33.8;41.41;41.41;340;340;305;305;56;56;1541;485461;485461;139.89;139.89;157.16;157.16;33.17;33.17;180.61;180.61;133.85;133.85;15.75;15.75;6.75;6.75;0.11;63;63;165.3;165.3;159.1;159.1;92.89;92.89;237.33;237.33;218.31;218.31;111.9;111.9;174.46;174.46;83.62;83.62;72.14;72.14;2592;2140;3016;3210;1;1;0;0
