team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prysm! & Sellars. & paul.;!;1;0;0.00;48;48;0;0;0;0;0;0;2;2;1;1;1;1;0;0;0;429;52.54;782;782;522;522;260;260;6;6;26;26;103;103;31;31;72;72;1;1;8;8;21.7;21.7;11.5;11.5;206;206;107;107;78;78;1628;180218;180218;44.85;44.85;48.46;48.46;24.73;24.73;66.91;66.91;50.34;50.34;0.8;0.8;2;2;0.08;24;24;67.8;67.8;44.7;44.7;25.93;25.93;92.11;92.11;54.42;54.42;63.63;63.63;34.78;34.78;44.3;44.3;38.96;38.96;2553;2531;2612;3307;0;0;0;0
prysm! & Sellars. & paul.;! Sultan.;6;3;50.00;3095;515.83;7;1.17;5;0.83;16;2.67;20;3.33;43;7.17;17;2.83;8;1.33;35;494.88;47.12;14566;2427.67;11281;1880.17;3285;547.5;136;22.67;282;47;2787;464.5;1882;313.67;905;150.83;23;3.83;83;13.83;228.61;38.1;208.6;34.77;2586;431;2218;369.67;350;58.33;1597.68;2662342;443723.66;758.58;126.43;657.81;109.64;375.91;62.65;983.96;163.99;706.51;117.75;101.85;16.98;35.14;5.86;0.09;395;65.83;858.2;143.03;838.5;139.75;454.93;75.82;1337.39;222.9;1132.56;188.76;659.74;109.96;815.09;135.85;610.01;101.67;367.21;61.2;2353.82;2234.71;2395.77;3088.86;9;1.5;3;0.5
reekkan & MegaZero & Kimo;"""  Vek-idge "" ";5;2;40.00;3325;665;13;2.6;2;0.4;14;2.8;21;4.2;38;7.6;17;3.4;8;1.6;61.9;363.12;49.54;10236;2047.2;7215;1443;3021;604.2;94;18.8;277;55.4;2104;420.8;1117;223.4;987;197.4;15;3;86;17.2;158.37;31.67;133.19;26.64;735;147;1429;285.8;179;35.8;1512.12;2380234;476046.81;830.57;166.11;613.35;122.67;271.66;54.33;981.09;196.22;636.67;127.33;97.83;19.57;32.95;6.59;0.08;398;79.6;841;168.2;756.6;151.32;388.88;77.78;1326.69;265.34;1137.31;227.46;578.26;115.65;786.2;157.24;595.72;119.14;333.64;66.73;2339.48;2053.96;2607.4;3013.7;6;1.2;1;0.2
reekkan & MegaZero & Kimo;#makesharrieffgreatagain;8;5;62.50;4681;585.12;13;1.62;9;1.12;20;2.5;34;4.25;77;9.62;31;3.88;15;1.88;38.24;396.98;44.42;17135;2141.88;12815;1601.88;4320;540;149;18.62;381;47.62;3394;424.25;2013;251.62;1381;172.62;23;2.88;119;14.88;347.3;43.41;227.24;28.4;1866;233.25;2201;275.12;294;36.75;1508.48;3619544;452443;1319.31;164.91;961.82;120.23;391.48;48.94;1406.76;175.85;1070.4;133.8;195.44;24.43;35.63;4.45;0.08;423;52.88;1220.4;152.55;1322.1;165.26;720.39;90.05;1952.23;244.03;1822.6;227.82;850.01;106.25;1375.75;171.97;805.5;100.69;491.37;61.42;2118.49;1955.29;2254.61;2738.27;5;0.62;12;1.5
reekkan & MegaZero & Kimo;&AVC;1;0;0.00;497;497;2;2;0;0;1;1;4;4;9;9;5;5;3;3;50;474;48.55;3245;3245;2568;2568;677;677;31;31;57;57;1080;1080;771;771;309;309;8;8;23;23;53.28;53.28;57.9;57.9;871;871;549;549;28;28;1650;592672;592672;163.84;163.84;142.41;142.41;92.77;92.77;246.4;246.4;122.04;122.04;30.59;30.59;9.8;9.8;0.11;87;87;217.7;217.7;163.5;163.5;108.54;108.54;290.47;290.47;226.34;226.34;172.68;172.68;161.4;161.4;142.3;142.3;95.32;95.32;2329;2265;2396;2852;1;1;1;1
SnYxx is BACKKKKKKKKKKKKKKKKKKK & 'Dervuu;'Dervuu;1;1;100.00;490;490;1;1;2;2;2;2;1;1;7;7;1;1;1;1;100;416;43.85;1727;1727;1333;1333;394;394;14;14;31;31;247;247;200;200;47;47;2;2;4;4;23.48;23.48;35.52;35.52;100;100;80;80;0;0;1540;425400;425400;134.76;134.76;115.58;115.58;44.82;44.82;134.16;134.16;138;138;23;23;3.3;3.3;0.08;40;40;159.4;159.4;117.3;117.3;66.99;66.99;228.17;228.17;215.5;215.5;79.66;79.66;172.73;172.73;74.85;74.85;47.58;47.58;2168;1734;2513;2802;1;1;1;1
prysm! & Sellars. & paul.;**** rzq is back;1;0;0.00;736;736;3;3;0;0;3;3;7;7;10;10;5;5;2;2;42.86;481;47.3;2441;2441;1841;1841;600;600;23;23;51;51;607;607;435;435;172;172;5;5;16;16;37.02;37.02;17.79;17.79;270;270;374;374;67;67;1549;470276;470276;144.8;144.8;132.47;132.47;55.47;55.47;169.3;169.3;144.12;144.12;19.32;19.32;6.2;6.2;0.14;45;45;162.5;162.5;148.5;148.5;92.79;92.79;239.94;239.94;209.1;209.1;123.63;123.63;145.48;145.48;113.08;113.08;74.17;74.17;2397;2289;2474;3104;0;0;2;2
Twill. & ***** DL3e;***** DL3e;10;10;100.00;8137;813.7;30;3;7;0.7;23;2.3;69;6.9;76;7.6;14;1.4;5;0.5;43.48;514.3;50.23;27307;2730.7;20579;2057.9;6728;672.8;256;25.6;593;59.3;6255;625.5;4092;409.2;2163;216.3;47;4.7;196;19.6;292.04;29.2;335.95;33.6;3146;314.6;3696;369.6;423;42.3;1680.35;5082058;508205.81;1214.03;121.4;1167.74;116.77;875.16;87.52;1439.52;143.95;1594.62;159.46;222.82;22.28;54.35;5.43;0.12;446;44.6;1511.7;151.17;1613.2;161.32;676.11;67.61;2580.85;258.09;1992.2;199.22;1264.75;126.47;1500.99;150.1;950.52;95.05;805.44;80.54;2186.93;1981.89;2437.92;3025.62;11;1.1;8;0.8
admire & TABZRL. & Gecko;*******;1;0;0.00;264;264;1;1;0;0;0;0;3;3;9;9;6;6;1;1;33.33;319;26.72;1523;1523;981;981;542;542;10;10;47;47;200;200;100;100;100;100;1;1;9;9;76.11;76.11;20.23;20.23;157;157;18;18;0;0;1370;366713;366713;173.36;173.36;99.55;99.55;21.22;21.22;179.79;179.79;105.43;105.43;8.91;8.91;4.82;4.82;0.15;32;32;149.4;149.4;137;137;79.67;79.67;214.46;214.46;202.02;202.02;92.11;92.11;151.46;151.46;80.46;80.46;62.21;62.21;2038;1802;2164;2492;0;0;1;1
reekkan & MegaZero & Kimo;*******;1;0;0.00;26;26;0;0;0;0;0;0;1;1;9;9;7;7;4;4;0;389;40.3;864;864;527;527;337;337;7;7;31;31;210;210;175;175;35;35;2;2;3;3;14.87;14.87;8.12;8.12;123;123;172;172;24;24;1315;194296;194296;115.17;115.17;50.69;50.69;12.87;12.87;130.61;130.61;45.64;45.64;2.48;2.48;5.19;5.19;0.43;12;12;77.6;77.6;84;84;79.58;79.58;99.15;99.15;143.39;143.39;35.34;35.34;116.96;116.96;44.76;44.76;17.01;17.01;2935;2861;3004;2630;0;0;1;1
prysm! & Sellars. & paul.;*******;1;0;0.00;381;381;0;0;0;0;3;3;1;1;9;9;2;2;2;2;0;503;53.02;2756;2756;2175;2175;581;581;25;25;53;53;532;532;321;321;211;211;4;4;20;20;42.47;42.47;39.22;39.22;490;490;353;353;89;89;1624;488574;488574;117.88;117.88;117.04;117.04;76.14;76.14;160.78;160.78;136.74;136.74;13.53;13.53;5.6;5.6;0.11;50;50;181.4;181.4;125.1;125.1;59.44;59.44;251.62;251.62;190.3;190.3;120.75;120.75;127.79;127.79;114.01;114.01;69.26;69.26;2202;1919;2493;2994;0;0;2;2
Adecra. & GotchaOwnsYou & KidSniper_07;*******;1;0;0.00;532;532;1;1;2;2;2;2;4;4;11;11;4;4;3;3;25;336;42.99;2080;2080;1222;1222;858;858;14;14;75;75;458;458;220;220;238;238;3;3;20;20;24.5;24.5;18.29;18.29;165;165;188;188;79;79;1440;482374;482374;203.01;203.01;117.37;117.37;44.11;44.11;214.38;214.38;133.49;133.49;16.61;16.61;7.51;7.51;0.11;67;67;191.4;191.4;155.6;155.6;77.7;77.7;286.79;286.79;235.38;235.38;129.1;129.1;188.47;188.47;106.39;106.39;69.62;69.62;2479;2566;2407;3110;0;0;2;2
i cant & ASunnyAfternoon & nr;,;1;1;100.00;624;624;1;1;1;1;3;3;3;3;11;11;2;2;2;2;33.33;351;40.13;2045;2045;1165;1165;880;880;15;15;77;77;350;350;0;0;350;350;0;0;30;30;59.79;59.79;21.96;21.96;321;321;346;346;0;0;1609;538065;538065;151.17;151.17;135.27;135.27;70.98;70.98;172.19;172.19;168.26;168.26;16.96;16.96;4.89;4.89;0.13;37;37;153.3;153.3;193.8;193.8;95.58;95.58;261.82;261.82;198.85;198.85;158.56;158.56;149.04;149.04;106.67;106.67;101.7;101.7;2174;2242;2070;2921;2;2;0;0
Quarnix & .;.;1;1;100.00;419;419;2;2;1;1;0;0;3;3;3;3;3;3;2;2;66.67;447;48.94;2638;2638;2020;2020;618;618;24;24;55;55;622;622;394;394;228;228;6;6;20;20;44.43;44.43;55.36;55.36;261;261;401;401;208;208;1494;522465;522465;186.01;186.01;145.24;145.24;48.97;48.97;209.01;209.01;146.47;146.47;24.73;24.73;5.82;5.82;0.1;57;57;165.9;165.9;189.6;189.6;103.54;103.54;276.67;276.67;206.38;206.38;173.84;173.84;138.01;138.01;114.26;114.26;127.95;127.95;2313;2453;2188;2741;2;2;0;0
