team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & ";;1;0;0.00;646;646;1;1;0;0;7;7;2;2;13;13;4;4;1;1;50;391;44.98;2081;2081;1336;1336;745;745;20;20;66;66;492;492;326;326;166;166;4;4;14;14;33.41;33.41;32.07;32.07;457;457;663;663;73;73;1573;483807;483807;151.64;151.64;122.58;122.58;61.72;61.72;211.83;211.83;114.72;114.72;9.39;9.39;5.82;5.82;0.07;79;79;200.9;200.9;128.3;128.3;75.58;75.58;260.36;260.36;246.24;246.24;89.7;89.7;184.07;184.07;107.45;107.45;44.43;44.43;2656;2238;2859;3301;2;2;4;4
Tr3bla & ReUltras & ;;2;1;50.00;867;433.5;2;1;1;0.5;3;1.5;9;4.5;15;7.5;5;2.5;1;0.5;22.22;482.28;45.48;3964;1982;2915;1457.5;1049;524.5;36;18;95;47.5;1113;556.5;835;417.5;278;139;10;5;26;13;68.83;34.42;52.73;26.37;525;262.5;636;318;170;85;1560.54;763997;381998.5;230.17;115.08;199.77;99.89;97.33;48.67;270.07;135.04;231.17;115.59;26.01;13.01;9.03;4.51;0.12;81;40.5;242.9;121.45;265.5;132.75;145.46;72.73;381.8;190.9;343.6;171.8;183.66;91.83;250.28;125.14;165.27;82.64;111.71;55.85;2468.8;2184.27;2705.99;3242.72;0;0;2;1
Reevo & velocity & prysm!;;1;1;100.00;455;455;3;3;1;1;0;0;4;4;1;1;1;1;1;1;75;441;44.96;1125;1125;901;901;224;224;10;10;19;19;248;248;200;200;48;48;2;2;4;4;23.31;23.31;15.86;15.86;98;98;103;103;0;0;1676;219673;219673;66.79;66.79;61.6;61.6;29.15;29.15;76.87;76.87;70.65;70.65;10.02;10.02;3.39;3.39;0.15;23;23;66.6;66.6;66.1;66.1;12.81;12.81;144.72;144.72;101.95;101.95;55.59;55.59;66.69;66.69;58.78;58.78;32.07;32.07;2520;2336;2666;3284;0;0;0;0
" & ";;1;0;0.00;248;248;1;1;0;0;0;0;2;2;13;13;4;4;3;3;50;379;51.19;2099;2099;1524;1524;575;575;18;18;52;52;493;493;381;381;112;112;4;4;10;10;47.79;47.79;38.66;38.66;189;189;310;310;27;27;1515;478183;478183;166.49;166.49;120.33;120.33;57.43;57.43;193.22;193.22;140.9;140.9;10.13;10.13;8.35;8.35;0.17;49;49;137.4;137.4;199.8;199.8;127.61;127.61;216.64;216.64;232.75;232.75;111.5;111.5;169.41;169.41;110.6;110.6;64.24;64.24;2435;1997;2672;3301;2;2;1;1
"  rent ona perky & arctis.rl";"  rent ona perky";1;1;100.00;388;388;1;1;1;1;0;0;6;6;3;3;1;1;0;0;16.67;444;48.66;2299;2299;1678;1678;621;621;22;22;49;49;358;358;259;259;99;99;3;3;10;10;37.15;37.15;48.59;48.59;524;524;458;458;50;50;1558;438078;438078;135.33;135.33;116.21;116.21;52.95;52.95;174.39;174.39;118.73;118.73;11.37;11.37;4.94;4.94;0.09;54;54;163.3;163.3;137;137;75.37;75.37;229.12;229.12;202.61;202.61;101.88;101.88;144.63;144.63;97.8;97.8;62.06;62.06;2493;2399;2490;3415;1;1;2;2
snoopy  & ApparentlyJack &  Cayyh;" Cayyh";1;0;0.00;571;571;2;2;1;1;2;2;7;7;12;12;5;5;4;4;28.57;427;47.81;2743;2743;2127;2127;616;616;25;25;57;57;685;685;455;455;230;230;5;5;21;21;44.47;44.47;26.52;26.52;309;309;289;289;49;49;1569;564121;564121;183.2;183.2;144.17;144.17;72.85;72.85;190.93;190.93;189.69;189.69;19.59;19.59;7.88;7.88;0.09;85;85;164.4;164.4;207.8;207.8;113.34;113.34;286.88;286.88;251.26;251.26;148.96;148.96;168.45;168.45;156.46;156.46;75.31;75.31;2327;2046;2594;2985;1;1;1;1
Fatman & d7 & !;!;1;0;0.00;779;779;2;2;0;0;3;3;9;9;13;13;3;3;2;2;22.22;475;42.3;3164;3164;2308;2308;856;856;26;26;75;75;461;461;100;100;361;361;1;1;32;32;71.09;71.09;38.18;38.18;309;309;226;226;11;11;1507;649360;649360;226.89;226.89;151.56;151.56;75.66;75.66;238.76;238.76;194.35;194.35;21;21;13.14;13.14;0.14;97;97;193;193;250.2;250.2;116.83;116.83;337.28;337.28;244.41;244.41;209.7;209.7;168.82;168.82;150.02;150.02;135.27;135.27;2123;1902;2313;2939;2;2;4;4
Xsnabb & !;!;1;1;100.00;783;783;4;4;0;0;0;0;9;9;2;2;2;2;1;1;44.44;426;49.17;2230;2230;1517;1517;713;713;19;19;56;56;831;831;525;525;306;306;7;7;27;27;24.53;24.53;36.28;36.28;200;200;403;403;187;187;1526;464046;464046;155.6;155.6;120.42;120.42;54.99;54.99;178.75;178.75;129.39;129.39;22.86;22.86;7.04;7.04;0.08;83;83;136.4;136.4;183.9;183.9;73.62;73.62;257.39;257.39;171.56;171.56;159.44;159.44;125.22;125.22;95.44;95.44;110.35;110.35;2146;1778;2630;3161;1;1;3;3
RichyGaming_ & Nyxoxnz & Layzer_Hawkss;!;2;0;0.00;614;307;2;1;0;0;1;0.5;7;3.5;18;9;11;5.5;7;3.5;28.57;424;47.47;4310;2155;3241;1620.5;1069;534.5;37;18.5;100;50;544;272;162;81;382;191;2;1;35;17.5;49.86;24.93;46.49;23.24;655;327.5;443;221.5;49;24.5;1601.11;882984;441492;261.53;130.76;214.1;107.05;127.1;63.55;334.05;167.02;242.18;121.09;26.5;13.25;9.83;4.91;0.11;88;44;295.5;147.75;274.4;137.2;176.55;88.28;426.18;213.09;380.42;190.21;222.31;111.15;287.73;143.86;180.03;90.01;134.97;67.49;2456.62;2337.44;2518.51;3230.8;2;1;2;1
Shrapstar! & !;!;1;0;0.00;614;614;1;1;0;0;3;3;9;9;9;9;3;3;3;3;11.11;473;46.57;2645;2645;2024;2024;621;621;23;23;47;47;584;584;320;320;264;264;4;4;16;16;79.52;79.52;27.81;27.81;444;444;292;292;80;80;1637;542034;542034;136.75;136.75;147.96;147.96;69.23;69.23;174.99;174.99;148.41;148.41;30.54;30.54;6.5;6.5;0.11;57;57;171.3;171.3;169;169;98.76;98.76;255.18;255.18;205.81;205.81;148.13;148.13;148.57;148.57;107.04;107.04;98.33;98.33;2335;2265;2362;3191;0;0;0;0
