team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
azy & Chief Longbird & rell;"  ";2;1;50.00;531;265.5;1;0.5;1;0.5;1;0.5;4;2;12;6;6;3;1;0.5;25;347.2;46.85;2714;1357;1910;955;804;402;24;12;74;37;704;352;438;219;266;133;6;3;25;12.5;46.62;23.31;55.1;27.55;234;117;534;267;170;85;1458.52;653390;326695;264.79;132.4;152.04;76.02;69.87;34.94;308.97;154.49;162.82;81.41;14.89;7.45;5.05;2.53;0.09;53;26.5;228.9;114.45;229.4;114.7;141.61;70.81;345.08;172.54;320.09;160.04;166.59;83.29;232.47;116.24;155.03;77.51;99.19;49.6;2379.87;2283.39;2459.17;2995.08;0;0;1;0.5
SpookLuke & Localbananah & Butter;" t";2;1;50.00;974;487;1;0.5;2;1;6;3;8;4;16;8;4;2;2;1;12.5;468.86;49.05;5374;2687;3956;1978;1418;709;50;25;126;63;1588;794;1225;612.5;363;181.5;14;7;33;16.5;86.72;43.36;85.03;42.51;839;419.5;1072;536;181;90.5;1656.33;1064883;532441.5;254.62;127.31;283.13;141.57;141.98;70.99;343.98;171.99;290.44;145.22;45.31;22.65;11.38;5.69;0.14;81;40.5;340;170;317.9;158.95;183.34;91.67;496.39;248.2;427.78;213.89;251.95;125.98;311.47;155.74;212.6;106.3;155.66;77.83;2558.26;2384.07;2698.12;3249.06;2;1;1;0.5
SpookLuke & Localbananah & Butter;!;1;1;100.00;491;491;3;3;0;0;0;0;6;6;4;4;1;1;0;0;50;462;53.02;2170;2170;1360;1360;810;810;16;16;75;75;777;777;441;441;336;336;5;5;30;30;18.32;18.32;28.26;28.26;258;258;285;285;67;67;1550;438145;438145;137.22;137.22;126.59;126.59;38.53;38.53;195.85;195.85;88.1;88.1;18.39;18.39;10.92;10.92;0.11;95;95;137.6;137.6;144.5;144.5;53.31;53.31;249.02;249.02;137.92;137.92;164.42;164.42;86.2;86.2;121.49;121.49;94.65;94.65;2281;2447;2104;2990;0;0;0;0
soupz & svs & !Rxsyyy.;!Rxsyyy.;6;4;66.67;3120;520;10;1.67;6;1;11;1.83;20;3.33;46;7.67;16;2.67;6;1;50;509.77;44.61;14637;2439.5;11648;1941.33;2989;498.17;141;23.5;269;44.83;2724;454;1777;296.17;947;157.83;20;3.33;81;13.5;267.42;44.57;174.24;29.04;2592;432;1731;288.5;86;14.33;1656.68;2606153;434358.84;652.88;108.81;684.11;114.02;392.93;65.49;845.05;140.84;751.39;125.23;133.47;22.25;23.74;3.96;0.13;187;31.17;780;130;836;139.33;429.88;71.65;1300.04;216.67;1128.25;188.04;601.68;100.28;834.43;139.07;550.75;91.79;344.74;57.46;2586.5;2469.7;2744.85;3474.5;2;0.33;4;0.67
SpookLuke & Localbananah & Butter;$;5;5;100.00;4230;846;18;3.6;3;0.6;13;2.6;31;6.2;33;6.6;8;1.6;5;1;58.06;393.8;49.24;9785;1957;7215;1443;2570;514;99;19.8;228;45.6;1947;389.4;1282;256.4;665;133;17;3.4;63;12.6;156.77;31.35;211.3;42.26;1486;297.2;2761;552.2;446;89.2;1609.24;2346698;469339.59;679.95;135.99;605.69;121.14;312.56;62.51;814.56;162.91;688.14;137.63;95.49;19.1;16.84;3.37;0.12;143;28.6;789.2;157.84;732.6;146.52;265.63;53.13;1332.57;266.51;1094.08;218.82;504.07;100.81;829.9;165.98;472;94.4;296.3;59.26;2577.77;2425.2;2731.95;3106.04;2;0.4;6;1.2
SpookLuke & Localbananah & Butter;'Aarian';1;0;0.00;786;786;3;3;1;1;3;3;6;6;13;13;5;5;2;2;50;514;52.9;3225;3225;2398;2398;827;827;29;29;74;74;605;605;400;400;205;205;4;4;19;19;34.19;34.19;43.32;43.32;595;595;532;532;5;5;1645;570511;570511;154.37;154.37;137.75;137.75;93.19;93.19;204.92;204.92;154.54;154.54;25.85;25.85;6.99;6.99;0.11;61;61;160.6;160.6;203.2;203.2;133.61;133.61;251.69;251.69;263.42;263.42;121.88;121.88;198.77;198.77;107.26;107.26;79.27;79.27;2239;2064;2396;2632;1;1;1;1
spross    & 'jsoncrdbl, & maybe_ghxst;'jsoncrdbl,;2;0;0.00;762;381;0;0;0;0;4;2;4;2;16;8;4;2;1;0.5;0;458;43.46;4436;2218;3368;1684;1068;534;40;20;100;50;1282;641;978;489;304;152;10;5;30;15;131.31;65.65;66.09;33.04;752;376;676;338;20;10;1530.5;923431;461715.5;274.13;137.07;236.72;118.36;111.07;55.53;292.53;146.26;298.96;149.48;30.42;15.21;8.57;4.28;0.11;78;39;252.4;126.2;369.8;184.9;175.66;87.83;446.25;223.12;381.63;190.82;240.28;120.14;277.18;138.59;171.95;85.97;172.8;86.4;1919.51;1545.5;2186.01;2943.49;2;1;2;1
azy & Chief Longbird & rell;)&N??)&;3;1;33.33;1168;389.33;4;1.33;1;0.33;3;1;10;3.33;21;7;9;3;5;1.67;40;394.7;52.81;7121;2373.67;4959;1653;2162;720.67;62;20.67;195;65;1701;567;1118;372.67;583;194.33;13;4.33;55;18.33;87.67;29.22;162.79;54.26;480;160;1319;439.67;231;77;1514.6;1498412;499470.66;498.57;166.19;431.98;143.99;135.39;45.13;609.64;203.21;392.31;130.77;64;21.33;22.21;7.4;0.1;228;76;554.7;184.9;465.3;155.1;243.78;81.26;822.16;274.05;695.65;231.88;370.29;123.43;513.61;171.2;337.99;112.66;214.34;71.45;2275.07;2096.16;2476.96;2914.99;0;0;3;1
SpookLuke & Localbananah & Butter;*' Macke;3;3;100.00;1926;642;6;2;0;0;6;2;18;6;24;8;3;1;0;0;33.33;378.33;49.21;6572;2190.67;4730;1576.67;1842;614;63;21;162;54;1413;471;945;315;468;156;12;4;39;13;84.23;28.08;111.15;37.05;654;218;1612;537.33;252;84;1540;1453870;484623.34;447.53;149.18;382.52;127.51;160.58;53.53;555.49;185.16;405.22;135.07;29.91;9.97;19.8;6.6;0.13;159;53;527.9;175.97;439.5;146.5;213.16;71.05;777.45;259.15;710.91;236.97;279.7;93.23;574.92;191.64;240.09;80.03;175.59;58.53;2077;1557.33;2551.67;2859.67;0;0;3;1
*'J mth*' & itsprstn_;*'J mth*';1;0;0.00;641;641;2;2;1;1;3;3;4;4;13;13;4;4;0;0;50;406;45.47;2955;2955;2041;2041;914;914;26;26;79;79;530;530;243;243;287;287;3;3;25;25;76.8;76.8;46.82;46.82;536;536;571;571;56;56;1557;657892;657892;198.89;198.89;190.28;190.28;63.81;63.81;246.75;246.75;189.74;189.74;16.5;16.5;6.4;6.4;0.08;83;83;213.9;213.9;216.9;216.9;144.34;144.34;308.65;308.65;325.21;325.21;127.77;127.77;251.98;251.98;131.09;131.09;69.91;69.91;2666;2349;2984;3330;3;3;0;0
