team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Levikzz & ;;1;0;0.00;429;429;1;1;0;0;2;2;2;2;9;9;5;5;4;4;50;483;55.74;2850;2850;2294;2294;556;556;30;30;50;50;637;637;455;455;182;182;6;6;17;17;36.1;36.1;39.1;39.1;343;343;714;714;142;142;1588;533003;533003;153.07;153.07;134.5;134.5;74.88;74.88;181.41;181.41;170.04;170.04;11;11;8.97;8.97;0.11;80;80;188.3;188.3;181.6;181.6;111.81;111.81;250.65;250.65;237.32;237.32;125.14;125.14;165.01;165.01;126.38;126.38;71.07;71.07;2470;2384;2664;3446;1;1;2;2
LydoJr & JJ 1 & ekb.;" Vision zeno";2;2;100.00;1455;727.5;8;4;1;0.5;1;0.5;16;8;7;3.5;4;2;2;1;50;541.16;49.86;5314;2657;4254;2127;1060;530;55;27.5;99;49.5;1732;866;1358;679;374;187;16;8;39;19.5;78.03;39.01;94.06;47.03;792;396;1277;638.5;270;135;1734.69;980276;490138;214.71;107.35;227.96;113.98;175.7;87.85;272.09;136.04;289.15;144.58;57.13;28.57;12.48;6.24;0.11;114;57;264.3;132.15;303;151.5;133.48;66.74;484.9;242.45;316.31;158.15;302.06;151.03;216.37;108.18;193.99;97;208;104;2098.41;1842.97;2395.86;2767.62;4;2;0;0
! & //feyyo;!;2;0;0.00;456;228;1;0.5;0;0;1;0.5;5;2.5;12;6;5;2.5;3;1.5;20;492.02;33.92;4061;2030.5;2768;1384;1293;646.5;30;15;96;48;1021;510.5;674;337;347;173.5;7;3.5;31;15.5;119.08;59.54;42.01;21.01;971;485.5;235;117.5;24;12;1667.06;789451;394725.5;186.02;93.01;189.2;94.6;131.75;65.88;259.46;129.73;211.39;105.69;36.11;18.06;7.78;3.89;0.12;68;34;238;119;259.7;129.85;162.91;81.46;344.05;172.02;337.64;168.82;169.32;84.66;241.89;120.94;166.95;83.47;98.11;49.06;2213.9;1908.37;2443.92;3094.82;5;2.5;4;2
! & ZGDX Chech;!;1;1;100.00;500;500;1;1;2;2;2;2;2;2;10;10;2;2;1;1;50;390;50.56;2286;2286;1378;1378;908;908;16;16;81;81;310;310;86;86;224;224;1;1;19;19;37.21;37.21;42.91;42.91;240;240;261;261;13;13;1484;489215;489215;175.1;175.1;129.45;129.45;47.47;47.47;193.09;193.09;134.89;134.89;24.05;24.05;5.66;5.66;0.14;41;41;156.3;156.3;180.2;180.2;101.38;101.38;250.65;250.65;246.45;246.45;105.57;105.57;191.42;191.42;102.58;102.58;58.03;58.03;2347;2193;2487;2994;1;1;0;0
"TRISSYP000 & "" newo"" ";""" newo"" ";1;0;0.00;271;271;0;0;0;0;2;2;5;5;7;7;4;4;1;1;0;357;58.11;1859;1859;1440;1440;419;419;21;21;40;40;568;568;425;425;143;143;6;6;13;13;25.56;25.56;46.7;46.7;269;269;704;704;188;188;1522;422922;422922;140.48;140.48;119.52;119.52;36.78;36.78;184.03;184.03;103.57;103.57;9.18;9.18;4.55;4.55;0.08;55;55;146;146;142.6;142.6;67.25;67.25;229.53;229.53;172.2;172.2;124.58;124.58;126.21;126.21;93.72;93.72;76.85;76.85;2530;2360;2512;3718;1;1;2;2
#DXTR & yeah & poiut;#DXTR;3;3;100.00;1510;503.33;6;2;2;0.67;2;0.67;16;5.33;20;6.67;8;2.67;4;1.33;37.5;385.36;48.79;6860;2286.67;4628;1542.67;2232;744;55;18.33;200;66.67;1785;595;1084;361.33;701;233.67;13;4.33;66;22;96.18;32.06;144.4;48.13;1054;351.33;921;307;230;76.67;1580.47;1579938;526646;504.61;168.2;371.17;123.72;205.77;68.59;598.21;199.4;422.02;140.67;61.32;20.44;27.99;9.33;0.11;243;81;515.6;171.87;506.6;168.87;288.72;96.24;792.81;264.27;619.53;206.51;462;154;449.49;149.83;336.09;112.03;295.96;98.65;2183.12;2142.92;2219.53;2803.15;2;0.67;4;1.33
$4RG3 & Moxie!;$4RG3;1;1;100.00;769;769;2;2;1;1;3;3;5;5;9;9;2;2;1;1;40;382;45.32;2383;2383;1596;1596;787;787;20;20;72;72;554;554;300;300;254;254;3;3;22;22;48.77;48.77;23.37;23.37;407;407;323;323;0;0;1572;507133;507133;156.9;156.9;118.98;118.98;69.89;69.89;201.82;201.82;130.21;130.21;13.73;13.73;7.7;7.7;0.13;61;61;179;179;148.6;148.6;84.64;84.64;261.13;261.13;234.26;234.26;111.51;111.51;185.78;185.78;98.6;98.6;61.39;61.39;2066;1811;2272;2942;0;0;0;0
Blase & Dr. BurgerShark & Nic;&D.;1;1;100.00;712;712;2;2;1;1;4;4;3;3;7;7;0;0;0;0;66.67;432;55.75;2505;2505;1917;1917;588;588;28;28;47;47;381;381;252;252;129;129;3;3;13;13;45.06;45.06;45.26;45.26;342;342;809;809;48;48;1548;492683;492683;144.32;144.32;132.81;132.81;56.52;56.52;178.16;178.16;130.22;130.22;25.28;25.28;3.97;3.97;0.1;40;40;144.9;144.9;177.9;177.9;81.42;81.42;252.23;252.23;233.59;233.59;100.06;100.06;178.56;178.56;97.3;97.3;57.79;57.79;2129;2057;2196;2631;1;1;1;1
qkyks & ' Feeh ';' Feeh ';1;1;100.00;490;490;2;2;0;0;1;1;2;2;6;6;2;2;1;1;100;355;45.98;2085;2085;1425;1425;660;660;17;17;58;58;405;405;243;243;162;162;3;3;14;14;43.73;43.73;27.76;27.76;179;179;283;283;56;56;1487;487079;487079;180.26;180.26;133.89;133.89;37.18;37.18;208.64;208.64;129.56;129.56;13.13;13.13;6.51;6.51;0.13;51;51;161.9;161.9;177.4;177.4;93.33;93.33;258;258;221.97;221.97;129.37;129.37;153.17;153.17;139.81;139.81;58.35;58.35;2329;2266;2404;3207;0;0;0;0
'jsoncrdbl, & eli & Scrup kbm;'jsoncrdbl,;3;2;66.67;1600;533.33;2;0.67;5;1.67;6;2;9;3;26;8.67;11;3.67;7;2.33;22.22;418.76;48.21;7428;2476;5531;1843.67;1897;632.33;66;22;177;59;1371;457;826;275.33;545;181.67;9;3;50;16.67;154.63;51.54;145.5;48.5;737;245.67;1203;401;108;36;1522.92;1530767;510255.66;542.86;180.95;328.45;109.48;227.73;75.91;566.69;188.9;471.7;157.23;60.67;20.22;15.16;5.05;0.11;138;46;526;175.33;510.2;170.07;271.56;90.52;827.48;275.83;724.55;241.52;374.49;124.83;534.51;178.17;365.34;121.78;199.18;66.39;2279.03;2094.33;2398.29;3014.98;4;1.33;5;1.67
