team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Dragon <3 & n & Sergeant;"   Dani___RL   ";2;0;0.00;326;163;1;0.5;0;0;1;0.5;4;2;11;5.5;6;3;3;1.5;25;333.13;51.4;1787;893.5;1385;692.5;402;201;17;8.5;37;18.5;388;194;317;158.5;71;35.5;4;2;6;3;25.69;12.85;37.26;18.63;167;83.5;273;136.5;18;9;1433.49;410565;205282.5;184.7;92.35;112.99;56.5;33.02;16.51;194.73;97.37;109.43;54.71;26.54;13.27;2.19;1.1;0.06;18;9;145.6;72.8;167.5;83.75;108.3;54.15;222.41;111.21;223.38;111.69;107.33;53.67;167.87;83.93;98.22;49.11;64.61;32.31;2530.85;2293.72;2865.68;2995.81;0;0;0;0
" t & ""  Vek-idge "" ";" t";4;3;75.00;2993;748.25;8;2;4;1;11;2.75;25;6.25;31;7.75;10;2.5;3;0.75;32;472.14;51.57;12196;3049;8938;2234.5;3258;814.5;115;28.75;289;72.25;3774;943.5;2495;623.75;1279;319.75;31;7.75;107;26.75;166.19;41.55;204.88;51.22;2149;537.25;2669;667.25;632;158;1591.23;2417228;604307;686.06;171.52;584.63;146.16;350.93;87.73;840.44;210.11;677.87;169.47;103.33;25.83;22.89;5.72;0.14;156;39;754.5;188.62;808.6;202.15;356.67;89.17;1264.95;316.24;965.87;241.47;655.75;163.94;722.79;180.7;466.21;116.55;432.61;108.15;2395.27;2187.71;2627.65;3164.83;3;0.75;5;1.25
JSP-_ & !;!;1;0;0.00;739;739;1;1;0;0;6;6;2;2;14;14;4;4;2;2;50;375;45.32;1974;1974;1169;1169;805;805;13;13;63;63;487;487;380;380;107;107;4;4;9;9;55;55;29.37;29.37;127;127;154;154;19;19;1539;501724;501724;170.43;170.43;119.41;119.41;59.27;59.27;191.03;191.03;140.45;140.45;17.63;17.63;7.17;7.17;0.11;64;64;180.1;180.1;151.7;151.7;83.79;83.79;265.32;265.32;253.22;253.22;95.89;95.89;208.48;208.48;80.33;80.33;60.3;60.3;2341;1966;2620;2791;0;0;1;1
itachi. & lostttrl & zgocbrayt;! Bomba;2;1;50.00;1256;628;5;2.5;1;0.5;5;2.5;10;5;14;7;4;2;1;0.5;50;438.24;44.47;4208;2104;3166;1583;1042;521;38;19;95;47.5;951;475.5;608;304;343;171.5;8;4;31;15.5;80.23;40.11;59.35;29.67;414;207;253;126.5;48;24;1587.86;878415;439207.5;253.33;126.66;230.53;115.26;115.9;57.95;300.51;150.26;253.06;126.53;46.2;23.1;19.05;9.52;0.12;152;76;297.4;148.7;267.5;133.75;159.59;79.79;440.18;220.09;366.85;183.43;232.91;116.46;277.68;138.84;185.5;92.75;136.58;68.29;2569.46;2559.44;2579.75;2933.44;4;2;3;1.5
! Dcw & le nez a nico;! Dcw;4;2;50.00;2215;553.75;8;2;2;0.5;8;2;16;4;43;10.75;11;2.75;3;0.75;50;387.74;47.22;9738;2434.5;7445;1861.25;2293;573.25;84;21;204;51;2160;540;1574;393.5;586;146.5;18;4.5;54;13.5;171.44;42.86;200.29;50.07;1604;401;1038;259.5;261;65.25;1508.04;2121522;530380.5;724;181;588.61;147.15;203.88;50.97;797.85;199.46;622.37;155.59;96.28;24.07;19.87;4.97;0.1;190;47.5;714.2;178.55;741.3;185.33;362.24;90.56;1154.25;288.56;1050.37;262.59;466.13;116.53;789.07;197.27;458.84;114.71;268.57;67.14;2552.13;2439.78;2669.19;3173.98;11;2.75;4;1
. & ! HUNGERGATION;! HUNGERGATION;1;0;0.00;811;811;3;3;1;1;3;3;5;5;11;11;5;5;2;2;60;394;38.19;2285;2285;1603;1603;682;682;18;18;61;61;672;672;499;499;173;173;6;6;16;16;60.61;60.61;20.67;20.67;478;478;196;196;100;100;1554;537481;537481;180.62;180.62;126.88;126.88;74.76;74.76;192.16;192.16;175.32;175.32;14.77;14.77;4.98;4.98;0.12;43;43;140.3;140.3;219;219;130.67;130.67;251.59;251.59;261.37;261.37;120.89;120.89;201.51;201.51;111.72;111.72;69.03;69.03;1993;1886;2067;2587;1;1;1;1
Dragon <3 & n & Sergeant;! S A Y Y Z Z;2;0;0.00;1122;561;0;0;2;1;10;5;6;3;22;11;10;5;6;3;0;443;45.87;4338;2169;3044;1522;1294;647;36;18;118;59;760;380;326;163;434;217;4;2;40;20;93.2;46.6;37.82;18.91;806;403;584;292;82;41;1522;854580;427290;281.18;140.59;210.06;105.03;115.11;57.56;323.62;161.81;249.47;124.74;33.27;16.64;9.93;4.97;0.12;80;40;284.7;142.35;291.6;145.8;184.27;92.13;422.09;211.04;417.17;208.58;189.19;94.6;323.92;161.96;176.92;88.46;105.53;52.76;2203;2200.51;2227.99;2987.01;0;0;2;1
Dragon <3 & n & Sergeant;! Sultan.;10;4;40.00;6124;612.4;18;1.8;8;0.8;28;2.8;42;4.2;104;10.4;36;3.6;19;1.9;42.86;465.3;46.46;28315;2831.5;21541;2154.1;6774;677.4;265;26.5;599;59.9;5053;505.3;2986;298.6;2067;206.7;37;3.7;182;18.2;441.23;44.12;370.67;37.07;5191;519.1;4843;484.3;733;73.3;1600.51;5387150;538715;1528.43;152.84;1347.69;134.77;763.27;76.33;2071.78;207.18;1373.61;137.36;193.99;19.4;64.47;6.45;0.09;697;69.7;1830;183;1647.9;164.79;892.87;89.29;2746.51;274.65;2320.75;232.07;1318.65;131.86;1687.07;168.71;1203.49;120.35;748.84;74.88;2527.69;2369.79;2669.76;3155.25;13;1.3;10;1
azizpogchampion & atom & mauve;! mxrc;1;0;0.00;446;446;0;0;0;0;4;4;3;3;10;10;2;2;1;1;0;431;42.84;2190;2190;1647;1647;543;543;21;21;48;48;250;250;81;81;169;169;2;2;16;16;38.92;38.92;46.28;46.28;341;341;321;321;30;30;1608;482470;482470;133.7;133.7;114.61;114.61;64.19;64.19;165.85;165.85;133.27;133.27;13.39;13.39;4.93;4.93;0.13;37;37;168.6;168.6;148.9;148.9;70.66;70.66;241.85;241.85;225.05;225.05;87.45;87.45;177.17;177.17;83.04;83.04;52.29;52.29;2215;1770;2584;3020;0;0;2;2
" t & ""  Vek-idge "" ";"""  Vek-idge "" ";4;3;75.00;1754;438.5;5;1.25;2;0.5;3;0.75;18;4.5;31;7.75;10;2.5;7;1.75;27.78;382.77;54.67;10194;2548.5;7248;1812;2946;736.5;95;23.75;272;68;2206;551.5;1162;290.5;1044;261;17;4.25;98;24.5;127.55;31.89;152.39;38.1;746;186.5;1810;452.5;293;73.25;1514.02;2294657;573664.25;776.36;194.09;627.42;156.86;222.84;55.71;935.99;234;612.77;153.19;77.84;19.46;32.39;8.1;0.08;410;102.5;828.4;207.1;742.8;185.7;378.41;94.6;1248.2;312.05;949.56;237.39;677.06;169.26;680.8;170.2;544.61;136.15;401.2;100.3;2388.19;2317.14;2449.47;3164.83;3;0.75;3;0.75
