team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Sergeant & n & Dragon <3;;1;1;100.00;314;314;1;1;1;1;0;0;4;4;1;1;1;1;0;0;25;348;41.61;1129;1129;714;714;415;415;9;9;37;37;116;116;50;50;66;66;1;1;7;7;22.16;22.16;18.95;18.95;134;134;149;149;0;0;1579;268926;268926;87.26;87.26;62.97;62.97;35.25;35.25;99.5;99.5;77.59;77.59;8.4;8.4;3.77;3.77;0.13;30;30;93.5;93.5;78.2;78.2;45.04;45.04;140.45;140.45;125.29;125.29;60.2;60.2;92.89;92.89;52.82;52.82;39.78;39.78;2713;2550;2745;2818;0;0;0;0
. & shckwave. & Haawk_Tuuah.;;2;1;50.00;346;173;1;0.5;1;0.5;0;0;7;3.5;5;2.5;5;2.5;4;2;14.29;439.61;50.17;2859;1429.5;1995;997.5;864;432;22;11;79;39.5;549;274.5;284;142;265;132.5;4;2;23;11.5;76.42;38.21;26.44;13.22;156;78;232;116;119;59.5;1550.37;565482;282741;175.5;87.75;158.95;79.47;61.43;30.72;209.05;104.52;174.48;87.24;12.34;6.17;7.23;3.62;0.09;84;42;208.6;104.3;161.7;80.85;91.11;45.56;304.76;152.38;224.94;112.47;170.92;85.46;157.28;78.64;138.29;69.14;100.3;50.15;2627.38;2485.36;2648.74;3287.03;0;0;2;1
Sergeant & n & Dragon <3;"   R34ks   ";1;1;100.00;425;425;1;1;3;3;2;2;2;2;4;4;1;1;0;0;50;385;42.86;1135;1135;712;712;423;423;8;8;35;35;219;219;100;100;119;119;1;1;8;8;25.79;25.79;7.81;7.81;103;103;87;87;0;0;1575;253818;253818;79.46;79.46;72.84;72.84;27.69;27.69;98.99;98.99;74.18;74.18;6.82;6.82;3.77;3.77;0.16;23;23;99.2;99.2;65.4;65.4;28.49;28.49;151.5;151.5;129.12;129.12;50.87;50.87;103.39;103.39;53;53;23.6;23.6;2541;2532;2541;3009;0;0;2;2
Sergeant & n & Dragon <3;" Cayyh";1;1;100.00;677;677;2;2;0;0;1;1;9;9;4;4;1;1;1;1;22.22;443;44.94;2413;2413;1758;1758;655;655;22;22;62;62;627;627;360;360;267;267;5;5;24;24;38.29;38.29;27.06;27.06;356;356;461;461;144;144;1599;550175;550175;141.71;141.71;149.77;149.77;68.17;68.17;151.87;151.87;180.76;180.76;27.02;27.02;5.99;5.99;0.1;58;58;140.1;140.1;220.9;220.9;92.39;92.39;267.26;267.26;242.04;242.04;117.61;117.61;187.41;187.41;92.91;92.91;79.33;79.33;1909;1407;2305;2497;0;0;3;3
LK9 &  K1;" K1";1;1;100.00;557;557;3;3;1;1;0;0;4;4;4;4;1;1;1;1;75;339;52.78;1343;1343;998;998;345;345;13;13;30;30;233;233;101;101;132;132;2;2;12;12;9.1;9.1;42.95;42.95;170;170;301;301;98;98;1528;298839;298839;99.68;99.68;87.24;87.24;31.61;31.61;132.79;132.79;83.17;83.17;2.57;2.57;4.25;4.25;0.09;47;47;88.9;88.9;116.6;116.6;27.08;27.08;191.44;191.44;131.96;131.96;86.56;86.56;100.86;100.86;70.66;70.66;47;47;1982;1895;1975;2610;1;1;2;2
HuaBin & Exotide & SrgSprinkles;" \_-_-_/ ";1;1;100.00;538;538;1;1;0;0;4;4;4;4;11;11;2;2;2;2;25;417;51.97;2703;2703;1847;1847;856;856;25;25;73;73;359;359;100;100;259;259;1;1;18;18;27.34;27.34;52.02;52.02;289;289;691;691;0;0;1510;587264;587264;196.15;196.15;152.42;152.42;64.73;64.73;222.44;222.44;164.91;164.91;25.95;25.95;8.28;8.28;0.15;57;57;221.4;221.4;175.3;175.3;99.12;99.12;314.18;314.18;296.43;296.43;116.87;116.87;221.48;221.48;126.63;126.63;65.19;65.19;2380;2418;2334;3131;3;3;1;1
Sergeant & n & Dragon <3;!;1;0;0.00;208;208;1;1;0;0;1;1;1;1;3;3;1;1;1;1;100;479;33.83;508;508;387;387;121;121;4;4;11;11;0;0;0;0;0;0;0;0;0;0;11.14;11.14;9.14;9.14;27;27;12;12;0;0;1279;98194;98194;55.19;55.19;18.8;18.8;10.22;10.22;42.91;42.91;40.57;40.57;0.73;0.73;1.8;1.8;0.09;19;19;37.2;37.2;40.4;40.4;29.59;29.59;54.62;54.62;72.69;72.69;11.52;11.52;61.24;61.24;15.25;15.25;7.72;7.72;1999;1791;2292;2426;0;0;0;0
Sergeant & n & Dragon <3;! Mohammed.;3;0;0.00;1343;447.67;4;1.33;1;0.33;7;2.33;10;3.33;33;11;13;4.33;8;2.67;40;467.42;51.18;7719;2573;5554;1851.33;2165;721.67;68;22.67;201;67;1796;598.67;1153;384.33;643;214.33;14;4.67;57;19;101.04;33.68;80.44;26.81;1082;360.67;1355;451.67;276;92;1649.07;1486078;495359.34;397.11;132.37;386.77;128.92;204.19;68.06;525.87;175.29;419.72;139.91;42.47;14.16;33.58;11.19;0.09;381;127;512.1;170.7;413.9;137.97;251.68;83.89;736.38;245.46;636.57;212.19;351.48;117.16;462.27;154.09;329.02;109.67;196.76;65.59;2369.17;2237.81;2449.91;3095.93;5;1.67;2;0.67
Sergeant & n & Dragon <3;! Sultan.;2;2;100.00;1360;680;4;2;4;2;6;3;12;6;16;8;8;4;4;2;33.33;521;41.97;5875;2937.5;4397;2198.5;1478;739;52;26;132;66;1429;714.5;862;431;567;283.5;12;6;52;26;82.51;41.25;53.97;26.99;1438;719;801;400.5;352;176;1640;1089167;544583.5;306.46;153.23;270.26;135.13;169.53;84.76;433.94;216.97;296.94;148.47;15.37;7.68;10.45;5.23;0.08;131;65.5;323.6;161.8;352.5;176.25;197.78;98.89;548.49;274.24;455.06;227.53;291.21;145.61;320.94;160.47;238.62;119.31;186.7;93.35;2565;2535.5;2503.5;3048;2;1;0;0
Epix & ! nthn;! nthn;8;5;62.50;4038;504.75;11;1.38;8;1;14;1.75;31;3.88;60;7.5;20;2.5;8;1;35.48;395.54;48.17;16799;2099.88;12257;1532.12;4542;567.75;150;18.75;420;52.5;3131;391.38;1762;220.25;1369;171.12;22;2.75;122;15.25;342.21;42.78;390.39;48.8;1862;232.75;2563;320.38;196;24.5;1556.71;3640945;455118.12;1125.06;140.63;994.42;124.3;400.19;50.02;1446.35;180.79;954.4;119.3;118.93;14.87;35.23;4.4;0.14;256;32;1291.7;161.46;1092.3;136.54;644.63;80.58;1875.03;234.38;1680.74;210.09;838.93;104.87;1209.49;151.19;826.98;103.37;483.19;60.4;2447.56;2163.38;2673.93;3144.77;10;1.25;6;0.75
