team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & this rank is a joke -250";;1;1;100.00;969;969;5;5;0;0;3;3;6;6;12;12;5;5;1;1;83.33;393;44.42;2686;2686;1794;1794;892;892;22;22;76;76;545;545;374;374;171;171;5;5;15;15;65.25;65.25;27.49;27.49;322;322;407;407;125;125;1524;597688;597688;207.53;207.53;165.74;165.74;65.27;65.27;211.05;211.05;207.62;207.62;19.86;19.86;9.12;9.12;0.11;80;80;234.1;234.1;174.1;174.1;88.64;88.64;349.9;349.9;294.86;294.86;143.68;143.68;204.15;204.15;144.3;144.3;90.09;90.09;2239;2034;2457;2989;0;0;1;1
User-84a2528a46 &       ;"      ";3;2;66.67;1194;398;4;1.33;0;0;3;1;17;5.67;19;6.33;7;2.33;1;0.33;23.53;326.36;40.96;4747;1582.33;2598;866;2149;716.33;30;10;191;63.67;1054;351.33;500;166.67;554;184.67;5;1.67;50;16.67;96.51;32.17;69.04;23.01;405;135;385;128.33;14;4.67;1402.77;1178029;392676.34;532.83;177.61;308.95;102.98;81.46;27.15;566.05;188.68;312.82;104.27;44.37;14.79;17.56;5.85;0.16;110;36.67;461.7;153.9;428.6;142.87;260.13;86.71;663.1;221.03;553.09;184.36;370.14;123.38;393.77;131.26;321.34;107.11;208.12;69.37;2692.72;2507.11;2823.34;3055.7;2;0.67;3;1
Linkz & RaphinhaLeeds22. & teteu;"   3Mvp   ";1;1;100.00;328;328;1;1;0;0;1;1;2;2;7;7;2;2;0;0;50;358;45.25;2087;2087;1303;1303;784;784;15;15;68;68;449;449;200;200;249;249;2;2;21;21;34.44;34.44;23.13;23.13;180;180;205;205;0;0;1562;497822;497822;157.72;157.72;125.65;125.65;58.31;58.31;166.31;166.31;149.72;149.72;25.66;25.66;7.37;7.37;0.14;52;52;144.1;144.1;185.1;185.1;118.95;118.95;222.73;222.73;235.4;235.4;106.28;106.28;168.26;168.26;110.11;110.11;63.32;63.32;2281;2224;2316;3112;3;3;1;1
pinkylink & Uglutia & sk1psis;"   Dani___RL   ";2;1;50.00;1440;720;4;2;2;1;8;4;13;6.5;17;8.5;5;2.5;2;1;30.77;423.09;47.12;4651;2325.5;3682;1841;969;484.5;44;22;86;43;1000;500;618;309;382;191;7;3.5;34;17;89.7;44.85;104.08;52.04;844;422;732;366;86;43;1540.52;996222;498111;334.61;167.3;255.19;127.6;120.36;60.18;405.49;202.74;266.86;133.43;37.8;18.9;6.7;3.35;0.12;55;27.5;333.1;166.55;334.4;167.2;153.29;76.65;556.87;278.43;461.59;230.79;248.57;124.29;341.53;170.76;199.77;99.89;168.85;84.43;2384.96;2174.65;2556.57;2960.57;2;1;2;1
nthnne & aminn. & BennyBoyBoot;"   wizzo   ";1;0;0.00;546;546;2;2;2;2;0;0;4;4;8;8;5;5;1;1;50;456;44.21;2899;2899;1947;1947;952;952;24;24;86;86;558;558;200;200;358;358;2;2;32;32;41.6;41.6;31.92;31.92;603;603;458;458;0;0;1608;571477;571477;166.92;166.92;154.61;154.61;71.29;71.29;236.26;236.26;143.87;143.87;12.7;12.7;8.9;8.9;0.11;83;83;152.2;152.2;213.3;213.3;126.17;126.17;266.66;266.66;242.8;242.8;150.03;150.03;165.16;165.16;145.29;145.29;82.38;82.38;2438;2106;2677;3213;1;1;0;0
" Andii  & gnorri";" Andii ";1;1;100.00;696;696;3;3;1;1;1;1;6;6;6;6;2;2;1;1;50;479;45.51;2952;2952;2217;2217;735;735;24;24;67;67;734;734;440;440;294;294;5;5;27;27;62.69;62.69;23.32;23.32;590;590;68;68;52;52;1649;554304;554304;140.07;140.07;146.42;146.42;80.11;80.11;191.53;191.53;153.63;153.63;21.44;21.44;7.44;7.44;0.1;77;77;169.2;169.2;177;177;96.38;96.38;270.22;270.22;206.35;206.35;160.25;160.25;146.66;146.66;117.42;117.42;102.52;102.52;2329;2255;2429;3248;1;1;1;1
" Crillix|  & Freelo18";" Crillix| ";1;1;100.00;646;646;3;3;1;1;1;1;6;6;7;7;1;1;0;0;50;414;54.43;1962;1962;1511;1511;451;451;20;20;43;43;479;479;295;295;184;184;4;4;16;16;22.15;22.15;46.88;46.88;356;356;482;482;70;70;1681;428847;428847;109.7;109.7;109.1;109.1;59.19;59.19;157.85;157.85;105.08;105.08;15.06;15.06;2.56;2.56;0.12;21;21;118.3;118.3;141.7;141.7;70.28;70.28;207.71;207.71;172.45;172.45;105.54;105.54;130.05;130.05;98.84;98.84;49.1;49.1;2424;2399;2373;3132;1;1;0;0
! & celiaxvn;!;1;1;100.00;787;787;2;2;2;2;2;2;8;8;14;14;3;3;2;2;25;513;47.76;5492;5492;3867;3867;1625;1625;46;46;148;148;1587;1587;995;995;592;592;11;11;53;53;65.94;65.94;57.91;57.91;1050;1050;651;651;88;88;1693;1046306;1046306;218.69;218.69;255.68;255.68;174.37;174.37;378.85;378.85;224.39;224.39;45.49;45.49;12.8;12.8;0.1;125;125;313.6;313.6;324.3;324.3;185.22;185.22;463.51;463.51;357.03;357.03;291.71;291.71;266.13;266.13;200.08;200.08;182.53;182.53;2280;2017;2499;3043;1;1;1;1
Smiley & ! Digitalkiwi.;! Digitalkiwi.;1;0;0.00;266;266;0;0;1;1;1;1;5;5;10;10;4;4;1;1;0;480;42.91;1942;1942;1628;1628;314;314;18;18;26;26;372;372;300;300;72;72;3;3;6;6;60.88;60.88;27.32;27.32;175;175;171;171;0;0;1656;388400;388400;91.94;91.94;112.66;112.66;49.99;49.99;115.07;115.07;121.14;121.14;18.38;18.38;2.93;2.93;0.12;24;24;113;113;121.8;121.8;89.32;89.32;165.27;165.27;169.76;169.76;84.83;84.83;127.92;127.92;76.52;76.52;50.14;50.14;2108;1799;2446;2804;1;1;0;0
Shogun & Astro & THEVBAT;!B5D0=030;2;2;100.00;958;479;2;1;3;1.5;4;2;3;1.5;14;7;2;1;1;0.5;66.67;507.75;53.14;4480;2240;3399;1699.5;1081;540.5;44;22;97;48.5;812;406;521;260.5;291;145.5;6;3;26;13;56.55;28.27;95.18;47.59;867;433.5;1038;519;84;42;1573.25;803175;401587.5;227.23;113.61;224.64;112.32;92.98;46.49;291.9;145.95;220.64;110.32;32.31;16.16;11.51;5.76;0.09;115;57.5;220.1;110.05;306;153;127.91;63.96;416.93;208.46;363.28;181.64;181.57;90.79;271.24;135.62;171.82;85.91;101.8;50.9;2110.84;1785.15;2396.94;2857.86;3;1.5;3;1.5
