team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
viewz & Nate. & hiding;;1;1;100.00;687;687;2;2;1;1;3;3;7;7;6;6;1;1;0;0;28.57;493;47.52;2561;2561;1925;1925;636;636;24;24;59;59;938;938;760;760;178;178;8;8;18;18;53.38;53.38;51.77;51.77;408;408;523;523;62;62;1567;484367;484367;145.19;145.19;101.72;101.72;77.11;77.11;162.48;162.48;142.82;142.82;18.72;18.72;6.23;6.23;0.13;47;47;169;169;160.4;160.4;64.7;64.7;259.32;259.32;185.9;185.9;138.11;138.11;140.34;140.34;97.09;97.09;86.58;86.58;2461;2296;2613;3151;0;0;3;3
"   & HasanJam";"  ";1;1;100.00;526;526;2;2;0;0;1;1;4;4;7;7;2;2;0;0;50;364;50.25;1958;1958;1383;1383;575;575;17;17;54;54;572;572;378;378;194;194;4;4;19;19;25.16;25.16;32.44;32.44;227;227;327;327;23;23;1387;456551;456551;202.09;202.09;114.21;114.21;37.41;37.41;197.09;197.09;141.25;141.25;15.38;15.38;3.82;3.82;0.09;42;42;155.6;155.6;184.2;184.2;83.57;83.57;270.14;270.14;200.22;200.22;153.49;153.49;141.44;141.44;117.68;117.68;94.59;94.59;2063;2187;1910;2896;1;1;0;0
nthnne & xttik-fs & will.;" Vision zeno";1;1;100.00;971;971;3;3;2;2;5;5;6;6;8;8;1;1;0;0;50;491;42.8;2350;2350;1867;1867;483;483;20;20;45;45;379;379;252;252;127;127;3;3;13;13;40.63;40.63;32.7;32.7;347;347;146;146;54;54;1622;444446;444446;124.86;124.86;101.79;101.79;70.61;70.61;141.84;141.84;131.87;131.87;23.54;23.54;7.37;7.37;0.13;57;57;139.1;139.1;142.9;142.9;56.69;56.69;240.56;240.56;195.81;195.81;101.44;101.44;137.3;137.3;97.08;97.08;62.87;62.87;1985;1831;2174;3010;1;1;2;2
! & rFrqdo;!;4;4;100.00;2356;589;12;3;4;1;2;0.5;14;3.5;16;4;4;1;2;0.5;85.71;415.71;51.62;8183;2045.75;6300;1575;1883;470.75;74;18.5;173;43.25;1735;433.75;1326;331.5;409;102.25;16;4;39;9.75;99.42;24.85;124.59;31.15;1293;323.25;1160;290;304;76;1521.16;1680644;420161;590.19;147.55;426.19;106.55;194.58;48.65;704.72;176.18;438.45;109.61;67.78;16.94;19.89;4.97;0.09;212;53;484.3;121.08;636.9;159.22;313.31;78.33;897.65;224.41;814.29;203.57;396.67;99.17;580.36;145.09;399.58;99.89;231.03;57.76;2370.05;2507.94;2161.77;2959.99;4;1;0;0
! & AFoxyPancake & Bucket;!;15;6;40.00;7103;473.53;22;1.47;8;0.53;25;1.67;60;4;100;6.67;46;3.07;18;1.2;36.67;319.92;47.43;26103;1740.2;16753;1116.87;9350;623.33;208;13.87;830;55.33;7222;481.47;4312;287.47;2910;194;55;3.67;261;17.4;490.14;32.68;550.61;36.71;3768;251.2;3103;206.87;813;54.2;1409.75;6272725;418181.66;2782.62;185.51;1427.38;95.16;619.67;41.31;2963.83;197.59;1675.5;111.7;190.41;12.69;98.41;6.56;0.09;1163;77.53;2318.1;154.54;2312.1;154.14;1192.25;79.48;3637.44;242.5;2976.9;198.46;1852.79;123.52;2162.88;144.19;1582.39;105.49;1084.39;72.29;2365.6;2184.1;2490.21;3027.16;18;1.2;15;1
zrrn & ! & Ripesalmon;!;5;3;60.00;2422;484.4;10;2;3;0.6;5;1;20;4;40;8;15;3;5;1;50;410.94;47.58;11972;2394.4;8450;1690;3522;704.4;102;20.4;321;64.2;2476;495.2;1279;255.8;1197;239.4;17;3.4;107;21.4;151.04;30.21;220.06;44.01;1293;258.6;938;187.6;117;23.4;1625.69;2585783;517156.59;713.14;142.63;630.13;126.03;382.82;76.56;951.62;190.32;669.94;133.99;104.52;20.9;49.63;9.93;0.1;499;99.8;846.9;169.38;778.9;155.78;433.95;86.79;1292.13;258.43;1025.8;205.16;700.29;140.06;719.61;143.92;572.55;114.51;433.92;86.78;2443.01;2393.51;2442.3;3037.62;4;0.8;3;0.6
Paradox & ! solo.;! solo.;2;1;50.00;1120;560;4;2;1;0.5;4;2;10;5;13;6.5;4;2;1;0.5;40;427.27;47.87;3769;1884.5;2979;1489.5;790;395;36;18;76;38;1007;503.5;766;383;241;120.5;10;5;25;12.5;43.2;21.6;90.6;45.3;358;179;498;249;182;91;1642.74;771521;385760.5;202.99;101.5;222.63;111.32;83.76;41.88;260.04;130.02;208.85;104.43;40.49;20.24;11.12;5.56;0.11;98;49;232.4;116.2;249.8;124.9;153.28;76.64;356.1;178.05;300.53;150.26;208.86;104.43;217.07;108.54;161.8;80.9;130.5;65.25;2554.15;2231.52;2862.66;3287.42;2;1;1;0.5
Nks & & Jean Claude Van Damme;& Jean Claude Van Damme;1;0;0.00;208;208;0;0;0;0;2;2;2;2;11;11;5;5;1;1;0;404;50.78;1362;1362;1012;1012;350;350;15;15;32;32;391;391;295;295;96;96;4;4;9;9;22.34;22.34;22.95;22.95;366;366;328;328;107;107;1506;291088;291088;106.61;106.61;76.02;76.02;32.3;32.3;125.83;125.83;83.13;83.13;5.97;5.97;3.43;3.43;0.1;35;35;107.2;107.2;100.7;100.7;66.8;66.8;148.13;148.13;156.45;156.45;58.48;58.48;119;119;57.62;57.62;38.3;38.3;1975;1804;2111;2853;1;1;2;2
Tris| & *' Prez;*' Prez;1;0;0.00;364;364;0;0;1;1;2;2;1;1;7;7;3;3;2;2;0;448;48.21;2671;2671;2050;2050;621;621;23;23;54;54;338;338;212;212;126;126;3;3;11;11;61.95;61.95;37.48;37.48;297;297;251;251;87;87;1573;513525;513525;145.54;145.54;150.21;150.21;49.93;49.93;184.72;184.72;150.08;150.08;10.88;10.88;8.58;8.58;0.13;66;66;167.5;167.5;160.8;160.8;92.72;92.72;252.97;252.97;212.78;212.78;132.9;132.9;146.77;146.77;130.26;130.26;68.64;68.64;2288;1837;2607;3125;1;1;0;0
*' ZucraM_ & Rescue;*' ZucraM_;2;2;100.00;1272;636;2;1;2;1;8;4;8;4;18;9;4;2;2;1;25;368;43.07;4416;2208;3356;1678;1060;530;40;20;92;46;618;309;400;200;218;109;4;2;18;9;100.25;50.12;56.36;28.18;188;94;646;323;0;0;1432;921701;460850.5;378.09;189.05;223.75;111.88;87.92;43.96;391.08;195.54;258.06;129.03;40.61;20.31;19.42;9.71;0.12;159;79.5;321.2;160.6;357;178.5;207.25;103.62;482.49;241.24;481.54;240.77;208.21;104.1;358.31;179.15;218.69;109.35;112.75;56.38;2594.5;2589.5;2561;2970;0;0;8;4
