team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
s7ero & pls dont cut me & LeooooooooooniD.;;1;1;100.00;558;558;2;2;2;2;1;1;4;4;6;6;2;2;0;0;50;492;46.2;2184;2184;1775;1775;409;409;20;20;36;36;438;438;356;356;82;82;4;4;7;7;34.02;34.02;21.18;21.18;338;338;224;224;43;43;1546;375023;375023;123.81;123.81;95.77;95.77;48.58;48.58;148.5;148.5;107.35;107.35;12.31;12.31;5.64;5.64;0.1;57;57;105.8;105.8;143.4;143.4;76.41;76.41;191.76;191.76;199.44;199.44;68.72;68.72;142.74;142.74;77.18;77.18;48.24;48.24;2394;2125;2862;2934;1;1;1;1
akm4aaxx &    & FaktinI;"  ";2;1;50.00;856;428;3;1.5;0;0;3;1.5;9;4.5;17;8.5;6;3;4;2;33.33;387.29;40;3754;1877;2502;1251;1252;626;29;14.5;111;55.5;465;232.5;89;44.5;376;188;2;1;33;16.5;81.64;40.82;64.7;32.35;659;329.5;409;204.5;109;54.5;1497.14;843263;421631.5;300.99;150.49;220.56;110.28;87.13;43.57;372.49;186.24;223.44;111.72;12.76;6.38;8.78;4.39;0.17;53;26.5;328.6;164.3;267.9;133.95;129.76;64.88;478.92;239.46;392.27;196.13;216.42;108.21;296.94;148.47;190;95;121.74;60.87;2429.71;2354.43;2447.43;3068.86;2;1;4;2
immintrin.h & Tempo & p1nito.;"  ";2;0;0.00;760;380;3;1.5;0;0;2;1;7;3.5;17;8.5;9;4.5;5;2.5;42.86;464.35;52.48;5408;2704;4131;2065.5;1277;638.5;47;23.5;114;57;1264;632;923;461.5;341;170.5;11;5.5;30;15;87.33;43.67;81.45;40.72;1066;533;624;312;183;91.5;1575.18;1054811;527405.5;307.52;153.76;282.42;141.21;138.26;69.13;382.62;191.31;299.51;149.76;46.07;23.03;12.43;6.22;0.12;98;49;346.3;173.15;348.8;174.4;196.99;98.5;531.22;265.61;438.62;219.31;289.58;144.79;327.66;163.83;218.86;109.43;181.69;90.85;2234.28;1896.6;2453.12;2960.12;3;1.5;1;0.5
"   choob & taido.";"   choob";1;1;100.00;292;292;1;1;1;1;1;1;3;3;5;5;2;2;2;2;33.33;276;58.81;1501;1501;995;995;506;506;15;15;45;45;327;327;166;166;161;161;2;2;15;15;22.66;22.66;32.6;32.6;65;65;513;513;40;40;1479;376231;376231;138.61;138.61;104.17;104.17;35.06;35.06;143.86;143.86;114.9;114.9;19.07;19.07;4.24;4.24;0.15;29;29;152.7;152.7;104;104;54.22;54.22;223.62;223.62;184.14;184.14;93.69;93.69;127.55;127.55;112.27;112.27;38.02;38.02;2525;2569;2555;3125;0;0;0;0
velocity & rizun & OhJayy!;!;3;0;0.00;471;157;1;0.33;0;0;2;0.67;2;0.67;24;8;13;4.33;10;3.33;50;405.98;50.03;4614;1538;3389;1129.67;1225;408.33;44;14.67;108;36;925;308.33;648;216;277;92.33;7;2.33;24;8;44.43;14.81;62.81;20.94;570;190;1015;338.33;51;17;1557.72;932188;310729.34;292.73;97.58;249.96;83.32;113;37.67;398.52;132.84;229.87;76.62;27.29;9.1;8.66;2.89;0.12;74;24.67;324.9;108.3;293.4;97.8;214.88;71.63;440.81;146.94;442.35;147.45;213.34;71.11;331.6;110.53;198.13;66.04;125.95;41.98;2162.92;2113.77;2171.95;2710.49;4;1.33;6;2
danger & ! Dcw;! Dcw;2;1;50.00;862;431;0;0;3;1.5;4;2;11;5.5;22;11;5;2.5;3;1.5;0;368.34;47.84;5043;2521.5;3713;1856.5;1330;665;44;22;119;59.5;829;414.5;480;240;349;174.5;5;2.5;31;15.5;74.68;37.34;126.04;63.02;643;321.5;743;371.5;20;10;1527.23;1064434;532217;352.84;176.42;279.84;139.92;109.39;54.69;413.78;206.89;283.92;141.96;44.37;22.18;9.15;4.57;0.11;84;42;410.1;205.05;317;158.5;162.3;81.15;579.77;289.89;521.3;260.65;220.76;110.38;391.27;195.64;229.66;114.83;121.14;60.57;2613.48;2565.24;2624.51;3050.6;3;1.5;3;1.5
KnightYuh :) & Polar & ! LeV;! LeV;7;4;57.14;3603;514.71;8;1.14;6;0.86;14;2;29;4.14;64;9.14;20;2.86;11;1.57;27.59;423.74;48.62;16684;2383.43;12590;1798.57;4094;584.86;152;21.71;356;50.86;2822;403.14;1821;260.14;1001;143;21;3;89;12.71;327.55;46.79;324.03;46.29;1860;265.71;2809;401.29;309;44.14;1567.11;3452365;493195;1024.23;146.32;935.88;133.7;430.31;61.47;1156.55;165.22;1091.19;155.88;142.66;20.38;34.32;4.9;0.1;328;46.86;1221.2;174.46;1040.2;148.6;612.45;87.49;1777.98;254;1637.61;233.94;752.81;107.54;1181.76;168.82;823.43;117.63;385.22;55.03;2578.98;2294.68;2834.67;3074.26;9;1.29;7;1
velocity & rizun & OhJayy!;!ollie;4;1;25.00;2342;585.5;7;1.75;1;0.25;6;1.5;28;7;29;7.25;14;3.5;3;0.75;25;416.35;44.94;10688;2672;7206;1801.5;3482;870.5;88;22;318;79.5;2219;554.75;1176;294;1043;260.75;18;4.5;93;23.25;245.09;61.27;122.14;30.53;1171;292.75;1321;330.25;550;137.5;1555.46;2195122;548780.5;698.96;174.74;554.63;138.66;274.55;68.64;790.31;197.58;670.96;167.74;66.87;16.72;31.41;7.85;0.09;358;89.5;702.7;175.68;763;190.75;393.52;98.38;1134.63;283.66;999.05;249.76;529.1;132.28;745.15;186.29;449.62;112.4;333.38;83.35;2236.47;2028.83;2477.53;3007.48;4;1;10;2.5
velocity & rizun & OhJayy!;#8 of the Phantom Troupe;1;1;100.00;594;594;2;2;0;0;3;3;2;2;7;7;1;1;0;0;100;441;45.8;2395;2395;1574;1574;821;821;19;19;66;66;318;318;193;193;125;125;2;2;11;11;46.89;46.89;35.25;35.25;343;343;338;338;7;7;1483;467347;467347;158.29;158.29;113.31;113.31;58.16;58.16;163.65;163.65;152.13;152.13;13.97;13.97;7.21;7.21;0.12;60;60;184.1;184.1;135.2;135.2;73.08;73.08;256.68;256.68;247.39;247.39;82.36;82.36;189.96;189.96;109.54;109.54;30.26;30.26;2730;2656;2792;3076;0;0;0;0
velocity & rizun & OhJayy!;$BTC GO BRRR;4;0;0.00;2362;590.5;2;0.5;6;1.5;16;4;18;4.5;48;12;14;3.5;8;2;11.11;418.1;47.99;11351;2837.75;8034;2008.5;3317;829.25;102;25.5;293;73.25;3773;943.25;2741;685.25;1032;258;32;8;92;23;210.94;52.74;145.36;36.34;1481;370.25;1900;475;446;111.5;1530.64;2300664;575166;762.19;190.55;594.38;148.6;252.81;63.2;877.53;219.38;630.15;157.54;101.7;25.42;21.97;5.49;0.14;153;38.25;772;193;760.9;190.23;400.36;100.09;1209.01;302.25;917.26;229.31;692.11;173.03;651.85;162.96;550.61;137.65;406.91;101.73;2383.92;2249.91;2501.2;3209.34;6;1.5;2;0.5
K0$0 & %~.;%~.;1;0;0.00;455;455;1;1;0;0;3;3;1;1;8;8;4;4;2;2;100;414;39.93;2212;2212;1684;1684;528;528;18;18;47;47;411;411;268;268;143;143;3;3;13;13;78.35;78.35;41.08;41.08;219;219;128;128;34;34;1567;466165;466165;143.91;143.91;119.76;119.76;53.63;53.63;170.53;170.53;121.83;121.83;24.93;24.93;4.67;4.67;0.14;33;33;173.9;173.9;128.9;128.9;71.31;71.31;245.99;245.99;228.74;228.74;88.55;88.55;165.93;165.93;102.94;102.94;48.42;48.42;2508;2201;2693;3401;1;1;2;2
