team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
prosk & spross    & Tshega;;2;1;50.00;1271;635.5;2;1;1;0.5;9;4.5;4;2;14;7;5;2.5;2;1;50;478.54;46.23;5445;2722.5;4008;2004;1437;718.5;45;22.5;115;57.5;1204;602;892;446;312;156;9;4.5;28;14;144;72;88.73;44.36;684;342;544;272;10;5;1495.04;953919;476959.5;343.56;171.78;207.27;103.64;131.17;65.58;329.43;164.71;289.69;144.85;62.88;31.44;10.84;5.42;0.1;109;54.5;335.7;167.85;319;159.5;169.24;84.62;512.76;256.38;484.23;242.11;197.76;98.88;366.98;183.49;208.54;104.27;106.48;53.24;2252.11;2094.47;2426;3208.28;0;0;1;0.5
Eddy Smurfy & ;;1;1;100.00;632;632;1;1;1;1;4;4;6;6;13;13;3;3;1;1;16.67;487;46.54;3053;3053;2072;2072;981;981;22;22;74;74;931;931;559;559;372;372;6;6;27;27;95.11;95.11;14.94;14.94;411;411;153;153;46;46;1734;660118;660118;130.51;130.51;168.95;168.95;111.04;111.04;182.87;182.87;196.86;196.86;30.77;30.77;11.23;11.23;0.09;129;129;193.8;193.8;208.3;208.3;121.84;121.84;288.66;288.66;236;236;174.5;174.5;167.07;167.07;133.34;133.34;110.09;110.09;2252;2131;2368;3021;1;1;3;3
Sky. & Keery & ;;1;0;0.00;330;330;0;0;1;1;1;1;5;5;7;7;4;4;1;1;0;387;50.71;2182;2182;1542;1542;640;640;18;18;49;49;401;401;179;179;222;222;2;2;20;20;50.37;50.37;33.02;33.02;220;220;272;272;20;20;1561;481872;481872;154.08;154.08;114.41;114.41;66.86;66.86;156.56;156.56;154.8;154.8;24;24;6.02;6.02;0.09;68;68;154.8;154.8;166;166;109.86;109.86;225.49;225.49;213.91;213.91;121.45;121.45;162.96;162.96;98.8;98.8;73.6;73.6;2274;1876;2645;3086;0;0;0;0
" & Xeraim";;1;1;100.00;362;362;1;1;2;2;0;0;6;6;4;4;1;1;0;0;16.67;336;49.03;1499;1499;1145;1145;354;354;12;12;32;32;297;297;200;200;97;97;2;2;9;9;49.86;49.86;35.21;35.21;99;99;83;83;11;11;1612;358563;358563;102.23;102.23;100.73;100.73;38.97;38.97;136.56;136.56;96.42;96.42;8.95;8.95;4.67;4.67;0.13;35;35;110.5;110.5;128.5;128.5;61.86;61.86;180.08;180.08;138.07;138.07;103.86;103.86;86.63;86.63;96.46;96.46;58.85;58.85;2339;2562;2197;2834;0;0;1;1
Dede! & twitch samyfnbr_ & Seed;;2;2;100.00;1761;880.5;5;2.5;1;0.5;8;4;11;5.5;19;9.5;4;2;0;0;45.45;473.96;48.2;5500;2750;4203;2101.5;1297;648.5;53;26.5;116;58;1171;585.5;598;299;573;286.5;6;3;51;25.5;94.17;47.08;76.76;38.38;904;452;1114;557;1;0.5;1613.38;1057147;528573.5;267.18;133.59;297.45;148.73;136.56;68.28;351.67;175.83;315.34;157.67;34.17;17.08;14.36;7.18;0.1;148;74;333.1;166.55;342;171;164.67;82.34;536.52;268.26;425.16;212.58;276.03;138.01;311.45;155.73;214.86;107.43;174.88;87.44;2293.63;1959.19;2632.74;3066.67;0;0;1;0.5
BiscuitGalaxy & Nunocas_01014 &  -_- ;" -_- ";1;0;0.00;441;441;1;1;1;1;2;2;4;4;8;8;6;6;1;1;25;378;49.08;2358;2358;1578;1578;780;780;19;19;62;62;721;721;340;340;381;381;5;5;25;25;40.08;40.08;43.79;43.79;228;228;356;356;167;167;1459;438440;438440;178.55;178.55;123.72;123.72;32.15;32.15;207.8;207.8;112.93;112.93;13.7;13.7;3.5;3.5;0.19;18;18;170.1;170.1;134.4;134.4;74.67;74.67;259.75;259.75;176.43;176.43;158;158;122.71;122.71;127.06;127.06;84.65;84.65;2754;2800;2699;3584;0;0;0;0
unitz & forever luti & seltt;" K1";1;0;0.00;380;380;1;1;1;1;0;0;3;3;5;5;3;3;2;2;33.33;297;55.59;1955;1955;1444;1444;511;511;23;23;48;48;182;182;70;70;112;112;3;3;11;11;29.96;29.96;81.71;81.71;297;297;876;876;229;229;1566;501234;501234;156.16;156.16;128.8;128.8;58.9;58.9;184.98;184.98;133.6;133.6;25.28;25.28;4.01;4.01;0.08;52;52;195.8;195.8;139.5;139.5;77.04;77.04;266.82;266.82;234.02;234.02;109.83;109.83;174.78;174.78;103.74;103.74;65.33;65.33;2413;2008;2830;3237;3;3;3;3
Zenat &  Liam;" Liam";1;0;0.00;484;484;1;1;1;1;2;2;6;6;9;9;4;4;2;2;16.67;483;48;2715;2715;1959;1959;756;756;25;25;66;66;623;623;461;461;162;162;6;6;14;14;46.1;46.1;32.81;32.81;233;233;363;363;138;138;1622;523102;523102;144.95;144.95;134.32;134.32;66.9;66.9;191.28;191.28;139.98;139.98;14.9;14.9;6.03;6.03;0.1;60;60;187.2;187.2;138.5;138.5;85.64;85.64;260.53;260.53;222.35;222.35;123.81;123.81;156.86;156.86;110.52;110.52;78.79;78.79;2406;2350;2435;2988;0;0;0;0
! 3ZoZ. & j1 durag;! 3ZoZ.;1;1;100.00;750;750;2;2;3;3;2;2;5;5;10;10;4;4;1;1;40;406;51.75;2666;2666;1877;1877;789;789;23;23;73;73;517;517;315;315;202;202;4;4;19;19;26.5;26.5;43.24;43.24;492;492;460;460;92;92;1618;573334;573334;174.23;174.23;136.36;136.36;84.86;84.86;205.66;205.66;176.91;176.91;12.89;12.89;8.28;8.28;0.14;61;61;164.5;164.5;199.3;199.3;112.47;112.47;282.98;282.98;249.23;249.23;146.22;146.22;184.42;184.42;125.91;125.91;85.12;85.12;2513;2191;2808;3133;2;2;0;0
! Sajer & R2mbo.;! Sajer;1;1;100.00;452;452;2;2;2;2;0;0;5;5;2;2;2;2;0;0;40;509;42.01;1696;1696;1302;1302;394;394;14;14;35;35;517;517;285;285;232;232;3;3;20;20;22.45;22.45;23.04;23.04;186;186;100;100;15;15;1743;326650;326650;69.14;69.14;87.27;87.27;52.98;52.98;100;100;92.45;92.45;16.94;16.94;2.77;2.77;0.12;24;24;98.7;98.7;97.2;97.2;71.55;71.55;137.84;137.84;103.01;103.01;106.38;106.38;75.77;75.77;59.09;59.09;74.53;74.53;2838;2787;2961;3446;1;1;1;1
