team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ahauger10 & ;;1;1;100.00;518;518;0;0;1;1;5;5;2;2;9;9;2;2;1;1;0;376;52.58;2418;2418;1619;1619;799;799;21;21;70;70;584;584;361;361;223;223;4;4;19;19;34.5;34.5;35.5;35.5;357;357;503;503;40;40;1485;523857;523857;195.61;195.61;118.38;118.38;61;61;212.33;212.33;150.21;150.21;12.45;12.45;11.78;11.78;0.13;89;89;201.1;201.1;156;156;92.17;92.17;282.82;282.82;266.08;266.08;108.91;108.91;181.22;181.22;142.4;142.4;51.37;51.37;2562;2183;2915;2894;0;0;0;0
" & AcetylI_X & Snow";;2;1;50.00;1254;627;5;2.5;1;0.5;4;2;14;7;23;11.5;10;5;5;2.5;35.71;379.98;48.22;4302;2151;3243;1621.5;1059;529.5;38;19;100;50;1305;652.5;951;475.5;354;177;11;5.5;33;16.5;107.76;53.88;82.8;41.4;401;200.5;599;299.5;173;86.5;1514.01;951113;475556.5;355.07;177.54;252.57;126.28;104.56;52.28;377.92;188.96;305.18;152.59;29.11;14.56;10.34;5.17;0.13;77;38.5;333.2;166.6;357.5;178.75;199.5;99.75;512.7;256.35;443.7;221.85;268.51;134.26;341.25;170.62;194.31;97.15;176.65;88.32;2128.79;1898.64;2358.94;2843.72;1;0.5;0;0
StingRay <3 & public & Lore;"  Zaik0_  ";1;0;0.00;249;249;0;0;1;1;2;2;0;0;10;10;3;3;1;1;0;516;44.18;1676;1676;1360;1360;316;316;16;16;29;29;83;83;0;0;83;83;0;0;7;7;28.56;28.56;34.86;34.86;81;81;245;245;1;1;1556;285618;285618;89.56;89.56;70;70;39;39;90.12;90.12;90.99;90.99;17.44;17.44;2.4;2.4;0.12;20;20;93.1;93.1;97.9;97.9;65.51;65.51;133.05;133.05;140.75;140.75;57.81;57.81;114.25;114.25;50.51;50.51;33.8;33.8;2483;2349;2604;3153;1;1;2;2
" Andii  & B ?";" Andii ";1;1;100.00;507;507;3;3;2;2;0;0;4;4;0;0;0;0;0;0;75;473;41.06;1252;1252;927;927;325;325;11;11;30;30;438;438;313;313;125;125;4;4;12;12;17.62;17.62;9.4;9.4;118;118;141;141;69;69;1693;241605;241605;62.83;62.83;78.82;78.82;26.51;26.51;97.21;97.21;68.34;68.34;2.62;2.62;2.84;2.84;0.09;33;33;78.8;78.8;65.4;65.4;37.93;37.93;130.24;130.24;90.48;90.48;77.69;77.69;56.59;56.59;65.55;65.55;46.02;46.02;2596;2750;2281;3262;1;1;0;0
StingRay <3 & public & Lore;!tj;1;1;100.00;400;400;1;1;1;1;1;1;3;3;9;9;2;2;1;1;33.33;375;42.71;2087;2087;1398;1398;689;689;16;16;63;63;524;524;311;311;213;213;4;4;18;18;40.44;40.44;42.58;42.58;141;141;214;214;91;91;1513;495224;495224;168.39;168.39;130.14;130.14;52.16;52.16;176.74;176.74;156.37;156.37;17.58;17.58;6.01;6.01;0.08;78;78;130.3;130.3;206.8;206.8;98.97;98.97;251.72;251.72;203.99;203.99;146.7;146.7;149.38;149.38;107.92;107.92;93.38;93.38;2021;1909;2123;2896;2;2;1;1
n rl & #1;#1;1;0;0.00;840;840;3;3;0;0;3;3;3;3;8;8;5;5;2;2;100;439;47.09;2558;2558;1980;1980;578;578;24;24;53;53;830;830;758;758;72;72;9;9;6;6;44.08;44.08;21.36;21.36;432;432;358;358;141;141;1680;594205;594205;150.61;150.61;154.12;154.12;87.13;87.13;172.99;172.99;176.82;176.82;42.05;42.05;6.07;6.07;0.09;70;70;154.2;154.2;203.1;203.1;132.96;132.96;258.9;258.9;269.78;269.78;122.08;122.08;208.29;208.29;107.7;107.7;75.87;75.87;2038;1786;2410;2656;1;1;0;0
LJF & CosbaL. & #1 TPNE glazer;#1 TPNE glazer;1;1;100.00;504;504;1;1;1;1;1;1;2;2;8;8;0;0;0;0;50;444;45.21;1859;1859;1336;1336;523;523;15;15;38;38;202;202;100;100;102;102;1;1;9;9;30.14;30.14;28.32;28.32;215;215;163;163;0;0;1521;370514;370514;118.47;118.47;103.63;103.63;33.98;33.98;138.32;138.32;102.42;102.42;15.35;15.35;3.42;3.42;0.13;26;26;105.3;105.3;145.2;145.2;71.85;71.85;184.23;184.23;159.84;159.84;96.24;96.24;119.54;119.54;82.04;82.04;54.5;54.5;2136;1977;2305;3295;0;0;0;0
wata on wata pc & $ p e n c e.;$ p e n c e.;1;0;0.00;557;557;2;2;0;0;2;2;4;4;8;8;4;4;1;1;50;408;44.3;2536;2536;1869;1869;667;667;23;23;60;60;729;729;515;515;214;214;6;6;19;19;55.96;55.96;54.79;54.79;493;493;432;432;85;85;1578;526636;526636;163.62;163.62;126.31;126.31;69.78;69.78;217.68;217.68;130.61;130.61;11.42;11.42;9.37;9.37;0.17;55;55;168.9;168.9;171.8;171.8;88.47;88.47;271.23;271.23;221.95;221.95;137.76;137.76;163.33;163.33;116.61;116.61;79.77;79.77;2394;2302;2456;3117;0;0;0;0
$!enQuY & Corn(flakes);$!enQuY;1;1;100.00;677;677;3;3;2;2;2;2;5;5;10;10;4;4;1;1;60;363;38.79;2104;2104;1317;1317;787;787;15;15;68;68;502;502;304;304;198;198;4;4;18;18;46.21;46.21;30.01;30.01;166;166;189;189;96;96;1487;513223;513223;200.19;200.19;128.39;128.39;53.7;53.7;212.97;212.97;162.43;162.43;6.89;6.89;6.5;6.5;0.09;70;70;191;191;170.3;170.3;103.87;103.87;278.42;278.42;248.57;248.57;133.64;133.64;183.94;183.94;123.74;123.74;74.61;74.61;2386;2342;2375;2772;0;0;3;3
&D. & rylxnc on tt   ;&D.;1;0;0.00;510;510;1;1;1;1;3;3;5;5;11;11;5;5;0;0;20;426;52.34;2790;2790;2104;2104;686;686;29;29;59;59;420;420;289;289;131;131;4;4;13;13;45.5;45.5;52.01;52.01;727;727;830;830;117;117;1586;582785;582785;181.53;181.53;132.28;132.28;92.32;92.32;250.01;250.01;145.62;145.62;10.51;10.51;7.06;7.06;0.1;74;74;183.5;183.5;183.3;183.3;105.05;105.05;301.08;301.08;266.95;266.95;139.18;139.18;182.34;182.34;150.64;150.64;73.15;73.15;2538;2388;2707;2955;2;2;0;0
