team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   Dani___RL    & .";"   Dani___RL   ";1;0;0.00;214;214;0;0;0;0;0;0;4;4;2;2;2;2;2;2;0;454;51.86;1768;1768;1354;1354;414;414;16;16;33;33;398;398;191;191;207;207;2;2;13;13;29.46;29.46;39.43;39.43;321;321;256;256;17;17;1604;364796;364796;96.96;96.96;97.73;97.73;40.67;40.67;142.32;142.32;79.69;79.69;13.35;13.35;4.07;4.07;0.13;31;31;132.9;132.9;92.5;92.5;47.29;47.29;188.06;188.06;159.87;159.87;75.48;75.48;121.75;121.75;79.25;79.25;34.36;34.36;2481;2200;2660;3522;0;0;0;0
Inspire & Hughesy & blutrem;"   VinnyD";2;2;100.00;897;448.5;5;2.5;1;0.5;0;0;5;2.5;9;4.5;0;0;0;0;100;437.12;48.4;3575;1787.5;2393;1196.5;1182;591;27;13.5;97;48.5;945;472.5;593;296.5;352;176;7;3.5;30;15;62.92;31.46;70.83;35.42;637;318.5;352;176;107;53.5;1592.52;727501;363750.5;216.15;108.07;178.19;89.1;97.07;48.53;276.53;138.26;182.13;91.07;32.76;16.38;6.84;3.42;0.12;55;27.5;200.8;100.4;257.6;128.8;141.33;70.67;350.08;175.04;318.17;159.08;173.24;86.62;227.78;113.89;164.04;82.02;99.59;49.8;2401.67;2328.61;2418.55;3075.5;2;1;0;0
Haretam Rl &    norttew;"   norttew";1;0;0.00;244;244;0;0;0;0;2;2;3;3;9;9;5;5;0;0;0;331;49.07;1612;1612;1132;1132;480;480;12;12;42;42;551;551;400;400;151;151;4;4;13;13;40.16;40.16;28.29;28.29;209;209;85;85;5;5;1505;323900;323900;119.25;119.25;82.52;82.52;38.27;38.27;129.13;129.13;95.89;95.89;15.03;15.03;5.82;5.82;0.12;49;49;83.6;83.6;135.5;135.5;83.59;83.59;156.46;156.46;157.51;157.51;82.53;82.53;114.67;114.67;72.57;72.57;52.8;52.8;2502;1869;2972;3035;0;0;1;1
"  Alhamdulillah & Just_Scrub";"  Alhamdulillah";1;0;0.00;521;521;2;2;0;0;3;3;2;2;9;9;4;4;1;1;100;373;58.22;2377;2377;1897;1897;480;480;26;26;44;44;357;357;250;250;107;107;3;3;11;11;20.42;20.42;44.25;44.25;244;244;698;698;49;49;1369;448390;448390;206.25;206.25;124.58;124.58;23.83;23.83;217.05;217.05;119.45;119.45;18.15;18.15;5.61;5.61;0.12;47;47;169.1;169.1;170.5;170.5;73.5;73.5;281.15;281.15;271.99;271.99;82.66;82.66;199.46;199.46;111.79;111.79;43.4;43.4;2333;2379;2316;2939;0;0;2;2
Zenat &  Liam;" Liam";7;3;42.86;4588;655.43;15;2.14;5;0.71;18;2.57;38;5.43;68;9.71;27;3.86;10;1.43;39.47;467.92;46.19;21248;3035.43;15875;2267.86;5373;767.57;189;27;447;63.86;5008;715.43;3435;490.71;1573;224.71;42;6;131;18.71;406.11;58.02;314.3;44.9;2142;306;1998;285.43;350;50;1563.76;4000158;571451.12;1275.2;182.17;1020.9;145.84;481.89;68.84;1534.32;219.19;1099.48;157.07;144.19;20.6;49.27;7.04;0.1;496;70.86;1329.1;189.87;1302.7;186.1;718.08;102.58;2059.92;294.27;1811.45;258.78;966.57;138.08;1347.71;192.53;834.4;119.2;595.88;85.13;2316.23;2154.25;2472.04;3020.86;10;1.43;9;1.29
Frenchy &  t;" t";1;0;0.00;611;611;0;0;1;1;5;5;3;3;17;17;5;5;1;1;0;439;53.73;3569;3569;2574;2574;995;995;34;34;81;81;1021;1021;658;658;363;363;7;7;26;26;55.02;55.02;51.94;51.94;547;547;851;851;43;43;1524;651889;651889;223.28;223.28;158.22;158.22;86.24;86.24;238.88;238.88;204.32;204.32;24.53;24.53;8.42;8.42;0.15;57;57;238;238;209.2;209.2;105.92;105.92;361.81;361.81;322.05;322.05;145.68;145.68;241.45;241.45;145.01;145.01;81.27;81.27;2213;1895;2551;2737;2;2;1;1
eepy & Waddy & _Sarak_;!;1;1;100.00;276;276;1;1;0;0;0;0;2;2;7;7;1;1;1;1;50;396;57.18;2234;2234;1507;1507;727;727;20;20;64;64;213;213;49;49;164;164;1;1;15;15;12.88;12.88;35.59;35.59;259;259;513;513;50;50;1536;474699;474699;145.82;145.82;135.08;135.08;43.17;43.17;212.35;212.35;101.01;101.01;10.7;10.7;6.66;6.66;0.11;61;61;196.3;196.3;128.4;128.4;62.61;62.61;261.46;261.46;224.31;224.31;99.76;99.76;160.48;160.48;117.65;117.65;45.93;45.93;2443;2246;2652;2932;1;1;3;3
eepy & Waddy & _Sarak_;! 2 EM;1;1;100.00;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;43.37;705;705;458;458;247;247;5;5;22;22;234;234;100;100;134;134;1;1;12;12;12.31;12.31;5.4;5.4;152;152;43;43;0;0;1769;141761;141761;26.66;26.66;38.19;38.19;23.39;23.39;51.18;51.18;30.32;30.32;6.74;6.74;2;2;0.11;18;18;42.7;42.7;41.5;41.5;18.77;18.77;69.47;69.47;36.42;36.42;51.82;51.82;21.25;21.25;39.79;39.79;27.2;27.2;2257;2313;2176;2930;1;1;0;0
eepy & Waddy & _Sarak_;! Mushi;1;1;100.00;808;808;2;2;2;2;4;4;4;4;9;9;3;3;1;1;50;406;42.48;2476;2476;1727;1727;749;749;20;20;66;66;311;311;149;149;162;162;2;2;14;14;32.18;32.18;29.12;29.12;380;380;195;195;54;54;1519;508944;508944;172.02;172.02;143.6;143.6;49.31;49.31;187.53;187.53;152.34;152.34;25.05;25.05;6.84;6.84;0.1;72;72;189.9;189.9;167.5;167.5;79.81;79.81;285.12;285.12;242.43;242.43;122.5;122.5;179.08;179.08;120.6;120.6;65.25;65.25;2418;2205;2566;2908;0;0;3;3
macca & $lockin on Solana;$lockin on Solana;1;1;100.00;547;547;2;2;3;3;0;0;4;4;7;7;2;2;0;0;50;448;45.82;2614;2614;1856;1856;758;758;22;22;72;72;657;657;378;378;279;279;4;4;26;26;49.38;49.38;29.58;29.58;436;436;247;247;29;29;1655;569367;569367;140.76;140.76;150.32;150.32;83;83;223.36;223.36;139.3;139.3;11.43;11.43;7.97;7.97;0.09;90;90;172.1;172.1;186;186;78.96;78.96;295.13;295.13;222.18;222.18;151.9;151.9;162.84;162.84;122.56;122.56;88.69;88.69;2496;2463;2512;2830;1;1;0;0
