team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
bosco & Sy & SavageGnome.;!tj;1;1;100.00;552;552;2;2;1;1;0;0;7;7;9;9;4;4;3;3;28.57;420;54.98;3659;3659;2450;2450;1209;1209;36;36;109;109;847;847;487;487;360;360;8;8;35;35;42.72;42.72;72.86;72.86;472;472;1236;1236;340;340;1606;757682;757682;207.46;207.46;207.79;207.79;94.64;94.64;297.65;297.65;194.66;194.66;17.57;17.57;13.63;13.63;0.09;150;150;285.1;285.1;194.2;194.2;101.53;101.53;408.35;408.35;326.3;326.3;183.58;183.58;236.38;236.38;175.41;175.41;98.09;98.09;2603;2409;2801;3191;0;0;1;1
Diyos. & &D.;&D.;1;1;100.00;510;510;2;2;1;1;1;1;2;2;9;9;3;3;3;3;100;444;50.45;2894;2894;2003;2003;891;891;29;29;76;76;718;718;378;378;340;340;6;6;24;24;40.56;40.56;26.88;26.88;385;385;342;342;96;96;1636;555612;555612;150.39;150.39;137.07;137.07;81.77;81.77;203.82;203.82;151.3;151.3;14.12;14.12;8.32;8.32;0.11;78;78;144.3;144.3;205.1;205.1;102.95;102.95;266.28;266.28;228.67;228.67;140.56;140.56;163.33;163.33;124.23;124.23;81.67;81.67;2448;2166;2768;3322;1;1;0;0
bosco & Sy & SavageGnome.;(Njackson(N;3;2;66.67;987;329;2;0.67;2;0.67;3;1;6;2;15;5;7;2.33;6;2;33.33;366.13;44.5;4575;1525;3322;1107.33;1253;417.67;35;11.67;113;37.67;1083;361;677;225.67;406;135.33;7;2.33;38;12.67;138.35;46.12;40.18;13.39;902;300.67;203;67.67;22;7.33;1497.55;1104019;368006.34;375.53;125.18;302.07;100.69;114.03;38.01;431.71;143.9;337.46;112.49;22.45;7.48;9.24;3.08;0.15;62;20.67;404.8;134.93;375.1;125.03;227.15;75.72;564.48;188.16;520.33;173.44;271.29;90.43;395.2;131.73;223.93;74.64;172.49;57.5;2336.67;2273.35;2405.13;2786.76;2;0.67;4;1.33
bosco & Sy & SavageGnome.;*'J mth*';1;0;0.00;342;342;0;0;0;0;2;2;3;3;10;10;4;4;0;0;0;408;41.91;2248;2248;1584;1584;664;664;17;17;52;52;303;303;100;100;203;203;1;1;17;17;64.82;64.82;29.96;29.96;356;356;130;130;0;0;1654;495853;495853;115.35;115.35;142.13;142.13;61.21;61.21;169.11;169.11;138.53;138.53;11.05;11.05;6.15;6.15;0.1;64;64;170.6;170.6;138.5;138.5;101.27;101.27;217.42;217.42;206.65;206.65;112.05;112.05;148.94;148.94;101.12;101.12;68.63;68.63;2310;2102;2499;2891;0;0;1;1
bosco & Sy & SavageGnome.;.;1;0;0.00;200;200;1;1;0;0;1;1;2;2;6;6;5;5;2;2;50;281;43.04;907;907;564;564;343;343;7;7;24;24;160;160;100;100;60;60;1;1;5;5;7.2;7.2;5.24;5.24;56;56;135;135;0;0;1426;177782;177782;88.2;88.2;43.16;43.16;15.72;15.72;79.23;79.23;63.31;63.31;4.54;4.54;1.41;1.41;0.08;17;17;68.1;68.1;70.3;70.3;44.27;44.27;102.81;102.81;112.2;112.2;34.88;34.88;89.62;89.62;31.09;31.09;26.37;26.37;2445;2101;2688;2922;0;0;2;2
bosco & Sy & SavageGnome.;.;1;0;0.00;292;292;0;0;1;1;2;2;2;2;8;8;2;2;1;1;0;335;46.22;1829;1829;992;992;837;837;12;12;75;75;306;306;100;100;206;206;1;1;20;20;33.04;33.04;24.74;24.74;258;258;230;230;9;9;1550;492861;492861;141.97;141.97;135.52;135.52;55.45;55.45;199.58;199.58;119.39;119.39;13.97;13.97;7.24;7.24;0.08;91;91;190.8;190.8;136.5;136.5;90.84;90.84;242.1;242.1;220.27;220.27;112.67;112.67;163.78;163.78;109.41;109.41;59.75;59.75;2525;2411;2601;2983;0;0;0;0
FinalBurrito & .;.;4;2;50.00;1831;457.75;2;0.5;4;1;8;2;13;3.25;31;7.75;12;3;6;1.5;15.38;443.47;48.17;10095;2523.75;7435;1858.75;2660;665;90;22.5;224;56;2829;707.25;1737;434.25;1092;273;23;5.75;97;24.25;213.81;53.45;141.21;35.3;1192;298;1551;387.75;566;141.5;1506.59;1882224;470556;632.52;158.13;523.66;130.92;183.14;45.78;726.63;181.66;530.87;132.72;81.82;20.46;17.22;4.3;0.09;186;46.5;630.7;157.67;637.1;159.28;353.66;88.41;985.67;246.42;752.54;188.14;586.78;146.69;536.98;134.24;419.37;104.84;382.99;95.75;2333.29;2046.13;2545.22;3005.17;2;0.5;5;1.25
. & Duduurl;.;2;2;100.00;1306;653;4;2;3;1.5;5;2.5;9;4.5;10;5;4;2;2;1;44.44;414.9;49.88;4354;2177;3436;1718;918;459;42;21;75;37.5;1059;529.5;668;334;391;195.5;8;4;26;13;55.65;27.82;121.44;60.72;305;152.5;721;360.5;131;65.5;1574.43;818388;409194;239.48;119.74;228.85;114.43;105.29;52.65;274.04;137.02;266.89;133.44;32.69;16.34;4.26;2.13;0.12;35;17.5;265.1;132.55;274.9;137.45;115.54;57.77;458.07;229.04;365.46;182.73;208.16;104.08;257.94;128.97;206.2;103.1;109.48;54.74;2407.92;2123.63;2666.14;2813.84;2;1;3;1.5
Sporski 30 & Rask & .;.;2;0;0.00;374;187;1;0.5;0;0;1;0.5;4;2;11;5.5;5;2.5;1;0.5;25;426.95;41.35;2639;1319.5;1753;876.5;886;443;19;9.5;79;39.5;378;189;170;85;208;104;2;1;18;9;63.84;31.92;34.51;17.26;261;130.5;182;91;29;14.5;1454.77;561826;280913;214.17;107.08;153.32;76.66;46.93;23.47;224.88;112.44;164.18;82.09;25.37;12.69;6.39;3.19;0.11;61;30.5;217.3;108.65;183.8;91.9;93.08;46.54;321.35;160.68;277.43;138.71;137;68.5;188.14;94.07;155.84;77.92;70.44;35.22;2289.24;2046.02;2392.27;3080.17;2;1;0;0
Gaby. & .;.;1;1;100.00;613;613;0;0;5;5;3;3;3;3;9;9;4;4;3;3;0;542;43.43;3280;3280;2522;2522;758;758;29;29;66;66;782;782;517;517;265;265;6;6;22;22;63.15;63.15;40.32;40.32;866;866;394;394;82;82;1750;615644;615644;137.15;137.15;135.14;135.14;119.96;119.96;214.03;214.03;165.27;165.27;12.93;12.93;7.5;7.5;0.07;110;110;177.6;177.6;184.6;184.6;119.43;119.43;272.8;272.8;247.44;247.44;144.8;144.8;179.26;179.26;123.89;123.89;89.09;89.09;2466;2178;2719;2933;4;4;0;0
