team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Lux &   ;"  ";2;2;100.00;1361;680.5;5;2.5;1;0.5;2;1;11;5.5;13;6.5;3;1.5;2;1;45.45;455.22;53.74;5149;2574.5;3285;1642.5;1864;932;43;21.5;160;80;907;453.5;334;167;573;286.5;4;2;52;26;40.91;20.45;53.09;26.55;561;280.5;983;491.5;53;26.5;1624.77;1064906;532453;276.25;138.12;268.62;134.31;153.15;76.57;334.42;167.21;330.47;165.24;33.12;16.56;12.25;6.12;0.11;111;55.5;303.8;151.9;351.4;175.7;179.21;89.6;518.81;259.4;429.41;214.71;268.6;134.3;314.85;157.43;215.62;107.81;167.55;83.78;2021.28;1722.65;2406.71;2941.19;1;0.5;0;0
"  rent un washing & yolzuna16";"  rent un washing";1;1;100.00;531;531;2;2;1;1;2;2;3;3;11;11;3;3;0;0;66.67;496;41.18;2773;2773;2225;2225;548;548;24;24;48;48;264;264;100;100;164;164;1;1;15;15;67.19;67.19;37.33;37.33;343;343;176;176;0;0;1511;503640;503640;181.86;181.86;119.71;119.71;63.04;63.04;170.03;170.03;166.3;166.3;28.27;28.27;8.87;8.87;0.1;86;86;160;160;188.5;188.5;125.18;125.18;239.43;239.43;257.1;257.1;107.51;107.51;208.46;208.46;89.89;89.89;66.27;66.27;2103;1823;2408;2899;0;0;1;1
" bamboo & OverMist";" bamboo";1;0;0.00;386;386;1;1;1;1;0;0;4;4;10;10;6;6;1;1;25;380;40.73;3130;3130;2054;2054;1076;1076;23;23;88;88;584;584;232;232;352;352;3;3;30;30;69.25;69.25;33.48;33.48;261;261;257;257;67;67;1457;668824;668824;279.71;279.71;165.85;165.85;59.7;59.7;287.78;287.78;196.28;196.28;21.2;21.2;7.81;7.81;0.11;69;69;239.9;239.9;233.6;233.6;138.53;138.53;366.73;366.73;325.95;325.95;179.31;179.31;240.4;240.4;156.44;156.44;108.42;108.42;2374;2480;2236;2989;2;2;1;1
! Abstrullah# & SanoRLFS ttv;! Abstrullah#;1;0;0.00;244;244;0;0;0;0;2;2;1;1;8;8;4;4;4;4;0;472;52.75;2111;2111;1662;1662;449;449;20;20;42;42;545;545;338;338;207;207;5;5;20;20;41.31;41.31;23.31;23.31;283;283;368;368;174;174;1568;392200;392200;116.62;116.62;103;103;48.88;48.88;133.39;133.39;108.62;108.62;26.49;26.49;11.51;11.51;0.13;86;86;114.2;114.2;137.5;137.5;99.84;99.84;168.66;168.66;162.54;162.54;105.96;105.96;120.3;120.3;78.72;78.72;69.49;69.49;2086;1529;2554;2573;3;3;0;0
Reeyko & Suliman. & hesi;! LeV;2;0;0.00;855;427.5;2;1;1;0.5;2;1;12;6;18;9;10;5;3;1.5;16.67;389.39;47.54;4245;2122.5;3212;1606;1033;516.5;38;19;92;46;787;393.5;481;240.5;306;153;5;2.5;27;13.5;92.89;46.44;100.26;50.13;299;149.5;657;328.5;37;18.5;1551.7;909211;454605.5;282.38;141.19;247.24;123.62;112;56;292.01;146.01;301.32;150.66;48.28;24.14;9.03;4.52;0.11;82;41;246.8;123.4;359.3;179.65;185.57;92.79;456.05;228.02;395.47;197.74;246.15;123.07;282.85;141.43;211.51;105.76;147.26;73.63;2107.6;1874.58;2339.65;2913.07;1;0.5;1;0.5
r & ! S A Y Y Z Z & n;! S A Y Y Z Z;1;0;0.00;282;282;0;0;0;0;1;1;1;1;8;8;4;4;2;2;0;444;54.36;2017;2017;1372;1372;645;645;17;17;54;54;633;633;378;378;255;255;5;5;18;18;29.72;29.72;37.98;37.98;403;403;367;367;130;130;1611;442683;442683;131.22;131.22;94.25;94.25;67.24;67.24;169.13;169.13;102.98;102.98;20.6;20.6;4.57;4.57;0.13;36;36;139.8;139.8;158.2;158.2;102.91;102.91;189.81;189.81;193.54;193.54;99.18;99.18;153.42;153.42;76.41;76.41;62.89;62.89;2225;1904;2480;3130;2;2;1;1
Xero & methods & CforChrist7070;! Tadow;1;0;0.00;629;629;3;3;0;0;1;1;6;6;10;10;7;7;5;5;50;457;48.25;3255;3255;2795;2795;460;460;31;31;41;41;704;704;510;510;194;194;6;6;18;18;62.41;62.41;68.02;68.02;215;215;230;230;98;98;1491;546158;546158;214.86;214.86;139.4;139.4;60.66;60.66;201.83;201.83;194.95;194.95;18.15;18.15;7.04;7.04;0.13;56;56;190.8;190.8;194.3;194.3;113.04;113.04;301.88;301.88;259.11;259.11;155.82;155.82;191.7;191.7;113.14;113.14;110.08;110.08;2153;2147;2141;2925;0;0;0;0
Reeyko & Suliman. & hesi;"""  Vek-idge "" ";4;3;75.00;2280;570;7;1.75;4;1;7;1.75;15;3.75;30;7.5;7;1.75;1;0.25;46.67;358.57;48.9;8309;2077.25;5442;1360.5;2867;716.75;65;16.25;248;62;1446;361.5;578;144.5;868;217;7;1.75;76;19;153.78;38.44;124.07;31.02;878;219.5;1141;285.25;127;31.75;1525.64;1904816;476204;623.29;155.82;521.48;130.37;194.33;48.58;755.46;188.86;525.87;131.47;57.76;14.44;25.88;6.47;0.1;260;65;600.8;150.2;681.3;170.33;325.32;81.33;1013.78;253.44;829.67;207.42;509.43;127.36;603.55;150.89;430.24;107.56;305.31;76.33;2177.73;1923.63;2417.76;2772.88;2;0.5;2;0.5
Reeyko & Suliman. & hesi;$crow;1;1;100.00;132;132;0;0;0;0;1;1;1;1;4;4;0;0;0;0;0;434;44.81;1295;1295;916;916;379;379;10;10;35;35;354;354;200;200;154;154;2;2;14;14;33.2;33.2;9.18;9.18;219;219;92;92;9;9;1607;271485;271485;67.48;67.48;79.07;79.07;29.83;29.83;109.49;109.49;63.96;63.96;2.94;2.94;2.94;2.94;0.13;22;22;85.8;85.8;97;97;52.64;52.64;123.75;123.75;106.6;106.6;69.79;69.79;76.3;76.3;60.07;60.07;40.02;40.02;2389;2068;2728;3084;2;2;2;2
Reeyko & Suliman. & hesi;*******;4;3;75.00;2910;727.5;7;1.75;3;0.75;14;3.5;19;4.75;46;11.5;12;3;6;1.5;36.84;511.07;48.4;12271;3067.75;9547;2386.75;2724;681;113;28.25;237;59.25;2894;723.5;2090;522.5;804;201;25;6.25;73;18.25;129.07;32.27;190.46;47.62;1925;481.25;1834;458.5;376;94;1653.78;2232026;558006.5;550.13;137.53;565.56;141.39;342.97;85.74;626.9;156.73;691.97;172.99;139.8;34.95;26.55;6.64;0.11;242;60.5;622.7;155.67;774.1;193.52;393.7;98.43;1064.96;266.24;974.14;243.54;484.53;121.13;734.43;183.61;443.88;110.97;280.35;70.09;2098.05;1733.07;2391.46;2910.78;5;1.25;5;1.25
