team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & Nino";;4;3;75.00;2988;747;8;2;4;1;18;4.5;16;4;54;13.5;12;3;8;2;50;420.26;43.47;9811;2452.75;7332;1833;2479;619.75;86;21.5;207;51.75;947;236.75;308;77;639;159.75;4;1;55;13.75;179.51;44.88;255.46;63.87;1276;319;1309;327.25;104;26;1552.59;2099077;524769.25;672.58;168.15;557.58;139.4;239.88;59.97;750.56;187.64;595.37;148.84;124.11;31.03;28.83;7.21;0.15;193;48.25;767.2;191.8;619.3;154.82;301.71;75.43;1168.32;292.08;1095.35;273.84;374.69;93.67;826.09;206.52;453.26;113.31;190.69;47.67;2354.11;2125.14;2590.18;2841.24;0;0;5;1.25
"   choob & taido.";"   choob";1;1;100.00;466;466;2;2;2;2;1;1;4;4;5;5;2;2;1;1;50;455;52.68;1648;1648;1374;1374;274;274;17;17;28;28;317;317;249;249;68;68;3;3;8;8;12.41;12.41;34.09;34.09;164;164;335;335;50;50;1616;286564;286564;90.73;90.73;83.96;83.96;32.27;32.27;114.77;114.77;80.49;80.49;11.7;11.7;2.38;2.38;0.11;22;22;82.9;82.9;104;104;49;49;157.96;157.96;118.54;118.54;88.43;88.43;83.05;83.05;69.04;69.04;54.87;54.87;2432;2379;2615;3158;0;0;2;2
AlexnderXV & !;!;1;1;100.00;625;625;2;2;1;1;3;3;3;3;8;8;2;2;1;1;66.67;417;50.85;2399;2399;1739;1739;660;660;20;20;56;56;390;390;180;180;210;210;3;3;18;18;38.47;38.47;42.51;42.51;204;204;250;250;94;94;1548;511957;511957;160.74;160.74;149.78;149.78;42.84;42.84;193.63;193.63;138.98;138.98;20.75;20.75;5.28;5.28;0.1;53;53;163.9;163.9;172.9;172.9;86.3;86.3;267.06;267.06;223.2;223.2;130.16;130.16;148.4;148.4;140.39;140.39;64.57;64.57;2348;2399;2376;3210;0;0;0;0
Aero & Suliman. & rehzzy;!;2;1;50.00;1025;512.5;2;1;1;0.5;6;3;9;4.5;12;6;3;1.5;2;1;22.22;464.06;47.52;4125;2062.5;3139;1569.5;986;493;38;19;79;39.5;586;293;314;157;272;136;4;2;24;12;85;42.5;71.55;35.78;633;316.5;668;334;95;47.5;1582.2;768487;384243.5;237.13;118.57;175.64;87.82;109.63;54.81;248.48;124.24;223.25;111.62;50.66;25.33;8.04;4.02;0.12;66;33;265.9;132.95;248;124;118.92;59.46;403.47;201.74;345.63;172.82;176.75;88.38;247.53;123.76;170.58;85.29;104.28;52.14;1966.53;1883.22;2059.78;2654.37;3;1.5;1;0.5
Aero & Suliman. & rehzzy;! nthn;5;3;60.00;2381;476.2;6;1.2;5;1;9;1.8;18;3.6;38;7.6;10;2;5;1;33.33;343.25;53.05;9468;1893.6;6469;1293.8;2999;599.8;91;18.2;261;52.2;1471;294.2;688;137.6;783;156.6;9;1.8;68;13.6;127.4;25.48;298.63;59.73;721;144.2;2458;491.6;157;31.4;1456.14;2246669;449333.81;869.49;173.9;582.32;116.46;195;39;989.67;197.93;597.25;119.45;59.88;11.98;26.3;5.26;0.14;190;38;944.8;188.96;640.7;128.14;255.4;51.08;1391.43;278.29;1163.58;232.72;483.25;96.65;842.99;168.6;573.49;114.7;230.33;46.07;2409.58;2283.94;2509.69;3148.41;0;0;4;0.8
happy & mxrales & Poweraid;##freeshine;3;1;33.33;1182;394;4;1.33;4;1.33;3;1;8;2.67;20;6.67;8;2.67;7;2.33;50;440.82;43.62;5043;1681;3675;1225;1368;456;42;14;122;40.67;941;313.67;470;156.67;471;157;6;2;42;14;90.83;30.28;60.83;20.28;760;253.33;465;155;45;15;1543.94;957876;319292;313.67;104.56;257.51;85.84;113.73;37.91;338.08;112.69;298.4;99.47;48.44;16.15;10.29;3.43;0.12;84;28;344.6;114.87;289.8;96.6;184.01;61.34;500.9;166.97;474.76;158.25;210.16;70.05;359.94;119.98;200.78;66.93;124.18;41.39;2288.23;2232.55;2338.81;2810.4;0;0;3;1
Tesla Speed & #DODATT!;#DODATT!;5;4;80.00;3326;665.2;12;2.4;4;0.8;10;2;19;3.8;47;9.4;13;2.6;6;1.2;63.16;395.93;46.27;12085;2417;8663;1732.6;3422;684.4;104;20.8;300;60;3269;653.8;2205;441;1064;212.8;24;4.8;93;18.6;250.67;50.13;174.92;34.98;1262;252.4;1257;251.4;134;26.8;1514.6;2605813;521162.59;893.17;178.63;738.84;147.77;220.38;44.08;1118.29;223.66;643.42;128.68;90.7;18.14;31.88;6.38;0.09;356;71.2;966.8;193.36;789.8;157.96;380.26;76.05;1472.15;294.43;1220.26;244.05;632.14;126.43;903.12;180.62;587.79;117.56;361.5;72.3;2260.61;2022.34;2454.04;2826.72;3;0.6;4;0.8
TTV-Azul_Zaul & $$2;$$2;2;1;50.00;985;492.5;2;1;5;2.5;3;1.5;2;1;16;8;8;4;3;1.5;100;433.35;48.25;5724;2862;4179;2089.5;1545;772.5;51;25.5;133;66.5;1209;604.5;923;461.5;286;143;11;5.5;25;12.5;71.42;35.71;90.35;45.18;910;455;938;469;175;87.5;1497.29;1026394;513197;381.18;190.59;272.87;136.43;99.91;49.96;467.48;233.74;265.97;132.99;20.5;10.25;11.39;5.69;0.11;100;50;354.6;177.3;357.9;178.95;205.91;102.96;548.04;274.02;491.15;245.57;262.8;131.4;355.72;177.86;270.06;135.03;128.18;64.09;2348.42;2194.49;2475.38;3003.65;1;0.5;3;1.5
happy & mxrales & Poweraid;%el.;2;1;50.00;1228;614;4;2;1;0.5;3;1.5;13;6.5;14;7;7;3.5;5;2.5;30.77;455.79;51.27;5533;2766.5;4131;2065.5;1402;701;48;24;114;57;1714;857;970;485;744;372;11;5.5;53;26.5;51.75;25.88;99.08;49.54;645;322.5;724;362;155;77.5;1580.28;1016117;508058.5;303.55;151.77;267.31;133.65;129.22;64.61;361.1;180.55;282.88;141.44;56.11;28.06;10.97;5.48;0.13;83;41.5;315.4;157.7;356.6;178.3;174.94;87.47;525.16;262.58;402.85;201.43;297.24;148.62;287.84;143.92;222.24;111.12;190.01;95;2200.36;1863.04;2449.92;3072.93;5;2.5;2;1
******* & Pure;*******;1;0;0.00;507;507;2;2;0;0;1;1;7;7;6;6;3;3;1;1;28.57;377;55.62;2162;2162;1590;1590;572;572;19;19;45;45;327;327;77;77;250;250;1;1;16;16;23.35;23.35;78.06;78.06;271;271;336;336;22;22;1483;494157;494157;185.33;185.33;120.38;120.38;50.22;50.22;202.96;202.96;142.27;142.27;10.69;10.69;5.4;5.4;0.13;42;42;157.9;157.9;181.4;181.4;89.78;89.78;266.14;266.14;204.69;204.69;151.23;151.23;149.33;149.33;112.62;112.62;93.97;93.97;2235;2109;2372;2803;2;2;0;0
