team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
King Ranny & ^BEA$  ^ & zodak;;1;1;100.00;426;426;1;1;1;1;0;0;9;9;5;5;2;2;2;2;11.11;483;51.66;3241;3241;2409;2409;832;832;29;29;66;66;912;912;539;539;373;373;6;6;25;25;39.5;39.5;72.35;72.35;236;236;508;508;76;76;1633;611845;611845;159.16;159.16;154.71;154.71;83.86;83.86;182.39;182.39;174.12;174.12;41.22;41.22;9.97;9.97;0.11;90;90;189;189;195.1;195.1;97.73;97.73;299.99;299.99;218.93;218.93;178.79;178.79;160.22;160.22;133.39;133.39;104.11;104.11;2538;2254;2840;3104;2;2;1;1
King Ranny & ^BEA$  ^ & zodak;;1;1;100.00;902;902;3;3;0;0;6;6;4;4;9;9;1;1;0;0;75;461;50.99;2546;2546;1989;1989;557;557;25;25;46;46;210;210;34;34;176;176;1;1;12;12;57.72;57.72;57.49;57.49;283;283;436;436;67;67;1576;498594;498594;143.69;143.69;129.11;129.11;58.98;58.98;181.16;181.16;131.16;131.16;19.45;19.45;6;6;0.16;38;38;197.7;197.7;124.5;124.5;60.41;60.41;271.36;271.36;227.33;227.33;104.44;104.44;164.81;164.81;115.35;115.35;51.62;51.62;2632;2561;2700;3193;0;0;1;1
"   & Aannaallyyssttee";"  ";1;1;100.00;457;457;1;1;2;2;2;2;4;4;2;2;0;0;0;0;25;413;50.05;956;956;630;630;326;326;8;8;30;30;214;214;92;92;122;122;1;1;11;11;17.66;17.66;21.13;21.13;147;147;97;97;12;12;1661;223014;223014;57.61;57.61;54.62;54.62;33.89;33.89;67.6;67.6;77.95;77.95;0.57;0.57;4.42;4.42;0.08;55;55;71.2;71.2;62.3;62.3;23.06;23.06;123.06;123.06;98.25;98.25;47.87;47.87;78.28;78.28;33.38;33.38;34.45;34.45;2273;2200;2408;2689;0;0;0;0
revanX& & champy. & ehvn.;"   SpaceKitten (hmu for coaching)";3;2;66.67;2155;718.33;7;2.33;3;1;8;2.67;18;6;30;10;8;2.67;2;0.67;38.89;411.53;42.45;7043;2347.67;4489;1496.33;2554;851.33;53;17.67;224;74.67;1570;523.33;808;269.33;762;254;9;3;67;22.33;174.27;58.09;91.28;30.43;716;238.67;851;283.67;93;31;1515.99;1562671;520890.34;524.53;174.84;431.58;143.86;151.37;50.46;578.75;192.92;466.53;155.51;62.2;20.73;23.36;7.79;0.11;206;68.67;476.5;158.83;565;188.33;337.32;112.44;770.15;256.72;689.29;229.76;418.18;139.39;497.33;165.78;356.51;118.84;253.63;84.54;2341.14;2157.18;2522.24;3074.51;4;1.33;0;0
! & .;!;1;1;100.00;645;645;2;2;0;0;3;3;5;5;11;11;3;3;0;0;40;461;51.86;3168;3168;2438;2438;730;730;28;28;64;64;364;364;200;200;164;164;2;2;15;15;67.36;67.36;66.86;66.86;614;614;372;372;10;10;1585;595732;595732;179.66;179.66;150.42;150.42;75.31;75.31;216.49;216.49;151.04;151.04;37.87;37.87;6.15;6.15;0.09;65;65;176.4;176.4;204.5;204.5;117.07;117.07;288.33;288.33;281.99;281.99;123.41;123.41;203.98;203.98;141.44;141.44;59.98;59.98;2211;2213;2128;2766;0;0;0;0
Brati & ! & ecusuuucalibaaaa;!;2;1;50.00;1133;566.5;4;2;1;0.5;4;2;7;3.5;17;8.5;7;3.5;3;1.5;57.14;492.77;47.35;4589;2294.5;3584;1792;1005;502.5;43;21.5;84;42;1255;627.5;901;450.5;354;177;10;5;32;16;103.44;51.72;60.11;30.06;888;444;724;362;97;48.5;1623.75;822651;411325.5;236.18;118.09;184.38;92.19;136.75;68.38;268.46;134.23;251.88;125.94;36.97;18.49;8.5;4.25;0.11;78;39;240.1;120.05;274.5;137.25;161.83;80.92;395.48;197.74;377.44;188.72;179.86;89.93;284.73;142.36;172.49;86.24;100.08;50.04;2478.35;2344.83;2628.79;3101.77;4;2;2;1
Snowyyy & ! nthn & Noah Oliver Smith;! Mohammed.;2;1;50.00;1579;789.5;5;2.5;2;1;4;2;16;8;20;10;7;3.5;3;1.5;31.25;442.32;50.03;7041;3520.5;5100;2550;1941;970.5;59;29.5;171;85.5;1984;992;1264;632;720;360;14;7;65;32.5;100.02;50.01;99.57;49.78;905;452.5;765;382.5;123;61.5;1665.81;1446302;723151;344.39;172.2;376.65;188.32;206.69;103.35;470.15;235.07;419.31;209.65;38.27;19.14;27.53;13.76;0.09;325;162.5;464.1;232.05;435.7;217.85;217.55;108.78;710.18;355.09;544.88;272.44;382.85;191.42;391.35;195.68;302.97;151.49;233.41;116.71;2396.37;2220.61;2569.25;3297.25;4;2;2;1
! S A Y Y Z Z & NZ00. Do Brazil & JGRinho;! S A Y Y Z Z;2;1;50.00;1089;544.5;4;2;3;1.5;2;1;8;4;20;10;7;3.5;3;1.5;50;439.15;47.98;4746;2373;3518;1759;1228;614;40;20;106;53;1570;785;1030;515;540;270;11;5.5;47;23.5;98.92;49.46;69.45;34.72;928;464;522;261;81;40.5;1588.32;971775;485887.5;294.46;147.23;252.98;126.49;133.63;66.82;376.69;188.35;257.4;128.7;46.97;23.49;12.39;6.19;0.11;112;56;283.8;141.9;362.7;181.35;212.79;106.4;468.27;234.14;350.88;175.44;330.19;165.1;238.52;119.26;244.53;122.26;198;99;2181.35;2033.38;2318.14;3124.29;5;2.5;1;0.5
The Jonkler & xFernando. & ! davin;! davin;1;1;100.00;289;289;0;0;1;1;1;1;2;2;7;7;2;2;0;0;0;333;49.73;2164;2164;1398;1398;766;766;18;18;60;60;548;548;411;411;137;137;5;5;12;12;49.74;49.74;39.5;39.5;286;286;412;412;90;90;1502;546067;546067;194.34;194.34;137.79;137.79;53.61;53.61;212.72;212.72;154.7;154.7;18.33;18.33;7.18;7.18;0.15;49;49;203.4;203.4;164.8;164.8;103.14;103.14;282.6;282.6;259.6;259.6;126.15;126.15;188.03;188.03;123.61;123.61;74.1;74.1;2277;2446;2114;3190;2;2;1;1
Snowyyy & ! nthn & Noah Oliver Smith;! nthn;14;8;57.14;7444;531.71;16;1.14;11;0.79;35;2.5;65;4.64;105;7.5;31;2.21;10;0.71;24.62;415.55;50.82;33788;2413.43;24882;1777.29;8906;636.14;315;22.5;792;56.57;5808;414.86;3245;231.79;2563;183.07;38;2.71;228;16.29;504.38;36.03;793.24;56.66;4052;289.43;6101;435.79;418;29.86;1537.88;7026100;501864.28;2262.76;161.63;1795.46;128.25;833.16;59.51;2820.82;201.49;1827.4;130.53;243.2;17.37;62.27;4.45;0.13;482;34.43;2512.6;179.47;2175.1;155.36;1084.5;77.46;3806.95;271.92;3255.3;232.52;1636.09;116.86;2344.74;167.48;1681.45;120.1;865.24;61.8;2425.99;2316.24;2511.98;3196.06;13;0.93;14;1
spood is washed(alt) & ! pow;! pow;1;1;100.00;426;426;2;2;1;1;0;0;3;3;3;3;1;1;1;1;66.67;469;47.47;1926;1926;1246;1246;680;680;16;16;55;55;540;540;294;294;246;246;3;3;15;15;28.89;28.89;28.31;28.31;316;316;269;269;5;5;1671;387695;387695;88.89;88.89;106.83;106.83;54.66;54.66;130.27;130.27;105.9;105.9;14.2;14.2;4.88;4.88;0.08;58;58;113.2;113.2;122.4;122.4;55.59;55.59;194.79;194.79;152.28;152.28;98.09;98.09;111.79;111.79;82.18;82.18;56.41;56.41;2883;2643;3065;3377;1;1;2;2
Khan SantA! & !ols;!ols;2;0;0.00;328;164;0;0;0;0;2;1;2;1;12;6;8;4;5;2.5;0;448.93;46.35;2842;1421;2029;1014.5;813;406.5;23;11.5;74;37;658;329;339;169.5;319;159.5;4;2;28;14;50.57;25.28;40.65;20.33;269;134.5;242;121;35;17.5;1585.44;575702;287851;169.15;84.57;158.27;79.14;67.45;33.72;193.61;96.81;169.73;84.86;31.53;15.76;10.27;5.14;0.11;100;50;169.7;84.85;198.5;99.25;127.25;63.62;267.62;133.81;246.95;123.48;147.92;73.96;176.13;88.07;124.34;62.17;94.4;47.2;2333.22;2046.79;2559.03;3050.04;1;0.5;1;0.5
!rabbit & USninjaa.;!rabbit;1;0;0.00;472;472;0;0;1;1;2;2;6;6;5;5;3;3;1;1;0;478;46.99;2900;2900;2093;2093;807;807;27;27;70;70;784;784;397;397;387;387;5;5;34;34;45.21;45.21;43.93;43.93;361;361;617;617;113;113;1561;523943;523943;145.75;145.75;167.28;167.28;42.51;42.51;192.88;192.88;144.69;144.69;17.97;17.97;10.95;10.95;0.12;95;95;153.8;153.8;187.9;187.9;117;117;238.54;238.54;184.26;184.26;171.28;171.28;114.47;114.47;126.2;126.2;114.87;114.87;2036;1988;2143;3348;0;0;0;0
King Ranny & ^BEA$  ^ & zodak;"""  Vek-idge "" ";9;6;66.67;4378;486.44;6;0.67;9;1;24;2.67;28;3.11;76;8.44;19;2.11;12;1.33;21.43;392.26;50.19;21581;2397.89;14995;1666.11;6586;731.78;185;20.56;592;65.78;5144;571.56;2910;323.33;2234;248.22;36;4;207;23;407.32;45.26;287.94;31.99;2370;263.33;3793;421.44;772;85.78;1525.15;4758644;528738.25;1546.67;171.85;1239.81;137.76;533.43;59.27;1818.34;202.04;1339.94;148.88;161.66;17.96;69.02;7.67;0.1;701;77.89;1603;178.11;1617.3;179.7;893.85;99.32;2426.08;269.56;2086.95;231.88;1232.98;137;1494.97;166.11;1084.41;120.49;740.54;82.28;2291.29;2196.47;2378.99;2886.45;9;1;12;1.33
nyq. & # & crimbling;#;1;0;0.00;230;230;0;0;0;0;2;2;1;1;9;9;5;5;4;4;0;367;41.62;1291;1291;888;888;403;403;11;11;35;35;250;250;133;133;117;117;2;2;11;11;45.65;45.65;23.38;23.38;292;292;213;213;66;66;1499;308866;308866;111.59;111.59;85.35;85.35;31.31;31.31;119.6;119.6;98.13;98.13;10.52;10.52;3.62;3.62;0.11;32;32;107.8;107.8;106.9;106.9;77.14;77.14;151.1;151.1;154.7;154.7;73.54;73.54;116.39;116.39;67.37;67.37;44.49;44.49;2193;2096;2266;2989;0;0;0;0
