team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
anxl y boost & ;;2;1;50.00;1100;550;5;2.5;1;0.5;5;2.5;6;3;13;6.5;4;2;1;0.5;83.33;385.31;44.36;3551;1775.5;2292;1146;1259;629.5;26;13;108;54;415;207.5;108;54;307;153.5;2;1;27;13.5;67.96;33.98;50.96;25.48;534;267;335;167.5;101;50.5;1573.71;811241;405620.5;260.68;130.34;209.74;104.87;92.06;46.03;334.98;167.49;206.4;103.2;21.1;10.55;11.08;5.54;0.15;78;39;291.2;145.6;249.8;124.9;130.1;65.05;432.38;216.19;393.44;196.72;169.04;84.52;278.69;139.35;191.94;95.97;91.85;45.93;2445.64;2209.43;2660.4;2913.24;0;0;2;1
"   & Spearical";"  ";2;1;50.00;652;326;2;1;0;0;1;0.5;6;3;14;7;5;2.5;3;1.5;33.33;382.02;49.41;4217;2108.5;2322;1161;1895;947.5;27;13.5;164;82;1223;611.5;569;284.5;654;327;7;3.5;51;25.5;62.79;31.4;41.67;20.83;390;195;461;230.5;143;71.5;1533.54;980507;490253.5;325.63;162.82;231.61;115.8;125.3;62.65;345.47;172.74;302.88;151.44;34.19;17.1;16.63;8.32;0.12;142;71;345.5;172.75;333.5;166.75;167.47;83.74;515.07;257.54;431.65;215.82;250.88;125.44;320.73;160.36;213.24;106.62;148.57;74.29;2301.46;2234.31;2288.18;3047.53;0;0;1;0.5
" Liam & ;) & STV";" Liam";3;0;0.00;1705;568.33;5;1.67;1;0.33;8;2.67;16;5.33;35;11.67;12;4;9;3;31.25;459.2;46.66;8949;2983;6893;2297.67;2056;685.33;83;27.67;181;60.33;2186;728.67;1616;538.67;570;190;17;5.67;50;16.67;199.97;66.66;110.19;36.73;722;240.67;777;259;22;7.33;1600.86;1788200;596066.69;494.43;164.81;502.01;167.34;202.3;67.43;617.78;205.93;533;177.67;47.95;15.98;19.2;6.4;0.09;210;70;560.8;186.93;602.1;200.7;347.14;115.71;851.59;283.86;803.72;267.91;395.01;131.67;608.85;202.95;354.43;118.14;235.43;78.48;2341.71;2175.9;2499.25;3006.53;5;1.67;2;0.67
immintrin.h & osito & hpntc;!;1;1;100.00;287;287;0;0;1;1;2;2;2;2;7;7;0;0;0;0;0;475;54.26;2149;2149;1515;1515;634;634;20;20;61;61;423;423;227;227;196;196;3;3;19;19;23.14;23.14;29.5;29.5;390;390;522;522;90;90;1655;411056;411056;90.01;90.01;126.52;126.52;46.91;46.91;160.44;160.44;95.08;95.08;7.9;7.9;5.65;5.65;0.11;50;50;134.4;134.4;124.6;124.6;68.56;68.56;194.87;194.87;177.08;177.08;86.35;86.35;131.64;131.64;76.79;76.79;55;55;2516;2668;2309;3119;0;0;2;2
. & xplo & Sergeant;!;1;0;0.00;80;80;0;0;0;0;0;0;3;3;8;8;5;5;3;3;0;454;45.93;1667;1667;1304;1304;363;363;15;15;32;32;336;336;149;149;187;187;2;2;16;16;19.51;19.51;22.46;22.46;215;215;209;209;54;54;1559;288891;288891;115.65;115.65;55.6;55.6;51.09;51.09;111.75;111.75;97.79;97.79;12.79;12.79;2.93;2.93;0.11;27;27;121.5;121.5;131.4;131.4;84.74;84.74;137.6;137.6;123.13;123.13;99.2;99.2;88.87;88.87;81.29;81.29;52.17;52.17;3232;2461;3463;3623;0;0;1;1
. & xplo & Sergeant;! 2 EM;6;1;16.67;3516;586;11;1.83;3;0.5;16;2.67;19;3.17;71;11.83;22;3.67;10;1.67;57.89;438.78;46.87;15008;2501.33;10746;1791;4262;710.33;130;21.67;391;65.17;3268;544.67;1901;316.83;1367;227.83;26;4.33;129;21.5;284.07;47.35;150.21;25.04;2784;464;2351;391.83;740;123.33;1627.95;3204092;534015.31;865.67;144.28;816.5;136.08;448.96;74.83;1247.03;207.84;789.57;131.6;94.52;15.75;40.55;6.76;0.09;438;73;1048;174.67;992.8;165.47;552.87;92.14;1578.24;263.04;1453.59;242.26;677.52;112.92;1075.57;179.26;670.33;111.72;385.23;64.2;2334.43;2162.54;2489.21;3067.05;10;1.67;9;1.5
! Bomba & salem & A.;! Bomba;7;6;85.71;4956;708;19;2.71;5;0.71;13;1.86;43;6.14;43;6.14;18;2.57;10;1.43;44.19;454.92;43.96;18916;2702.29;14128;2018.29;4788;684;168;24;424;60.57;3857;551;2345;335;1512;216;27;3.86;135;19.29;343.35;49.05;181.27;25.9;2097;299.57;1112;158.86;136;19.43;1639.29;3782785;540397.88;1001.15;143.02;984.42;140.63;515.61;73.66;1302.49;186.07;1059.27;151.32;139.45;19.92;88.5;12.64;0.11;788;112.57;1215.8;173.69;1148.3;164.04;556.09;79.44;1945.12;277.87;1554.56;222.08;946.63;135.23;1109.68;158.53;818.35;116.91;573.17;81.88;2415.98;2294.44;2525.72;3087.78;10;1.43;10;1.43
. & xplo & Sergeant;! S A Y Y Z Z;1;0;0.00;565;565;1;1;0;0;3;3;5;5;11;11;5;5;1;1;20;394;49.77;2214;2214;1552;1552;662;662;20;20;59;59;495;495;317;317;178;178;4;4;17;17;38.19;38.19;20.96;20.96;361;361;336;336;82;82;1613;482275;482275;138.68;138.68;119.54;119.54;67.18;67.18;180.2;180.2;128.97;128.97;16.24;16.24;4.23;4.23;0.1;42;42;146.9;146.9;156;156;116;116;209.41;209.41;179.93;179.93;145.48;145.48;119.32;119.32;115.36;115.36;90.73;90.73;2639;2370;2793;3202;0;0;0;0
. & xplo & Sergeant;! nthn;2;2;100.00;760;380;1;0.5;2;1;2;1;8;4;9;4.5;1;0.5;0;0;12.5;421.59;50.03;4727;2363.5;3281;1640.5;1446;723;42;21;108;54;1013;506.5;674;337;339;169.5;7;3.5;30;15;63.23;31.61;145.25;72.62;519;259.5;802;401;29;14.5;1494.21;936949;468474.5;315.85;157.93;234.9;117.45;104.04;52.02;374.69;187.35;240.65;120.32;39.45;19.72;11.97;5.99;0.15;75;37.5;339.9;169.95;301.7;150.85;168.38;84.19;486.4;243.2;473.72;236.86;181.06;90.53;363.37;181.68;194.69;97.35;96.72;48.36;2242.67;2177.62;2252.14;2799.18;0;0;1;0.5
ymarshyy & !ols;!ols;1;0;0.00;10;10;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;379;45.1;378;378;220;220;158;158;3;3;14;14;81;81;29;29;52;52;1;1;5;5;7.5;7.5;2.5;2.5;33;33;70;70;70;70;1361;78997;78997;42.57;42.57;16.45;16.45;6.76;6.76;41.2;41.2;21.12;21.12;3.47;3.47;1.33;1.33;0.12;11;11;27.4;27.4;31.2;31.2;15.78;15.78;50.01;50.01;42.65;42.65;23.13;23.13;34.07;34.07;14.41;14.41;17.3;17.3;1608;1665;1503;2850;1;1;0;0
#1 & Sir-Swagg;#1;1;0;0.00;615;615;1;1;1;1;2;2;11;11;13;13;5;5;2;2;9.09;504;53.6;4515;4515;3440;3440;1075;1075;41;41;96;96;1153;1153;846;846;307;307;10;10;30;30;42.03;42.03;62.78;62.78;594;594;720;720;166;166;1617;808520;808520;218.39;218.39;187.42;187.42;128.42;128.42;245.94;245.94;243.92;243.92;44.37;44.37;9.06;9.06;0.14;67;67;234.9;234.9;280;280;154.35;154.35;379.88;379.88;292.28;292.28;241.95;241.95;198.21;198.21;183.24;183.24;152.79;152.79;2251;2191;2331;3134;2;2;3;3
Nacho & DR. Rupert & hesi;&AxDEN;2;2;100.00;1381;690.5;5;2.5;2;1;4;2;10;5;12;6;3;1.5;2;1;50;458.33;46.23;4792;2396;3608;1804;1184;592;43;21.5;103;51.5;1020;510;494;247;526;263;5;2.5;45;22.5;121.68;60.84;56.26;28.13;596;298;703;351.5;5;2.5;1554.04;986556;493278;298.87;149.43;272.12;136.06;109.08;54.54;347.64;173.82;288.57;144.29;43.86;21.93;9.54;4.77;0.13;72;36;316.8;158.4;332.3;166.15;150.11;75.06;529.96;264.98;392.03;196.01;288.03;144.01;284.12;142.06;203.28;101.64;192.67;96.34;1990.66;1809.58;2244.68;2622.3;2;1;3;1.5
