team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
BeN Storm & ChinaWokPatron & CoZWTF;"      ";5;2;40.00;2476;495.2;9;1.8;1;0.2;10;2;17;3.4;28;5.6;12;2.4;4;0.8;52.94;336.42;42.72;8335;1667;5276;1055.2;3059;611.8;64;12.8;270;54;2493;498.6;1569;313.8;924;184.8;18;3.6;80;16;215.48;43.1;135.53;27.11;523;104.6;753;150.6;181;36.2;1380.01;1974034;394806.81;876.83;175.37;545.98;109.2;111.44;22.29;930.44;186.09;549.08;109.82;54.74;10.95;29.48;5.9;0.17;169;33.8;687.9;137.58;769.7;153.94;383.68;76.74;1150.56;230.11;978.93;195.79;555.3;111.06;698.72;139.74;527.91;105.58;307.61;61.52;2282.72;2133.38;2400.53;3080.83;3;0.6;4;0.8
prkr & hams & RisserZ;"   Algix";1;0;0.00;122;122;0;0;1;1;0;0;1;1;6;6;5;5;3;3;0;429;50.59;1710;1710;1414;1414;296;296;18;18;28;28;270;270;194;194;76;76;2;2;7;7;27;27;19.01;19.01;103;103;396;396;11;11;1612;302885;302885;90.96;90.96;87.48;87.48;31.6;31.6;121.83;121.83;77.09;77.09;11.12;11.12;4.18;4.18;0.1;44;44;92.5;92.5;97.8;97.8;71.7;71.7;138.34;138.34;141.74;141.74;68.3;68.3;86.84;86.84;87.11;87.11;36.08;36.08;2796;2568;3017;3497;0;0;1;1
prkr & hams & RisserZ;" t";1;1;100.00;822;822;5;5;1;1;1;1;7;7;9;9;3;3;3;3;71.43;450;46.17;2382;2382;1810;1810;572;572;22;22;52;52;378;378;281;281;97;97;4;4;9;9;33.53;33.53;32.15;32.15;421;421;397;397;118;118;1614;461767;461767;134.92;134.92;124.36;124.36;61.09;61.09;172.71;172.71;127.7;127.7;19.95;19.95;5.3;5.3;0.13;40;40;136.2;136.2;162.7;162.7;61.2;61.2;259.17;259.17;242.97;242.97;77.4;77.4;183.32;183.32;89.6;89.6;47.45;47.45;2248;2131;2345;2880;1;1;1;1
Logxc. Checkmate & idek tbh & !;!;1;1;100.00;410;410;1;1;0;0;1;1;5;5;6;6;2;2;1;1;20;477;45.56;2919;2919;2325;2325;594;594;27;27;50;50;648;648;423;423;225;225;6;6;19;19;43.28;43.28;30.03;30.03;331;331;331;331;131;131;1527;550491;550491;178.51;178.51;143.17;143.17;62.64;62.64;207.03;207.03;150.71;150.71;26.58;26.58;9.06;9.06;0.16;55;55;181.4;181.4;183.1;183.1;88.47;88.47;295.84;295.84;208.97;208.97;175.35;175.35;143.96;143.96;132.27;132.27;108.09;108.09;2345;2246;2492;3069;3;3;1;1
prkr & hams & RisserZ;! Qin;1;0;0.00;748;748;0;0;2;2;6;6;6;6;15;15;3;3;3;3;0;498;52.71;4622;4622;3475;3475;1147;1147;46;46;103;103;1097;1097;564;564;533;533;9;9;48;48;45.75;45.75;74.79;74.79;596;596;1180;1180;354;354;1679;913067;913067;192.87;192.87;252.12;252.12;121.91;121.91;280.97;280.97;246.01;246.01;39.92;39.92;9.06;9.06;0.12;77;77;274.8;274.8;270.1;270.1;144.77;144.77;422.12;422.12;312.84;312.84;254.06;254.06;224.1;224.1;193.13;193.13;149.66;149.66;2003;1935;2062;2887;3;3;0;0
Tesla Speed & #DODATT!;#DODATT!;2;2;100.00;1234;617;5;2.5;4;2;1;0.5;8;4;11;5.5;4;2;3;1.5;62.5;379.01;51.63;4785;2392.5;3568;1784;1217;608.5;41;20.5;107;53.5;1131;565.5;801;400.5;330;165;9;4.5;32;16;89.92;44.96;140.54;70.27;277;138.5;371;185.5;94;47;1442.37;991697;495848.5;420.94;210.47;264.47;132.24;86.49;43.24;446.27;223.14;287.23;143.61;38.41;19.2;11.25;5.62;0.08;141;70.5;441.5;220.75;286.1;143.05;188.04;94.02;583.87;291.93;507.51;253.76;264.4;132.2;373;186.5;228.92;114.46;169.99;84.99;2510.48;2464.13;2658.99;2867.78;3;1.5;1;0.5
prkr & hams & RisserZ;$0Dolphin.;1;1;100.00;560;560;2;2;2;2;0;0;7;7;3;3;2;2;1;1;28.57;458;48.28;2822;2822;2220;2220;602;602;26;26;53;53;713;713;484;484;229;229;5;5;20;20;57.91;57.91;42.47;42.47;483;483;388;388;15;15;1577;530194;530194;161.05;161.05;141.65;141.65;59.94;59.94;192;192;151.53;151.53;19.12;19.12;7.01;7.01;0.09;74;74;193.3;193.3;154.1;154.1;73.71;73.71;288.93;288.93;217.5;217.5;145.15;145.15;153.31;153.31;117.98;117.98;91.36;91.36;2529;2485;2536;2941;0;0;0;0
hgOc`0k00I0 & $11M all-you-can-eat shrimp fias;$11M all-you-can-eat shrimp fias;1;1;100.00;595;595;1;1;1;1;4;4;3;3;10;10;2;2;2;2;33.33;380;43.25;2261;2261;1518;1518;743;743;18;18;64;64;647;647;342;342;305;305;4;4;26;26;47;47;19.73;19.73;231;231;296;296;57;57;1431;491535;491535;200.08;200.08;121.43;121.43;44.24;44.24;212.25;212.25;135.86;135.86;17.64;17.64;8.12;8.12;0.14;59;59;183.6;183.6;160.5;160.5;71.68;71.68;294.07;294.07;209.54;209.54;156.21;156.21;151.16;151.16;120.55;120.55;94.03;94.03;2211;2146;2310;3157;2;2;0;0
Diyos. & &D.;&D.;4;0;0.00;1854;463.5;7;1.75;2;0.5;4;1;15;3.75;36;9;16;4;6;1.5;46.67;451.66;49.31;10095;2523.75;7593;1898.25;2502;625.5;97;24.25;231;57.75;2203;550.75;1476;369;727;181.75;19;4.75;64;16;160.72;40.18;129.93;32.48;1789;447.25;1408;352;216;54;1620.23;2074204;518551;552.8;138.2;534.84;133.71;301.9;75.48;795.26;198.82;528.31;132.08;65.99;16.5;33.34;8.34;0.12;279;69.75;612.9;153.22;712.9;178.23;393.3;98.33;996.25;249.06;900.96;225.24;488.59;122.15;643.72;160.93;444.62;111.15;301.21;75.3;2400.24;2229.29;2518.83;3174.83;5;1.25;3;0.75
theogflounder & ***** Man Dajuan;***** Man Dajuan;1;0;0.00;383;383;0;0;1;1;2;2;2;2;9;9;3;3;2;2;0;355;59.69;2052;2052;1398;1398;654;654;20;20;54;54;462;462;268;268;194;194;4;4;18;18;19.12;19.12;25.69;25.69;268;268;616;616;136;136;1445;457272;457272;182.62;182.62;109.95;109.95;39.26;39.26;192.21;192.21;122.19;122.19;17.43;17.43;6.42;6.42;0.1;63;63;141.6;141.6;180.7;180.7;93.81;93.81;238.02;238.02;224.43;224.43;107.41;107.41;161.18;161.18;113.84;113.84;56.82;56.82;2136;1888;2327;2950;0;0;1;1
