team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & arthur";;1;0;0.00;243;243;0;0;0;0;1;1;2;2;7;7;5;5;2;2;0;411;46.3;1249;1249;1016;1016;233;233;11;11;21;21;222;222;197;197;25;25;2;2;3;3;22.53;22.53;22.83;22.83;90;90;83;83;2;2;1552;257236;257236;84.45;84.45;75.31;75.31;24.59;24.59;87.94;87.94;89.34;89.34;7.07;7.07;3.17;3.17;0.11;28;28;69.2;69.2;97.6;97.6;66.16;66.16;118.19;118.19;116.83;116.83;67.52;67.52;83.4;83.4;59.44;59.44;41.51;41.51;2394;1440;2910;2901;0;0;1;1
sebastian staxx & polorph & ;;1;0;0.00;176;176;0;0;0;0;0;0;3;3;8;8;6;6;5;5;0;384;51.44;1931;1931;1551;1551;380;380;21;21;33;33;582;582;476;476;106;106;7;7;9;9;30.91;30.91;38.85;38.85;617;617;549;549;223;223;1561;424621;424621;138.37;138.37;96.78;96.78;59.25;59.25;176.1;176.1;108.63;108.63;9.67;9.67;2.68;2.68;0.13;21;21;139.3;139.3;138;138;110.25;110.25;184.14;184.14;206.61;206.61;87.78;87.78;171.27;171.27;62.13;62.13;60.99;60.99;2549;2123;2954;2907;0;0;1;1
"   & quoki";"  ";1;0;0.00;230;230;0;0;1;1;2;2;1;1;5;5;3;3;0;0;0;356;49.22;1080;1080;683;683;397;397;9;9;34;34;146;146;98;98;48;48;1;1;6;6;16.4;16.4;22.61;22.61;153;153;133;133;1;1;1452;262344;262344;114.71;114.71;58.65;58.65;26.35;26.35;112.75;112.75;80.82;80.82;6.13;6.13;2.93;2.93;0.17;17;17;114.2;114.2;68.2;68.2;46.57;46.57;153.13;153.13;156.11;156.11;43.6;43.6;117.6;117.6;58.17;58.17;23.93;23.93;2299;2233;2330;2658;0;0;0;0
"   JWeyts    & Hawary.";"   JWeyts   ";1;0;0.00;516;516;1;1;1;1;2;2;5;5;10;10;3;3;2;2;20;436;51.33;2959;2959;2162;2162;797;797;27;27;78;78;338;338;109;109;229;229;3;3;25;25;40.23;40.23;47.53;47.53;536;536;600;600;200;200;1627;603991;603991;164.33;164.33;138.91;138.91;90.32;90.32;199.74;199.74;176.19;176.19;17.64;17.64;8.35;8.35;0.13;66;66;197.7;197.7;181;181;85.24;85.24;308.33;308.33;266.96;266.96;126.61;126.61;187.9;187.9;126.87;126.87;78.8;78.8;2311;2107;2525;3016;0;0;1;1
kjF_ &  c.Chook;" c.Chook";1;0;0.00;561;561;2;2;1;1;2;2;5;5;11;11;6;6;3;3;40;439;41.81;2740;2740;2136;2136;604;604;26;26;53;53;742;742;587;587;155;155;6;6;14;14;61.12;61.12;43.77;43.77;291;291;458;458;14;14;1556;541676;541676;174.57;174.57;149.71;149.71;62.43;62.43;206.75;206.75;156.56;156.56;23.41;23.41;4.62;4.62;0.14;33;33;135;135;240.6;240.6;125.76;125.76;260.95;260.95;244.75;244.75;141.96;141.96;185.68;185.68;119.55;119.55;81.49;81.49;2265;2092;2352;3505;1;1;1;1
bryster_rl & Purg &  t;" t";3;1;33.33;1784;594.67;4;1.33;3;1;8;2.67;14;4.67;29;9.67;8;2.67;4;1.33;28.57;432.02;52.53;7037;2345.67;5189;1729.67;1848;616;71;23.67;165;55;1604;534.67;1090;363.33;514;171.33;13;4.33;47;15.67;95.97;31.99;102.94;34.31;1106;368.67;1959;653;207;69;1547.7;1425656;475218.66;447.96;149.32;347.84;115.95;187.24;62.41;537.33;179.11;398.23;132.74;47.46;15.82;12.34;4.11;0.14;90;30;522.2;174.07;426.5;142.17;202.27;67.42;780.77;260.26;641.49;213.83;341.53;113.84;482.1;160.7;302.57;100.86;198.38;66.13;2270.39;2048.6;2475.84;2893.57;2;0.67;7;2.33
NEE & Dragon <3 & GoldNiNja;!;2;1;50.00;1094;547;6;3;0;0;4;2;6;3;9;4.5;3;1.5;3;1.5;100;379.16;59.84;2603;1301.5;1837;918.5;766;383;27;13.5;67;33.5;703;351.5;480;240;223;111.5;8;4;23;11.5;36.12;18.06;48.67;24.33;269;134.5;915;457.5;343;171.5;1440.62;566632;283316;223.5;111.75;155.9;77.95;48.99;24.5;276.51;138.26;144.54;72.27;7.33;3.66;8.01;4.01;0.09;80;40;219.1;109.55;179.7;89.85;78.96;39.48;349.43;174.71;276.85;138.43;151.53;75.76;186.31;93.15;157.7;78.85;84.38;42.19;2425.55;2193.54;2570.99;3108.88;1;0.5;1;0.5
NEE & Dragon <3 & GoldNiNja;! Bomba;4;0;0.00;1412;353;2;0.5;4;1;6;1.5;6;1.5;34;8.5;18;4.5;6;1.5;33.33;411.47;46.23;9916;2479;7356;1839;2560;640;88;22;215;53.75;1937;484.25;830;207.5;1107;276.75;10;2.5;85;21.25;261.6;65.4;131.34;32.83;1376;344;1025;256.25;112;28;1607.1;2025472;506368;569.24;142.31;493.6;123.4;288.77;72.19;688.75;172.19;597.55;149.39;65.33;16.33;33.35;8.34;0.1;325;81.25;591.5;147.88;688.5;172.12;350.11;87.53;1001.51;250.38;832.78;208.19;518.83;129.71;583.83;145.96;477.51;119.38;290.27;72.57;2241.61;2117.28;2332.06;2963.25;10;2.5;6;1.5
Saaxqi. & ! Brii;! Brii;2;2;100.00;896;448;3;1.5;4;2;2;1;3;1.5;10;5;4;2;2;1;100;380.53;49.93;4739;2369.5;3322;1661;1417;708.5;40;20;120;60;999;499.5;578;289;421;210.5;7;3.5;34;17;67.66;33.83;67.27;33.63;459;229.5;719;359.5;127;63.5;1497.51;953481;476740.5;329.27;164.63;275.94;137.97;84.14;42.07;402.93;201.46;248.84;124.42;37.55;18.77;13.99;6.99;0.1;143;71.5;370.4;185.2;283.5;141.75;158.28;79.14;531.05;265.52;424.59;212.29;264.73;132.37;303.35;151.68;242.38;121.19;143.6;71.8;2621.39;2682.72;2533.09;3195.67;1;0.5;1;0.5
Shanks & ! Mohammed.;! Mohammed.;2;0;0.00;577;288.5;0;0;0;0;6;3;3;1.5;21;10.5;10;5;8;4;0;468.94;48.66;3686;1843;2820;1410;866;433;31;15.5;81;40.5;548;274;278;139;270;135;3;1.5;24;12;44.51;22.26;31.36;15.68;423;211.5;304;152;21;10.5;1667.58;690846;345423;177.56;88.78;180.32;90.16;97.46;48.73;223.98;111.99;206.62;103.31;24.72;12.36;13.6;6.8;0.09;162;81;210.3;105.15;222.5;111.25;129.2;64.6;326.12;163.06;323.32;161.66;132.01;66;230;115;156.25;78.12;69.08;34.54;2625.43;2330.18;2831.64;3023.89;0;0;2;1
xkci0 & ! Qin;! Qin;1;1;100.00;470;470;1;1;1;1;0;0;8;8;14;14;4;4;2;2;12.5;519;48.95;3389;3389;2743;2743;646;646;33;33;56;56;519;519;266;266;253;253;3;3;22;22;39.33;39.33;45.71;45.71;433;433;565;565;33;33;1617;616081;616081;170.93;170.93;162.89;162.89;85.63;85.63;189.84;189.84;201.58;201.58;28.02;28.02;6.18;6.18;0.11;56;56;169.8;169.8;226.7;226.7;121.77;121.77;297.67;297.67;284.16;284.16;135.28;135.28;211.32;211.32;125.19;125.19;82.93;82.93;2064;2033;2071;2924;1;1;1;1
