team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & Spearical";"  ";2;1;50.00;979;489.5;3;1.5;0;0;4;2;6;3;21;10.5;8;4;4;2;50;420.86;47.11;4920;2460;3044;1522;1876;938;34;17;168;84;1285;642.5;709;354.5;576;288;8;4;51;25.5;73.92;36.96;52.49;26.24;493;246.5;447;223.5;116;58;1549.01;1024045;512022.5;334.97;167.49;247.21;123.6;138.14;69.07;352.65;176.33;323.03;161.51;44.64;22.32;16.3;8.15;0.12;132;66;380.3;190.15;314.1;157.05;170.11;85.06;550.21;275.1;471.58;235.79;248.75;124.38;359.48;179.74;204.42;102.21;156.42;78.21;2239.67;2145.65;2204.58;3073.99;0;0;1;0.5
"    & Maeztro V";"   ";1;0;0.00;195;195;0;0;0;0;1;1;2;2;6;6;3;3;3;3;0;329;43.96;1832;1832;830;830;1002;1002;10;10;93;93;507;507;100;100;407;407;1;1;37;37;46.82;46.82;12.79;12.79;112;112;195;195;0;0;1510;492089;492089;162.26;162.26;149.23;149.23;36.36;36.36;190.96;190.96;150.38;150.38;6.5;6.5;6.36;6.36;0.14;47;47;142.6;142.6;205.9;205.9;112.95;112.95;234.89;234.89;190.33;190.33;157.52;157.52;131.91;131.91;111.08;111.08;104.85;104.85;2223;2320;2138;2854;0;0;2;2
Brazy. & Bullet & grrett;"   gushy   ";2;0;0.00;1107;553.5;1;0.5;2;1;7;3.5;7;3.5;19;9.5;7;3.5;6;3;14.29;436.93;46.05;5002;2501;3342;1671;1660;830;39;19.5;146;73;1580;790;1023;511.5;557;278.5;12;6;51;25.5;122.72;61.36;62.37;31.19;812;406;564;282;176;88;1553.38;1018477;509238.5;319.03;159.51;277.64;138.82;103.99;52;382.45;191.23;285.61;142.8;32.6;16.3;14.32;7.16;0.1;144;72;293.7;146.85;378.9;189.45;230.5;115.25;470.16;235.08;421.34;210.67;279.31;139.65;295.81;147.9;222.29;111.15;182.56;91.28;2173.59;1901.23;2398.31;3222.1;4;2;3;1.5
! & J YAZAN J;!;1;0;0.00;268;268;0;0;0;0;2;2;1;1;6;6;3;3;2;2;0;403;53.34;1710;1710;1311;1311;399;399;17;17;37;37;278;278;158;158;120;120;3;3;10;10;17.05;17.05;37.7;37.7;301;301;381;381;141;141;1601;413462;413462;109.56;109.56;117.76;117.76;46.12;46.12;150.78;150.78;90.3;90.3;32.36;32.36;2.39;2.39;0.07;32;32;163.1;163.1;104.6;104.6;68.2;68.2;205.24;205.24;200.48;200.48;72.97;72.97;143.03;143.03;95.53;95.53;34.89;34.89;2421;2066;2625;3105;0;0;0;0
. & Dragon <3 & Xanxx love You;!;2;2;100.00;981;490.5;5;2.5;1;0.5;2;1;6;3;5;2.5;0;0;0;0;83.33;375.77;48.01;2219;1109.5;1598;799;621;310.5;23;11.5;59;29.5;547;273.5;291;145.5;256;128;4;2;24;12;30.07;15.03;50.88;25.44;471;235.5;727;363.5;116;58;1573.53;493321;246660.5;148.51;74.25;132.56;66.28;61.58;30.79;194.9;97.45;138.67;69.33;9.09;4.55;5.39;2.69;0.14;38;19;158.5;79.25;158.1;79.05;87.92;43.96;254.73;127.36;214.02;107.01;128.63;64.32;153.44;76.72;104.68;52.34;84.53;42.26;2086.73;1852.22;2278.48;2551.28;1;0.5;1;0.5
. & Dragon <3 & Xanxx love You;! nthn;4;2;50.00;1671;417.75;4;1;2;0.5;5;1.25;17;4.25;30;7.5;13;3.25;9;2.25;23.53;398.86;51.15;9059;2264.75;6516;1629;2543;635.75;82;20.5;221;55.25;2320;580;1462;365.5;858;214.5;19;4.75;71;17.75;116.91;29.23;227.39;56.85;860;215;1542;385.5;393;98.25;1526.61;1828229;457057.25;619.64;154.91;484.94;121.24;197.89;49.47;744.52;186.13;501.48;125.37;56.47;14.12;16.54;4.14;0.13;127;31.75;669;167.25;578.6;144.65;331.61;82.9;970.87;242.72;869.75;217.44;432.72;108.18;638.27;159.57;417.1;104.27;247.09;61.77;2485.54;2358.78;2584.2;3121.4;3;0.75;5;1.25
!rabbit & wkzerrrrr;!rabbit;1;0;0.00;376;376;1;1;2;2;0;0;4;4;6;6;5;5;4;4;25;402;56.18;2434;2434;1917;1917;517;517;25;25;47;47;559;559;385;385;174;174;5;5;16;16;20.93;20.93;62.45;62.45;245;245;622;622;124;124;1469;458103;458103;171.39;171.39;134.82;134.82;40.09;40.09;210.02;210.02;127.95;127.95;8.33;8.33;15.45;15.45;0.18;84;84;178.7;178.7;146.3;146.3;85.54;85.54;260.76;260.76;209.75;209.75;136.55;136.55;149.79;149.79;113.17;113.17;83.34;83.34;2275;2181;2353;2753;0;0;1;1
"Clone Hero Uruguay & """;"""";1;0;0.00;370;370;1;1;0;0;1;1;5;5;8;8;2;2;1;1;20;506;47.49;2774;2774;2163;2163;611;611;25;25;48;48;396;396;191;191;205;205;2;2;18;18;72.22;72.22;31.74;31.74;383;383;250;250;8;8;1494;479544;479544;153.72;153.72;129.35;129.35;53.57;53.57;180.09;180.09;146.02;146.02;10.52;10.52;5.86;5.86;0.08;75;75;159;159;175.8;175.8;117.15;117.15;219.49;219.49;202;202;134.63;134.63;133.5;133.5;127.86;127.86;75.27;75.27;2099;1769;2368;2684;1;1;0;0
. & Dragon <3 & Xanxx love You;&;3;0;0.00;1545;515;3;1;4;1.33;8;2.67;15;5;41;13.67;24;8;7;2.33;20;393.45;42.05;3646;1215.33;2748;916;898;299.33;33;11;78;26;651;217;415;138.33;236;78.67;5;1.67;22;7.33;103.24;34.41;51.31;17.1;490;163.33;536;178.67;84;28;1471.7;765197;255065.67;400.38;133.46;184.22;61.41;105.78;35.26;398.65;132.88;252.63;84.21;39.1;13.03;9.46;3.15;0.09;74;24.67;401.6;133.87;351.3;117.1;191.04;63.68;499.34;166.45;537.85;179.28;152.54;50.85;426.8;142.27;177.44;59.15;86.14;28.71;2450.02;1865.45;2476.14;2964.45;0;0;2;0.67
Larxse & ****;****;1;0;0.00;373;373;0;0;0;0;3;3;4;4;9;9;3;3;0;0;0;492;53.19;2635;2635;1821;1821;814;814;26;26;69;69;1137;1137;701;701;436;436;9;9;31;31;30.62;30.62;67.77;67.77;640;640;810;810;198;198;1713;525032;525032;104.94;104.94;137.93;137.93;79.1;79.1;207.44;207.44;104.98;104.98;9.54;9.54;9.87;9.87;0.1;98;98;156.9;156.9;162.3;162.3;93.25;93.25;228.72;228.72;172.47;172.47;149.49;149.49;116.22;116.22;109.7;109.7;96.04;96.04;2437;2330;2506;3353;1;1;2;2
