team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
" & $nYxx";;1;0;0.00;245;245;0;0;0;0;1;1;3;3;7;7;3;3;2;2;0;306;40.83;1669;1669;676;676;993;993;9;9;74;74;541;541;0;0;541;541;0;0;35;35;51.37;51.37;15.75;15.75;158;158;223;223;0;0;1486;460949;460949;162.2;162.2;121.6;121.6;44.05;44.05;174.39;174.39;141.92;141.92;11.54;11.54;7.68;7.68;0.09;86;86;171.9;171.9;146.6;146.6;83.37;83.37;244.48;244.48;175.27;175.27;152.58;152.58;109.74;109.74;132.54;132.54;85.57;85.57;2308;2187;2427;3005;1;1;1;1
xM6loob & qki_m & ;;1;1;100.00;620;620;2;2;1;1;3;3;2;2;15;15;3;3;1;1;100;426;49.45;2757;2757;2090;2090;667;667;27;27;63;63;549;549;394;394;155;155;5;5;16;16;56.13;56.13;34.71;34.71;527;527;632;632;105;105;1584;553791;553791;165.45;165.45;145.26;145.26;72.13;72.13;235.53;235.53;139.08;139.08;8.23;8.23;6.83;6.83;0.09;80;80;176.6;176.6;180.2;180.2;115.4;115.4;267.44;267.44;262.05;262.05;120.78;120.78;199.5;199.5;111.87;111.87;71.47;71.47;2383;2425;2360;2890;1;1;0;0
"   wizzo    & jyuii's peaking & Rxa.";"   wizzo   ";2;2;100.00;1245;622.5;3;1.5;4;2;5;2.5;8;4;17;8.5;5;2.5;2;1;37.5;465.83;39.62;5293;2646.5;3946;1973;1347;673.5;45;22.5;121;60.5;1545;772.5;1093;546.5;452;226;12;6;40;20;105.92;52.96;43.47;21.74;882;441;470;235;105;52.5;1585.87;991086;495543;301.55;150.77;259.72;129.86;120;60;366.13;183.07;275.63;137.82;39.5;19.75;15.63;7.81;0.11;145;72.5;288.5;144.25;357.7;178.85;170.11;85.06;511.15;255.57;415.48;207.74;265.77;132.88;304.78;152.39;208.6;104.3;167.88;83.94;2408.78;2211.23;2504.32;3195.12;6;3;1;0.5
Lucky &  Andii  & Ken1ze.;" Andii ";8;4;50.00;3301;412.62;8;1;7;0.88;13;1.62;23;2.88;57;7.12;23;2.88;16;2;34.78;445.34;40.74;18863;2357.88;13400;1675;5463;682.88;143;17.88;480;60;4222;527.75;2246;280.75;1976;247;25;3.12;170;21.25;573.35;71.67;148.05;18.51;2393;299.12;587;73.38;114;14.25;1569.92;3829647;478705.88;1125.82;140.73;1103.32;137.91;392.51;49.06;1318.36;164.79;1189.53;148.69;113.78;14.22;55.54;6.94;0.11;512;64;1257.2;157.15;1248.8;156.1;717.92;89.74;1903.75;237.97;1611.25;201.41;1010.42;126.3;1133.95;141.74;851.17;106.4;636.55;79.57;2499.61;2404.83;2620.1;3175.26;9;1.12;7;0.88
gala. & ! Brii;! Brii;1;1;100.00;1043;1043;3;3;0;0;8;8;4;4;11;11;2;2;0;0;75;343;47.55;2227;2227;1393;1393;834;834;17;17;71;71;558;558;391;391;167;167;5;5;15;15;43.35;43.35;30.75;30.75;258;258;340;340;108;108;1470;547800;547800;206.48;206.48;140.92;140.92;47.57;47.57;235.25;235.25;148.76;148.76;10.96;10.96;9.19;9.19;0.1;93;93;196.6;196.6;184.3;184.3;82.73;82.73;312.24;312.24;266.76;266.76;128.22;128.22;185.69;185.69;148;148;61.28;61.28;2369;2450;2270;2927;2;2;1;1
! Teyna & Papounait38 & L7KZR;! Teyna;2;2;100.00;1108;554;5;2.5;1;0.5;1;0.5;9;4.5;16;8;5;2.5;2;1;55.56;382.65;42.86;4411;2205.5;3221;1610.5;1190;595;36;18;107;53.5;521;260.5;200;100;321;160.5;2;1;28;14;86.23;43.12;105.92;52.96;242;121;327;163.5;0;0;1675.18;1089517;544758.5;270.18;135.09;268.21;134.11;165.99;82.99;375.32;187.66;298.36;149.18;30.7;15.35;4.91;2.45;0.14;33;16.5;344.7;172.35;332.1;166.05;177.97;88.99;526.41;263.2;477.68;238.84;226.7;113.35;355.76;177.88;217.94;108.97;130.68;65.34;2661.88;2610.8;2671.75;3175.95;0;0;5;2.5
meccom_ & !999 pxnlchrrrr! & IcEyY;!999 pxnlchrrrr!;2;0;0.00;690;345;2;1;1;0.5;3;1.5;5;2.5;22;11;9;4.5;3;1.5;40;340.77;52.19;3839;1919.5;2784;1392;1055;527.5;36;18;97;48.5;720;360;377;188.5;343;171.5;5;2.5;32;16;43.75;21.88;80.58;40.29;322;161;857;428.5;129;64.5;1476.36;884144;442072;324.96;162.48;255.04;127.52;79.32;39.66;359.99;179.99;274.22;137.11;25.09;12.55;11.81;5.9;0.1;115;57.5;353.8;176.9;268.9;134.45;139.08;69.54;520.24;260.12;461.15;230.57;198.17;99.09;336.66;168.33;221.85;110.93;100.79;50.39;2694.73;2756.53;2640.77;3226.82;0;0;1;0.5
_Sarak_ & chris.griffm & Awdaz;!nsan!ty_;5;3;60.00;2968;593.6;9;1.8;4;0.8;8;1.6;30;6;41;8.2;15;3;7;1.4;30;423.55;48.13;13846;2769.2;10446;2089.2;3400;680;128;25.6;297;59.4;3366;673.2;2170;434;1196;239.2;27;5.4;106;21.2;196;39.2;200.07;40.01;1432;286.4;2401;480.2;503;100.6;1649.21;2934548;586909.62;712;142.4;813.19;162.64;387.55;77.51;947.92;189.58;840.97;168.19;123.87;24.77;27.48;5.5;0.11;263;52.6;898.1;179.62;956.7;191.34;513.18;102.64;1399.57;279.91;1175.9;235.18;736.83;147.37;845.57;169.11;607.12;121.42;460.06;92.01;2254.47;2160.99;2316.25;2967.23;13;2.6;10;2
!smn. & JAH.1981;!smn.;1;1;100.00;985;985;3;3;2;2;5;5;3;3;10;10;2;2;1;1;100;391;48.86;2180;2180;1698;1698;482;482;19;19;45;45;193;193;70;70;123;123;1;1;12;12;46.1;46.1;44.82;44.82;250;250;226;226;29;29;1477;461476;461476;173.34;173.34;116.06;116.06;53.28;53.28;185.67;185.67;145.03;145.03;11.98;11.98;4.61;4.61;0.12;40;40;191.4;191.4;135.5;135.5;60.84;60.84;281.84;281.84;228.49;228.49;114.2;114.2;174.86;174.86;99.81;99.81;68.01;68.01;2521;2439;2626;3310;3;3;2;2
Sous0.09Deadzone & # x v #;# x v #;1;0;0.00;464;464;2;2;1;1;0;0;3;3;6;6;4;4;2;2;66.67;439;45.38;2627;2627;2077;2077;550;550;24;24;48;48;435;435;323;323;112;112;4;4;11;11;43.92;43.92;32.86;32.86;354;354;322;322;76;76;1637;572124;572124;145.78;145.78;166.6;166.6;68.2;68.2;185.76;185.76;172.61;172.61;22.21;22.21;6.56;6.56;0.13;52;52;165.1;165.1;231.2;231.2;130.57;130.57;250.01;250.01;233;233;147.58;147.58;175.69;175.69;106.97;106.97;97.92;97.92;2065;1719;2294;3276;1;1;0;0
