team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
piece control plexi & hazo & chura   ;"  ";1;0;0.00;542;542;2;2;0;0;2;2;6;6;10;10;5;5;1;1;33.33;424;41.9;2740;2740;1866;1866;874;874;22;22;73;73;837;837;418;418;419;419;6;6;31;31;65.39;65.39;20.56;20.56;312;312;367;367;181;181;1511;535078;535078;199.4;199.4;119.92;119.92;73.87;73.87;198.66;198.66;175.5;175.5;19.03;19.03;10.03;10.03;0.12;81;81;144.8;144.8;218.2;218.2;122.21;122.21;270.98;270.98;248.05;248.05;145.14;145.14;189.02;189.02;96.14;96.14;108.03;108.03;2044;1971;2108;2660;1;1;1;1
velocity & WONKRU & Stop The Cap_-;" Cayyh";2;1;50.00;1158;579;4;2;1;0.5;4;2;5;2.5;18;9;8;4;4;2;80;431.94;48.39;5179;2589.5;3876;1938;1303;651.5;52;26;116;58;852;426;507;253.5;345;172.5;6;3;32;16;64.91;32.46;80.55;40.28;707;353.5;1113;556.5;120;60;1617.57;1107806;553903;312.96;156.48;299.24;149.62;137.74;68.87;383.33;191.67;318.23;159.11;48.38;24.19;14.02;7.01;0.09;151;75.5;340.5;170.25;361.9;180.95;164.81;82.4;585.11;292.55;504.71;252.35;245.23;122.62;381.19;190.6;236.96;118.48;131.79;65.9;2147.39;1833.86;2360.71;2604.41;2;1;2;1
MP-T & Kizr_o & Nuray_y;" GNM";1;0;0.00;283;283;0;0;0;0;2;2;2;2;5;5;1;1;1;1;0;431;47.19;2231;2231;1729;1729;502;502;21;21;43;43;705;705;490;490;215;215;5;5;18;18;52.67;52.67;35.23;35.23;432;432;376;376;11;11;1454;445678;445678;161.42;161.42;105.9;105.9;47.67;47.67;182.61;182.61;117.27;117.27;15.1;15.1;4.9;4.9;0.17;29;29;148.3;148.3;166.6;166.6;90.74;90.74;224.25;224.25;170.44;170.44;144.54;144.54;128.73;128.73;93.92;93.92;92.34;92.34;1591;1572;1588;2800;0;0;1;1
! Abstrullah# & H4nn3s;! Abstrullah#;1;0;0.00;371;371;1;1;0;0;1;1;3;3;9;9;2;2;1;1;33.33;520;46.34;2702;2702;2013;2013;689;689;23;23;64;64;833;833;495;495;338;338;6;6;31;31;62.15;62.15;19.85;19.85;367;367;299;299;111;111;1651;525306;525306;116.35;116.35;144.04;144.04;73.5;73.5;149.29;149.29;157.23;157.23;27.37;27.37;15.13;15.13;0.18;85;85;150.3;150.3;179.9;179.9;126.4;126.4;207.48;207.48;182.21;182.21;151.67;151.67;133.61;133.61;103.8;103.8;96.47;96.47;2252;2033;2519;2984;4;4;0;0
Stvn & ! Digitalkiwi.;! Digitalkiwi.;1;0;0.00;544;544;1;1;1;1;3;3;2;2;11;11;4;4;4;4;50;453;42.25;2615;2615;1901;1901;714;714;21;21;55;55;583;583;400;400;183;183;4;4;17;17;83.67;83.67;32.91;32.91;249;249;215;215;9;9;1528;514575;514575;180.1;180.1;110.25;110.25;72.35;72.35;173.55;173.55;159.95;159.95;29.2;29.2;4.24;4.24;0.11;39;39;164.4;164.4;180.7;180.7;101.53;101.53;261.17;261.17;221.72;221.72;140.99;140.99;164.94;164.94;105.65;105.65;92.11;92.11;2054;2016;2164;3023;0;0;0;0
Suliman. & ! Ghassan & Yakzy.;! Ghassan;9;3;33.33;3549;394.33;8;0.89;8;0.89;13;1.44;32;3.56;66;7.33;25;2.78;12;1.33;25;445.7;49.11;20919;2324.33;15299;1699.89;5620;624.44;193;21.44;478;53.11;3526;391.78;1998;222;1528;169.78;24;2.67;135;15;353.31;39.26;345.31;38.37;3590;398.89;4072;452.44;422;46.89;1545.24;3944273;438252.56;1234.41;137.16;1095.62;121.74;428.13;47.57;1621.24;180.14;1010.85;112.32;126.1;14.01;44.81;4.98;0.1;456;50.67;1300.1;144.46;1319;146.56;783.8;87.09;1974.39;219.38;1843.29;204.81;914.89;101.65;1302.61;144.73;981.33;109.04;474.24;52.69;2439.59;2366.7;2545.42;3231.82;12;1.33;4;0.44
! Kill & ...;! Kill;1;1;100.00;668;668;2;2;0;0;4;4;3;3;8;8;0;0;0;0;66.67;354;43.74;1687;1687;1092;1092;595;595;13;13;45;45;441;441;200;200;241;241;2;2;15;15;87.75;87.75;27.61;27.61;201;201;218;218;3;3;1574;453991;453991;131.55;131.55;121.22;121.22;53.86;53.86;136.45;136.45;155.05;155.05;15.13;15.13;6.04;6.04;0.12;49;49;159.1;159.1;149.8;149.8;69.16;69.16;237.47;237.47;175.74;175.74;130.89;130.89;133.96;133.96;92.44;92.44;80.23;80.23;2207;2288;2031;3175;2;2;3;3
! Teyna & gykeres.0 & Gin;! Teyna;3;3;100.00;1180;393.33;4;1.33;0;0;5;1.67;10;3.33;15;5;2;0.67;0;0;40;390.19;51.82;5453;1817.67;4447;1482.33;1006;335.33;57;19;88;29.33;928;309.33;570;190;358;119.33;8;2.67;32;10.67;88.92;29.64;143.41;47.8;283;94.33;1073;357.67;215;71.67;1610.71;1304127;434709;335.05;111.68;332.85;110.95;181.97;60.66;403.06;134.35;420.26;140.09;26.52;8.84;6.62;2.21;0.15;45;15;445;148.33;387.2;129.07;168.6;56.2;681.26;227.09;543.06;181.02;306.8;102.27;405.16;135.05;269.55;89.85;175.14;58.38;2623.75;2465.86;2859.33;3365.48;1;0.33;4;1.33
!ollie & Jay & Dmy;!ollie;3;2;66.67;1899;633;5;1.67;2;0.67;8;2.67;16;5.33;26;8.67;8;2.67;4;1.33;31.25;470.25;46.15;8542;2847.33;5895;1965;2647;882.33;68;22.67;227;75.67;2423;807.67;1243;414.33;1180;393.33;14;4.67;88;29.33;149.44;49.81;96.07;32.02;475;158.33;552;184;82;27.33;1587.17;1650078;550026;466.82;155.61;453.61;151.2;191.35;63.78;562.21;187.4;458.96;152.99;90.63;30.21;37.29;12.43;0.13;277;92.33;519.8;173.27;560.7;186.9;305.79;101.93;806.01;268.67;625.14;208.38;486.65;162.22;437.69;145.9;356.88;118.96;317.23;105.74;2247.88;2078.51;2410.23;3060.49;4;1.33;3;1
stupzy-. & !xj;!xj;2;2;100.00;1589;794.5;4;2;3;1.5;7;3.5;10;5;14;7;2;1;0;0;40;441.43;48.7;4962;2481;3576;1788;1386;693;42;21;122;61;1203;601.5;791;395.5;412;206;9;4.5;36;18;99.03;49.51;54.01;27.01;533;266.5;633;316.5;115;57.5;1616.35;1057279;528639.5;284.73;142.36;262.53;131.26;148.57;74.29;341.17;170.58;320.66;160.33;33.98;16.99;19.32;9.66;0.12;156;78;341.7;170.85;332.6;166.3;164.3;82.15;531.52;265.76;416.33;208.17;279.5;139.75;284.7;142.35;252.51;126.26;158.61;79.31;2498.58;2448.39;2545.01;3036.14;3;1.5;2;1
