team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
swazz & mrtn & trstn;;3;1;33.33;1511;503.67;4;1.33;2;0.67;5;1.67;15;5;23;7.67;9;3;6;2;26.67;461.49;44.04;7592;2530.67;5644;1881.33;1948;649.33;66;22;166;55.33;1404;468;568;189.33;836;278.67;7;2.33;66;22;208.67;69.56;141.83;47.28;1530;510;1010;336.67;136;45.33;1531.78;1479578;493192.66;493.71;164.57;336.27;112.09;201.69;67.23;523.53;174.51;443.44;147.81;64.71;21.57;17.25;5.75;0.11;161;53.67;518;172.67;483.9;161.3;270.88;90.29;760.78;253.59;657.64;219.21;374.02;124.67;475.51;158.5;330.49;110.16;225.68;75.23;2351.48;2154.89;2499.21;2962.36;4;1.33;2;0.67
Spearical &   ;"  ";1;0;0.00;46;46;0;0;0;0;0;0;0;0;8;8;3;3;2;2;0;445;48.1;978;978;594;594;384;384;7;7;28;28;158;158;122;122;36;36;2;2;4;4;14.2;14.2;5.82;5.82;92;92;107;107;80;80;1616;229512;229512;62.71;62.71;62.65;62.65;27.8;27.8;73.98;73.98;70.22;70.22;8.97;8.97;2.74;2.74;0.11;25;25;79.7;79.7;74.2;74.2;55.56;55.56;97.61;97.61;118.61;118.61;34.56;34.56;88.54;88.54;48.88;48.88;15.74;15.74;2321;2294;2329;3257;1;1;2;2
Res & Miiiikey_Tr & ! Kill;! Kill;1;0;0.00;50;50;0;0;0;0;0;0;0;0;5;5;3;3;1;1;0;489;45.03;1274;1274;974;974;300;300;13;13;27;27;215;215;130;130;85;85;2;2;8;8;29.77;29.77;18.11;18.11;383;383;325;325;69;69;1632;257039;257039;64.46;64.46;63.03;63.03;41.27;41.27;88.48;88.48;74.91;74.91;5.37;5.37;5.07;5.07;0.14;35;35;96.6;96.6;58.8;58.8;38.84;38.84;129.91;129.91;115.91;115.91;52.84;52.84;81.7;81.7;55.42;55.42;31.63;31.63;2280;1839;2396;2765;0;0;0;0
Rassawi & ! nthn & Suliman.;! Mohammed.;1;0;0.00;447;447;0;0;0;0;4;4;5;5;11;11;3;3;1;1;0;500;49.79;2233;2233;1630;1630;603;603;19;19;58;58;350;350;169;169;181;181;2;2;17;17;21.99;21.99;18.74;18.74;271;271;279;279;30;30;1600;419968;419968;114.02;114.02;107.94;107.94;55.69;55.69;151.43;151.43;114.78;114.78;11.43;11.43;12.41;12.41;0.1;124;124;146.6;146.6;124;124;55.11;55.11;222.54;222.54;198.7;198.7;78.94;78.94;146.96;146.96;97.05;97.05;33.63;33.63;2422;2334;2438;3238;0;0;0;0
Rassawi & ! nthn & Suliman.;! nthn;8;4;50.00;4297;537.12;9;1.12;10;1.25;17;2.12;27;3.38;63;7.88;21;2.62;13;1.62;33.33;404.32;48.33;19048;2381;13989;1748.62;5059;632.38;177;22.12;444;55.5;3309;413.62;2051;256.38;1258;157.25;23;2.88;112;14;242.46;30.31;443.31;55.41;1850;231.25;3443;430.38;250;31.25;1553.8;3839379;479922.38;1224.66;153.08;995.98;124.5;455.86;56.98;1491.8;186.47;1029.66;128.71;155.03;19.38;30.91;3.86;0.12;243;30.38;1368.6;171.07;1251;156.38;640.87;80.11;2035.61;254.45;1786;223.25;890.49;111.31;1308.57;163.57;875.55;109.44;492.42;61.55;2436.53;2235.75;2666.6;3200.02;8;1;6;0.75
Elo & ';';1;0;0.00;817;817;2;2;2;2;5;5;3;3;15;15;6;6;3;3;66.67;431;39.99;2913;2913;2174;2174;739;739;24;24;67;67;476;476;286;286;190;190;3;3;18;18;41.94;41.94;27.61;27.61;314;314;230;230;13;13;1633;575890;575890;166.36;166.36;145.62;145.62;82.02;82.02;211.21;211.21;162.29;162.29;20.51;20.51;8.38;8.38;0.13;64;64;179.7;179.7;185;185;92.86;92.86;301.15;301.15;300.02;300.02;93.98;93.98;220.47;220.47;124.53;124.53;49.01;49.01;2473;2336;2630;2772;0;0;1;1
fena :) & Pondres & Spesss.;*******;2;2;100.00;432;216;0;0;0;0;2;1;4;2;14;7;2;1;2;1;0;362;50.82;4982;2491;2956;1478;2026;1013;40;20;179;89.5;1320;660;646;323;674;337;8;4;58;29;104.46;52.23;90.86;45.43;1102;551;1106;553;162;81;1556.5;1230733;615366.5;381.49;190.74;310.27;155.13;130.29;65.15;463.68;231.84;306.68;153.34;51.7;25.85;18.39;9.19;0.12;155;77.5;340.3;170.15;465.8;232.9;223.76;111.88;598.3;299.15;495.19;247.6;326.87;163.43;361.56;180.78;262.65;131.32;197.83;98.92;2225.5;1961.5;2441.5;3032.5;6;3;4;2
******* & zaexed;*******;1;1;100.00;486;486;1;1;0;0;3;3;3;3;6;6;1;1;1;1;33.33;529;52.68;3071;3071;2444;2444;627;627;30;30;54;54;787;787;542;542;245;245;7;7;21;21;24.29;24.29;23.65;23.65;338;338;560;560;157;157;1555;490725;490725;134.62;134.62;144.15;144.15;52.02;52.02;194.44;194.44;126.14;126.14;10.2;10.2;9.11;9.11;0.11;86;86;179.2;179.2;149.5;149.5;69.4;69.4;261.38;261.38;209.13;209.13;121.65;121.65;159.43;159.43;91.72;91.72;79.63;79.63;2409;2194;2595;3145;0;0;1;1
******* & LaleBey;*******;1;1;100.00;730;730;3;3;1;1;1;1;5;5;4;4;2;2;0;0;60;353;50.85;1931;1931;1162;1162;769;769;16;16;70;70;488;488;251;251;237;237;3;3;24;24;24.07;24.07;53.64;53.64;187;187;483;483;72;72;1464;466526;466526;172.4;172.4;138.22;138.22;34.53;34.53;226.89;226.89;107.05;107.05;11.21;11.21;3.47;3.47;0.13;26;26;140.2;140.2;188.3;188.3;86.49;86.49;258.66;258.66;204.49;204.49;140.65;140.65;151.25;151.25;118.5;118.5;75.39;75.39;2637;2323;2969;3139;0;0;1;1
Superjavicon e& & 0ryx & *******;*******;1;0;0.00;703;703;0;0;1;1;7;7;3;3;12;12;5;5;2;2;0;366;51.63;2367;2367;1887;1887;480;480;22;22;43;43;439;439;271;271;168;168;3;3;14;14;18.15;18.15;64.55;64.55;242;242;342;342;29;29;1387;475344;475344;214.01;214.01;122.71;122.71;37.39;37.39;216.39;216.39;129.69;129.69;28.04;28.04;3.47;3.47;0.15;23;23;228.8;228.8;134.6;134.6;85.56;85.56;288.55;288.55;267.64;267.64;106.48;106.48;207.72;207.72;101.81;101.81;64.58;64.58;2346;1992;2748;3075;0;0;1;1
