team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
0_RinZleR_0 & spitc_RL_ &   ;"  ";1;1;100.00;573;573;1;1;4;4;2;2;2;2;6;6;2;2;0;0;50;465;52.16;2161;2161;1797;1797;364;364;25;25;33;33;492;492;338;338;154;154;5;5;14;14;38.56;38.56;40.26;40.26;673;673;703;703;161;161;1607;410054;410054;112.79;112.79;118.58;118.58;50.59;50.59;156.41;156.41;107.09;107.09;18.47;18.47;2.78;2.78;0.11;25;25;107;107;153.2;153.2;84.69;84.69;197.28;197.28;162.62;162.62;119.34;119.34;117.02;117.02;94.46;94.46;70.48;70.48;2313;2201;2388;3157;0;0;1;1
WONKRU & prysm! & Reevo;"   Dani___RL   ";1;1;100.00;755;755;2;2;4;4;3;3;3;3;10;10;2;2;2;2;66.67;420;50.9;2168;2168;1652;1652;516;516;20;20;48;48;394;394;267;267;127;127;3;3;11;11;39.95;39.95;29.03;29.03;568;568;367;367;32;32;1584;473315;473315;145.58;145.58;119.71;119.71;62.33;62.33;196.46;196.46;122.62;122.62;8.54;8.54;3.51;3.51;0.12;29;29;188.7;188.7;112.6;112.6;60.26;60.26;267.36;267.36;225.08;225.08;102.54;102.54;173.61;173.61;92.82;92.82;61.18;61.18;2524;2616;2349;2981;0;0;0;0
WONKRU & prysm! & Reevo;" Cayyh";2;2;100.00;1253;626.5;3;1.5;3;1.5;5;2.5;8;4;10;5;2;1;0;0;37.5;431.19;51.09;4442;2221;3512;1756;930;465;43;21.5;86;43;795;397.5;624;312;171;85.5;8;4;15;7.5;47.92;23.96;67.47;33.74;420;210;735;367.5;87;43.5;1551.25;955577;477788.5;281.7;140.85;265.94;132.97;99.48;49.74;330.69;165.35;284.02;142.01;32.4;16.2;16.88;8.44;0.11;158;79;337.8;168.9;297.9;148.95;127.21;63.6;519.9;259.95;385.34;192.67;261.78;130.89;275.76;137.88;205.31;102.65;166.04;83.02;1910.97;1791.74;2007.75;2696.09;0;0;2;1
Fuerza es & ! & GIory Rexd;!;1;0;0.00;962;962;2;2;2;2;6;6;3;3;14;14;5;5;2;2;66.67;460;51.84;3002;3002;2507;2507;495;495;30;30;45;45;682;682;576;576;106;106;6;6;9;9;26.04;26.04;58.08;58.08;535;535;525;525;23;23;1582;543191;543191;173.44;173.44;139.41;139.41;68.03;68.03;217.21;217.21;144.17;144.17;19.49;19.49;5.62;5.62;0.11;53;53;192.1;192.1;166.7;166.7;94.07;94.07;286.81;286.81;263.58;263.58;117.3;117.3;201.89;201.89;117.01;117.01;61.98;61.98;2294;2296;2300;2911;0;0;3;3
WONKRU & prysm! & Reevo;!;1;1;100.00;452;452;2;2;1;1;0;0;6;6;2;2;1;1;0;0;33.33;492;44.49;1965;1965;1570;1570;395;395;18;18;34;34;442;442;300;300;142;142;3;3;13;13;39.72;39.72;23.09;23.09;254;254;244;244;14;14;1698;363048;363048;86.99;86.99;89.86;89.86;55.71;55.71;118.24;118.24;98.53;98.53;15.79;15.79;2.63;2.63;0.11;23;23;129.8;129.8;89.1;89.1;43.34;43.34;189.22;189.22;140.73;140.73;91.83;91.83;99.2;99.2;74.91;74.91;58.45;58.45;2514;2402;2654;3308;0;0;1;1
WONKRU & prysm! & Reevo;! 2 EM;1;0;0.00;363;363;1;1;0;0;1;1;3;3;11;11;3;3;1;1;33.33;412;46.43;2083;2083;1379;1379;704;704;18;18;61;61;546;546;274;274;272;272;3;3;23;23;50.48;50.48;26.87;26.87;349;349;429;429;29;29;1594;468274;468274;137.36;137.36;116.24;116.24;56.31;56.31;189.57;189.57;106.7;106.7;13.63;13.63;6.69;6.69;0.1;68;68;137.1;137.1;161.1;161.1;75.11;75.11;234.79;234.79;212.12;212.12;97.79;97.79;162.63;162.63;92.53;92.53;54.74;54.74;1900;1778;1980;2356;0;0;1;1
Friis & Alck. & FullStuffNoMeuff;! Bassam.;1;1;100.00;906;906;4;4;0;0;3;3;4;4;6;6;3;3;1;1;100;436;44.16;2742;2742;1890;1890;852;852;21;21;69;69;423;423;196;196;227;227;3;3;21;21;69.65;69.65;39.88;39.88;483;483;212;212;103;103;1462;554097;554097;212.36;212.36;141.74;141.74;55.41;55.41;219.14;219.14;169.39;169.39;20.98;20.98;13.58;13.58;0.16;83;83;183.4;183.4;201.6;201.6;98.73;98.73;310.79;310.79;286.47;286.47;123.05;123.05;207.16;207.16;128.39;128.39;73.97;73.97;1985;1820;2109;2846;1;1;1;1
WONKRU & prysm! & Reevo;! Mohammed.;2;2;100.00;931;465.5;3;1.5;4;2;2;1;6;3;10;5;2;1;0;0;50;425.34;49.67;3801;1900.5;2699;1349.5;1102;551;33;16.5;102;51;760;380;405;202.5;355;177.5;5;2.5;33;16.5;48.97;24.49;38.43;19.22;414;207;646;323;103;51.5;1576.13;784578;392289;239.4;119.7;190.38;95.19;109.2;54.6;278.02;139.01;242.05;121.03;18.89;9.44;17.66;8.83;0.09;210;105;281.3;140.65;230.3;115.15;89.39;44.69;449.58;224.79;349.15;174.57;189.82;94.91;262.85;131.43;173.67;86.83;102.46;51.23;2458.03;2394.16;2476.57;2965.02;0;0;2;1
WONKRU & prysm! & Reevo;! S A Y Y Z Z;1;1;100.00;265;265;0;0;0;0;1;1;6;6;4;4;0;0;0;0;0;405;53.74;2160;2160;1504;1504;656;656;18;18;60;60;458;458;280;280;178;178;4;4;16;16;34.05;34.05;40.21;40.21;407;407;231;231;120;120;1503;469229;469229;153.09;153.09;106.29;106.29;60.69;60.69;186.12;186.12;118.69;118.69;15.26;15.26;5.8;5.8;0.12;50;50;166.6;166.6;148.5;148.5;74.35;74.35;245.71;245.71;201.1;201.1;118.97;118.97;140.63;140.63;109.75;109.75;69.69;69.69;2264;2235;2287;2743;2;2;0;0
WONKRU & prysm! & Reevo;! Sultan.;1;1;100.00;763;763;2;2;3;3;3;3;4;4;6;6;1;1;0;0;50;494;39.35;1663;1663;1307;1307;356;356;14;14;31;31;111;111;0;0;111;111;0;0;10;10;9.95;9.95;18.63;18.63;392;392;92;92;0;0;1710;313264;313264;76.33;76.33;75.96;75.96;53.31;53.31;117.32;117.32;83.46;83.46;4.82;4.82;3.01;3.01;0.08;40;40;110.4;110.4;78.5;78.5;42.15;42.15;163.44;163.44;142.65;142.65;62.95;62.95;100.11;100.11;72.41;72.41;33.07;33.07;2582;2477;2633;3369;0;0;0;0
