team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
rellec & Alvin & .trstncrdbl;"   VinnyD";1;0;0.00;443;443;2;2;0;0;1;1;3;3;7;7;4;4;2;2;66.67;468;42.68;2053;2053;1629;1629;424;424;17;17;39;39;339;339;191;191;148;148;2;2;13;13;45.19;45.19;29.12;29.12;414;414;78;78;8;8;1661;380000;380000;98;98;91.05;91.05;61.83;61.83;132.66;132.66;104.76;104.76;13.46;13.46;3.29;3.29;0.13;26;26;129.1;129.1;101.7;101.7;64.82;64.82;186.06;186.06;155.31;155.31;95.57;95.57;117.03;117.03;75.53;75.53;58.33;58.33;2708;2690;2739;3322;0;0;0;0
Nacho & thatmfdylan & Athlete;" t";9;3;33.33;5391;599;7;0.78;10;1.11;30;3.33;35;3.89;93;10.33;32;3.56;16;1.78;20;443.04;50.24;26185;2909.44;19232;2136.89;6953;772.56;242;26.89;600;66.67;5342;593.56;3061;340.11;2281;253.44;38;4.22;189;21;363.82;40.42;440.78;48.98;3588;398.67;4829;536.56;712;79.11;1566.42;5167607;574178.56;1567.09;174.12;1287.77;143.09;684.78;76.09;1809.15;201.02;1566.07;174.01;164.38;18.26;56.28;6.25;0.15;384;42.67;1801;200.11;1607.6;178.62;801.04;89;2738.56;304.28;2371.13;263.46;1168.48;129.83;1779.4;197.71;1088.57;120.95;671.65;74.63;2440.53;2195.15;2645.16;3145.46;2;0.22;12;1.33
! & Calor;!;2;2;100.00;1177;588.5;4;2;3;1.5;2;1;14;7;14;7;6;3;2;1;28.57;432.66;46.7;5106;2553;3840;1920;1266;633;48;24;120;60;1455;727.5;1026;513;429;214.5;13;6.5;39;19.5;48.16;24.08;89.62;44.81;835;417.5;749;374.5;142;71;1623.88;1045477;522738.5;300.03;150.01;236.72;118.36;175.92;87.96;352.11;176.05;314.38;157.19;46.18;23.09;18.64;9.32;0.09;193;96.5;296.8;148.4;360.2;180.1;178.6;89.3;534.06;267.03;408.65;204.32;304.02;152.01;276.52;138.26;243.66;121.83;192.5;96.25;2609.65;2469.23;2764.92;3249.76;2;1;2;1
ErPacuso. & Mohshroom & oni;!;2;1;50.00;1231;615.5;4;2;0;0;5;2.5;12;6;18;9;5;2.5;1;0.5;33.33;432.98;51.79;3982;1991;3177;1588.5;805;402.5;38;19;73;36.5;965;482.5;612;306;353;176.5;8;4;32;16;67.14;33.57;77.71;38.85;851;425.5;627;313.5;187;93.5;1564.76;824600;412300;256.65;128.32;223.68;111.84;88.4;44.2;350.8;175.4;203.9;101.95;14.03;7.01;7.43;3.72;0.1;73;36.5;260.7;130.35;278.6;139.3;149.72;74.86;419.01;209.51;336.36;168.18;232.36;116.18;237.36;118.68;186.06;93.03;145.3;72.65;2235.8;1971.73;2444.55;2844.34;1;0.5;1;0.5
. & NexuFMaxchium & !S;!S;2;1;50.00;590;295;0;0;0;0;4;2;6;3;13;6.5;4;2;2;1;0;415.44;52.85;3351;1675.5;2179;1089.5;1172;586;31;15.5;108;54;1099;549.5;657;328.5;442;221;10;5;41;20.5;34.33;17.16;57.44;28.72;857;428.5;973;486.5;362;181;1727.26;750451;375225.5;142.81;71.4;201.09;100.54;117.65;58.82;258.61;129.3;187.89;93.94;15.04;7.52;7.09;3.55;0.13;51;25.5;219.4;109.7;221.9;110.95;123.84;61.92;337.7;168.85;263.92;131.96;197.62;98.81;198.3;99.15;127.72;63.86;135.52;67.76;2276.39;1901.33;2629.71;3086.73;4;2;0;0
Tesla Speed & #DODATT!;#DODATT!;4;1;25.00;1514;378.5;1;0.25;4;1;10;2.5;6;1.5;38;9.5;17;4.25;11;2.75;16.67;355.62;46.01;6789;1697.25;4850;1212.5;1939;484.75;55;13.75;175;43.75;1372;343;890;222.5;482;120.5;10;2.5;45;11.25;158.16;39.54;117.64;29.41;549;137.25;501;125.25;125;31.25;1445.84;1583765;395941.25;638.76;159.69;447.24;111.81;106.34;26.58;705.79;176.45;417.47;104.37;69.07;17.27;18.93;4.73;0.08;237;59.25;666.8;166.7;465;116.25;284.02;71;908.31;227.08;823.23;205.81;369.1;92.28;632.38;158.1;355.38;88.85;204.56;51.14;2384.87;2147.31;2590.54;2786.38;1;0.25;2;0.5
L0G1c myth & Go watch Spyro's new video!! & Overflow_;$$$$$;1;1;100.00;250;250;0;0;2;2;0;0;3;3;5;5;1;1;0;0;0;511;46.44;1897;1897;1444;1444;453;453;16;16;40;40;405;405;285;285;120;120;3;3;11;11;23.59;23.59;17.94;17.94;346;346;163;163;14;14;1597;345116;345116;93.99;93.99;98.61;98.61;39;39;126.61;126.61;92.28;92.28;12.71;12.71;5.27;5.27;0.1;52;52;91;91;130.2;130.2;73.1;73.1;158.5;158.5;134.17;134.17;97.43;97.43;97.3;97.3;82.77;82.77;51.53;51.53;1828;1543;2007;2896;0;0;0;0
BlaskyRL & madurohi & 4 Finger Slap;$11M all-you-can-eat shrimp fias;1;0;0.00;194;194;0;0;0;0;1;1;3;3;9;9;3;3;1;1;0;387;52.96;2218;2218;1584;1584;634;634;19;19;50;50;394;394;300;300;94;94;3;3;8;8;65.08;65.08;23.48;23.48;100;100;344;344;0;0;1512;494680;494680;169.43;169.43;136.39;136.39;47.8;47.8;183.45;183.45;142.24;142.24;27.93;27.93;4.87;4.87;0.12;39;39;155.3;155.3;179.5;179.5;116.81;116.81;236.8;236.8;226.64;226.64;126.97;126.97;172.31;172.31;105.62;105.62;75.68;75.68;2461;2558;2367;3393;0;0;0;0
Torro & (sic) & GoldNevada13;(sic);1;1;100.00;657;657;1;1;2;2;4;4;3;3;10;10;2;2;1;1;33.33;436;59.68;2561;2561;1962;1962;599;599;25;25;51;51;464;464;317;317;147;147;5;5;13;13;21.14;21.14;58.42;58.42;309;309;586;586;187;187;1603;534952;534952;151.96;151.96;139.57;139.57;67;67;204.22;204.22;144.37;144.37;9.93;9.93;7.14;7.14;0.12;62;62;172.2;172.2;173;173;87.81;87.81;270.72;270.72;237.55;237.55;120.98;120.98;190.45;190.45;97.25;97.25;70.84;70.84;2582;2679;2517;3356;2;2;2;2
Willy & ,shuhdow;,shuhdow;1;1;100.00;807;807;4;4;0;0;3;3;5;5;5;5;0;0;0;0;80;485;48.64;1431;1431;1293;1293;138;138;16;16;12;12;223;223;200;200;23;23;2;2;2;2;12.18;12.18;30.18;30.18;183;183;261;261;0;0;1669;288752;288752;68.99;68.99;70.89;70.89;48.76;48.76;95.9;95.9;84.57;84.57;8.17;8.17;3.88;3.88;0.16;24;24;105.9;105.9;85;85;24.32;24.32;164.32;164.32;127.31;127.31;61.33;61.33;99.12;99.12;54.35;54.35;35.16;35.16;2366;1972;2559;3241;0;0;3;3
