team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Coz & beast & Aquxo;"   Astral   ";4;0;0.00;803;200.75;1;0.25;1;0.25;1;0.25;6;1.5;21;5.25;14;3.5;9;2.25;16.67;357.88;46.72;6322;1580.5;4054;1013.5;2268;567;49;12.25;201;50.25;1547;386.75;1031;257.75;516;129;12;3;47;11.75;151.79;37.95;117.16;29.29;680;170;935;233.75;176;44;1476.62;1418028;354507;524.68;131.17;334.94;83.74;183.14;45.78;538.25;134.56;479.61;119.9;24.88;6.22;23.18;5.8;0.11;194;48.5;590.8;147.7;386.1;96.53;223.96;55.99;818.79;204.7;761.64;190.41;281.11;70.28;583.59;145.9;299.58;74.89;159.59;39.9;2202.79;2212.63;2149.98;2797.01;1;0.25;0;0
"   Flashasaurus & Vizoom";"   Flashasaurus";1;0;0.00;503;503;1;1;1;1;3;3;2;2;10;10;5;5;3;3;50;310;42.45;1416;1416;773;773;643;643;12;12;54;54;304;304;196;196;108;108;3;3;9;9;19.68;19.68;33;33;61;61;426;426;103;103;1421;405398;405398;173.58;173.58;107.49;107.49;31.29;31.29;165.6;165.6;128.46;128.46;18.29;18.29;2.05;2.05;0.15;14;14;156.2;156.2;140.5;140.5;97.41;97.41;214.95;214.95;210.44;210.44;101.92;101.92;151.47;151.47;102.91;102.91;57.97;57.97;2212;2203;2217;2620;0;0;1;1
"Juskosinho. &   ""!";"  ""!";2;2;100.00;1306;653;4;2;4;2;4;2;12;6;16;8;6;3;4;2;33.33;375;47.2;4928;2464;3358;1679;1570;785;42;21;132;66;866;433;364;182;502;251;4;2;44;22;91.02;45.51;150.32;75.16;564;282;742;371;46;23;1561.5;1081888;540944;344.72;172.36;311.68;155.84;96.3;48.15;422.12;211.06;256.87;128.43;73.71;36.85;14.25;7.12;0.08;172;86;390.4;195.2;319;159.5;167.39;83.69;585.32;292.66;469.23;234.61;283.47;141.74;350.91;175.46;225.81;112.9;175.99;87.99;2279.5;2027;2564;3008;2;1;0;0
khalid & ! F !;! F !;1;1;100.00;571;571;2;2;2;2;1;1;4;4;10;10;3;3;1;1;50;434;41.21;2351;2351;1548;1548;803;803;19;19;54;54;482;482;194;194;288;288;2;2;17;17;69.47;69.47;43.12;43.12;322;322;365;365;9;9;1655;551744;551744;135.6;135.6;156.93;156.93;66;66;181.15;181.15;160.07;160.07;17.31;17.31;5.97;5.97;0.12;51;51;173.2;173.2;172.4;172.4;119.03;119.03;239.49;239.49;238.57;238.57;119.95;119.95;184.89;184.89;99.51;99.51;74.13;74.13;2329;2116;2472;3090;2;2;2;2
#1 & nthnne;#1;1;1;100.00;657;657;1;1;2;2;3;3;4;4;10;10;2;2;1;1;25;410;52.86;2385;2385;1884;1884;501;501;25;25;47;47;896;896;664;664;232;232;8;8;21;21;56.67;56.67;34.23;34.23;341;341;665;665;143;143;1595;529188;529188;143.56;143.56;135.8;135.8;74.3;74.3;164.05;164.05;165;165;24.61;24.61;4.42;4.42;0.09;49;49;124.8;124.8;211.7;211.7;82.96;82.96;270.7;270.7;223.53;223.53;130.14;130.14;164.17;164.17;100.64;100.64;88.85;88.85;2039;1875;2211;3186;0;0;0;0
Coz & beast & Aquxo;% Lastous.;5;5;100.00;3067;613.4;12;2.4;4;0.8;6;1.2;29;5.8;27;5.4;6;1.2;3;0.6;41.38;454.23;50.97;12289;2457.8;9394;1878.8;2895;579;120;24;260;52;2758;551.6;1788;357.6;970;194;21;4.2;84;16.8;182.34;36.47;208.83;41.77;2090;418;2607;521.4;278;55.6;1631.92;2575991;515198.19;678.84;135.77;665.35;133.07;344.01;68.8;929.31;185.86;653.85;130.77;105.05;21.01;27.29;5.46;0.13;206;41.2;848.7;169.74;779.7;155.94;360.57;72.11;1327.63;265.53;1097.15;219.43;591.06;118.21;784.77;156.95;535.29;107.06;368.13;73.63;2681.91;2524.5;2856.17;3472.79;3;0.6;4;0.8
& Jean Claude Van Damme & Nks;& Jean Claude Van Damme;1;1;100.00;925;925;4;4;0;0;5;5;6;6;9;9;2;2;2;2;66.67;403;48.56;2134;2134;1627;1627;507;507;21;21;50;50;663;663;505;505;158;158;6;6;17;17;28.72;28.72;35.58;35.58;419;419;407;407;94;94;1536;495036;495036;162.21;162.21;127.18;127.18;55.38;55.38;186.65;186.65;131.92;131.92;26.2;26.2;4.86;4.86;0.09;53;53;177.9;177.9;152.7;152.7;85.03;85.03;259.74;259.74;199.2;199.2;145.57;145.57;145.87;145.87;98.33;98.33;100.56;100.56;2414;2161;2698;3222;2;2;0;0
Coz & beast & Aquxo;&AVC;1;1;100.00;635;635;1;1;1;1;3;3;5;5;9;9;1;1;0;0;20;439;50.5;2545;2545;1858;1858;687;687;24;24;56;56;737;737;518;518;219;219;7;7;19;19;42.4;42.4;43.6;43.6;412;412;593;593;191;191;1551;503392;503392;143.8;143.8;138.55;138.55;56.62;56.62;178.99;178.99;134.45;134.45;25.53;25.53;8.2;8.2;0.1;86;86;147.1;147.1;181;181;85.59;85.59;253.38;253.38;189.25;189.25;149.73;149.73;131.38;131.38;113.51;113.51;94.09;94.09;2114;1976;2251;2709;1;1;0;0
g^vn & (?);(?);1;1;100.00;542;542;2;2;2;2;1;1;4;4;2;2;0;0;0;0;50;360;55.6;1899;1899;1370;1370;529;529;18;18;48;48;417;417;273;273;144;144;4;4;14;14;24.55;24.55;48.48;48.48;277;277;460;460;150;150;1505;436385;436385;155.6;155.6;111.5;111.5;45.53;45.53;172.71;172.71;117.77;117.77;22.15;22.15;6.1;6.1;0.17;35;35;162.5;162.5;135.1;135.1;61.16;61.16;251.48;251.48;187.09;187.09;125.55;125.55;136.48;136.48;101;101;75.15;75.15;2407;2170;2649;3180;1;1;0;0
******* & redux;*******;1;1;100.00;347;347;1;1;2;2;0;0;3;3;2;2;0;0;0;0;33.33;532;51.54;1632;1632;1275;1275;357;357;16;16;34;34;423;423;345;345;78;78;5;5;9;9;11.17;11.17;29.02;29.02;184;184;335;335;161;161;1573;280094;280094;78.25;78.25;83.2;83.2;28.2;28.2;89.33;89.33;85.93;85.93;14.39;14.39;2.99;2.99;0.06;47;47;85;85;99;99;47;47;142.65;142.65;111.07;111.07;78.58;78.58;76.14;76.14;65.12;65.12;48.39;48.39;2157;2110;2140;2653;1;1;2;2
L0G1c myth & *******;*******;1;0;0.00;695;695;0;0;1;1;6;6;4;4;11;11;2;2;1;1;0;479;51.15;3308;3308;2390;2390;918;918;28;28;81;81;481;481;227;227;254;254;3;3;23;23;59.94;59.94;26.44;26.44;293;293;343;343;86;86;1650;671645;671645;150.28;150.28;199.01;199.01;73.42;73.42;241.81;241.81;163.97;163.97;16.92;16.92;11.22;11.22;0.09;119;119;230.8;230.8;191.1;191.1;118.71;118.71;303.99;303.99;258.67;258.67;164.04;164.04;194.75;194.75;132.16;132.16;95.8;95.8;2248;2105;2390;2974;1;1;0;0
