team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Bukayo xhaka & ;;1;1;100.00;557;557;2;2;2;2;2;2;3;3;9;9;4;4;3;3;66.67;348;47.59;2330;2330;1597;1597;733;733;18;18;66;66;528;528;282;282;246;246;3;3;23;23;55.46;55.46;37.88;37.88;189;189;227;227;17;17;1527;521473;521473;169.88;169.88;153.17;153.17;52.27;52.27;210.61;210.61;157.28;157.28;7.44;7.44;6.81;6.81;0.11;61;61;171.3;171.3;184.6;184.6;114.96;114.96;260.37;260.37;239.51;239.51;135.81;135.81;175.07;175.07;125.28;125.28;74.97;74.97;2706;2539;2835;3443;0;0;3;3
altaccountx2 &   rent(havent plyd ina mnth);"  rent(havent plyd ina mnth)";1;0;0.00;2;2;0;0;0;0;0;0;0;0;4;4;3;3;1;1;0;323;36.41;112;112;100;100;12;12;1;1;1;1;0;0;0;0;0;0;0;0;0;0;5.48;5.48;1.27;1.27;0;0;0;0;0;0;1291;15570;15570;10.96;10.96;4.58;4.58;0.68;0.68;9.35;9.35;6.87;6.87;0;0;0.23;0.23;0.06;4;4;5.9;5.9;6.3;6.3;7.49;7.49;8.73;8.73;14.61;14.61;1.61;1.61;11.34;11.34;4.88;4.88;0;0;2039;1715;2163;2910;0;0;0;0
Le Floke &  7;" 7";1;1;100.00;767;767;3;3;1;1;2;2;7;7;5;5;3;3;2;2;42.86;431;51.19;2653;2653;1712;1712;941;941;21;21;84;84;711;711;397;397;314;314;6;6;28;28;34.66;34.66;54.01;54.01;585;585;401;401;207;207;1557;575044;575044;174.77;174.77;150.13;150.13;74.03;74.03;234.91;234.91;152.67;152.67;11.34;11.34;5.63;5.63;0.21;27;27;199.3;199.3;178.7;178.7;77.95;77.95;320.97;320.97;249.04;249.04;149.89;149.89;165.63;165.63;136.66;136.66;96.64;96.64;2384;2264;2471;2953;3;3;0;0
! & prime sifu;!;2;1;50.00;873;436.5;1;0.5;1;0.5;4;2;6;3;17;8.5;5;2.5;2;1;16.67;325.48;46.34;4129;2064.5;2779;1389.5;1350;675;35;17.5;122;61;629;314.5;315;157.5;314;157;5;2.5;28;14;97.96;48.98;90.22;45.11;647;323.5;765;382.5;196;98;1398.45;939286;469643;391.35;195.68;257.9;128.95;69.42;34.71;454.57;227.29;233.22;116.61;30.89;15.44;14.85;7.43;0.11;134;67;332.3;166.15;364.3;182.15;188.02;94.01;530.66;265.33;509.15;254.58;209.53;104.76;373.66;186.83;228.01;114.01;117.01;58.5;2146.51;1987.77;2258.88;3212.31;1;0.5;2;1
!/Pikachu20/! & adritop_1 & Hebno;!/Pikachu20/!;2;0;0.00;889;444.5;2;1;0;0;4;2;5;2.5;17;8.5;8;4;5;2.5;40;354.26;48.26;3520;1760;2360;1180;1160;580;28;14;93;46.5;593;296.5;300;150;293;146.5;3;1.5;26;13;79.99;40;41.97;20.99;215;107.5;455;227.5;3;1.5;1397.27;785162;392581;354.08;177.04;208.58;104.29;46.76;23.38;376.06;188.03;211.08;105.54;22.28;11.14;14.5;7.25;0.11;121;60.5;337.2;168.6;240.5;120.25;150.69;75.35;458.72;229.36;386.55;193.27;222.86;111.43;270.98;135.49;241.01;120.51;97.41;48.71;2494.98;2381.89;2613;3091.98;1;0.5;3;1.5
"BuLLe7 & "": ?no name? ; """;""": ?no name? ; """;1;0;0.00;10;10;0;0;0;0;0;0;0;0;4;4;4;4;4;4;0;433;56.62;565;565;481;481;84;84;6;6;8;8;136;136;100;100;36;36;1;1;3;3;5.37;5.37;12.47;12.47;29;29;128;128;0;0;1620;114638;114638;37.77;37.77;38.5;38.5;9.59;9.59;56.53;56.53;20.93;20.93;8.39;8.39;0.97;0.97;0.14;7;7;45.7;45.7;25;25;22.16;22.16;63.7;63.7;66.96;66.96;18.9;18.9;57.29;57.29;18.16;18.16;10.4;10.4;3029;3442;2821;3950;1;1;0;0
#F'Tm9. & Sowik;#F'Tm9.;1;1;100.00;891;891;3;3;1;1;4;4;4;4;9;9;2;2;1;1;75;429;48.32;2294;2294;1805;1805;489;489;21;21;43;43;420;420;277;277;143;143;3;3;12;12;52.1;52.1;40.32;40.32;152;152;321;321;22;22;1504;476525;476525;169.31;169.31;120.31;120.31;54.44;54.44;185.23;185.23;138.21;138.21;20.62;20.62;7.94;7.94;0.16;51;51;147.8;147.8;174;174;84.27;84.27;259.78;259.78;222.14;222.14;121.92;121.92;162.71;162.71;123.81;123.81;57.54;57.54;2012;1941;2044;2788;0;0;0;0
Chief Longbird & Ka Ying Rising & Zyyyyyxxxxxxxx;.;2;2;100.00;875;437.5;1;0.5;3;1.5;4;2;3;1.5;15;7.5;3;1.5;2;1;33.33;477.43;49.78;5203;2601.5;3592;1796;1611;805.5;47;23.5;150;75;1680;840;1105;552.5;575;287.5;16;8;53;26.5;84.08;42.04;51.42;25.71;896;448;1045;522.5;435;217.5;1670;956532;478266;235.75;117.88;213.4;106.7;171.4;85.7;362.96;181.48;226.97;113.49;30.64;15.32;14.94;7.47;0.11;129;64.5;284.8;142.4;304.6;152.3;138.7;69.35;481.86;240.93;400.05;200.02;220.51;110.26;301.19;150.6;183.51;91.76;135.85;67.93;2180.57;2218;2139.57;2778.57;1;0.5;3;1.5
. & Gravity_adri;.;1;0;0.00;846;846;2;2;0;0;6;6;6;6;15;15;7;7;3;3;33.33;368;40.49;2010;2010;1401;1401;609;609;17;17;54;54;313;313;156;156;157;157;2;2;14;14;55.74;55.74;27.76;27.76;225;225;307;307;49;49;1455;474573;474573;189.39;189.39;128.48;128.48;43.35;43.35;195.48;195.48;147.96;147.96;17.79;17.79;5.73;5.73;0.1;60;60;205.7;205.7;127.2;127.2;78.55;78.55;282.68;282.68;258.93;258.93;102.29;102.29;196.24;196.24;109.67;109.67;55.31;55.31;2247;1896;2654;3270;1;1;2;2
skibidi killer is a free win & LYRICS & iahsoK;.;4;3;75.00;2665;666.25;11;2.75;2;0.5;7;1.75;24;6;36;9;13;3.25;2;0.5;45.83;394.7;51.57;10085;2521.25;6988;1747;3097;774.25;86;21.5;279;69.75;1794;448.5;908;227;886;221.5;12;3;82;20.5;107.6;26.9;119.81;29.95;1210;302.5;1535;383.75;322;80.5;1558.59;2142317;535579.25;682.98;170.74;558.66;139.67;264.36;66.09;803.85;200.96;642.66;160.67;59.48;14.87;25.09;6.27;0.09;270;67.5;652.6;163.15;747.3;186.82;390.04;97.51;1115.95;278.99;972.54;243.14;533.45;133.36;712.8;178.2;481.22;120.31;311.97;77.99;2309.17;2186.23;2459.73;3012.53;7;1.75;5;1.25
